date,open,high,low,close,volume
2017-01-03,27.51,27.51,27.34,27.41,1426
2017-01-04,27.82,28.25,27.71,28.07,1593
2017-01-05,28.02,28.07,27.9,28.07,7029
2017-01-06,27.99,28.1,27.95,28.08,5238
2017-01-09,27.84,27.91,27.84,27.91,2298
2017-01-10,28.14,28.23,28.13,28.16,4229
2017-01-11,28.16,28.16,27.88,28.02,2561
2017-01-12,27.98,27.98,27.75,27.9,4453
2017-01-13,28.07,28.23,28.07,28.23,3043
2017-01-17,28.21,28.32,28.08,28.14,4691
2017-01-18,28.14,28.14,27.98,28.03,1972
2017-01-19,28.04,28.14,27.93,27.96,3024
2017-01-20,27.87,27.98,27.87,27.92,1895
2017-01-23,27.93,27.95,27.9,27.95,942
2017-01-24,28.06,28.09,28.02,28.04,789
2017-01-25,28.4,28.43,28.35,28.42,2915
2017-01-26,28.49,28.49,28.29,28.33,3188
2017-01-27,28.26,28.39,28.26,28.38,3061
2017-01-30,28.13,28.18,27.95,28.18,692
2017-01-31,27.96,28.17,27.96,28.17,953
2017-02-01,28.47,28.5,28.3,28.3,50846
2017-02-02,28.38,28.38,28.09,28.2,4296
2017-02-03,28.21,28.37,28.21,28.35,2369
2017-02-06,28.15,28.18,28.15,28.17,2129
2017-02-07,28.41,28.41,28.19,28.4,1731
2017-02-08,28.28,28.49,28.28,28.49,936
2017-02-09,28.62,28.71,28.62,28.71,1386
2017-02-10,28.72,28.87,28.72,28.84,2266
2017-02-13,29.14,29.14,28.87,28.89,2530
2017-02-14,28.85,29.08,28.85,29.08,3824
2017-02-15,29.0,29.26,29.0,29.26,1460
2017-02-16,29.25,29.25,29.02,29.02,2561
2017-02-17,28.94,28.96,28.78,28.92,2169
2017-02-21,29.08,29.34,29.08,29.34,4054
2017-02-22,29.3,29.54,29.3,29.54,1225
2017-02-23,29.72,29.72,29.06,29.07,2730
2017-02-24,29.01,29.01,28.66,28.91,2182
2017-02-27,28.98,29.1,28.98,29.0,352
2017-02-28,29.12,29.16,28.95,28.96,64529
2017-03-01,29.08,29.1,28.85,29.03,2924
2017-03-02,28.99,28.99,28.89,28.91,2095
2017-03-03,28.73,28.73,28.6,28.68,1627
2017-03-06,28.68,28.68,28.51,28.52,2327
2017-03-07,28.52,28.56,28.51,28.56,3093
2017-03-08,28.6,28.77,28.6,28.7,3924
2017-03-09,28.69,28.75,28.58,28.61,4270
2017-03-10,28.85,28.85,28.75,28.75,443
2017-03-13,28.98,28.98,28.86,28.98,2094
2017-03-14,28.98,28.98,28.7,28.7,849
2017-03-15,28.66,28.92,28.66,28.89,4108
2017-03-16,29.11,29.26,29.11,29.17,4859
2017-03-17,29.31,29.48,29.31,29.39,1582
2017-03-20,29.62,29.62,29.4,29.4,1116
2017-03-21,29.55,29.55,28.95,28.95,2186
2017-03-22,28.7,28.71,28.65,28.71,1299
2017-03-23,28.88,29.11,28.88,29.03,4102
2017-03-24,29.17,29.17,28.82,28.82,3011
2017-03-27,28.74,29.19,28.74,29.19,2146
2017-03-28,29.27,29.32,29.26,29.26,5324
2017-03-29,29.87,29.87,29.35,29.56,2617
2017-03-30,29.62,29.62,29.47,29.51,5165
2017-03-31,29.53,29.62,29.44,29.54,5311
2017-04-03,29.62,29.62,29.36,29.5,4317
2017-04-04,29.52,29.52,29.4,29.41,14832
2017-04-05,29.62,29.63,29.15,29.16,6717
2017-04-06,29.32,29.43,29.16,29.43,10870
2017-04-07,29.5,29.5,29.38,29.45,4200
2017-04-10,29.6,29.7,29.57,29.64,2502
2017-04-11,30.09,30.26,29.89,30.01,25067
2017-04-12,30.21,30.21,29.96,29.97,9354
2017-04-13,30.26,30.26,29.81,29.83,13206
2017-04-17,29.7,30.08,29.7,30.08,4292
2017-04-18,30.17,30.17,29.94,30.09,3606
2017-04-19,30.31,30.34,30.21,30.25,9087
2017-04-20,30.48,30.56,30.35,30.46,13641
2017-04-21,30.6,30.6,30.4,30.51,29579
2017-04-24,31.83,31.99,30.8,31.77,28214
2017-04-25,31.69,31.7,31.0,31.18,55333
2017-04-26,31.66,31.66,30.75,30.94,39247
2017-04-27,31.19,31.4,31.14,31.36,10166
2017-04-28,31.43,31.7,31.31,31.37,73635
2017-05-01,31.75,32.15,31.54,32.0,114483
2017-05-02,32.37,32.37,32.15,32.26,56031
2017-05-03,33.25,33.25,31.75,32.01,46163
2017-05-04,32.31,32.31,31.78,31.8,29481
2017-05-05,31.72,32.25,31.72,32.25,25093
2017-05-08,33.09,33.09,32.18,32.41,109950
2017-05-09,32.99,33.37,32.71,33.36,82587
2017-05-10,33.59,33.59,33.18,33.47,60742
2017-05-11,33.59,33.69,32.93,33.3,61469
2017-05-12,33.3,33.45,33.0,33.41,54696
2017-05-15,33.99,34.35,33.4,33.51,115554
2017-05-16,33.89,34.3,33.64,33.82,70212
2017-05-17,33.75,33.76,32.9,32.91,104957
2017-05-18,32.9,33.29,32.75,33.24,37029
2017-05-19,33.23,33.5,33.21,33.31,22366
2017-05-22,33.58,34.0,33.48,33.57,275624
2017-05-23,33.87,33.87,33.32,33.49,148496
2017-05-24,33.78,33.78,33.36,33.54,35820
2017-05-25,33.85,33.87,33.55,33.62,105305
2017-05-26,33.43,33.65,33.43,33.65,29856
2017-05-30,33.73,33.76,33.25,33.36,57575
2017-05-31,33.51,33.51,32.87,33.29,41348
2017-06-01,33.44,33.74,33.37,33.72,33006
2017-06-02,34.0,34.0,33.73,33.9,40977
2017-06-05,34.01,34.02,33.69,33.79,51189
2017-06-06,33.81,33.81,33.54,33.55,40563
2017-06-07,33.58,33.92,33.58,33.9,23043
2017-06-08,34.17,34.32,33.92,34.29,44820
2017-06-09,34.33,34.51,33.55,33.76,38110
2017-06-12,33.67,33.73,33.09,33.72,40039
2017-06-13,33.64,34.14,33.64,34.14,28752
2017-06-14,34.29,34.49,34.05,34.29,27669
2017-06-15,33.98,34.38,33.77,34.32,34892
2017-06-16,34.38,34.56,34.23,34.56,18096
2017-06-19,34.66,35.04,34.66,34.99,74406
