date,open,high,low,close,volume
2020-04-27,4.85,5.3,4.8,5.24,1005704
2020-04-28,5.46,5.66,5.17,5.54,1238526
2017-01-03,16.1,16.16,15.84,16.12,509023
2017-01-04,16.19,16.33,16.11,16.29,548170
2017-01-05,16.17,16.2,15.84,15.92,414363
2017-01-06,15.95,15.95,15.66,15.85,589448
2017-01-09,15.9,15.9,15.42,15.48,557083
2017-01-10,15.47,15.67,15.44,15.57,589860
2017-01-11,15.61,15.64,15.45,15.55,409522
2017-01-12,15.56,15.6,15.25,15.54,367199
2017-01-13,15.69,15.84,15.55,15.73,420170
2017-01-17,15.89,16.0,15.65,15.84,468993
2017-01-18,15.87,15.91,15.68,15.91,384154
2017-01-19,15.9,15.91,15.45,15.69,348070
2017-01-20,15.63,15.93,15.63,15.89,528664
2017-01-23,15.94,16.0,15.77,15.95,332557
2017-01-24,16.05,16.16,15.93,16.05,487532
2017-01-25,16.13,16.18,16.01,16.12,416494
2017-01-26,16.18,16.4,16.13,16.36,453721
2017-01-27,16.36,16.36,15.99,16.1,322597
2017-01-30,16.09,16.09,15.66,15.66,462677
2017-01-31,15.62,15.87,15.59,15.83,791107
2017-02-01,15.85,16.08,15.67,15.77,787632
2017-02-02,15.73,15.76,15.51,15.73,852248
2017-02-03,15.86,16.06,15.71,15.98,523863
2017-02-06,15.98,15.99,15.73,15.85,486103
2017-02-07,15.87,16.07,15.7,15.77,361437
2017-02-08,15.76,16.01,15.64,15.97,529836
2017-02-09,15.9,16.0,15.85,15.9,476827
2017-02-10,15.75,15.96,15.68,15.87,472941
2017-02-13,15.94,15.96,15.77,15.91,336615
2017-02-14,15.81,16.12,15.71,16.07,540865
2017-02-15,15.99,16.14,15.87,16.11,505862
2017-02-16,16.13,16.27,16.09,16.18,535523
2017-02-17,16.23,16.23,15.77,15.94,1200820
2017-02-21,16.09,16.39,15.93,16.31,867579
2017-02-22,16.34,16.39,16.15,16.26,661932
2017-02-23,16.32,16.33,16.02,16.17,464789
2017-02-24,15.85,16.19,15.66,15.96,677833
2017-02-27,15.85,16.11,15.8,16.0,750428
2017-02-28,15.95,15.95,15.36,15.39,934603
2017-03-01,15.45,15.62,15.33,15.48,703265
2017-03-02,15.46,15.47,15.33,15.44,488628
2017-03-03,15.85,15.85,15.19,15.4,938745
2017-03-06,15.35,15.54,15.24,15.39,942735
2017-03-07,15.37,15.49,15.29,15.38,667930
2017-03-08,15.34,15.45,15.27,15.4,861677
2017-03-09,15.34,15.55,15.3,15.35,1131922
2017-03-10,15.41,15.47,15.05,15.21,1706693
2017-03-13,15.32,15.61,15.18,15.42,1053952
2017-03-14,15.34,15.49,15.27,15.38,628333
2017-03-15,15.42,15.7,15.42,15.63,878731
2017-03-16,15.63,15.75,15.58,15.67,639356
2017-03-17,15.78,15.89,15.56,15.6,4740406
2017-03-20,15.63,15.84,15.32,15.45,649276
2017-03-21,15.44,15.45,15.12,15.32,887084
2017-03-22,15.33,15.45,15.05,15.32,565610
2017-03-23,15.3,15.61,15.23,15.43,524289
2017-03-24,15.41,15.61,15.34,15.37,465956
2017-03-27,15.26,15.5,15.26,15.46,1110892
2017-03-28,15.43,15.47,15.12,15.46,630962
2017-03-29,15.43,15.7,15.37,15.7,545059
2017-03-30,15.72,15.98,15.63,15.93,643820
2017-03-31,15.9,16.1,15.89,15.98,1071508
2017-04-03,15.98,15.98,15.46,15.6,688505
2017-04-04,15.57,15.76,15.51,15.61,586814
2017-04-05,15.65,15.77,15.54,15.54,497890
2017-04-06,15.55,15.76,15.4,15.74,372336
2017-04-07,15.71,15.81,15.52,15.55,693846
2017-04-10,15.54,15.84,15.49,15.77,415574
2017-04-11,15.77,15.98,15.72,15.98,430601
2017-04-12,15.96,16.02,15.68,16.01,830389
2017-04-13,16.04,16.23,15.99,16.21,821868
2017-04-17,16.26,16.34,16.2,16.34,446555
2017-04-18,16.34,16.4,16.26,16.36,676267
2017-04-19,16.39,16.69,16.39,16.53,771926
2017-04-20,16.54,16.67,16.38,16.67,689151
2017-04-21,16.74,16.89,16.65,16.77,1096370
2017-04-24,16.92,16.97,16.66,16.88,851214
2017-04-25,16.94,17.16,16.9,17.08,594846
2017-04-26,17.05,17.45,17.01,17.26,716564
2017-04-27,17.33,17.42,17.17,17.2,531135
2017-04-28,17.23,17.23,16.51,16.53,648564
2017-05-01,16.61,16.94,16.52,16.85,921483
2017-05-02,16.86,17.01,16.83,17.01,514339
2017-05-03,16.96,17.09,16.71,16.92,750969
2017-05-04,16.98,17.29,16.6,16.92,742022
2017-05-05,16.96,17.16,16.95,17.14,583419
2017-05-08,17.19,17.27,16.9,17.13,495461
2017-05-09,17.15,17.23,17.03,17.17,819839
2017-05-10,16.62,16.97,16.61,16.8,8381244
2017-05-11,16.76,16.85,16.58,16.59,2508099
2017-05-12,16.5,16.53,16.15,16.22,3005459
2017-05-15,16.27,16.62,16.27,16.41,1479623
2017-05-16,16.47,16.63,16.39,16.54,1260193
2017-05-17,16.42,16.66,16.39,16.56,1412370
2017-05-18,16.61,16.99,16.43,16.9,1043178
2017-05-19,16.92,17.21,16.81,17.15,1625958
2017-05-22,17.19,17.57,17.07,17.51,1101046
2017-05-23,17.54,17.69,17.49,17.6,1624943
2017-05-24,17.61,17.72,17.5,17.64,1043104
2017-05-25,17.85,18.03,17.8,17.95,1235569
2017-05-26,17.96,18.08,17.9,18.04,846537
