date,open,high,low,close,volume
2020-05-04,123.6,125.9,122.25,125.68,28498224
2020-05-05,128.07,129.92,126.1,126.65,31209384
2020-05-06,127.49,128.2,125.0,125.72,29836758
2020-05-07,127.39,128.5,126.55,127.44,27492978
2020-05-08,130.16,132.75,129.19,132.36,32162026
2020-04-30,131.9,132.94,130.14,130.31,43727524
2020-05-01,127.15,127.46,123.29,125.14,43352036
2020-04-29,133.49,136.84,131.88,135.46,50390529
2020-04-28,131.12,131.46,127.28,129.11,47292710
2017-01-03,136.49,136.83,134.5,135.52,29792446
2017-01-04,136.05,137.96,136.01,137.78,34499365
2017-01-05,137.49,137.76,135.51,136.19,30286876
2017-01-06,136.41,136.71,135.68,135.69,23435995
2017-01-09,135.54,135.72,134.5,134.8,24077865
2017-01-10,135.0,136.38,134.76,136.09,21684855
2017-01-11,136.23,136.79,135.42,136.33,27428753
2017-01-12,136.16,136.22,133.59,135.28,41844214
2017-01-13,135.65,136.97,135.65,136.26,27784455
2017-01-17,135.6,135.69,134.13,134.41,28197779
2017-01-18,134.76,134.94,133.95,134.85,21289660
2017-01-19,135.14,135.44,133.17,133.75,34105880
2017-01-20,134.21,134.88,133.82,134.44,29286081
2017-01-23,134.03,134.68,133.12,133.88,20537008
2017-01-24,134.34,136.28,134.22,135.93,34313842
2017-01-25,137.06,137.55,136.95,137.21,29127322
2017-01-26,137.34,137.5,136.42,136.66,22255562
2017-01-27,136.77,137.04,135.65,136.19,19467824
2017-01-30,135.23,135.24,133.24,134.29,40464369
2017-01-31,133.87,135.56,133.48,135.23,32944993
2017-02-01,136.22,136.87,134.7,135.15,30010459
2017-02-02,135.3,135.67,134.49,134.81,19935725
2017-02-03,135.99,136.98,135.51,136.87,24534082
2017-02-06,136.4,136.78,135.43,135.84,23691510
2017-02-07,135.82,136.47,134.77,135.24,30342153
2017-02-08,134.6,135.22,133.89,135.0,32956872
2017-02-09,135.25,137.25,135.25,136.9,28267608
2017-02-10,137.79,138.37,137.2,137.94,27287550
