date,open,high,low,close,volume
2020-05-04,25.37,26.06,24.94,25.95,223684
2020-05-05,26.18,26.25,25.28,25.35,162611
2020-05-06,25.68,25.68,24.94,25.03,236930
2020-05-07,25.59,26.02,25.48,25.73,128634
2020-05-08,26.36,27.0,26.09,26.99,156681
2020-04-30,28.48,28.48,27.34,27.45,967862
2020-05-01,26.66,26.85,25.8,26.21,109611
2020-04-29,28.22,29.05,28.09,28.81,518584
2020-04-28,26.82,27.38,26.33,27.11,157548
2017-01-03,40.44,40.44,39.94,40.29,159082
2017-01-04,40.32,40.84,40.32,40.81,44487
2017-01-05,40.76,40.82,40.44,40.58,23420
2017-01-06,40.57,40.63,40.4,40.46,14279
2017-01-09,40.41,40.45,40.2,40.23,374557
2017-01-10,40.26,40.76,40.26,40.61,266639
2017-01-11,40.72,40.79,40.58,40.79,4379
2017-01-12,40.67,40.79,40.21,40.55,12662
2017-01-13,40.57,40.73,40.57,40.72,13881
2017-01-17,40.66,40.78,40.46,40.54,17374
2017-01-18,40.51,40.69,40.5,40.67,5828
2017-01-19,40.68,40.78,40.37,40.46,7775
2017-01-20,40.52,40.86,40.52,40.78,62969
2017-01-23,40.8,40.8,40.57,40.57,4169
2017-01-24,40.68,41.06,40.68,40.98,19692
2017-01-25,41.31,41.38,41.1,41.13,15463
2017-01-26,41.06,41.33,41.06,41.26,6925
2017-01-27,41.27,41.27,40.93,40.93,11350
2017-01-30,40.69,40.71,40.25,40.51,15020
2017-01-31,40.46,40.52,40.22,40.46,14242
2017-02-01,40.62,40.68,40.29,40.32,31016
2017-02-02,40.29,40.46,40.22,40.31,23148
2017-02-03,40.38,40.57,40.34,40.47,32076
2017-02-06,40.62,40.76,40.6,40.6,4332
2017-02-07,40.65,40.76,40.38,40.39,11838
2017-02-08,40.39,40.46,40.17,40.42,19679
2017-02-09,40.48,41.03,40.48,41.01,6962
2017-02-10,41.17,41.23,41.1,41.16,6880
2017-02-13,41.32,41.35,41.24,41.25,333299
2017-02-14,41.25,41.25,41.1,41.12,4990
2017-02-15,41.2,41.57,41.2,41.56,8617
2017-02-16,41.42,41.42,41.02,41.11,11942
2017-02-17,40.92,41.08,40.87,41.08,17478
2017-02-21,41.15,41.46,41.15,41.37,40859
2017-02-22,41.08,41.15,40.98,41.06,9009
2017-02-23,41.12,41.21,40.84,40.96,8328
2017-02-24,40.85,41.14,40.8,41.14,10208
2017-02-27,41.08,41.18,41.0,41.18,5671
2017-02-28,41.05,41.15,40.85,40.93,9868
2017-03-01,41.19,41.45,40.9,41.19,443700
2017-03-02,41.09,41.09,40.72,40.72,10142
2017-03-03,40.63,40.98,40.59,40.97,6360
2017-03-06,40.85,40.85,40.42,40.56,28522
2017-03-07,40.49,40.49,40.27,40.27,16599
2017-03-08,40.31,40.5,40.31,40.43,6249
2017-03-09,40.38,40.45,40.12,40.23,31988
2017-03-10,40.3,40.5,40.27,40.49,7699
2017-03-13,40.46,40.51,40.34,40.36,3848
2017-03-14,40.21,40.21,39.95,39.98,9869
2017-03-15,39.88,40.69,39.88,40.6,15453
2017-03-16,40.55,40.57,40.42,40.51,39318
2017-03-17,40.58,40.63,40.48,40.5,10667
2017-03-20,40.44,40.48,40.41,40.45,6442
2017-03-21,40.59,40.59,39.8,39.8,8692
2017-03-22,39.68,40.0,39.67,40.0,28108
2017-03-23,40.0,40.42,39.99,40.27,2963
2017-03-24,40.21,40.5,40.21,40.37,2931
2017-03-27,40.11,40.46,40.11,40.45,2316
2017-03-28,40.55,40.97,40.55,40.91,2875
2017-03-29,40.79,40.92,40.79,40.83,6105
2017-03-30,41.0,41.23,41.0,41.19,26623
2017-03-31,41.32,41.33,41.08,41.22,28847
2017-04-03,41.29,41.29,40.74,41.07,525906
2017-04-04,41.08,41.14,40.89,40.95,18814
2017-04-05,41.11,41.26,40.73,40.74,5853
2017-04-06,40.78,41.0,40.68,40.97,30028
2017-04-07,40.82,40.85,40.63,40.73,2908
2017-04-10,40.72,40.88,40.57,40.7,4607
2017-04-11,40.55,40.77,40.32,40.77,5665
2017-04-12,40.66,40.66,40.29,40.3,3433
2017-04-13,40.28,40.34,40.06,40.06,5318
2017-04-17,40.1,40.32,40.1,40.32,4532
2017-04-18,40.27,40.34,40.09,40.34,4270
2017-04-19,40.65,40.67,40.52,40.55,5327
2017-04-20,40.75,41.14,40.71,41.08,22570
