date,open,high,low,close,volume
2020-07-06,28.79,29.26,28.77,28.96,6145973
2020-07-07,28.85,29.21,28.75,28.79,4674513
2020-07-08,29.03,29.29,28.84,29.18,4676507
2020-07-09,29.07,29.11,28.21,28.41,5602332
2020-07-10,28.48,29.17,28.41,29.03,5432428
2020-06-29,27.81,28.47,27.62,28.27,6966516
2020-06-30,27.89,28.55,27.8,28.06,5840558
2020-07-01,28.3,28.51,27.93,28.35,6960417
2020-07-02,28.79,29.05,28.34,28.75,5545498
2017-01-03,95.84,96.0,90.88,91.52,4522941
2017-01-04,91.36,93.0,90.88,92.64,2258477
2017-01-05,93.52,94.32,92.04,93.6,2668334
2017-01-06,94.08,94.48,92.96,93.44,1909955
2017-01-09,92.16,92.2,90.4,90.48,2600952
2017-01-10,90.96,90.96,88.56,88.56,2982703
2017-01-11,89.68,91.85,88.51,90.96,4008380
2017-01-12,92.8,93.04,91.84,92.32,3417327
2017-01-13,91.6,92.24,90.96,91.28,1976206
2017-01-17,92.8,92.96,91.2,91.44,2123714
2017-01-18,89.52,90.96,88.64,89.28,3819300
2017-01-19,89.92,90.32,88.8,89.36,1967857
2017-01-20,91.6,92.0,90.96,91.12,3325863
2017-01-23,89.68,91.02,89.68,90.56,1831339
2017-01-24,90.96,91.84,90.88,90.96,1920899
2017-01-25,90.36,91.64,90.16,90.48,2386220
2017-01-26,91.52,92.64,91.36,92.24,2691937
2017-01-27,91.2,91.52,90.16,91.2,2486913
2017-01-30,90.8,90.84,89.84,90.24,2055204
2017-01-31,91.2,91.84,90.24,90.56,2398369
2017-02-01,91.36,92.4,90.64,91.84,2516412
2017-02-02,92.56,92.72,91.44,92.08,2469948
2017-02-03,91.92,92.96,91.68,92.32,2615421
2017-02-06,92.16,92.32,90.72,91.04,3050771
2017-02-07,89.68,89.84,88.88,89.52,4761685
2017-02-08,88.88,90.24,88.32,89.84,3436515
2017-02-09,91.08,91.12,90.32,90.8,2550859
2017-02-10,92.24,92.6,91.84,92.0,3327855
2017-02-13,90.96,91.2,90.4,90.56,2562996
2017-02-14,91.84,91.92,90.8,91.04,2317946
2017-02-15,90.64,91.6,90.56,90.88,2451973
2017-02-16,91.52,91.6,90.16,91.28,1721550
2017-02-17,90.56,91.34,90.48,91.12,1726277
2017-02-21,93.04,93.12,92.08,92.32,3152678
2017-02-22,91.04,91.2,90.56,90.88,2315923
2017-02-23,92.88,93.2,91.96,92.24,2406822
2017-02-24,91.52,92.08,91.52,91.68,1415257
2017-02-27,92.48,92.52,91.6,91.76,1295308
2017-02-28,90.88,91.72,90.24,91.6,2112064
2017-03-01,92.08,92.4,91.2,91.2,1822317
2017-03-02,89.68,90.36,89.2,89.36,2716805
2017-03-03,89.52,90.64,89.44,90.32,1803198
2017-03-06,90.56,90.88,89.92,90.24,1953804
2017-03-07,91.04,91.12,90.08,90.16,1365942
2017-03-08,88.88,89.72,84.96,85.36,8220145
2017-03-09,84.56,84.72,82.56,84.24,6027041
2017-03-10,84.16,84.16,82.0,82.32,5452921
2017-03-13,82.32,82.72,81.76,82.24,5135005
2017-03-14,80.88,81.68,80.16,81.52,5459867
2017-03-15,82.48,83.28,81.92,83.04,4261844
2017-03-16,83.12,83.2,82.32,82.88,2803627
2017-03-17,83.36,83.44,82.56,82.64,2235461
2017-03-20,82.08,82.88,81.76,82.2,1720970
2017-03-21,82.4,82.64,80.56,80.88,3113156
2017-03-22,80.12,81.12,79.04,80.96,2805354
2017-03-23,80.32,80.56,79.92,80.08,2325138
2017-03-24,80.4,80.8,79.84,80.72,2014376
2017-03-27,79.44,80.36,79.04,80.32,2813026
2017-03-28,80.88,81.84,80.72,81.2,2226098
2017-03-29,81.44,83.2,81.36,82.96,2894439
2017-03-30,83.76,84.72,83.52,84.56,3571351
2017-03-31,84.16,85.28,84.08,85.12,2428824
2017-04-03,84.92,85.04,84.16,84.4,2099516
2017-04-04,85.04,85.92,84.72,85.68,3048204
2017-04-05,86.72,87.12,85.2,85.44,3623497
2017-04-06,86.56,87.04,86.4,86.88,2740116
2017-04-07,87.12,87.76,86.96,87.68,2401599
2017-04-10,88.56,89.12,88.32,89.12,2770809
2017-04-11,89.04,89.68,88.48,89.36,3068638
2017-04-12,89.92,90.08,88.64,88.88,3221624
2017-04-13,89.44,89.6,88.8,89.04,2171225
2017-04-17,89.04,89.2,88.32,88.48,1856672
2017-04-18,88.0,88.8,87.52,88.32,1812951
2017-04-19,88.24,88.4,84.16,84.96,6307877
2017-04-20,84.64,85.44,84.16,84.32,3669785
2017-04-21,84.4,84.4,82.0,82.56,4833106
2017-04-24,82.32,82.48,81.68,82.0,3479663
2017-04-25,81.84,83.04,81.44,82.88,2961783
2017-04-26,81.92,83.68,81.76,82.08,3350834
2017-04-27,81.04,82.08,80.32,81.92,4250501
2017-04-28,82.32,82.64,81.36,81.92,1991575
2017-05-01,81.52,81.71,80.96,81.2,2014541
2017-05-02,81.36,81.36,78.88,79.36,5518287
2017-05-03,79.68,80.04,78.88,79.44,4567546
2017-05-04,78.0,78.08,75.44,75.68,8780437
2017-05-05,75.76,77.76,75.76,77.28,4447757
2017-05-08,77.2,78.0,76.24,77.36,3817189
2017-05-09,77.12,77.36,75.84,76.56,2553771
2017-05-10,77.6,79.6,77.44,78.88,4174706
2017-05-11,79.92,80.32,79.2,79.52,2421522
2017-05-12,79.76,79.84,78.8,79.6,2429453
2017-05-15,82.16,82.24,81.04,81.36,4589065
2017-05-16,81.76,82.08,80.72,80.88,2103112
2017-05-17,81.52,82.32,80.76,81.52,3381716
2017-05-18,81.04,82.48,80.72,82.08,2661466
2017-05-19,83.16,83.92,83.04,83.84,3096031
2017-05-22,84.4,84.8,84.0,84.32,3061762
2017-05-23,84.64,85.2,84.32,85.12,3281371
2017-05-24,84.96,85.6,84.32,84.8,4148641
2017-05-25,84.0,84.64,80.08,80.32,10476620
2017-05-26,81.12,82.4,80.68,82.24,3928062
2017-05-30,81.36,82.38,81.04,81.92,1993852
2017-05-31,79.88,80.36,78.88,79.68,4164268
2017-06-01,80.08,81.28,79.28,79.28,3772664
2017-06-02,78.64,79.44,77.84,78.88,3842898
2017-06-05,77.76,78.52,77.44,78.4,3517088
2017-06-06,77.92,79.92,77.84,79.76,3296013
2017-06-07,78.72,79.04,75.52,75.68,7337354
2017-06-08,75.2,76.24,74.96,75.44,5105409
2017-06-09,75.52,76.36,75.28,75.92,3203089
2017-06-12,76.88,77.2,76.08,76.16,3184850
2017-06-13,76.08,76.96,75.28,76.8,3249593
2017-06-14,76.32,76.72,73.6,73.84,7585975
2017-06-15,73.76,73.92,73.28,73.44,3950817
2017-06-16,74.08,74.16,73.6,73.92,2675476
2017-06-19,74.16,74.4,72.88,72.96,3225290
2017-06-20,71.4,71.76,70.64,71.6,6079377
2017-06-21,71.76,72.72,69.2,69.68,7649775
2017-06-22,70.4,71.27,70.16,70.24,3949257
2017-06-23,70.4,71.12,70.0,70.88,3878555
2017-06-26,71.04,71.68,70.12,71.44,4657871
2017-06-27,71.92,73.12,71.84,72.8,3642501
2017-06-28,72.8,73.76,72.24,73.6,3671002
2017-06-29,74.16,74.72,73.44,73.68,3907374
2017-06-30,74.56,76.0,74.32,76.0,4084854
2017-07-03,76.4,77.04,76.32,76.96,2525099
2017-07-05,76.48,76.64,73.84,74.0,8522747
2017-07-06,75.52,76.48,74.32,74.48,5243976
2017-07-07,73.52,73.6,72.0,72.8,5411410
2017-07-10,72.32,73.76,72.16,73.04,3458051
2017-07-11,72.88,74.48,72.64,74.16,3079808
2017-07-12,75.68,76.4,74.16,74.64,4775159
2017-07-13,75.12,76.04,74.88,75.76,2572569
2017-07-14,76.24,76.88,75.84,76.72,3102542
2017-07-17,76.32,76.76,75.6,75.6,3129067
2017-07-18,76.8,76.88,75.76,76.32,3374098
2017-07-19,76.56,77.76,76.56,77.52,3197089
2017-07-20,78.16,78.24,76.64,76.88,2574187
2017-07-21,76.48,76.56,74.56,74.72,4846191
2017-07-24,75.76,76.12,75.52,76.0,2467069
2017-07-25,77.52,78.56,77.2,78.48,3451873
2017-07-26,79.2,80.08,78.4,79.68,4864782
2017-07-27,80.24,80.64,79.44,80.48,3371370
2017-07-28,80.72,81.6,80.64,81.36,4163495
2017-07-31,81.2,82.56,80.58,82.24,4068655
2017-08-01,81.36,81.44,79.2,80.72,5192458
2017-08-02,80.56,81.36,79.62,81.12,3381206
2017-08-03,81.68,81.8,79.92,80.16,2911001
2017-08-04,80.4,81.28,79.76,81.04,2203292
2017-08-07,80.16,80.96,79.52,80.8,2478185
2017-08-08,80.24,81.2,80.08,80.48,2929421
2017-08-09,80.96,81.24,80.32,81.2,2168329
2017-08-10,81.92,82.0,79.2,79.28,3117074
2017-08-11,79.04,80.2,78.64,79.92,1862525
2017-08-14,79.84,80.48,77.68,77.76,3157709
2017-08-15,77.28,78.08,77.04,78.0,2484475
2017-08-16,78.16,78.8,76.48,76.56,4711206
2017-08-17,76.32,77.32,76.16,76.96,1996349
2017-08-18,77.28,79.84,76.68,79.76,3808502
2017-08-21,78.96,79.28,77.12,77.68,3784874
2017-08-22,78.08,78.72,77.72,78.16,1781074
2017-08-23,78.08,79.2,77.84,79.04,2071544
2017-08-24,78.32,78.4,76.88,77.68,2270839
2017-08-25,77.6,78.24,77.52,78.0,1898440
2017-08-28,77.52,77.6,75.36,76.24,4060301
2017-08-29,75.84,76.0,74.72,75.68,2457627
2017-08-30,75.2,76.32,74.88,75.04,2361331
2017-08-31,75.92,77.52,75.92,77.04,3188714
2017-09-01,76.8,77.36,76.08,77.36,2001542
2017-09-05,79.28,80.0,79.12,79.36,3080535
2017-09-06,80.16,80.72,79.68,80.32,2578347
2017-09-07,79.84,80.48,79.68,80.24,2600595
2017-09-08,79.92,80.16,77.32,77.84,3009783
2017-09-11,77.32,78.88,76.9,78.56,2051394
2017-09-12,78.64,79.12,78.4,78.96,1771291
2017-09-13,79.36,80.56,79.12,80.56,2818121
2017-09-14,81.36,82.24,80.88,81.04,3195130
2017-09-15,81.52,81.72,81.12,81.6,2010551
2017-09-18,81.12,81.6,80.32,81.36,2366318
2017-09-19,81.76,81.92,80.4,80.88,1903976
2017-09-20,81.52,82.64,81.04,81.92,2876940
2017-09-21,81.44,82.08,81.01,82.0,1450416
2017-09-22,81.6,82.07,81.42,81.92,1635597
2017-09-25,82.72,84.48,82.72,84.4,3731020
2017-09-26,83.68,84.08,83.12,83.92,1798996
2017-09-27,84.16,84.44,83.48,84.16,2003318
2017-09-28,85.04,85.2,82.8,83.44,2335903
2017-09-29,83.12,83.68,82.88,83.44,1639652
2017-10-02,81.36,81.88,80.96,81.68,2215120
2017-10-03,81.68,82.0,81.28,81.44,1409857
2017-10-04,81.44,81.92,80.48,80.64,1634753
2017-10-05,81.12,82.8,81.04,82.0,1623424
2017-10-06,80.08,80.16,79.36,79.76,2938706
2017-10-09,80.24,80.48,79.68,80.0,1372032
2017-10-10,81.6,82.56,81.52,82.24,1938323
2017-10-11,82.48,82.96,81.77,82.88,1738041
2017-10-12,81.36,82.32,81.04,81.84,1902312
2017-10-13,83.04,83.2,82.32,82.96,2301486
2017-10-16,84.24,84.32,83.36,83.68,2005711
2017-10-17,83.76,84.24,82.65,83.92,2050643
2017-10-18,84.08,84.4,83.4,83.84,1682735
2017-10-19,82.72,83.35,82.56,82.8,1447386
2017-10-20,82.32,83.52,82.28,83.44,1498157
2017-10-23,83.76,83.92,82.96,83.36,1418269
2017-10-24,83.84,84.4,83.12,84.32,2296343
2017-10-25,83.84,84.16,83.36,83.84,2154123
2017-10-26,83.6,84.64,83.4,84.56,1918000
2017-10-27,84.48,86.8,84.4,86.72,3087376
2017-10-30,87.2,87.44,86.44,86.96,1573296
2017-10-31,86.8,87.68,86.64,87.44,1754144
2017-11-01,88.24,88.48,86.56,87.2,2644006
2017-11-02,87.2,88.04,86.97,87.92,1259915
2017-11-03,88.0,89.6,87.4,89.44,2356402
2017-11-06,89.52,92.54,89.36,92.08,3844270
2017-11-07,91.76,92.24,91.36,91.92,2236851
2017-11-08,91.52,93.04,90.64,91.28,4651823
2017-11-09,91.36,92.4,91.2,91.68,2460468
2017-11-10,91.84,92.16,90.88,91.36,1464124
2017-11-13,91.36,91.84,90.48,91.04,1737319
2017-11-14,90.8,90.88,88.64,89.04,2690818
2017-11-15,88.64,89.2,88.16,88.72,1722064
2017-11-16,88.56,89.36,88.24,88.56,1529004
2017-11-17,89.68,90.88,89.56,90.8,2048403
2017-11-20,90.16,90.32,89.2,90.24,1429745
2017-11-21,90.4,91.56,90.4,91.2,1529909
2017-11-22,92.4,92.96,91.76,92.8,2246159
2017-11-24,93.92,94.32,93.6,94.32,1174267
2017-11-27,93.2,93.4,92.08,92.72,1735756
2017-11-28,92.48,93.0,92.24,92.64,1013689
2017-11-29,92.64,93.28,90.84,91.76,2011713
2017-11-30,92.4,92.64,90.96,91.76,2227382
2017-12-01,93.2,94.24,92.8,93.36,1768145
2017-12-04,92.32,92.64,91.78,91.92,1523460
2017-12-05,91.76,92.68,91.68,92.32,1614296
2017-12-06,91.2,91.28,89.44,89.6,2423628
2017-12-07,90.16,90.88,90.07,90.64,1137923
