date,open,high,low,close,volume
2020-07-06,52.0,52.19,51.82,52.1,3712753
2020-07-07,51.68,51.83,51.28,51.3,2276225
2020-07-08,51.47,51.96,51.38,51.96,3924902
2020-07-09,51.89,51.9,50.84,51.21,5108218
2020-07-10,51.38,51.73,51.2,51.7,4658102
2020-06-29,50.2,50.45,49.91,50.35,3752984
2020-06-30,49.97,50.56,49.83,50.33,5765000
2020-07-01,50.37,50.82,50.31,50.71,5077817
2020-07-02,51.36,51.61,51.09,51.19,2989845
2017-01-03,48.01,48.13,47.94,48.1,3817363
2017-01-04,48.21,48.5,48.12,48.5,2786174
2017-01-05,48.58,49.0,48.58,48.94,5205968
2017-01-06,48.68,48.82,48.62,48.7,2808990
2017-01-09,48.41,48.59,48.32,48.53,2343569
2017-01-10,48.55,48.71,48.52,48.52,2667883
2017-01-11,48.41,48.81,48.32,48.77,4145740
2017-01-12,48.88,48.98,48.73,48.82,6744160
2017-01-13,49.03,49.09,48.89,49.03,2840169
2017-01-17,49.04,49.12,48.97,49.03,4648433
2017-01-18,48.88,49.0,48.73,48.83,2705009
2017-01-19,48.73,48.82,48.55,48.73,3644773
2017-01-20,48.84,49.03,48.83,49.0,3698040
2017-01-23,49.02,49.2,48.89,49.16,4433264
2017-01-24,49.14,49.34,49.1,49.27,2249408
2017-01-25,49.64,49.88,49.63,49.86,2420866
2017-01-26,49.65,49.7,49.46,49.54,2291346
2017-01-27,49.54,49.61,49.46,49.53,1349130
2017-01-30,49.04,49.15,48.89,49.12,2517706
2017-01-31,49.37,49.41,49.11,49.36,3646024
2017-02-01,49.64,49.64,49.36,49.51,3632280
2017-02-02,49.58,49.65,49.36,49.47,2448528
2017-02-03,49.62,49.76,49.55,49.65,1961446
2017-02-06,49.15,49.23,49.03,49.18,2345647
2017-02-07,49.07,49.22,49.07,49.2,2331558
2017-02-08,49.09,49.3,48.99,49.29,1506206
2017-02-09,49.44,49.57,49.37,49.46,3598009
2017-02-10,49.3,49.53,49.27,49.47,2778907
2017-02-13,49.74,49.76,49.59,49.65,2474757
2017-02-14,49.63,49.69,49.44,49.66,2379043
