date,open,high,low,close,volume
2020-06-15,150.56,156.16,149.85,155.62,4860192
2020-06-16,160.12,160.12,155.91,158.61,4583642
2020-06-17,159.14,159.21,157.41,157.84,3702208
2020-06-18,156.94,158.3,156.43,157.97,2797839
2020-06-19,159.86,159.88,156.29,157.08,3824932
2020-06-08,162.9,164.2,162.32,164.1,5851275
2020-06-09,162.65,163.48,161.88,162.6,3200448
2020-06-10,162.81,163.25,161.01,161.39,4292883
2020-06-11,156.91,157.7,151.63,151.87,12504612
2020-06-12,156.49,156.49,150.83,153.97,6882084
2017-01-03,116.15,116.55,115.49,116.2,2731646
2017-01-04,116.47,117.19,116.42,117.09,3228738
2017-01-05,116.95,117.09,116.4,116.86,2604038
2017-01-06,117.02,117.52,116.64,117.23,2317806
2017-01-09,117.1,117.14,116.73,116.78,2461680
2017-01-10,116.76,117.36,116.62,116.87,2055428
2017-01-11,116.91,117.24,116.49,117.24,2751838
2017-01-12,117.04,117.04,116.01,116.93,2342402
2017-01-13,116.99,117.4,116.98,117.22,2031780
2017-01-17,116.86,117.06,116.47,116.7,2583709
2017-01-18,116.8,117.0,116.48,116.97,1901752
2017-01-19,117.03,117.14,116.24,116.51,1899267
2017-01-20,116.84,117.23,116.59,116.91,2636114
2017-01-23,116.75,116.97,116.17,116.6,1938950
2017-01-24,116.82,117.74,116.74,117.51,2165876
2017-01-25,118.02,118.56,117.94,118.52,2427847
2017-01-26,118.56,118.62,118.23,118.35,2178512
2017-01-27,118.45,118.48,118.02,118.16,1479541
2017-01-30,117.73,117.8,116.68,117.36,3006131
2017-01-31,117.0,117.46,116.73,117.46,3309743
2017-02-01,117.86,118.04,117.07,117.45,2614514
2017-02-02,117.21,117.72,117.02,117.53,1745302
2017-02-03,117.99,118.52,117.92,118.42,1837627
2017-02-06,118.26,118.41,117.94,118.14,1598846
2017-02-07,118.43,118.53,117.96,118.13,3366070
2017-02-08,117.92,118.32,117.69,118.26,1835984
2017-02-09,118.42,119.21,118.38,119.04,1635319
2017-02-10,119.29,119.7,119.21,119.54,1837821
2017-02-13,119.92,120.33,119.87,120.14,1985570
2017-02-14,120.1,120.63,119.85,120.58,2051179
2017-02-15,120.57,121.35,120.45,121.24,1998213
2017-02-16,121.25,121.37,120.64,121.13,2034805
2017-02-17,120.66,121.31,120.66,121.31,1948471
2017-02-21,121.55,122.13,121.39,122.03,2423039
2017-02-22,121.82,122.03,121.68,121.87,1973959
2017-02-23,122.21,122.23,121.32,121.78,2024945
2017-02-24,121.38,121.99,121.24,121.98,2962944
2017-02-27,121.92,122.36,121.74,122.25,2625148
2017-02-28,122.18,122.18,121.61,121.8,2231827
2017-03-01,122.81,123.73,122.65,123.44,2874677
2017-03-02,123.42,123.42,122.61,122.65,2421598
2017-03-03,122.63,122.8,122.33,122.75,1651644
2017-03-06,122.48,122.48,121.9,122.27,1716343
2017-03-07,122.21,122.29,121.75,121.88,1612658
2017-03-08,121.99,122.18,121.47,121.54,2374579
2017-03-09,121.6,121.89,121.02,121.6,3852842
2017-03-10,122.19,122.25,121.46,122.04,2987473
2017-03-13,122.06,122.16,121.86,122.13,2003857
2017-03-14,121.87,121.87,121.24,121.69,2269587
2017-03-15,121.98,123.04,121.89,122.79,1892226
2017-03-16,122.96,123.0,122.43,122.64,2050110
2017-03-17,122.84,122.88,122.45,122.57,1973987
2017-03-20,122.51,122.62,122.07,122.27,3239871
2017-03-21,122.69,122.72,120.44,120.57,3355145
2017-03-22,120.48,120.91,120.1,120.73,2896603
2017-03-23,120.66,121.39,120.47,120.69,2257114
2017-03-24,120.42,120.74,119.66,120.16,2305692
2017-03-27,119.18,120.19,118.89,120.02,2927702
2017-03-28,119.96,121.14,119.78,120.86,2699241
2017-03-29,120.88,121.23,120.58,121.08,3196549
2017-03-30,121.14,121.62,120.99,121.53,2076852
2017-03-31,121.42,121.72,121.26,121.32,1815860
2017-04-03,121.45,121.5,120.33,121.02,3103060
2017-04-04,120.89,121.11,120.64,121.08,2462645
2017-04-05,121.49,122.02,120.44,120.59,3905750
2017-04-06,120.69,121.26,120.38,120.97,2056068
2017-04-07,120.84,121.29,120.59,120.88,1997440
2017-04-10,121.04,121.51,120.7,121.03,1669475
2017-04-11,120.87,121.0,120.06,120.99,2895455
2017-04-12,120.88,120.99,120.23,120.37,1967393
2017-04-13,120.15,120.56,119.55,119.55,2852219
2017-04-17,119.88,120.61,119.68,120.59,3198909
2017-04-18,120.2,120.56,119.85,120.33,1865766
2017-04-19,120.72,120.92,120.08,120.23,1807017
2017-04-20,120.59,121.43,120.37,121.22,1783429
2017-04-21,121.21,121.21,120.61,120.83,2006549
2017-04-24,122.17,122.28,121.88,122.11,2178763
2017-04-25,122.56,123.09,122.52,122.87,2145193
2017-04-26,122.9,123.45,122.85,122.9,3080062
2017-04-27,123.12,123.21,122.69,123.02,1868179
2017-04-28,123.16,123.21,122.55,122.61,1795827
2017-05-01,122.93,123.19,122.62,122.93,1983507
2017-05-02,123.09,123.25,122.7,122.93,1756917
2017-05-03,122.59,122.78,122.28,122.63,3690976
2017-05-04,122.83,122.83,122.16,122.72,1564459
2017-05-05,122.95,123.33,122.68,123.33,2057663
2017-05-08,123.36,123.45,122.9,123.14,2150873
2017-05-09,123.36,123.43,122.85,123.1,1846216
2017-05-10,123.09,123.38,122.93,123.37,1468633
2017-05-11,123.02,123.13,122.33,123.01,1500018
2017-05-12,122.91,122.91,122.59,122.77,1235304
2017-05-15,123.07,123.59,123.04,123.43,3097149
2017-05-16,123.63,123.65,123.07,123.36,2128403
2017-05-17,122.31,122.56,121.07,121.14,3703517
2017-05-18,120.94,122.02,120.85,121.5,2883455
2017-05-19,121.91,122.77,121.82,122.37,2144173
2017-05-22,122.67,123.1,122.64,123.02,1810055
2017-05-23,123.25,123.39,122.95,123.23,1796602
2017-05-24,123.44,123.66,123.23,123.59,1553843
2017-05-25,123.9,124.27,123.78,124.11,1492278
2017-05-26,124.0,124.15,123.93,124.09,1320846
2017-05-30,123.87,124.06,123.71,123.89,1348311
2017-05-31,124.01,124.09,123.31,123.85,2043851
2017-06-01,124.17,125.0,123.96,125.0,1926671
2017-06-02,125.09,125.58,124.87,125.41,2839385
2017-06-05,125.42,125.5,125.22,125.25,1494246
2017-06-06,124.96,125.29,124.78,124.93,2985175
2017-06-07,125.12,125.24,124.68,125.07,1253346
2017-06-08,125.12,125.53,124.88,125.29,1827022
2017-06-09,125.48,126.02,124.45,125.19,2585550
2017-06-12,125.06,125.2,124.63,125.17,1973626
2017-06-13,125.52,125.84,125.32,125.79,1567671
2017-06-14,126.0,126.02,125.1,125.61,2584291
2017-06-15,124.77,125.34,124.62,125.33,2483525
2017-06-16,125.42,125.53,124.74,125.25,2018198
2017-06-19,125.67,126.35,125.67,126.27,1816545
2017-06-20,126.16,126.17,125.4,125.41,1359474
2017-06-21,125.11,125.2,124.51,124.69,3364563
2017-06-22,124.78,125.08,124.59,124.74,1639327
2017-06-23,124.81,125.19,124.58,125.05,1829284
2017-06-26,125.45,125.69,124.95,125.14,2605865
2017-06-27,125.09,125.23,124.1,124.11,2386257
2017-06-28,124.77,125.41,124.59,125.28,2444525
2017-06-29,125.46,125.48,123.48,124.28,2354612
2017-06-30,124.76,124.9,124.3,124.45,1910033
2017-07-03,124.99,125.3,124.75,124.75,1645734
2017-07-05,124.98,125.02,124.39,124.89,2167500
2017-07-06,124.44,124.55,123.56,123.66,1981844
2017-07-07,123.96,124.62,123.9,124.52,1710113
2017-07-10,124.5,124.83,124.36,124.61,1404761
2017-07-11,124.53,124.73,123.83,124.58,1560180
2017-07-12,125.2,125.63,125.1,125.47,1993253
2017-07-13,125.56,125.76,125.31,125.67,1514053
2017-07-14,125.77,126.5,125.65,126.23,1410947
2017-07-17,126.28,126.45,126.12,126.23,1798467
2017-07-18,126.11,126.33,125.78,126.31,2010037
2017-07-19,126.51,127.05,126.51,127.04,1276392
2017-07-20,127.28,127.28,126.8,127.12,1463843
2017-07-21,126.81,126.99,126.64,126.95,1819509
2017-07-24,126.91,127.06,126.69,126.96,4897687
2017-07-25,127.51,127.57,127.2,127.38,1709368
2017-07-26,127.55,127.6,127.17,127.29,1624423
2017-07-27,127.58,127.58,126.31,127.07,1708123
2017-07-28,126.78,126.96,126.54,126.86,1468420
2017-07-31,127.11,127.18,126.62,126.79,1496716
2017-08-01,127.18,127.21,126.8,127.05,1790596
2017-08-02,127.14,127.14,126.37,126.93,2929534
2017-08-03,126.9,126.91,126.52,126.64,2582505
2017-08-04,127.0,127.07,126.7,126.91,972373
2017-08-07,127.06,127.18,126.88,127.16,1114756
2017-08-08,127.05,127.72,126.61,126.81,1360306
2017-08-09,126.35,126.69,126.17,126.67,1679930
2017-08-10,126.14,126.21,124.8,124.81,2455308
2017-08-11,124.94,125.33,124.8,125.04,2039164
2017-08-14,125.8,126.43,125.61,126.32,1467446
2017-08-15,126.61,126.63,126.08,126.2,1523041
2017-08-16,126.5,126.8,126.23,126.43,1379829
2017-08-17,126.09,126.28,124.42,124.42,3440515
2017-08-18,124.48,124.94,123.95,124.21,2836476
2017-08-21,124.22,124.48,123.79,124.39,1627396
2017-08-22,124.73,125.75,124.56,125.64,2090008
2017-08-23,125.07,125.51,125.02,125.26,1268854
2017-08-24,125.5,125.63,124.94,125.06,1381941
2017-08-25,125.42,125.85,125.24,125.36,1158233
2017-08-28,125.66,125.66,125.11,125.41,1788224
2017-08-29,124.59,125.62,124.52,125.46,1312403
2017-08-30,125.46,126.28,125.38,126.12,1730700
2017-08-31,126.46,127.14,126.46,126.98,3384425
2017-09-01,127.23,127.46,127.12,127.27,2122830
2017-09-05,126.92,127.1,125.69,126.29,2318980
2017-09-06,126.69,126.86,126.32,126.64,1449904
2017-09-07,126.96,126.96,126.32,126.58,1218674
2017-09-08,126.35,126.74,126.27,126.49,1206255
2017-09-11,127.15,127.91,127.15,127.85,1346941
2017-09-12,128.04,128.34,128.0,128.34,2264212
2017-09-13,128.23,128.41,128.12,128.4,1692523
2017-09-14,128.23,128.48,128.07,128.36,1493235
2017-09-15,128.31,128.62,128.2,128.6,1531454
2017-09-18,128.85,129.1,128.69,128.91,1792347
2017-09-19,129.06,129.1,128.85,128.97,1241660
2017-09-20,129.1,129.21,128.6,129.18,1729440
2017-09-21,129.12,129.13,128.72,128.82,1730813
2017-09-22,128.14,128.44,127.99,128.37,1601623
2017-09-25,128.24,128.43,127.69,128.16,2185979
2017-09-26,128.35,128.51,128.11,128.19,1851553
2017-09-27,128.84,129.1,128.17,128.89,2374427
2017-09-28,128.82,129.13,128.66,129.1,1484847
2017-09-29,129.02,129.56,129.01,129.52,1720608
2017-10-02,129.64,130.2,129.55,130.2,2678088
2017-10-03,130.31,130.5,130.13,130.46,1825142
2017-10-04,130.45,130.78,130.3,130.59,1495730
2017-10-05,130.73,131.34,130.72,131.28,2387491
2017-10-06,131.06,131.23,130.91,131.19,1635094
