date,open,high,low,close,volume
2020-05-18,38.45,38.82,38.2,38.52,6015806
2020-05-19,38.6,38.96,37.95,38.04,4138029
2020-05-20,38.8,38.86,38.03,38.24,3977539
2020-05-21,38.33,39.27,38.18,39.02,6565633
2020-05-22,39.02,39.23,38.66,39.18,4383209
2020-05-15,35.91,37.21,35.71,36.95,5720818
2020-05-11,37.85,38.24,37.38,37.98,4374013
2020-05-12,38.14,38.32,36.95,37.0,5053042
2020-05-13,36.91,37.11,35.38,36.04,6793510
2020-05-14,35.46,36.27,34.69,36.22,5350812
2020-05-04,35.1,35.91,34.73,35.85,5046390
2020-05-05,36.58,37.15,36.12,36.21,4667673
2020-05-06,36.47,36.75,35.98,36.31,5450302
2020-05-07,36.73,37.13,36.43,36.53,3327816
2020-05-08,37.08,38.15,36.88,38.03,5572425
2020-04-30,37.39,37.52,36.51,36.68,7751726
2020-05-01,35.77,36.13,35.03,35.66,7308096
2020-04-29,37.88,38.43,37.43,37.92,5507152
2020-04-28,37.33,37.68,36.19,36.82,7894506
2017-01-03,44.35,44.69,43.94,44.3,8374684
2017-01-04,44.49,45.34,44.33,45.17,8102339
2017-01-05,44.21,44.41,43.67,44.02,9777885
2017-01-06,44.1,44.15,43.7,43.71,5322010
2017-01-09,43.74,44.0,43.63,43.82,5008774
2017-01-10,43.83,44.58,43.76,44.33,7495698
2017-01-11,44.3,44.45,43.7,44.05,7174183
2017-01-12,43.94,44.12,43.51,43.97,6807490
2017-01-13,44.04,44.36,43.94,44.01,3541308
2017-01-17,44.55,45.05,44.15,44.36,12339981
2017-01-18,44.04,44.44,43.75,44.32,6454396
2017-01-19,44.29,44.3,43.35,43.52,6840828
2017-01-20,43.75,43.89,43.2,43.43,3954127
2017-01-23,43.21,43.42,42.94,43.07,3045088
2017-01-24,43.09,43.69,43.09,43.64,2946001
2017-01-25,43.87,44.12,43.63,43.82,3114513
2017-01-26,43.83,44.07,43.27,43.27,6249736
2017-01-27,43.38,43.4,42.6,42.69,10077370
2017-01-30,42.53,42.83,42.11,42.83,7698012
2017-01-31,42.34,43.28,42.27,43.2,10784249
2017-02-01,43.2,43.31,42.67,42.78,6963899
2017-02-02,42.83,43.25,42.52,42.72,6318709
2017-02-03,42.65,43.55,42.65,43.03,10131609
2017-02-06,42.94,43.12,42.51,42.57,5159181
2017-02-07,42.71,42.82,42.33,42.34,2252764
2017-02-08,42.41,43.06,42.23,43.0,8455022
2017-02-09,42.99,43.9,42.8,43.74,8515006
2017-02-10,43.93,44.15,43.56,44.04,13133413
2017-02-13,44.18,44.25,43.5,43.5,5179259
2017-02-14,43.43,43.98,43.4,43.95,8154309
2017-02-15,43.9,44.37,43.84,44.35,6852268
2017-02-16,44.18,44.29,43.36,43.43,6745086
2017-02-17,43.45,43.82,43.3,43.82,6020469
2017-02-21,44.15,44.39,44.0,44.31,5765874
2017-02-22,44.38,44.44,44.01,44.13,6287874
2017-02-23,44.2,44.2,43.04,43.1,10917999
2017-02-24,42.95,44.2,42.87,43.72,18104347
2017-02-27,43.64,44.04,43.48,44.03,7622788
2017-02-28,43.71,43.71,42.81,42.93,7482982
2017-03-01,43.35,43.44,42.47,42.89,8942299
