date,open,high,low,close,volume
2017-01-03,49.44,49.65,49.17,49.44,56900
2017-01-04,49.51,50.01,49.51,50.01,116236
2017-01-05,49.95,50.15,49.8,49.98,81040
2017-01-06,50.08,50.36,49.93,50.22,75019
2017-01-09,50.17,50.21,50.03,50.14,54492
2017-01-10,50.14,50.34,50.04,50.15,107809
2017-01-11,50.18,50.26,50.01,50.26,67676
2017-01-12,50.15,50.18,49.77,50.15,41363
2017-01-13,49.99,50.34,49.99,50.29,67018
2017-01-17,50.15,50.3,50.05,50.16,36138
2017-01-18,50.13,50.33,50.13,50.29,63711
2017-01-19,50.31,50.41,50.05,50.21,102618
2017-01-20,50.36,50.5,50.24,50.38,62888
2017-01-23,50.3,50.37,50.11,50.27,29834
2017-01-24,50.42,50.78,50.38,50.76,38801
2017-01-25,50.95,51.02,50.84,51.0,213740
2017-01-26,51.0,51.01,50.85,50.88,44661
2017-01-27,50.91,51.01,50.84,50.95,41121
2017-01-30,50.8,50.8,50.39,50.69,80470
2017-01-31,50.56,50.73,50.46,50.71,380086
2017-02-01,50.85,50.91,50.41,50.57,58213
2017-02-02,50.53,50.81,50.53,50.76,50757
2017-02-03,50.94,51.13,50.94,51.13,33096
2017-02-06,51.08,51.1,50.92,51.03,20372
2017-02-07,51.06,51.12,50.93,50.96,48801
2017-02-08,50.75,51.18,50.75,51.12,64028
2017-02-09,51.19,51.51,51.19,51.4,27212
2017-02-10,51.6,51.66,51.49,51.57,44882
2017-02-13,51.66,51.85,51.66,51.78,24892
2017-02-14,51.72,51.87,51.61,51.82,39378
2017-02-15,51.81,52.05,51.74,52.02,34623
2017-02-16,52.03,52.23,51.8,51.95,28859
2017-02-17,51.84,52.02,51.75,52.02,45905
2017-02-21,52.19,52.38,52.18,52.37,39913
2017-02-22,52.28,52.39,52.2,52.29,88434
2017-02-23,52.4,52.4,51.93,52.12,41463
2017-02-24,51.89,52.38,51.89,52.36,18229
2017-02-27,52.4,52.49,52.3,52.49,69665
2017-02-28,52.44,52.47,52.26,52.31,30487
2017-03-01,52.72,53.04,52.67,52.99,33371
2017-03-02,52.84,52.85,52.55,52.57,203222
2017-03-03,52.58,52.7,52.45,52.63,40336
2017-03-06,52.48,52.52,52.3,52.48,37813
2017-03-07,52.4,52.5,52.28,52.28,22298
2017-03-08,52.3,52.39,52.11,52.14,67510
2017-03-09,52.16,52.29,51.98,52.18,18455
2017-03-10,52.41,52.47,52.19,52.42,29670
2017-03-13,52.41,52.69,52.41,52.69,21680
2017-03-14,52.54,52.54,52.27,52.42,38566
2017-03-15,52.57,53.03,52.57,52.96,33191
2017-03-16,52.89,52.98,52.69,52.75,27940
2017-03-17,52.92,53.05,52.87,52.98,33526
2017-03-20,52.78,52.96,52.71,52.77,20967
2017-03-21,52.92,53.14,52.12,52.15,28621
2017-03-22,52.16,52.4,52.09,52.39,26482
2017-03-23,52.32,52.57,52.21,52.25,30829
2017-03-24,52.35,52.53,52.08,52.33,44569
2017-03-27,51.79,52.22,51.79,52.14,30294
2017-03-28,52.2,52.54,52.09,52.46,45189
2017-03-29,52.42,52.58,52.34,52.58,19147
2017-03-30,52.56,52.73,52.48,52.71,38108
2017-03-31,52.64,52.75,52.62,52.64,38963
2017-04-03,52.73,52.73,52.2,52.52,144515
2017-04-04,52.4,52.5,52.3,52.41,297811
2017-04-05,52.59,52.86,52.25,52.31,42342
2017-04-06,52.35,52.59,52.35,52.49,34628
2017-04-07,52.53,52.63,52.38,52.51,58428
2017-04-10,52.54,52.68,52.29,52.37,48860
2017-04-11,52.26,52.33,51.84,52.28,33483
2017-04-12,52.23,52.3,51.91,51.96,56836
2017-04-13,51.86,52.14,51.63,51.63,42632
2017-04-17,51.73,52.0,51.63,51.99,71859
2017-04-18,51.81,51.98,51.64,51.89,70821
2017-04-19,52.16,52.34,52.02,52.08,27892
2017-04-20,52.24,52.66,52.23,52.64,24289
2017-04-21,52.62,52.63,52.3,52.47,53667
2017-04-24,53.13,53.25,53.07,53.22,23602
2017-04-25,53.41,53.62,53.41,53.57,27098
2017-04-26,53.54,53.78,53.54,53.56,20859
2017-04-27,53.66,53.77,53.47,53.68,29668
