date,open,high,low,close,volume
2020-02-13,25.04,25.05,24.82,24.82,300
2020-02-14,24.76,24.8,24.7,24.8,6912
2020-02-18,26.69,26.69,24.32,24.41,5813
2020-02-19,24.68,24.8,24.68,24.8,1662
2020-02-20,24.6,24.72,24.59,24.59,691
2020-02-21,24.49,24.49,24.3,24.3,4502
2020-02-24,23.15,23.29,22.97,22.97,16680
2020-02-25,22.39,22.39,22.15,22.15,1629
2020-02-26,22.08,22.31,21.32,21.37,13721
2020-02-27,21.32,21.32,20.52,20.54,4119
2020-02-28,20.01,20.48,20.0,20.42,2442
2020-03-02,20.5,20.55,20.34,20.55,906
2020-03-03,20.52,20.52,20.26,20.26,15559
2020-03-04,20.5,20.79,20.3,20.78,5705
2020-03-05,20.3,20.3,19.56,19.7,11722
2020-03-06,19.42,19.48,19.14,19.3,2795
2020-03-09,19.0,19.0,17.63,17.71,8613
2020-03-10,18.49,18.49,17.82,18.33,1317
2020-03-11,17.86,17.86,16.73,16.95,22638
2020-03-12,16.01,16.32,15.11,15.16,8297
2020-03-13,15.69,15.69,15.0,15.21,19361
2020-03-16,13.65,14.18,13.54,13.89,10971
2020-03-17,13.43,13.59,13.18,13.46,14230
2020-03-18,12.25,12.44,11.24,11.72,9800
2020-03-19,11.26,12.42,11.26,12.29,66759
2020-03-20,12.89,13.21,12.2,12.22,21328
2020-03-23,12.4,12.45,11.83,12.44,13755
2020-03-24,13.45,13.88,13.41,13.88,8285
2020-03-25,14.4,15.06,14.31,14.72,10129
2020-03-26,14.83,15.39,14.75,15.29,10856
2020-03-27,14.7,14.7,14.31,14.48,3355
2020-03-30,14.4,14.62,13.78,14.1,10482
2020-03-31,14.28,14.64,14.19,14.3,3131
2020-04-01,14.0,14.08,13.46,13.46,17089
2020-04-02,13.39,13.49,13.05,13.17,8053
2020-04-03,12.82,12.87,12.74,12.87,7466
2020-04-06,13.58,14.1,13.58,14.1,9939
2020-04-07,14.96,15.18,14.54,14.56,18069
2020-04-08,14.81,15.22,14.81,15.11,3858
2020-04-09,15.7,16.12,15.66,15.75,16547
2020-04-13,15.5,15.54,15.07,15.42,8220
2020-04-14,15.7,15.92,15.5,15.61,4469
2020-04-15,15.29,15.36,14.8,15.31,10976
2020-04-16,15.08,15.17,14.92,15.05,5810
2020-04-17,15.68,15.72,15.41,15.61,8138
2020-04-20,15.53,15.62,15.35,15.44,7504
2020-04-21,15.75,15.75,14.67,14.84,4614
2020-04-22,15.05,15.13,14.99,15.1,5575
2020-04-23,15.09,15.42,15.09,15.17,9591
2020-04-24,15.26,16.03,15.17,15.38,9797
2020-04-27,15.63,15.95,15.58,15.9,17131
2020-04-28,16.39,16.4,16.05,16.21,20328
2020-04-29,16.61,16.94,16.61,16.85,15912
2020-04-30,16.81,16.87,16.43,16.56,10919
2020-05-01,16.17,16.17,15.26,15.78,8490
2020-05-04,15.6,15.6,15.27,15.43,5453
2020-05-05,15.65,15.69,15.4,15.4,5447
2020-05-06,15.37,15.37,15.11,15.19,6007
2020-05-07,15.74,15.95,15.73,15.92,9686
2020-05-08,16.21,16.4,16.2,16.37,7254
2020-05-11,16.42,16.42,16.19,16.19,10176
2020-05-12,16.03,16.27,15.93,15.93,9007
2020-05-13,15.76,15.76,15.16,15.42,10209
2020-05-14,15.03,15.22,14.62,15.22,3334
2020-05-15,15.11,15.28,15.09,15.24,2145
2020-05-18,15.88,16.72,15.88,16.72,20195
2020-05-19,16.68,17.09,16.62,16.76,14908
2020-05-20,18.22,18.22,17.3,17.41,13953
2020-05-21,17.53,17.61,17.38,17.52,149894
2020-05-22,17.44,17.56,17.33,17.55,12541
