date,open,high,low,close,volume
2017-01-03,14.8,14.92,14.8,14.92,1179
2017-01-04,14.8,14.8,14.8,14.8,3784
2017-01-05,14.8,14.85,14.8,14.85,18799
2017-01-06,14.9,14.95,14.9,14.9,40772
2017-01-09,0.0,0.0,0.0,14.9,0
2017-01-10,14.9,15.05,14.9,14.95,12989
2017-01-11,0.0,0.0,0.0,14.95,0
2017-01-12,0.0,0.0,0.0,14.95,0
2017-01-13,14.92,15.05,14.91,15.05,26460
2017-01-17,15.05,15.05,15.0,15.05,4000
2017-01-18,15.0,15.1,15.0,15.1,17900
2017-01-19,15.15,15.15,15.15,15.15,100
2017-01-20,15.15,15.15,15.12,15.12,3500
2017-01-23,15.2,15.23,15.2,15.23,1086
2017-01-24,15.25,15.4,15.25,15.4,4270
2017-01-25,15.45,15.6,15.45,15.6,4470
2017-01-26,0.0,0.0,0.0,15.6,0
2017-01-27,15.7,15.7,15.7,15.7,2600
2017-01-30,15.8,15.9,15.8,15.9,2225
2017-01-31,15.95,16.1,15.95,16.0,1600
2017-02-01,16.1,16.13,16.05,16.05,2500
2017-02-02,0.0,0.0,0.0,16.05,0
2017-02-03,16.1,16.1,16.1,16.1,100
2017-02-06,16.1,16.1,16.1,16.1,550
2017-02-07,0.0,0.0,0.0,16.1,0
2017-02-08,16.1,16.1,16.05,16.1,2524
2017-02-09,16.15,16.15,16.15,16.15,600
2017-02-10,0.0,0.0,0.0,16.15,5
2017-02-13,16.01,16.2,16.01,16.2,4481
2017-02-14,16.25,16.25,16.25,16.25,225
2017-02-15,16.2,16.2,16.2,16.2,1000
2017-02-16,0.0,0.0,0.0,16.2,0
2017-02-17,0.0,0.0,0.0,16.2,0
2017-02-21,16.25,16.3,16.25,16.3,475
2017-02-22,16.35,16.35,16.35,16.35,100
2017-02-23,0.0,0.0,0.0,16.35,0
2017-02-24,16.45,16.45,16.29,16.3,1450
2017-02-27,16.4,16.45,16.4,16.45,720
2017-02-28,0.0,0.0,0.0,16.45,0
2017-03-01,16.6,16.7,16.6,16.7,4935
2017-03-02,16.6,16.6,16.6,16.6,1639
2017-03-03,16.6,16.6,16.6,16.6,1500
2017-03-06,16.6,16.6,16.4,16.4,3466
2017-03-07,0.0,0.0,0.0,16.4,0
2017-03-08,16.4,16.4,16.4,16.4,421
2017-03-09,16.4,16.4,16.4,16.4,600
2017-03-10,16.6,16.6,16.6,16.6,500
2017-03-13,16.6,16.6,16.6,16.6,500
2017-03-14,0.0,0.0,0.0,16.6,0
2017-03-15,16.35,16.35,16.25,16.25,1000
2017-03-16,0.0,0.0,0.0,16.25,0
2017-03-17,16.5,16.75,16.5,16.75,716
2017-03-20,16.7,16.76,16.7,16.75,5354
2017-03-21,16.3,16.4,16.3,16.4,1855
2017-03-22,16.3,16.3,16.2,16.2,1200
2017-03-23,16.25,16.3,16.25,16.3,4100
2017-03-24,16.3,16.3,16.25,16.3,5585
2017-03-27,16.27,16.27,16.25,16.25,1000
2017-03-28,0.0,0.0,0.0,16.25,0
2017-03-29,16.25,16.25,16.25,16.25,4000
2017-03-30,16.4,16.4,16.4,16.4,1033
2017-03-31,0.0,0.0,0.0,16.4,0
2017-04-03,0.0,0.0,0.0,16.4,7
2017-04-04,16.4,16.43,16.4,16.4,3097
2017-04-05,16.4,16.6,16.4,16.6,5629
2017-04-06,0.0,0.0,0.0,16.6,0
2017-04-07,0.0,0.0,0.0,16.6,0
2017-04-10,16.35,16.35,16.35,16.35,1500
2017-04-11,0.0,0.0,0.0,16.35,0
2017-04-12,0.0,0.0,0.0,16.35,0
2017-04-13,16.7,16.7,16.7,16.7,100
2017-04-17,16.5,16.5,16.35,16.4,4300
2017-04-18,16.35,16.5,16.35,16.5,2399
2017-04-19,16.5,16.5,16.5,16.5,3805
2017-04-20,0.0,0.0,0.0,16.5,0
2017-04-21,16.55,16.55,16.55,16.55,100
2017-04-24,16.65,16.9,16.65,16.8,2439
2017-04-25,0.0,0.0,0.0,16.8,0
2017-04-26,0.0,0.0,0.0,16.8,0
2017-04-27,0.0,0.0,0.0,16.8,0
2017-04-28,0.0,0.0,0.0,16.8,0
2017-05-01,16.5,16.7,16.45,16.7,49954
2017-05-02,0.0,0.0,0.0,16.7,0
2017-05-03,0.0,0.0,0.0,16.7,1
2017-05-04,0.0,0.0,0.0,16.7,0
2017-05-05,0.0,0.0,0.0,16.7,0
2017-05-08,0.0,0.0,0.0,16.7,0
2017-05-09,16.8,17.0,16.8,17.0,32469
2017-05-10,17.2,17.2,17.2,17.2,100
2017-05-11,17.2,17.2,17.0,17.0,374
2017-05-12,0.0,0.0,0.0,17.0,0
2017-05-15,17.0,17.1,17.0,17.1,335
2017-05-16,17.1,17.1,17.1,17.1,600
2017-05-17,17.05,17.05,17.05,17.05,43960
2017-05-18,17.0,17.05,17.0,17.05,8528
2017-05-19,0.0,0.0,0.0,17.05,0
2017-05-22,0.0,0.0,0.0,17.05,0
2017-05-23,0.0,0.0,0.0,17.05,0
2017-05-24,17.1,17.1,17.0,17.0,2068
2017-05-25,0.0,0.0,0.0,17.0,0
2017-05-26,0.0,0.0,0.0,17.0,0
2017-05-30,17.0,17.0,17.0,17.0,1001
2017-05-31,17.0,17.15,17.0,17.15,15790
2017-06-01,0.0,0.0,0.0,17.15,0
2017-06-02,17.15,17.15,17.05,17.05,20740
2017-06-05,17.05,17.2,17.05,17.2,1130
2017-06-06,17.1,17.1,17.1,17.1,6000
2017-06-07,0.0,0.0,0.0,17.1,0
2017-06-08,17.05,17.25,17.05,17.25,27709
2017-06-09,17.3,17.35,17.0,17.3,5652
2017-06-12,0.0,0.0,0.0,17.3,22
2017-06-13,17.0,17.0,17.0,17.0,4033
2017-06-14,17.05,17.05,17.05,17.05,173
2017-06-15,0.0,0.0,0.0,17.05,0
2017-06-16,17.0,17.0,17.0,17.0,3509
2017-06-19,0.0,0.0,0.0,17.0,1
2017-06-20,17.0,17.0,17.0,17.0,2902
2017-06-21,0.0,0.0,0.0,17.0,0
2017-06-22,0.0,0.0,0.0,17.0,73
2017-06-23,16.95,16.95,16.95,16.95,425
2017-06-26,16.95,16.95,16.9,16.9,2100
2017-06-27,17.0,17.45,17.0,17.45,1201
2017-06-28,0.0,0.0,0.0,17.45,0
2017-06-29,17.35,17.35,17.0,17.35,1409
2017-06-30,17.0,17.45,17.0,17.45,888
2017-07-03,17.45,17.45,17.45,17.45,225
2017-07-05,17.25,17.4,17.25,17.3,5193
2017-07-06,0.0,0.0,0.0,17.3,0
2017-07-07,17.0,17.15,17.0,17.15,4150
2017-07-10,0.0,0.0,0.0,17.15,0
2017-07-11,17.15,17.15,17.15,17.15,101
2017-07-12,17.0,17.1,17.0,17.1,800
2017-07-13,0.0,0.0,0.0,17.1,2
2017-07-14,0.0,0.0,0.0,17.1,10000
2017-07-17,0.0,0.0,0.0,17.1,0
2017-07-18,0.0,0.0,0.0,17.1,0
2017-07-19,0.0,0.0,0.0,17.1,0
2017-07-20,0.0,0.0,0.0,17.1,0
2017-07-21,17.05,17.05,17.0,17.0,3540
2017-07-24,17.05,17.05,17.0,17.05,2500
2017-07-25,17.02,17.02,17.02,17.02,2006
2017-07-26,17.15,17.25,17.15,17.25,6434
2017-07-27,17.25,17.25,17.25,17.25,3224
2017-07-28,17.29,17.34,17.26,17.34,4069
2017-07-31,0.0,0.0,0.0,17.34,0
2017-08-01,0.0,0.0,0.0,17.34,0
2017-08-02,0.0,0.0,0.0,17.34,1
2017-08-03,17.39,17.45,17.39,17.45,450
2017-08-04,0.0,0.0,0.0,17.45,0
2017-08-07,17.26,17.26,17.26,17.26,173
2017-08-08,17.26,17.3,17.26,17.27,24667
2017-08-09,17.35,17.35,17.3,17.35,2926
2017-08-10,17.35,17.35,17.3,17.35,21400
2017-08-11,17.3,17.3,17.21,17.21,1300
2017-08-14,17.21,17.3,17.21,17.25,8174
2017-08-15,17.21,17.21,17.21,17.21,2097
2017-08-16,17.24,17.24,17.24,17.24,600
2017-08-17,17.21,17.21,17.21,17.21,100
2017-08-18,0.0,0.0,0.0,17.21,0
2017-08-21,17.25,17.25,17.25,17.25,1000
2017-08-22,17.2,17.25,17.16,17.25,3160
2017-08-23,17.2,17.2,17.16,17.16,2400
2017-08-24,17.24,17.25,17.1,17.25,34429
2017-08-25,17.15,17.25,17.15,17.25,5589
2017-08-28,17.2,17.2,17.15,17.2,4000
2017-08-29,17.2,17.2,17.2,17.2,2100
2017-08-30,17.15,17.2,17.05,17.15,5662
2017-08-31,17.1,17.1,17.05,17.09,8583
2017-09-01,17.05,17.2,17.01,17.2,28184
2017-09-05,17.1,17.15,17.0,17.0,6098
2017-09-06,17.0,17.05,16.9,17.05,2448
2017-09-07,17.0,17.1,17.0,17.1,2097
2017-09-08,17.0,17.03,16.96,17.0,6268
2017-09-11,17.0,17.05,17.0,17.05,26749
2017-09-12,17.05,17.1,17.0,17.05,7050
2017-09-13,17.05,17.1,17.04,17.1,34557
2017-09-14,17.15,17.15,17.1,17.1,6276
2017-09-15,17.2,17.25,17.2,17.24,9062
2017-09-18,17.2,17.2,17.1,17.1,9469
2017-09-19,17.2,17.2,17.15,17.15,850
2017-09-20,17.1,17.1,17.1,17.1,20425
2017-09-21,17.1,17.2,17.1,17.2,10959
2017-09-22,17.2,17.35,17.2,17.35,23020
2017-09-25,17.25,17.35,17.25,17.35,15990
2017-09-26,17.3,17.35,17.3,17.35,29041
2017-09-27,17.4,17.5,17.4,17.5,6550
2017-09-28,17.6,17.65,17.6,17.65,2039
2017-09-29,17.75,18.0,17.75,18.0,17110
2017-10-02,18.0,18.05,18.0,18.0,41984
2017-10-03,17.85,18.04,17.8,18.0,13154
2017-10-04,17.99,18.05,17.95,18.0,15706
2017-10-05,18.0,18.0,18.0,18.0,3725
2017-10-06,18.09,18.1,18.09,18.1,2563
2017-10-09,18.05,18.24,18.05,18.24,2500
2017-10-10,18.1,18.1,18.1,18.1,5500
2017-10-11,18.24,18.24,18.2,18.2,22298
2017-10-12,18.15,18.24,18.15,18.24,3843
2017-10-13,18.24,18.24,18.2,18.2,15406
2017-10-16,18.24,18.3,18.24,18.25,10330
2017-10-17,0.0,0.0,0.0,18.25,0
2017-10-18,18.25,18.25,18.25,18.25,5148
2017-10-19,18.4,18.4,18.4,18.4,301
2017-10-20,18.3,18.35,18.3,18.3,2377
2017-10-23,18.3,18.3,18.3,18.3,550
2017-10-24,18.4,18.5,18.4,18.4,19776
2017-10-25,0.0,0.0,0.0,18.4,0
2017-10-26,18.49,18.7,18.49,18.65,31369
2017-10-27,18.65,18.65,18.65,18.65,1445
2017-10-30,18.7,18.79,18.66,18.79,14470
2017-10-31,18.79,18.95,18.79,18.95,13000
2017-11-01,18.95,18.97,18.95,18.97,1359
2017-11-02,18.97,19.05,18.97,19.05,11434
2017-11-03,19.1,19.1,19.1,19.1,9400
2017-11-06,19.2,19.2,19.15,19.2,9550
2017-11-07,19.1,19.2,19.1,19.2,1721
2017-11-08,19.2,19.2,19.0,19.0,716
2017-11-09,0.0,0.0,0.0,19.0,34
2017-11-10,19.15,19.15,19.15,19.15,1655
2017-11-13,19.15,19.15,19.0,19.0,2257
2017-11-14,19.0,19.0,19.0,19.0,627
2017-11-15,19.15,19.2,19.15,19.2,3269
2017-11-16,19.2,19.22,19.05,19.2,74010
2017-11-17,19.25,19.35,19.25,19.34,427898
2017-11-20,19.3,19.3,19.3,19.3,2239
2017-11-21,19.3,19.3,19.3,19.3,100
2017-11-22,19.3,19.3,19.25,19.25,646
2017-11-24,19.25,19.25,19.25,19.25,100
2017-11-27,19.25,19.35,19.25,19.35,12759
2017-11-28,19.3,19.3,19.3,19.3,1000
2017-11-29,19.3,19.3,19.25,19.25,7484
2017-11-30,19.25,19.25,19.25,19.25,846
2017-12-01,19.25,19.3,19.25,19.25,34353
2017-12-04,19.25,19.3,19.25,19.25,53259
2017-12-05,19.3,19.34,19.3,19.3,28882
2017-12-06,19.3,19.3,19.3,19.3,21056
2017-12-07,0.0,0.0,0.0,19.3,0
2017-12-08,19.3,19.34,19.3,19.3,8273
2017-12-11,19.34,19.4,19.34,19.35,16000
2017-12-12,19.4,19.4,19.4,19.4,500
2017-12-13,19.45,19.59,19.42,19.59,46515
2017-12-14,19.6,19.6,19.5,19.5,2791
2017-12-15,19.5,19.5,19.45,19.45,3700
2017-12-18,19.45,19.45,19.45,19.45,4020
2017-12-19,19.5,19.5,19.4,19.45,2689
2017-12-20,19.55,19.55,19.4,19.4,1938
2017-12-21,19.4,19.65,19.4,19.65,330
2017-12-22,19.65,19.75,19.41,19.75,7492
2017-12-26,19.73,19.75,19.35,19.35,8382
2017-12-27,19.35,19.35,19.25,19.3,7116
2017-12-28,19.35,19.4,19.25,19.33,3675
2017-12-29,19.35,19.45,19.25,19.45,11181
2018-01-02,19.35,19.45,19.3,19.45,6487
2018-01-03,19.3,19.5,19.3,19.5,694
2018-01-04,19.3,19.45,19.3,19.45,1100
2018-01-05,19.45,19.45,19.25,19.25,11500
2018-01-08,19.45,19.45,19.45,19.45,300
2018-01-09,19.45,19.45,19.45,19.45,406
2018-01-10,19.3,19.45,19.3,19.3,1044
2018-01-11,19.45,19.73,19.45,19.73,3841
2018-01-12,19.73,19.73,19.52,19.52,2390
2018-01-16,19.73,19.73,19.6,19.62,10101
2018-01-17,19.64,19.73,19.64,19.67,5095
2018-01-18,19.68,19.7,19.65,19.7,2600
2018-01-19,19.73,19.73,19.65,19.66,6621
2018-01-22,19.66,19.7,19.66,19.69,4866
2018-01-23,19.66,19.69,19.66,19.69,2227
2018-01-24,19.72,19.72,19.7,19.7,49343
2018-01-25,19.7,19.72,19.7,19.72,3174
2018-01-26,19.7,19.72,19.65,19.7,3175
2018-01-29,19.67,19.7,19.67,19.7,2000
2018-01-30,19.67,19.71,19.67,19.67,2700
2018-01-31,19.67,19.99,19.67,19.95,125839
2018-02-01,19.99,20.5,19.8,20.5,14866
2018-02-02,20.25,20.55,20.25,20.5,35260
2018-02-05,20.3,20.55,20.3,20.45,22663
2018-02-06,20.45,20.45,20.4,20.4,8696
2018-02-07,20.45,20.45,20.35,20.35,17242
2018-02-08,20.31,20.4,20.28,20.37,8078
2018-02-09,20.28,20.4,20.28,20.4,1800
2018-02-12,20.28,20.43,20.26,20.43,45889
2018-02-13,20.38,20.55,20.38,20.55,56188
