date,open,high,low,close,volume
2020-04-30,15.5,15.91,14.9,15.31,638864
2020-05-01,14.83,14.89,13.82,14.34,392550
2020-04-29,15.86,16.09,15.57,15.61,357442
2017-01-03,23.15,23.55,22.85,23.4,484719
2017-01-04,23.6,24.08,23.55,23.8,504943
2017-01-05,23.5,23.5,22.05,22.5,774164
2017-01-06,22.6,22.75,21.85,22.0,703438
2017-01-09,22.35,22.8,22.05,22.75,693305
2017-01-10,22.85,24.05,22.6,23.35,948628
2017-01-11,22.35,22.55,21.65,21.95,541591
2017-01-12,21.9,22.03,21.25,21.3,525806
2017-01-13,21.4,21.75,21.3,21.5,374198
2017-01-17,21.5,22.5,21.4,21.75,585986
2017-01-18,21.8,21.95,21.0,21.65,564966
2017-01-19,21.7,21.75,20.65,21.05,358149
2017-01-20,21.1,21.4,20.95,21.15,267874
2017-01-23,21.05,21.4,20.75,20.95,287501
2017-01-24,21.05,21.47,20.98,21.35,287286
2017-01-25,21.6,21.65,21.2,21.45,218550
2017-01-26,21.45,21.46,20.85,20.95,445485
2017-01-27,21.0,21.0,20.35,20.55,339804
2017-01-30,20.4,20.9,20.1,20.6,368668
2017-01-31,20.35,21.4,20.1,21.15,519022
2017-02-01,21.25,21.4,20.7,21.1,484532
2017-02-02,21.05,21.75,20.7,21.05,894864
2017-02-03,21.0,21.45,20.3,20.35,483048
2017-02-06,20.35,20.4,19.9,20.3,531964
2017-02-07,20.25,20.5,20.05,20.2,571710
2017-02-08,20.2,20.88,20.05,20.8,473269
2017-02-09,20.9,21.5,20.85,21.2,612495
2017-02-10,21.4,21.65,21.15,21.55,409600
2017-02-13,21.75,21.85,20.75,20.85,628684
2017-02-14,20.75,21.35,20.75,21.3,411874
2017-02-15,21.2,21.65,21.05,21.55,416309
2017-02-16,21.45,21.69,20.85,21.05,527037
2017-02-17,21.0,21.05,20.45,20.85,750404
2017-02-21,21.05,21.45,20.85,21.3,548911
2017-02-22,21.4,21.55,20.95,21.2,341242
2017-02-23,20.95,21.13,19.58,19.65,1065594
2017-02-24,19.6,20.74,19.45,20.2,588509
2017-02-27,20.15,20.65,20.1,20.4,561179
2017-02-28,20.35,20.35,19.55,19.85,348080
2017-03-01,20.15,20.25,18.3,19.05,1063267
2017-03-02,18.8,19.85,18.65,19.55,1147704
2017-03-03,19.5,19.55,18.0,18.2,671547
2017-03-06,18.25,18.4,17.75,17.9,503167
2017-03-07,17.95,18.25,17.75,18.15,615312
2017-03-08,18.15,18.33,17.75,18.15,389636
2017-03-09,18.15,18.15,17.05,17.3,1143734
2017-03-10,17.3,18.8,16.5,17.8,1215263
2017-03-13,17.8,18.65,17.7,18.45,1061572
2017-03-14,18.45,18.95,18.25,18.9,592014
2017-03-15,18.95,19.2,18.22,18.75,590180
2017-03-16,18.7,19.15,18.55,18.95,671203
2017-03-17,18.95,19.05,18.45,18.85,771396
2017-03-20,18.8,18.85,17.7,17.95,464057
2017-03-21,17.95,18.07,16.95,17.3,791614
2017-03-22,17.3,17.3,16.55,16.9,793767
2017-03-23,17.0,18.3,16.9,18.05,1039247
2017-03-24,18.0,18.0,17.25,17.5,432756
2017-03-27,17.25,18.0,17.25,17.8,461767
2017-03-28,17.7,18.0,17.3,17.95,261024
2017-03-29,18.0,18.85,18.0,18.6,532274
2017-03-30,18.5,18.7,18.25,18.65,362543
2017-03-31,18.65,18.85,18.4,18.6,502348
2017-04-03,18.6,18.6,17.4,17.55,898189
2017-04-04,17.45,17.7,16.8,17.05,874156
2017-04-05,16.95,17.3,16.0,16.25,1236935
2017-04-06,16.4,17.4,16.4,16.75,694402
2017-04-07,17.4,18.1,17.0,17.5,1359085
2017-04-10,17.5,18.2,17.4,17.9,775005
