date,open,high,low,close,volume
2017-01-03,38.33,38.55,37.25,37.68,751194
2017-01-04,37.83,38.39,37.68,38.2,1141935
2017-01-05,38.14,38.15,37.42,37.67,781884
2017-01-06,37.84,38.13,37.48,37.49,563823
2017-01-09,37.17,37.41,36.76,36.79,694909
2017-01-10,36.83,37.21,36.55,36.93,760066
2017-01-11,36.84,37.0,36.47,36.99,1070966
2017-01-12,36.69,36.78,36.04,36.2,1179798
2017-01-13,36.48,37.48,36.46,36.53,594938
2017-01-17,36.01,36.08,35.29,35.37,870866
2017-01-18,35.55,35.71,35.19,35.5,878094
2017-01-19,35.61,35.75,35.16,35.28,469421
2017-01-20,35.38,35.87,35.38,35.76,656591
2017-01-23,35.66,35.9,35.28,35.54,418284
2017-01-24,35.79,36.24,35.56,36.17,879302
2017-01-25,37.13,38.28,36.49,37.3,2239165
2017-01-26,37.75,38.57,37.31,38.34,1745244
2017-01-27,38.36,39.37,38.04,39.27,1386589
2017-01-30,39.0,39.05,38.41,38.68,1715075
2017-01-31,38.45,38.78,38.09,38.2,1189363
2017-02-01,38.44,38.66,37.4,37.54,1605603
2017-02-02,37.18,37.33,36.89,37.26,889698
2017-02-03,37.96,38.09,37.49,38.03,646491
2017-02-06,37.82,38.35,37.72,38.34,1205507
2017-02-07,38.49,38.62,38.09,38.32,979121
2017-02-08,38.01,38.35,37.69,38.26,982198
2017-02-09,38.45,38.9,38.35,38.79,731134
2017-02-10,39.03,39.08,38.57,38.78,518639
2017-02-13,39.05,39.41,38.78,38.84,514356
2017-02-14,39.31,40.24,38.95,40.15,1620410
2017-02-15,40.23,40.23,39.49,39.77,850477
2017-02-16,39.61,39.86,39.47,39.83,636169
2017-02-17,39.4,39.79,39.37,39.77,434971
2017-02-21,39.91,40.21,39.69,40.14,653419
2017-02-22,39.9,40.33,39.85,40.28,611672
2017-02-23,40.32,40.4,39.88,40.3,848172
2017-02-24,39.56,39.97,39.51,39.89,577749
2017-02-27,39.88,40.21,39.77,40.21,572555
2017-02-28,39.92,40.14,39.35,39.63,628670
2017-03-01,40.75,41.0,40.23,40.84,748001
2017-03-02,40.87,40.87,40.01,40.05,531042
2017-03-03,40.17,40.63,40.02,40.2,375500
2017-03-06,39.93,39.94,39.47,39.71,369560
2017-03-07,39.64,39.97,39.48,39.5,423645
2017-03-08,40.0,40.08,39.38,39.41,340404
2017-03-09,39.5,39.81,39.27,39.28,462451
2017-03-10,39.57,39.7,38.69,39.02,565556
2017-03-13,39.12,39.18,38.78,38.84,421839
2017-03-14,38.5,38.96,38.31,38.9,551883
2017-03-15,39.0,39.09,38.5,38.52,624855
2017-03-16,38.85,38.98,38.52,38.77,777072
2017-03-17,38.83,38.91,38.15,38.4,1073791
2017-03-20,38.32,38.5,37.79,37.85,533376
2017-03-21,38.17,38.17,35.61,36.04,2053178
2017-03-22,35.71,36.11,35.37,35.67,945777
2017-03-23,35.74,36.5,35.65,35.77,788966
2017-03-24,35.87,36.13,35.16,35.4,981578
2017-03-27,34.55,35.61,34.35,35.6,1071496
2017-03-28,35.28,36.37,35.25,36.25,854594
2017-03-29,36.23,36.53,35.93,36.23,847223
2017-03-30,36.17,37.7,36.14,37.6,988354
2017-03-31,37.49,37.65,37.22,37.31,786422
2017-04-03,37.51,37.56,36.72,37.33,838553
2017-04-04,37.06,37.45,36.93,37.22,655462
2017-04-05,37.75,37.8,36.46,36.51,576732
2017-04-06,36.6,37.06,36.07,36.69,785690
2017-04-07,36.22,36.49,35.93,36.38,1068930
2017-04-10,36.48,36.69,35.76,36.18,853416
2017-04-11,35.85,36.4,35.67,36.4,872574
2017-04-12,36.26,36.39,35.42,35.53,1142522
2017-04-13,35.26,35.52,34.49,34.55,930407
2017-04-17,34.62,35.0,34.2,35.0,762254
2017-04-18,34.7,34.97,34.39,34.84,1008425
2017-04-19,35.12,35.58,34.77,34.93,979619
2017-04-20,35.21,35.76,34.96,35.75,810745
2017-04-21,35.69,35.97,35.48,35.69,434145
2017-04-24,36.67,36.76,36.04,36.09,903928
2017-04-25,36.37,36.42,35.27,35.82,1495975
2017-04-26,35.36,36.44,35.19,36.17,1264336
2017-04-27,36.22,36.42,35.66,35.75,697021
2017-04-28,35.81,35.94,35.14,35.29,1010705
2017-05-01,35.49,35.49,34.9,35.26,664416
2017-05-02,35.23,35.38,35.09,35.28,513975
2017-05-03,35.06,35.43,34.71,34.99,764262
2017-05-04,35.41,35.74,34.93,35.02,656274
2017-05-05,35.1,35.18,34.73,34.81,411359
2017-05-08,34.82,34.91,34.51,34.89,498761
2017-05-09,34.96,35.22,34.53,34.67,578510
2017-05-10,34.59,34.83,34.43,34.61,610380
2017-05-11,34.5,34.66,33.93,33.97,1036762
2017-05-12,33.73,34.15,33.53,34.13,851061
2017-05-15,34.21,34.66,34.19,34.35,659945
2017-05-16,34.44,34.46,33.97,34.41,509296
2017-05-17,33.7,34.05,33.01,33.4,1380002
2017-05-18,33.35,33.95,33.18,33.83,538294
2017-05-19,33.79,34.13,33.53,33.54,860525
2017-05-22,33.66,33.94,33.48,33.72,626204
2017-05-23,33.8,34.2,33.46,34.08,591852
2017-05-24,34.11,34.27,33.72,34.04,617290
2017-05-25,34.08,34.26,33.57,33.79,731461
2017-05-26,33.75,33.85,33.47,33.63,322724
2017-05-30,33.5,33.57,33.13,33.23,429082
2017-05-31,33.29,33.29,32.75,33.16,691254
2017-06-01,33.41,33.46,32.98,33.43,744097
2017-06-02,33.1,33.48,32.93,33.0,687031
2017-06-05,32.91,33.38,32.87,33.09,591795
2017-06-06,32.86,32.99,32.46,32.69,575595
2017-06-07,32.74,33.09,32.69,32.72,664943
2017-06-08,32.7,34.38,32.57,33.87,704746
2017-06-09,34.09,34.99,33.94,34.91,648135
2017-06-12,34.97,35.5,34.71,34.9,567903
2017-06-13,35.0,35.22,34.73,34.99,698888
2017-06-14,34.67,34.89,33.95,34.89,583430
2017-06-15,34.61,35.15,34.34,34.46,428327
2017-06-16,34.43,34.48,33.94,34.14,891408
2017-06-19,34.37,34.55,33.96,34.18,659065
2017-06-20,34.08,34.09,33.71,33.95,755778
2017-06-21,34.03,34.03,33.34,33.38,816963
2017-06-22,33.37,33.44,33.04,33.14,618965
2017-06-23,33.1,33.23,32.4,32.5,1684407
2017-06-26,32.58,32.91,32.33,32.7,1757705
2017-06-27,32.95,33.28,32.76,32.87,2534957
2017-06-28,33.06,33.37,32.91,33.28,854049
2017-06-29,34.02,34.37,33.58,33.94,1525295
2017-06-30,34.09,34.13,33.5,33.71,526067
2017-07-03,33.9,34.79,33.82,34.66,218421
2017-07-05,34.7,34.7,33.87,34.1,613430
2017-07-06,34.13,34.49,34.05,34.16,855425
2017-07-07,34.18,34.41,33.55,33.91,783949
2017-07-10,33.79,33.93,33.26,33.28,832164
2017-07-11,33.21,33.54,32.96,33.39,1113178
2017-07-12,33.14,33.33,32.89,33.18,608491
2017-07-13,33.21,33.48,32.84,33.21,872154
2017-07-14,32.82,33.2,32.56,32.81,2296127
2017-07-17,32.81,33.05,32.55,32.91,835959
2017-07-18,32.73,32.99,32.59,32.92,502765
2017-07-19,32.96,33.04,32.48,32.77,862903
2017-07-20,32.85,32.99,32.63,32.96,684055
2017-07-21,32.92,33.09,32.65,32.81,742077
2017-07-24,32.87,33.19,32.87,33.16,896055
2017-07-25,33.82,33.89,33.34,33.75,1338073
2017-07-26,34.0,34.95,33.64,34.65,1986560
2017-07-27,34.81,35.12,34.46,34.92,4043076
2017-07-28,34.86,34.94,34.28,34.54,872524
2017-07-31,34.6,34.72,34.28,34.42,785279
