date,open,high,low,close,volume
2017-01-03,9.55,10.4,9.55,10.25,115685
2017-01-04,10.2,10.5,10.2,10.4,45386
2017-01-05,10.5,10.5,10.3,10.5,45862
2017-01-06,10.5,10.55,10.3,10.4,37204
2017-01-09,10.3,10.3,9.55,9.55,74469
2017-01-10,9.6,10.0,9.59,10.0,43414
2017-01-11,10.01,10.45,9.85,10.4,20788
2017-01-12,10.5,10.5,10.0,10.2,11860
2017-01-13,10.25,10.25,9.55,9.7,17199
2017-01-17,9.7,9.8,9.35,9.35,30309
2017-01-18,9.5,9.7,9.35,9.5,28179
2017-01-19,9.4,9.65,9.3,9.35,5034
2017-01-20,9.5,9.5,9.1,9.25,14953
2017-01-23,9.1,9.3,9.1,9.25,26199
2017-01-24,9.34,9.45,9.34,9.45,11582
2017-01-25,9.45,9.85,9.44,9.8,33157
2017-01-26,9.85,10.05,9.85,10.05,24984
2017-01-27,10.1,10.1,9.97,10.1,20179
2017-01-30,10.1,10.1,9.7,9.9,14356
2017-01-31,10.0,10.05,9.82,9.95,25638
2017-02-01,9.9,10.05,9.9,10.05,18706
2017-02-02,10.05,10.05,9.95,10.05,4645
2017-02-03,10.1,10.4,10.01,10.4,26606
2017-02-06,10.25,10.45,10.0,10.35,14037
2017-02-07,10.5,10.5,9.9,10.3,30979
2017-02-08,10.4,10.5,10.35,10.5,36941
2017-02-09,10.5,10.6,10.45,10.5,16283
2017-02-10,10.6,10.7,10.35,10.7,26586
2017-02-13,10.7,10.81,10.65,10.8,30581
2017-02-14,10.8,10.9,10.75,10.88,8894
2017-02-15,10.85,10.9,10.6,10.9,20662
2017-02-16,10.75,10.9,10.65,10.85,34416
2017-02-17,10.85,10.9,10.5,10.6,31900
2017-02-21,10.4,10.4,10.05,10.1,28169
2017-02-22,10.1,10.1,9.95,9.95,24538
2017-02-23,10.01,10.3,9.9,10.25,30823
2017-02-24,10.2,10.3,10.15,10.3,20418
2017-02-27,10.1,10.3,10.1,10.3,12299
2017-02-28,10.3,10.35,10.02,10.05,40785
2017-03-01,10.2,10.35,10.2,10.2,34337
2017-03-02,10.3,10.3,9.85,9.9,30869
2017-03-03,10.0,10.05,9.9,10.0,7699
2017-03-06,10.1,10.15,9.9,10.13,25373
2017-03-07,10.05,10.15,10.05,10.15,1464
2017-03-08,10.15,10.15,10.0,10.12,2177
2017-03-09,10.15,10.2,10.0,10.2,4699
2017-03-10,10.2,10.2,10.0,10.05,2998
2017-03-13,9.95,10.05,9.54,9.95,8631
2017-03-14,9.9,10.15,9.75,10.15,25897
2017-03-15,10.2,10.2,10.0,10.0,5987
2017-03-16,10.02,10.1,10.0,10.0,4503
2017-03-17,10.1,11.0,10.1,11.0,221565
2017-03-20,10.9,10.9,10.55,10.6,17944
2017-03-21,10.6,10.7,10.4,10.45,34531
2017-03-22,10.3,10.5,10.2,10.4,21620
2017-03-23,10.35,10.6,10.35,10.55,9222
2017-03-24,10.6,10.7,10.55,10.6,19548
2017-03-27,10.55,10.75,10.27,10.75,62620
2017-03-28,10.75,11.0,10.67,11.0,71311
2017-03-29,11.0,11.0,10.93,11.0,26222
2017-03-30,10.95,11.0,10.78,10.95,28747
2017-03-31,11.0,11.0,10.7,10.7,9468
2017-04-03,10.75,11.15,10.75,10.85,47695
2017-04-04,10.9,10.95,10.85,10.85,23493
2017-04-05,10.85,11.0,10.6,10.6,10502
2017-04-06,10.65,10.85,10.48,10.8,7311
2017-04-07,10.41,11.1,10.41,10.95,14643
2017-04-10,11.0,11.0,10.75,10.8,30774
2017-04-11,10.73,11.35,10.7,11.25,101193
2017-04-12,11.3,11.35,11.25,11.3,17825
2017-04-13,11.35,11.35,10.95,11.1,19009
2017-04-17,11.2,11.2,10.95,11.05,16129
2017-04-18,11.1,11.2,10.8,11.0,13644
2017-04-19,11.05,11.05,10.8,10.85,7868
2017-04-20,10.9,11.05,10.85,10.95,8999
2017-04-21,10.6,11.1,10.6,11.05,37130
2017-04-24,11.1,11.25,10.85,11.05,18156
2017-04-25,11.15,11.35,11.1,11.35,18038
2017-04-26,11.35,11.45,11.3,11.4,22415
2017-04-27,11.45,11.45,11.3,11.35,17743
2017-04-28,11.35,11.45,11.15,11.25,10819
2017-05-01,11.15,11.24,10.7,10.75,16917
2017-05-02,10.5,10.7,10.4,10.7,40645
2017-05-03,10.6,11.0,10.6,10.9,22467
2017-05-04,10.9,11.05,10.75,11.05,29176
2017-05-05,11.05,11.15,10.7,11.1,862889
2017-05-08,11.2,11.3,10.9,11.2,436841
2017-05-09,11.1,11.3,11.1,11.2,32538
2017-05-10,11.15,11.3,11.0,11.1,45245
2017-05-11,11.1,11.1,10.95,11.0,40497
2017-05-12,11.0,11.25,10.9,11.2,48422
2017-05-15,11.15,11.4,11.15,11.35,65216
2017-05-16,11.35,11.5,11.35,11.5,97788
2017-05-17,11.3,11.45,10.3,10.95,112750
2017-05-18,10.95,11.1,10.9,11.0,30748
2017-05-19,10.95,11.1,10.75,11.1,106167
2017-05-22,11.1,11.1,10.8,10.85,32761
2017-05-23,10.9,11.1,10.9,11.05,41049
2017-05-24,11.05,11.25,11.05,11.2,31684
2017-05-25,11.2,11.25,11.1,11.2,28396
2017-05-26,11.2,11.4,11.1,11.35,47153
2017-05-30,11.35,11.35,10.85,10.85,38076
2017-05-31,10.85,11.1,10.75,10.85,35851
2017-06-01,10.85,11.05,10.75,10.95,50819
2017-06-02,11.0,11.25,10.85,11.2,81380
2017-06-05,11.15,11.2,11.05,11.15,41656
2017-06-06,11.15,11.15,10.8,10.86,34635
2017-06-07,10.85,10.95,10.85,10.85,71672
2017-06-08,10.9,11.4,10.85,11.3,61973
2017-06-09,11.3,11.45,11.2,11.21,53226
2017-06-12,11.15,11.3,10.9,10.95,74659
2017-06-13,11.0,11.45,11.0,11.3,61289
2017-06-14,11.35,11.4,11.2,11.35,44327
2017-06-15,11.25,11.45,11.15,11.2,53576
2017-06-16,11.3,11.35,11.0,11.25,77182
2017-06-19,11.2,11.3,10.8,11.0,73732
2017-06-20,10.95,11.05,10.9,10.9,40646
2017-06-21,11.0,11.15,10.88,11.1,61803
2017-06-22,10.9,11.25,10.85,11.2,88358
2017-06-23,11.25,11.45,11.05,11.4,1769398
2017-06-26,11.25,11.9,11.25,11.65,144979
2017-06-27,11.5,11.64,10.95,11.0,117092
2017-06-28,10.95,11.45,10.95,11.3,73614
2017-06-29,11.25,11.25,10.85,11.0,89658
2017-06-30,10.9,11.25,10.85,11.05,243237
2017-07-03,11.25,11.25,11.1,11.2,14610
2017-07-05,11.15,11.25,11.08,11.2,35247
2017-07-06,11.2,11.2,11.1,11.1,26135
2017-07-07,11.1,11.15,10.95,11.05,41735
2017-07-10,10.95,11.15,10.85,11.1,42516
2017-07-11,11.0,11.05,10.9,11.05,30493
2017-07-12,11.0,11.3,10.95,11.3,77181
2017-07-13,11.25,11.25,10.85,10.9,30069
2017-07-14,10.9,10.95,10.8,10.85,42981
2017-07-17,10.8,10.85,10.5,10.6,57538
2017-07-18,10.6,10.75,10.5,10.6,37421
2017-07-19,10.7,10.8,10.5,10.75,24141
2017-07-20,10.7,10.8,10.4,10.75,31319
2017-07-21,10.85,10.85,10.7,10.8,70052
2017-07-24,10.7,10.9,10.7,10.7,91168
2017-07-25,10.7,10.9,10.65,10.75,37569
2017-07-26,10.75,10.9,10.7,10.7,36052
2017-07-27,10.7,10.85,10.58,10.6,41883
2017-07-28,10.5,10.65,10.45,10.45,33663
2017-07-31,10.45,10.55,10.35,10.35,45885
2017-08-01,10.45,10.6,10.45,10.5,52678
2017-08-02,10.55,10.6,10.35,10.4,49308
2017-08-03,10.45,10.55,10.37,10.45,21418
2017-08-04,10.4,10.55,10.4,10.45,27807
2017-08-07,10.45,10.48,10.25,10.3,48618
2017-08-08,10.3,10.6,10.25,10.45,23332
2017-08-09,10.35,10.4,10.25,10.3,38191
2017-08-10,10.25,10.25,10.05,10.1,27415
2017-08-11,10.2,10.2,9.9,9.95,40362
2017-08-14,9.9,10.4,9.9,10.4,38741
2017-08-15,10.35,10.43,10.1,10.25,14956
2017-08-16,10.2,10.35,10.15,10.2,16641
2017-08-17,10.2,10.3,10.13,10.2,37288
2017-08-18,10.1,10.4,10.05,10.3,56147
2017-08-21,10.25,10.25,10.1,10.1,21406
2017-08-22,10.1,10.25,10.1,10.2,22267
2017-08-23,10.1,10.2,10.0,10.15,21205
2017-08-24,10.15,10.3,10.1,10.25,23574
2017-08-25,10.25,10.65,10.25,10.55,39166
2017-08-28,10.55,10.6,10.4,10.55,29939
2017-08-29,10.55,10.6,10.35,10.6,16776
2017-08-30,10.58,10.65,10.5,10.5,16954
2017-08-31,10.45,10.55,10.4,10.55,21830
2017-09-01,10.5,10.65,10.45,10.55,23302
2017-09-05,10.5,10.6,10.25,10.25,20127
2017-09-06,10.25,10.45,10.2,10.4,21290
2017-09-07,10.35,10.35,10.0,10.0,11763
2017-09-08,10.0,10.1,10.0,10.0,9992
2017-09-11,10.1,10.45,10.0,10.35,12097
2017-09-12,10.4,10.5,10.35,10.4,10868
2017-09-13,10.4,10.55,10.3,10.3,14448
2017-09-14,10.35,10.45,10.25,10.4,19488
2017-09-15,10.4,10.45,10.3,10.45,44700
2017-09-18,10.45,10.6,10.45,10.55,15732
2017-09-19,10.5,10.6,10.5,10.6,8569
2017-09-20,10.58,10.7,10.55,10.7,38849
2017-09-21,10.7,10.75,10.65,10.7,23044
2017-09-22,10.75,10.8,10.7,10.8,17428
2017-09-25,10.8,10.85,10.65,10.7,14967
2017-09-26,10.8,10.95,10.6,10.95,28355
2017-09-27,10.95,11.45,10.85,11.3,80836
2017-09-28,11.25,11.4,11.1,11.3,25679
2017-09-29,11.25,11.65,11.25,11.5,245318
2017-10-02,11.55,11.65,11.25,11.6,58859
2017-10-03,11.55,11.6,11.5,11.55,21508
2017-10-04,11.45,11.45,11.05,11.1,37812
2017-10-05,11.2,11.4,11.16,11.4,9629
2017-10-06,11.4,11.4,11.1,11.2,20032
2017-10-09,11.3,11.35,11.25,11.3,5709
2017-10-10,11.4,11.5,11.33,11.45,29481
2017-10-11,11.4,11.55,11.3,11.5,24776
2017-10-12,11.5,11.5,11.3,11.35,7501
2017-10-13,11.35,11.4,11.2,11.35,20570
2017-10-16,11.35,11.5,11.25,11.5,10806
2017-10-17,11.55,11.55,11.05,11.25,15425
2017-10-18,11.3,11.4,11.2,11.2,18465
2017-10-19,11.14,11.5,11.14,11.5,9942
2017-10-20,11.55,11.55,10.3,10.9,74705
2017-10-23,11.0,11.05,11.0,11.05,16661
2017-10-24,11.05,11.4,11.05,11.3,61062
2017-10-25,11.31,11.55,11.31,11.5,44870
2017-10-26,11.55,11.65,11.47,11.65,46413
2017-10-27,11.65,11.9,11.55,11.9,98780
2017-10-30,11.95,12.4,11.7,11.7,124178
2017-10-31,11.75,12.25,11.6,12.0,70218
2017-11-01,12.0,12.0,11.51,11.65,35787
2017-11-02,11.6,11.95,11.6,11.85,20213
2017-11-03,11.8,11.83,11.55,11.7,53611
2017-11-06,11.65,11.95,11.6,11.65,40683
2017-11-07,11.7,11.7,11.55,11.55,37877
2017-11-08,11.45,11.45,11.1,11.4,34561
2017-11-09,11.3,11.5,11.25,11.3,44946
2017-11-10,11.4,11.55,11.25,11.3,26207
2017-11-13,11.15,11.5,11.0,11.45,46606
2017-11-14,11.4,11.6,11.25,11.6,20706
2017-11-15,11.55,11.7,11.35,11.55,30081
2017-11-16,11.5,11.65,11.5,11.55,33622
