date,open,high,low,close,volume
2018-07-18,16.25,16.75,15.77,16.4,1335028
2018-07-19,16.4,16.5,16.11,16.11,199481
2018-07-20,16.14,16.35,15.78,15.78,36536
2018-07-23,15.9,16.1,15.5,16.0,35481
2018-07-24,16.0,16.1,15.55,16.0,31891
2018-07-25,16.0,16.13,15.78,15.94,62284
2018-07-26,15.89,16.2,15.89,16.14,25160
2018-07-27,16.21,16.55,16.09,16.48,24083
2018-07-30,16.5,16.5,15.98,16.44,3098
2018-07-31,16.4,16.4,15.96,16.24,4866
2018-08-01,16.3,16.3,15.9,16.19,43362
2018-08-02,15.9,16.27,15.9,16.25,53641
2018-08-03,16.23,16.23,15.91,16.17,66350
2018-08-06,16.21,16.4,15.95,15.96,11524
2018-08-07,16.12,16.12,15.92,16.0,4415
2018-08-08,16.15,16.22,16.1,16.22,7980
2018-08-09,16.03,16.38,16.01,16.17,13022
2018-08-10,16.16,16.25,16.03,16.13,10493
2018-08-13,15.98,16.14,15.93,16.14,19706
2018-08-14,16.09,16.14,15.95,16.13,15063
2018-08-15,16.14,16.14,15.97,16.14,16182
2018-08-16,16.13,16.14,16.1,16.14,6535
2018-08-17,16.25,16.25,16.02,16.14,16315
2018-08-20,16.16,16.25,15.9,16.14,23294
2018-08-21,16.14,16.14,16.01,16.13,5678
2018-08-22,15.9,16.14,15.9,16.14,14967
2018-08-23,16.2,16.2,16.0,16.1,9516
2018-08-24,16.0,16.07,16.0,16.07,17394
2018-08-27,16.19,16.19,15.95,16.14,22767
2018-08-28,16.2,16.5,16.08,16.4,22815
2018-08-29,16.5,16.5,16.01,16.34,27958
2018-08-30,16.3,16.45,16.1,16.38,8761
2018-08-31,16.31,16.31,16.14,16.22,14894
2018-09-04,16.18,17.01,16.18,16.75,80436
2018-09-05,16.89,17.25,16.59,17.25,38241
2018-09-06,17.25,18.9,17.04,17.74,66492
2018-09-07,17.74,18.3,17.56,17.67,39870
2018-09-10,17.85,18.25,17.49,17.9,38039
2018-09-11,17.9,18.18,17.81,17.95,66305
2018-09-12,18.05,18.05,17.79,18.0,35359
2018-09-13,18.0,18.0,16.63,17.29,59608
2018-09-14,17.2,17.95,17.11,17.5,76402
2018-09-17,17.69,17.8,16.44,16.9,41805
2018-09-18,17.07,17.93,16.86,17.61,51863
2018-09-19,17.73,17.9,16.26,16.31,55464
2018-09-20,16.6,17.02,16.25,16.59,110215
2018-09-21,16.79,16.89,16.5,16.55,582181
2018-09-24,16.73,17.0,16.55,16.84,15907
2018-09-25,16.84,16.97,16.56,16.93,19574
2018-09-26,16.85,16.96,16.81,16.92,30339
2018-09-27,16.42,17.84,16.42,17.25,41571
2018-09-28,17.31,17.31,16.74,17.0,23487
2018-10-01,17.34,17.99,17.06,17.25,30615
2018-10-02,17.2,17.34,17.07,17.25,8316
2018-10-03,17.26,17.38,17.08,17.34,8718
2018-10-04,17.35,17.5,17.29,17.46,29802
2018-10-05,17.5,17.5,17.06,17.33,8575
2018-10-08,17.45,17.45,16.51,16.81,27174
2018-10-09,16.8,17.2,16.8,16.99,24190
2018-10-10,16.99,16.99,16.7,16.82,5542
2018-10-11,16.74,17.04,16.0,16.07,19526
2018-10-12,16.28,17.0,16.2,17.0,52651
2018-10-15,16.95,16.95,16.36,16.51,10014
2018-10-16,16.54,16.54,16.0,16.16,14888
2018-10-17,16.15,16.41,16.15,16.24,7044
2018-10-18,16.22,17.24,16.0,16.09,13914
2018-10-19,16.09,16.4,15.54,15.79,8591
2018-10-22,15.84,16.3,14.92,15.99,12760
2018-10-23,15.83,15.97,15.27,15.33,8020
2018-10-24,15.25,16.09,15.25,15.25,12882
2018-10-25,15.28,15.75,14.6,15.25,12289
2018-10-26,15.01,15.92,15.01,15.85,5320
2018-10-29,15.86,15.86,15.4,15.7,6251
2018-10-30,15.6,15.6,15.49,15.49,3241
2018-10-31,15.62,16.5,15.62,16.33,24353
2018-11-01,16.26,16.66,16.2,16.2,11205
2018-11-02,16.2,16.35,15.13,15.69,6692
2018-11-05,15.68,16.52,15.68,16.4,3252
2018-11-06,16.33,16.33,15.8,15.98,2350
2018-11-07,15.85,16.46,15.68,16.12,9828
2018-11-08,16.11,16.11,15.51,16.05,9344
2018-11-09,16.14,16.64,15.61,16.04,16146
2018-11-12,15.77,16.1,15.2,15.21,25309
2018-11-13,15.32,16.2,15.32,15.74,13565
2018-11-14,15.98,16.06,15.05,15.05,41719
2018-11-15,15.0,16.24,15.0,15.35,16872
2018-11-16,15.3,15.71,15.03,15.36,15662
2018-11-19,15.46,16.02,15.16,15.21,9811
2018-11-20,15.16,15.41,15.16,15.25,9213
2018-11-21,15.61,15.69,15.24,15.29,2641
2018-11-23,16.0,16.0,16.0,16.0,1331
2018-11-26,16.0,16.25,15.64,16.11,15263
2018-11-27,16.0,16.07,15.48,15.85,6751
2018-11-28,15.98,16.05,15.73,15.74,12163
2018-11-29,15.5,15.93,15.19,15.29,23735
2018-11-30,15.85,15.95,15.49,15.95,6008
2018-12-03,15.9,16.0,15.0,15.46,28635
2018-12-04,15.43,15.74,15.0,15.01,36892
2018-12-06,15.3,16.41,14.6,14.71,49033
2018-12-07,14.81,15.0,14.75,14.92,3896
2018-12-10,14.84,14.87,14.35,14.67,3482
2018-12-11,14.49,14.6,14.17,14.19,2991
2018-12-12,14.25,14.25,13.87,13.99,5541
2018-12-13,13.7,13.71,13.02,13.18,7437
2018-12-14,13.04,13.05,12.3,12.62,8962
2018-12-17,12.89,13.45,11.85,12.5,33324
2018-12-18,12.53,12.99,12.53,12.65,4568
2018-12-19,12.99,13.0,12.82,12.82,5516
2018-12-20,12.82,14.27,12.5,12.51,89627
2018-12-21,12.5,13.44,12.5,13.14,71082
2018-12-24,14.14,14.32,13.45,13.45,10078
2018-12-26,13.68,14.43,12.64,14.29,15515
2018-12-27,14.15,14.86,14.15,14.78,10407
2018-12-28,14.73,16.49,14.73,15.41,28978
2018-12-31,15.61,15.69,15.08,15.23,21357
2019-01-02,15.11,15.39,14.75,15.0,26966
2019-01-03,15.36,15.68,14.53,14.99,40875
2019-01-04,14.77,15.68,14.36,15.0,18808
2019-01-07,15.0,15.68,14.6,15.49,15893
