date,open,high,low,close,volume
2020-05-04,78.26,78.3,76.31,77.84,853623
2020-05-05,79.23,81.41,77.83,78.01,677904
2020-05-06,79.13,79.5,77.27,77.58,542152
2020-05-07,78.48,80.96,78.48,80.35,862575
2020-05-08,82.0,83.38,81.64,82.72,591614
2017-01-03,101.55,102.6,100.05,100.9,459961
2017-01-04,101.9,106.15,101.35,104.05,689645
2017-01-05,106.5,108.55,100.35,104.2,978122
2017-01-06,105.05,105.35,100.55,100.7,579401
2017-01-09,100.3,103.98,100.15,103.75,528602
2017-01-10,103.5,106.05,102.35,103.8,489087
2017-01-11,104.25,104.95,102.6,103.5,265850
2017-01-12,103.45,103.9,102.5,102.65,309339
2017-01-13,102.4,104.7,100.1,100.5,363210
2017-01-17,100.2,105.9,100.2,102.5,511711
2017-01-18,102.35,102.35,100.15,101.0,295279
2017-01-19,101.25,102.55,98.05,98.75,362930
2017-01-20,98.7,99.45,97.5,98.25,466321
2017-01-23,98.3,99.55,96.8,97.75,253511
2017-01-24,98.2,98.95,97.55,97.75,361413
2017-01-25,98.9,99.95,98.8,99.55,272014
2017-01-26,99.3,100.5,98.5,98.7,394141
2017-01-27,98.95,99.05,93.6,94.8,571219
2017-01-30,94.2,96.0,92.95,95.1,283900
2017-01-31,94.6,97.4,93.9,97.0,332374
2017-02-01,97.55,98.55,95.34,96.45,385296
2017-02-02,96.7,98.95,95.65,98.35,429533
2017-02-03,98.45,100.25,97.65,97.95,290725
2017-02-06,98.2,99.25,96.9,97.4,244243
2017-02-07,97.9,97.9,96.15,97.45,287982
2017-02-08,97.35,99.6,96.6,99.0,381405
2017-02-09,99.25,102.7,99.25,102.5,445724
2017-02-10,102.45,103.85,101.9,103.3,389201
2017-02-13,103.9,104.7,100.15,100.5,296031
2017-02-14,100.7,103.4,100.7,102.65,251248
2017-02-15,102.55,103.2,101.95,102.75,283931
2017-02-16,102.95,102.95,98.65,99.65,492702
2017-02-17,99.75,101.35,99.0,100.25,333028
2017-02-21,100.6,102.65,99.75,100.7,300693
2017-02-22,101.5,101.7,99.5,100.55,288066
2017-02-23,100.75,100.75,98.05,98.15,338193
2017-02-24,97.7,103.35,97.5,101.45,384877
2017-02-27,101.0,102.9,100.9,102.3,232989
2017-02-28,101.5,101.8,99.4,101.3,458332
2017-03-01,102.8,102.8,97.85,98.3,516499
2017-03-02,98.4,103.35,98.4,102.6,442178
2017-03-03,102.2,102.65,98.65,100.0,485407
2017-03-06,99.85,100.0,97.65,99.2,627841
2017-03-07,98.75,100.0,98.15,99.9,822341
2017-03-08,109.8,119.35,109.55,118.15,4565815
2017-03-09,118.8,121.15,115.4,116.4,1436343
2017-03-10,117.55,119.0,116.4,117.8,661057
2017-03-13,117.65,118.3,115.55,116.2,476790
2017-03-14,116.65,117.73,115.85,117.2,314626
2017-03-15,117.4,118.85,116.4,118.15,392101
2017-03-16,118.05,118.6,116.75,117.85,307791
2017-03-17,117.7,118.7,116.75,118.45,507529
2017-03-20,118.5,118.5,116.0,116.15,337046
2017-03-21,116.25,117.0,113.1,113.95,561683
2017-03-22,114.5,116.1,113.2,116.1,326216
2017-03-23,117.35,120.2,116.95,119.0,639395
2017-03-24,118.8,119.5,117.9,118.5,309596
2017-03-27,117.25,120.15,117.2,119.05,288099
2017-03-28,118.85,121.85,118.25,121.2,360821
2017-03-29,121.35,122.8,120.95,121.65,432556
2017-03-30,121.45,122.25,120.4,121.7,271533
2017-03-31,121.9,122.95,119.95,120.05,269947
2017-04-03,120.4,120.99,118.0,119.05,394903
2017-04-04,118.5,119.6,113.35,114.1,855915
2017-04-05,113.7,114.8,108.8,108.85,941997
2017-04-06,109.45,112.65,109.45,112.2,673762
2017-04-07,111.95,111.95,108.9,109.55,522535
2017-04-10,109.85,112.05,107.95,108.75,498380
2017-04-11,108.5,114.15,105.9,113.05,1338815
2017-04-12,112.75,113.05,110.7,111.55,398866
2017-04-13,111.3,111.65,109.5,109.95,319228
2017-04-17,110.4,111.0,109.4,110.9,256716
2017-04-18,108.0,109.25,105.05,107.55,758544
2017-04-19,108.4,110.0,108.4,109.15,473297
2017-04-20,110.15,114.05,109.85,113.85,790547
2017-04-21,114.0,114.1,111.95,112.15,361813
2017-04-24,114.0,114.0,111.2,112.35,421366
