date,open,high,low,close,volume
2017-01-03,68.93,69.87,68.0,68.96,1908236
2017-01-04,69.31,69.7,69.03,69.54,1677010
2017-01-05,69.87,71.2,68.23,69.54,3138778
2017-01-06,70.0,70.99,69.56,70.27,2621865
2017-01-09,69.59,69.95,68.75,69.54,1181412
2017-01-10,69.16,70.27,68.92,69.61,1530402
2017-01-11,69.43,69.88,68.83,69.81,1198928
2017-01-12,69.55,69.82,68.24,69.22,984835
2017-01-13,69.69,70.56,69.34,69.92,1885004
2017-01-17,67.98,68.25,64.91,65.37,3748072
2017-01-18,65.55,67.16,65.16,67.06,2350326
2017-01-19,67.02,67.42,66.18,66.31,1795160
2017-01-20,66.77,67.46,66.52,66.96,2102570
2017-01-23,66.44,67.22,66.26,67.04,1134134
2017-01-24,67.01,67.9,66.8,67.66,1531113
2017-01-25,68.24,69.58,68.01,69.39,1668579
2017-01-26,69.34,69.92,68.93,69.58,1358329
2017-01-27,69.5,69.54,68.83,69.11,884101
2017-01-30,68.78,68.78,67.43,68.1,1158672
2017-01-31,68.0,68.61,66.88,67.53,1370442
2017-02-01,68.31,69.24,67.78,68.14,1212534
2017-02-02,67.41,67.95,66.8,67.27,1760835
2017-02-03,68.44,68.71,67.71,68.49,2315963
2017-02-06,67.92,69.11,67.84,68.22,1455397
2017-02-07,68.53,68.81,67.75,68.25,1351482
2017-02-08,67.56,67.82,66.9,67.75,1193537
2017-02-09,68.21,68.97,67.77,68.91,1535830
2017-02-10,69.17,69.53,68.55,68.99,1694312
2017-02-13,69.36,70.6,69.36,69.84,2981147
2017-02-14,69.99,72.23,69.75,72.03,2966471
2017-02-15,72.71,73.85,72.36,73.24,4129398
2017-02-16,72.99,73.1,72.02,72.55,1614047
2017-02-17,72.0,72.5,71.58,72.37,1399670
2017-02-21,72.71,73.37,72.29,72.66,1268095
2017-02-22,72.0,72.79,71.53,72.0,1164472
2017-02-23,72.26,72.4,71.48,71.95,1208974
2017-02-24,70.78,71.32,67.91,71.2,1549745
2017-02-27,71.3,71.83,71.25,71.67,1127716
2017-02-28,71.27,71.72,70.66,71.28,1891015
2017-03-01,73.35,75.0,73.22,74.58,2833750
2017-03-02,74.88,74.94,72.45,72.63,1310199
2017-03-03,72.7,73.63,72.39,73.46,2006199
2017-03-06,72.7,73.36,72.13,73.25,1200484
2017-03-07,73.12,73.5,72.5,72.63,1077973
2017-03-08,73.77,74.08,72.29,72.4,2082749
2017-03-09,72.76,73.32,72.02,72.48,1213262
2017-03-10,73.0,73.0,70.88,72.16,1639514
2017-03-13,71.93,72.38,71.44,72.0,849007
2017-03-14,71.38,71.54,70.31,71.49,1360996
2017-03-15,71.92,72.45,70.92,71.01,1166168
2017-03-16,71.69,72.32,70.97,71.89,1301768
2017-03-17,71.92,72.03,70.55,71.36,3373177
2017-03-20,71.09,71.55,70.44,70.65,1324204
2017-03-21,71.08,71.08,65.97,66.37,3305319
2017-03-22,65.92,67.47,64.76,66.97,2007052
2017-03-23,66.78,68.53,66.44,67.15,1760659
2017-03-24,67.69,67.92,66.3,67.23,1458169
2017-03-27,65.56,66.83,64.27,66.73,1847692
2017-03-28,66.5,68.43,66.3,67.97,1780792
2017-03-29,67.87,68.54,67.26,67.83,1134745
2017-03-30,67.88,69.59,67.86,69.13,1303178
2017-03-31,68.72,69.1,68.24,68.58,1144915
2017-04-03,68.74,69.17,67.16,68.44,972499
2017-04-04,67.99,68.8,67.82,68.62,949733
2017-04-05,69.44,69.7,67.19,67.26,1121147
2017-04-06,67.14,68.32,66.48,68.01,1469290
2017-04-07,67.32,68.77,67.32,68.14,1287438
2017-04-10,68.12,68.55,66.93,67.31,1357358
2017-04-11,66.57,67.09,65.91,67.05,1396299
2017-04-12,67.3,67.3,66.0,66.12,1542654
2017-04-13,65.73,66.47,64.87,65.21,1503433
2017-04-17,65.34,66.93,64.75,66.93,2723689
2017-04-18,65.78,68.25,65.15,67.71,3805691
2017-04-19,68.6,69.71,67.77,67.97,2668062
2017-04-20,68.63,69.43,68.25,69.21,2607093
2017-04-21,68.9,69.6,67.94,68.71,3358666
2017-04-24,70.68,71.57,70.08,70.11,2404653
2017-04-25,71.01,71.3,70.06,70.65,2260687
2017-04-26,70.56,72.3,70.54,71.58,1933559
2017-04-27,71.75,71.76,70.06,70.75,1937884
2017-04-28,70.9,71.66,70.55,70.7,2982418
2017-05-01,71.05,71.93,70.74,71.48,1493159
2017-05-02,71.46,71.79,70.77,71.18,1422399
2017-05-03,70.61,72.04,70.29,71.98,1692236
2017-05-04,72.91,73.41,71.7,71.94,1958543
2017-05-05,72.19,72.23,70.9,71.6,994321
2017-05-08,71.74,72.5,71.57,71.91,1446675
2017-05-09,72.17,72.51,70.72,71.21,1307123
2017-05-10,71.05,71.49,70.79,71.33,1046159
2017-05-11,70.91,71.15,69.67,70.64,1553563
2017-05-12,70.06,70.34,69.18,70.1,1700230
2017-05-15,70.52,71.13,70.32,70.84,1686446
2017-05-16,70.97,71.43,70.36,71.28,1099308
2017-05-17,69.21,69.61,66.7,67.27,2471283
2017-05-18,67.11,68.28,67.11,67.63,1864177
2017-05-19,67.96,69.17,67.81,68.36,1993172
2017-05-22,68.64,69.17,68.07,68.64,1560954
2017-05-23,68.7,70.08,68.17,69.57,1346961
2017-05-24,69.72,69.81,68.4,69.2,1955186
2017-05-25,69.62,69.84,68.73,69.07,1405003
2017-05-26,68.93,69.67,68.73,69.22,1068055
2017-05-30,68.85,68.99,67.87,68.5,1749878
2017-05-31,68.63,68.63,67.17,68.56,2445850
2017-06-01,69.2,69.24,67.69,69.08,1361800
2017-06-02,68.25,69.08,67.63,68.57,1276880
2017-06-05,68.63,69.6,68.52,69.11,1221445
2017-06-06,68.25,68.91,67.93,68.42,1791451
2017-06-07,68.64,69.43,68.49,68.85,1199530
2017-06-08,68.81,71.53,68.6,70.79,2230420
2017-06-09,72.0,73.16,71.49,72.67,2107306
2017-06-12,72.62,73.58,72.1,72.8,1989713
2017-06-13,74.0,74.45,73.52,73.87,3165506
2017-06-14,73.3,74.51,72.59,74.26,2173325
2017-06-15,73.67,74.76,73.65,74.08,1602499
2017-06-16,74.16,75.01,73.84,74.12,4587705
2017-06-19,74.64,75.3,74.4,74.62,1361678
2017-06-20,74.42,74.44,73.12,73.28,1806821
2017-06-21,73.59,73.72,71.96,72.32,1858550
2017-06-22,72.32,72.4,71.14,71.42,2143247
2017-06-23,71.88,71.96,70.47,70.85,2141193
2017-06-26,71.03,71.75,70.46,71.07,1377972
2017-06-27,71.7,72.77,71.25,71.8,1472738
2017-06-28,72.47,72.95,71.92,71.94,2826797
2017-06-29,73.78,74.97,72.13,72.79,2187117
2017-06-30,73.1,73.67,72.46,73.24,1415464
2017-07-03,73.91,74.93,73.65,74.39,650630
2017-07-05,74.61,74.71,73.64,74.43,1277596
2017-07-06,74.55,75.05,73.97,74.13,1140915
2017-07-07,74.84,74.98,73.76,74.67,991647
2017-07-10,74.38,75.44,74.21,75.13,1259989
2017-07-11,75.19,75.72,74.73,75.23,1550168
2017-07-12,74.92,75.34,74.6,74.89,1295685
2017-07-13,75.11,75.29,74.69,75.1,1872650
2017-07-14,74.13,74.63,73.19,74.26,1606745
2017-07-17,74.15,74.67,73.64,74.52,2020056
2017-07-18,73.0,74.1,72.39,73.05,2364686
2017-07-19,73.4,73.56,71.9,72.49,2439782
2017-07-20,72.59,73.28,72.15,72.43,1946970
2017-07-21,72.11,72.91,71.72,72.46,1931752
2017-07-24,72.5,73.51,72.5,73.28,1613091
2017-07-25,74.74,75.2,73.77,74.13,1932998
2017-07-26,74.52,74.61,72.38,72.53,1626295
2017-07-27,72.66,72.66,71.11,72.01,1774360
2017-07-28,72.02,72.41,71.18,71.98,985884
2017-07-31,72.02,73.03,72.02,72.31,1673386
2017-08-01,72.96,73.09,71.92,72.31,1839935
2017-08-02,72.21,72.73,72.05,72.49,1539834
2017-08-03,72.58,73.34,72.49,72.84,2095228
2017-08-04,73.57,74.77,73.46,73.86,1109142
2017-08-07,73.9,74.23,73.33,73.43,710010
2017-08-08,73.3,74.76,73.12,73.46,1437251
2017-08-09,72.83,73.3,71.84,72.47,1097166
2017-08-10,71.98,72.11,70.36,70.81,1812896
2017-08-11,70.74,71.23,69.86,70.21,1382877
2017-08-14,71.14,71.91,70.95,71.67,1254125
2017-08-15,72.5,73.28,71.88,71.94,987179
