date,open,high,low,close,volume
2020-04-30,7.06,7.06,6.32,6.35,1690337
2020-05-01,6.01,6.19,5.83,6.13,1445391
2020-04-29,6.53,6.91,6.46,6.83,1906560
2017-01-03,22.34,22.43,21.1,21.12,3921640
2017-01-04,21.25,21.98,21.24,21.79,3026062
2017-01-05,21.32,21.37,20.21,20.83,3604937
2017-01-06,20.91,20.91,20.41,20.44,1703213
2017-01-09,20.46,20.73,20.28,20.58,1228723
2017-01-10,20.55,20.96,20.51,20.58,1275837
2017-01-11,20.6,20.6,20.25,20.38,758797
2017-01-12,20.36,20.87,20.08,20.79,2499744
2017-01-13,20.8,21.09,20.8,20.97,1238708
2017-01-17,21.0,21.79,21.0,21.51,2245762
2017-01-18,21.47,21.55,21.0,21.29,1345958
2017-01-19,21.29,21.45,20.38,20.57,1165484
2017-01-20,20.59,20.75,20.31,20.66,1509694
2017-01-23,20.49,20.64,20.17,20.26,1412964
2017-01-24,20.31,20.6,20.19,20.5,1922963
2017-01-25,20.54,20.8,20.46,20.71,1157704
2017-01-26,20.8,21.03,20.6,20.88,1458255
2017-01-27,20.85,20.85,20.18,20.34,1683374
2017-01-30,20.3,20.65,20.1,20.52,854826
2017-01-31,20.3,21.2,20.17,21.16,1274402
2017-02-01,21.17,21.22,20.78,20.88,1063576
2017-02-02,20.85,21.07,20.54,20.55,1527531
2017-02-03,20.57,20.75,20.45,20.5,2209540
2017-02-06,20.55,21.09,20.51,21.04,1376759
2017-02-07,21.14,21.15,20.9,21.01,1211879
2017-02-08,20.95,21.33,20.66,21.25,1122156
2017-02-09,21.23,21.75,21.15,21.66,998436
2017-02-10,21.84,22.26,21.62,21.99,1468494
2017-02-13,22.05,22.17,21.48,21.51,1011678
2017-02-14,21.42,21.93,21.38,21.58,1396016
2017-02-15,21.52,21.87,21.49,21.81,768387
2017-02-16,21.76,21.89,21.13,21.26,1414797
2017-02-17,21.26,21.6,21.1,21.46,1728468
2017-02-21,21.64,22.23,21.55,22.17,2318949
2017-02-22,22.2,22.24,21.82,22.07,1956297
2017-02-23,21.95,22.05,20.98,20.99,2265622
2017-02-24,20.87,21.73,20.71,21.57,2242283
2017-02-27,20.96,21.47,20.75,21.31,2861877
2017-02-28,21.13,21.26,20.79,21.03,2710219
2017-03-01,21.06,21.19,20.37,20.72,2267875
2017-03-02,20.81,21.4,20.67,21.19,1731005
2017-03-03,21.27,21.4,20.42,20.7,2831737
2017-03-06,20.58,20.75,20.29,20.66,1826532
2017-03-07,20.69,20.92,20.38,20.44,1313092
2017-03-08,20.45,20.72,20.32,20.61,2096898
2017-03-09,20.21,20.48,19.88,20.39,2725713
2017-03-10,20.56,20.93,20.36,20.71,3277938
2017-03-13,20.66,20.73,19.8,19.83,5237505
2017-03-14,20.87,21.03,19.95,20.01,6837488
2017-03-15,19.67,20.36,19.55,20.25,4518003
2017-03-16,20.15,20.64,20.15,20.62,1633266
2017-03-17,20.71,20.83,20.2,20.4,1928355
2017-03-20,20.35,20.35,19.55,19.58,1899458
2017-03-21,19.68,19.69,18.75,19.02,2021125
2017-03-22,19.01,19.05,18.55,18.94,2272474
2017-03-23,19.09,19.31,18.87,19.14,3596887
2017-03-24,19.12,19.3,18.93,19.27,1093786
2017-03-27,20.09,20.24,19.71,20.02,5903123
2017-03-28,19.7,20.32,19.7,20.25,12475627
2017-03-29,20.23,20.75,20.18,20.53,2302816
2017-03-30,20.43,20.86,20.36,20.82,1565268
2017-03-31,20.77,20.92,20.59,20.68,1314370
2017-04-03,20.65,20.66,20.02,20.13,2103142
2017-04-04,19.99,20.09,19.35,19.44,2174110
2017-04-05,19.48,19.56,18.99,19.09,1835539
2017-04-06,19.27,19.68,19.17,19.19,1352427
2017-04-07,19.16,19.47,19.05,19.35,1294372
2017-04-10,19.37,19.95,19.37,19.69,1646167
2017-04-11,19.69,19.99,19.5,19.95,1811782
2017-04-12,19.83,19.97,19.69,19.81,1103049
2017-04-13,19.78,19.83,19.52,19.58,1232614
2017-04-17,19.68,19.74,19.5,19.73,1015651
2017-04-18,19.84,20.09,19.61,20.07,1209454
2017-04-19,20.09,20.27,20.02,20.05,1445191
2017-04-20,20.24,20.99,20.24,20.93,1997037
