date,open,high,low,close,volume
2017-01-03,35.26,35.26,34.39,34.66,202020
2017-01-04,34.85,35.18,34.4,34.85,295388
2017-01-05,34.89,35.32,34.5,34.72,251454
2017-01-06,34.88,34.92,34.47,34.54,149995
2017-01-09,34.5,34.59,33.82,33.96,372565
2017-01-10,33.89,34.2,33.89,34.11,360293
2017-01-11,33.61,33.95,33.23,33.32,299010
2017-01-12,33.22,33.46,33.0,33.04,212950
2017-01-13,33.3,33.66,33.15,33.19,184000
2017-01-17,33.1,33.34,31.99,32.04,327025
2017-01-18,32.19,32.32,31.83,32.25,331764
2017-01-19,32.25,32.27,31.86,31.93,122088
2017-01-20,32.09,33.0,32.09,32.65,268244
2017-01-23,32.66,32.89,32.24,32.68,173713
2017-01-24,32.68,33.6,32.05,33.3,504070
2017-01-25,33.79,34.68,33.74,34.15,333462
2017-01-26,34.37,34.63,34.17,34.59,170424
2017-01-27,34.5,34.5,33.89,33.92,179991
2017-01-30,33.59,33.59,32.6,32.98,155208
2017-01-31,32.38,33.57,31.8,32.99,713641
2017-02-01,32.2,32.3,31.5,31.65,13048245
2017-02-02,31.69,31.89,31.5,31.66,2662687
2017-02-03,31.9,32.32,31.77,32.27,3063715
2017-02-06,32.1,32.27,31.84,31.9,1290852
2017-02-07,32.03,32.14,31.65,31.81,1360359
2017-02-08,31.9,31.97,31.33,31.39,1393594
2017-02-09,31.43,31.79,31.36,31.7,1100881
2017-02-10,31.89,31.95,31.55,31.55,1514235
2017-02-13,31.65,32.24,31.65,32.01,734910
2017-02-14,31.99,32.42,31.89,32.35,824727
2017-02-15,32.4,32.52,32.11,32.12,659104
2017-02-16,32.04,32.3,31.9,32.2,512010
2017-02-17,32.0,32.17,31.68,32.02,357070
2017-02-21,32.1,32.19,31.77,32.07,438727
2017-02-22,31.98,32.29,31.88,32.24,750779
2017-02-23,32.18,32.29,31.72,32.05,629470
2017-02-24,31.75,32.04,31.53,31.8,290954
2017-02-27,31.79,32.03,31.56,31.92,572452
2017-02-28,31.59,31.9,31.54,31.68,614298
2017-03-01,32.07,32.4,31.84,32.01,1659810
2017-03-02,31.93,32.15,31.64,31.66,954899
2017-03-03,31.94,32.09,31.76,31.9,766915
2017-03-06,31.6,32.04,31.6,31.86,352933
2017-03-07,31.95,32.2,31.65,31.83,707280
2017-03-08,31.91,32.17,31.26,31.34,721604
2017-03-09,31.42,31.61,31.15,31.34,276846
2017-03-10,31.47,31.68,30.84,31.25,428821
2017-03-13,31.39,31.57,31.25,31.53,457776
2017-03-14,31.37,31.56,31.14,31.48,270388
2017-03-15,31.6,31.92,31.13,31.36,298957
2017-03-16,31.38,31.74,31.25,31.37,224982
2017-03-17,31.27,31.45,30.89,31.24,1422442
2017-03-20,31.2,31.2,30.8,30.83,530047
2017-03-21,30.88,31.03,28.95,29.63,1359330
2017-03-22,29.66,29.82,29.27,29.38,705366
2017-03-23,29.44,29.9,29.2,29.48,448705
2017-03-24,29.46,30.06,29.41,29.66,359874
2017-03-27,29.35,29.35,28.66,29.13,519508
2017-03-28,29.03,29.86,29.02,29.79,376273
2017-03-29,29.76,29.86,29.47,29.55,219067
2017-03-30,29.5,30.43,29.5,30.27,448324
2017-03-31,30.11,30.34,29.79,29.92,451080
2017-04-03,29.9,30.25,29.33,29.51,354834
2017-04-04,29.39,29.61,29.23,29.51,329696
2017-04-05,29.92,29.93,28.87,28.9,605627
2017-04-06,29.36,29.53,28.84,29.25,406897
2017-04-07,29.14,29.28,28.91,29.13,374357
2017-04-10,29.25,29.41,28.76,28.98,229051
2017-04-11,28.91,29.17,28.66,29.11,247348
2017-04-12,29.13,29.23,28.66,28.75,237749
2017-04-13,28.7,28.84,28.21,28.44,612731
2017-04-17,28.45,29.04,28.3,29.01,274821
