date,open,high,low,close,volume
2017-01-03,35.96,36.3,35.5,35.75,13832
2017-01-04,35.51,35.75,35.02,35.16,6375
2017-01-05,35.16,35.58,35.12,35.21,3179
2017-01-06,34.89,35.43,34.89,35.43,317
2017-01-09,35.02,35.2,34.1,35.02,4979
2017-01-10,34.98,35.05,34.51,35.05,6338
2017-01-11,35.2,35.25,35.0,35.0,5027
2017-01-12,35.45,35.85,35.0,35.01,17830
2017-01-13,35.01,35.24,35.0,35.0,1850
2017-01-17,35.06,35.75,35.0,35.75,16466
2017-01-18,35.75,36.0,35.07,35.07,7375
2017-01-19,35.5,35.75,35.1,35.75,4237
2017-01-20,35.72,35.74,35.0,35.38,1243
2017-01-23,35.39,35.4,34.91,34.91,6306
2017-01-24,34.99,35.29,34.92,35.29,2033
2017-01-25,35.35,35.35,34.95,34.95,1977
2017-01-26,35.25,35.44,35.14,35.23,2543
2017-01-27,35.32,35.32,35.23,35.23,2776
2017-01-30,35.46,35.75,35.41,35.73,6993
2017-01-31,35.53,35.75,35.5,35.75,4557
2017-02-01,35.94,36.0,35.76,36.0,4865
2017-02-02,36.0,36.07,35.94,36.07,2677
2017-02-03,36.41,39.48,36.41,37.12,6134
2017-02-06,37.0,38.44,37.0,37.5,2747
2017-02-07,38.06,38.06,37.5,37.8,6843
2017-02-08,38.01,38.52,37.99,38.23,6459
2017-02-09,38.25,39.7,38.13,38.17,5229
2017-02-10,38.91,39.3,38.0,38.9,8012
2017-02-13,39.0,39.08,38.5,38.5,6106
2017-02-14,38.4,38.85,38.0,38.04,5483
2017-02-15,38.04,38.49,37.67,38.19,5923
2017-02-16,38.27,38.27,38.04,38.04,646
2017-02-17,38.41,38.41,37.5,37.5,2538
2017-02-21,37.96,38.25,37.72,38.08,6504
2017-02-22,37.26,38.13,36.5,38.0,5083
2017-02-23,37.93,37.93,36.98,36.98,698
2017-02-24,36.9,37.46,36.9,37.41,1936
2017-02-27,37.25,38.22,37.2,38.22,4555
2017-02-28,38.0,38.0,37.46,37.88,5556
2017-03-01,37.57,37.9,37.3,37.76,3105
2017-03-02,38.0,38.0,37.06,37.27,3761
2017-03-03,37.25,38.22,37.15,37.2,3891
2017-03-06,37.2,37.2,36.04,36.68,6545
2017-03-07,36.58,36.66,36.17,36.35,3050
