date,open,high,low,close,volume
2018-09-21,27.0,30.6,27.0,28.45,25427173
2018-09-24,27.66,32.39,27.36,30.25,3699855
2018-09-25,31.78,32.4,27.77,28.65,2350280
2018-09-26,29.17,29.39,27.98,28.0,879061
2018-09-27,28.36,28.36,26.4,27.26,1766464
2018-09-28,27.79,27.79,26.8,27.23,903000
2018-10-01,26.89,27.0,24.06,26.07,1758339
2018-10-02,26.05,27.77,24.8,27.01,989591
2018-10-03,27.1,27.5,25.61,26.5,842799
2018-10-04,26.42,26.5,24.84,26.24,1672599
2018-10-05,26.04,26.04,24.75,24.84,583196
2018-10-08,24.51,24.51,23.0,23.16,2396971
2018-10-09,22.89,23.35,20.83,21.32,2079721
2018-10-10,21.32,21.32,18.39,20.76,2359002
2018-10-11,20.16,21.14,20.16,20.31,2351585
2018-10-12,20.7,23.57,20.7,23.3,2603328
2018-10-15,23.24,24.2,22.11,23.01,567061
2018-10-16,24.11,25.22,23.6,24.99,2248302
2018-10-17,25.0,25.16,23.53,24.18,694839
2018-10-18,24.09,24.48,22.61,22.98,563093
2018-10-19,23.17,23.4,20.59,21.0,959519
2018-10-22,21.18,22.41,20.7,22.0,1107225
2018-10-23,21.54,21.54,19.7,20.37,3724699
2018-10-24,20.5,20.6,18.53,18.75,1223941
2018-10-25,19.07,20.25,18.76,20.19,1246257
2018-10-26,19.59,20.19,19.1,19.9,2349541
2018-10-29,19.82,20.3,19.16,19.55,932612
2018-10-30,19.51,21.18,19.5,20.94,1669960
2018-10-31,21.25,21.52,20.18,20.54,1450008
2018-11-01,20.54,22.24,20.42,22.0,882607
2018-11-02,22.66,22.98,20.74,21.31,821813
2018-11-05,21.27,21.61,20.37,20.81,565022
2018-11-06,20.85,21.85,20.38,21.71,355754
2018-11-07,21.8,22.31,21.6,22.17,604024
2018-11-08,22.18,23.66,21.65,22.05,2156345
2018-11-09,22.42,24.7,21.79,23.27,2213349
2018-11-12,23.05,23.14,20.66,21.12,1195521
2018-11-13,21.35,22.25,21.0,21.75,884088
2018-11-14,21.85,22.59,21.77,22.32,895324
2018-11-15,22.34,23.96,22.1,23.61,794271
2018-11-16,23.57,23.8,22.45,22.54,313379
2018-11-19,22.3,22.82,19.97,20.27,822905
2018-11-20,19.89,20.6,19.28,19.47,865731
2018-11-21,19.82,21.14,19.69,21.04,705077
2018-11-23,21.08,21.6,21.04,21.17,107703
2018-11-26,21.65,22.3,21.4,21.61,523896
2018-11-27,21.5,21.6,20.74,21.31,515819
2018-11-28,21.38,22.74,21.19,22.43,491148
2018-11-29,22.45,23.19,22.2,22.84,859331
2018-11-30,22.72,23.37,22.42,22.75,1274709
2018-12-03,24.43,24.5,22.39,22.45,600762
2018-12-04,22.4,22.51,21.51,22.19,394595
2018-12-06,21.87,22.43,21.46,22.33,453183
2018-12-07,22.15,22.98,21.94,22.11,624981
2018-12-10,22.0,22.45,21.65,22.28,357478
2018-12-11,22.53,22.96,22.11,22.55,259166
2018-12-12,22.93,24.2,22.05,23.15,690778
2018-12-13,23.28,24.38,23.0,23.26,638432
2018-12-14,23.0,24.0,22.63,23.88,790724
2018-12-17,23.44,23.46,20.8,21.01,3403706
2018-12-18,21.29,21.99,20.76,21.12,1029704
2018-12-19,21.08,21.72,18.6,19.21,2649362
2018-12-20,19.01,19.55,16.4,18.62,3493542
2018-12-21,18.68,18.83,17.56,17.6,1198805
2018-12-24,17.56,17.64,16.77,17.01,590088
2018-12-26,17.3,17.88,16.96,17.34,2081347
2018-12-27,17.13,18.0,17.0,17.8,1040303
2018-12-28,17.77,18.13,17.18,17.95,937862
2018-12-31,18.1,18.26,17.33,17.71,501596
2019-01-02,17.32,17.88,17.0,17.36,972212
2019-01-03,16.97,17.5,15.99,16.4,1108090
2019-01-04,16.48,17.49,16.45,17.38,952417
2019-01-07,17.49,18.79,17.1,18.75,856163
2019-01-08,19.18,19.88,18.57,19.52,1103213
2019-01-09,19.79,20.03,19.33,19.54,833260
2019-01-10,19.4,19.45,18.41,19.14,647918
2019-01-11,18.86,18.93,18.18,18.47,499412
2019-01-14,18.03,18.76,17.67,18.55,579989
2019-01-15,18.6,19.13,18.2,18.98,579205
2019-01-16,19.0,19.85,18.93,19.63,704827
2019-01-17,19.68,20.11,19.41,20.02,286806
2019-01-18,20.2,21.0,20.03,20.87,603044
2019-01-22,20.5,21.17,19.72,20.21,857356
2019-01-23,20.16,20.48,19.56,19.61,555894
2019-01-24,19.62,20.15,19.14,19.85,589268
2019-01-25,20.13,20.72,19.85,20.63,258180
2019-01-28,20.18,20.7,19.8,20.62,286407
2019-01-29,20.57,20.57,19.74,19.79,411280
2019-01-30,20.26,20.3,19.21,19.66,577494
2019-01-31,19.61,20.65,19.6,20.15,398304
2019-02-01,20.06,20.29,19.66,20.09,443160
2019-02-04,20.18,20.29,19.67,19.75,597683
2019-02-05,19.9,20.38,19.3,19.36,464307
2019-02-06,19.39,19.65,19.1,19.41,365480
2019-02-07,19.19,19.74,19.02,19.65,254284
2019-02-08,19.6,19.73,19.38,19.49,426656
2019-02-11,19.62,19.92,19.0,19.14,473466
2019-02-12,19.44,19.47,18.99,19.28,729000
2019-02-13,19.45,19.65,19.0,19.04,915136
2019-02-14,19.03,19.48,18.55,19.0,505954
2019-02-15,19.02,19.67,18.89,19.6,712723
2019-02-19,19.38,19.91,19.02,19.56,745388
2019-02-20,19.65,19.94,19.04,19.8,1003307
2019-02-21,19.92,19.97,19.54,19.79,1499293
2019-02-22,20.03,20.42,19.42,20.2,1767915
2019-02-25,20.44,22.03,20.21,21.85,3111997
2019-02-26,21.72,24.35,21.49,24.2,3809574
2019-02-27,23.97,25.78,23.81,24.9,1407562
2019-02-28,25.75,25.75,23.84,24.5,1468735
2019-03-01,28.8,31.41,28.04,28.82,8419122
2019-03-04,29.46,31.6,28.0,29.69,2873778
2019-03-05,29.54,29.59,28.34,28.47,1072650
2019-03-06,28.55,28.97,27.93,27.96,1131606
2019-03-07,28.0,28.0,26.64,27.05,1372189
2019-03-08,26.5,27.84,25.95,27.73,1613218
2019-03-11,28.25,28.43,26.73,26.95,1232108
2019-03-12,26.98,27.14,26.4,26.97,875015
2019-03-13,27.0,27.3,25.95,26.71,713355
2019-03-14,26.5,27.4,26.0,27.26,923372
2019-03-15,27.25,27.63,26.9,27.09,759624
2019-03-18,27.3,27.53,26.9,27.13,1116364
2019-03-19,27.11,27.25,26.1,26.65,1073655
2019-03-20,26.1,27.1,25.9,26.62,14683314
2019-03-21,26.28,26.79,26.25,26.52,4940321
2019-03-22,26.44,26.7,25.74,26.37,3180910
2019-03-25,26.1,26.85,25.86,26.19,3352571
2019-03-26,27.13,28.0,26.61,27.9,4956304
2019-03-27,28.05,28.06,26.8,27.26,3660394
2019-03-28,27.26,27.49,26.7,27.17,2135834
2019-03-29,27.46,27.46,26.22,26.91,1630592
2019-04-01,27.2,27.58,26.42,26.95,2007397
2019-04-02,26.89,26.9,26.39,26.53,893513
2019-04-03,26.63,27.56,26.49,26.75,2587540
2019-04-04,26.76,26.79,25.26,26.01,1765119
2019-04-05,26.14,26.51,25.84,26.31,1734190
2019-04-08,26.18,26.55,24.78,25.25,2487005
2019-04-09,25.07,25.66,24.7,25.5,2481465
2019-04-10,25.6,25.72,24.32,24.93,2924689
2019-04-11,24.9,24.95,24.5,24.84,886189
2019-04-12,25.0,25.9,24.8,25.76,5639543
2019-04-15,25.76,25.89,24.81,25.02,2216184
2019-04-16,25.21,25.28,23.8,24.0,2459201
2019-04-17,24.12,24.37,23.21,24.19,2598052
2019-04-18,24.17,24.19,23.34,23.79,3340078
2019-04-22,23.78,23.82,23.2,23.5,2026204
2019-04-23,23.91,24.74,23.61,24.68,2604688
2019-04-24,24.67,24.83,24.14,24.56,2288005
2019-04-25,24.23,25.2,24.13,25.06,1371890
2019-04-26,25.07,25.25,24.6,25.03,1330751
2019-04-29,25.05,25.25,24.76,25.05,1800262
2019-04-30,25.06,25.18,24.4,24.78,1128969
2019-05-01,25.13,25.45,24.77,24.8,2302955
2019-05-02,24.79,25.33,24.65,25.29,2017580
2019-05-03,25.35,25.76,25.21,25.56,1360952
2019-05-06,24.78,25.7,24.2,25.57,2499030
2019-05-07,25.62,25.75,25.08,25.34,2594829
2019-05-08,25.17,25.4,24.05,24.1,1964220
2019-05-09,23.92,24.67,23.05,24.57,2741882
2019-05-10,24.46,24.48,23.29,23.94,1872210
2019-05-13,23.0,23.32,22.62,23.01,2206601
2019-05-14,23.25,23.67,23.06,23.59,2213923
2019-05-15,23.76,25.33,23.41,25.33,5663609
2019-05-16,23.82,23.9,20.64,22.65,19462926
2019-05-17,22.3,23.13,22.14,22.69,4452339
2019-05-20,21.91,22.12,20.91,21.19,10716770
2019-05-21,21.31,22.27,21.07,22.01,7557887
2019-05-22,21.92,22.41,21.8,22.2,3621060
2019-05-23,21.58,21.92,20.76,21.54,5612934
2019-05-24,21.6,22.09,21.5,21.84,2542232
2019-05-28,21.8,22.4,21.74,22.19,2615449
2019-05-29,21.88,22.19,21.61,21.8,2497111
2019-05-30,21.82,21.95,21.16,21.44,1619260
2019-05-31,21.15,21.4,20.01,20.05,2751556
2019-06-03,20.0,20.13,19.28,19.4,3669844
2019-06-04,19.77,19.77,18.95,19.3,6079448
2019-06-05,19.34,19.44,18.98,19.0,2780433
2019-06-06,19.0,20.12,19.0,19.78,7266874
2019-06-07,20.12,20.28,19.24,19.76,2799020
2019-06-10,20.03,20.08,19.65,19.65,1787396
2019-06-11,20.0,21.1,19.88,21.0,3897928
2019-06-12,21.26,21.9,20.98,21.08,4084074
2019-06-13,21.07,21.95,21.01,21.95,5307501
2019-06-14,21.71,21.99,21.3,21.99,4188208
2019-06-17,22.0,22.69,21.78,22.5,4691140
2019-06-18,22.7,23.43,22.51,22.86,6457148
2019-06-19,22.93,23.0,22.39,22.87,1897477
2019-06-20,23.17,23.35,21.91,22.06,3193981
2019-06-21,22.02,22.17,21.69,21.97,1788856
2019-06-24,21.96,22.0,20.77,20.99,3171753
2019-06-25,20.89,21.05,19.61,19.71,3933209
2019-06-26,19.86,20.36,19.33,20.3,4852230
2019-06-27,20.44,21.41,20.38,20.76,2181557
2019-06-28,20.8,21.35,20.42,20.8,2506637
2019-07-01,21.3,21.45,20.23,20.25,2452137
2019-07-02,20.15,20.19,19.59,20.1,1710736
2019-07-03,20.06,20.33,19.74,20.25,847751
2019-07-05,19.92,20.44,19.9,19.93,1053214
2019-07-08,19.9,19.97,19.28,19.51,1632525
2019-07-09,19.37,19.98,19.28,19.77,805974
2019-07-10,19.88,20.37,19.47,19.83,1180096
2019-07-11,20.01,20.02,19.59,19.79,1251326
2019-07-12,19.75,20.03,19.61,19.96,699060
2019-07-15,20.0,20.57,19.71,20.5,1345250
2019-07-16,20.56,20.97,20.31,20.4,3115745
2019-07-17,21.05,21.64,20.5,21.29,2856627
2019-07-18,21.13,21.45,21.03,21.3,1857770
2019-07-19,21.37,22.05,21.14,21.2,2096090
2019-07-22,21.18,21.51,20.7,21.39,880940
2019-07-23,21.48,22.11,21.48,21.72,2683990
2019-07-24,21.66,22.01,21.39,21.93,1591325
2019-07-25,21.9,21.99,21.61,21.7,1021832
2019-07-26,21.74,22.05,21.55,22.0,1033245
2019-07-29,21.99,22.04,21.42,22.0,808146
2019-07-30,21.8,21.8,20.89,20.97,764797
2019-07-31,20.96,21.18,19.72,20.1,1385088
2019-08-01,20.27,20.69,19.69,20.01,1214823
2019-08-02,19.82,19.94,19.2,19.49,1168553
2019-08-05,18.89,18.95,17.88,18.09,2554275
2019-08-06,18.3,18.54,17.15,17.36,3950175
2019-08-07,17.36,17.46,16.91,17.37,3188642
2019-08-08,17.51,18.64,17.25,18.25,4423336
2019-08-09,11.05,11.3,9.22,10.13,33482213
2019-08-12,10.9,11.67,10.7,11.4,13238783
2019-08-13,11.57,12.42,11.45,12.0,9142812
2019-08-14,11.61,11.66,11.13,11.51,8065701
2019-08-15,11.56,11.72,10.92,11.25,5656967
2019-08-16,11.24,11.28,10.9,11.25,3214438
2019-08-19,11.4,11.48,10.62,10.83,4715652
2019-08-20,10.85,10.85,10.33,10.58,2359702
2019-08-21,10.66,10.74,10.32,10.46,1553722
2019-08-22,10.49,10.52,9.68,10.23,4145587
2019-08-23,10.1,10.42,9.91,9.92,2638378
2019-08-26,9.92,9.99,9.51,9.76,2294871
2019-08-27,9.86,10.1,9.4,9.63,3104717
2019-08-28,9.64,9.83,9.36,9.43,1742484
2019-08-29,9.52,9.66,9.16,9.66,2968548
2019-08-30,9.62,10.09,9.52,9.78,1689416
2019-09-03,9.67,9.7,8.82,8.96,3748352
2019-09-04,9.01,9.43,9.0,9.21,3305112
2019-09-05,9.28,9.48,9.08,9.34,4194721
2019-09-06,9.42,9.46,8.88,9.05,2547883
2019-09-09,9.04,9.21,8.95,9.17,1987351
2019-09-10,9.14,9.42,8.96,9.27,4822002
2019-09-11,9.21,10.49,9.15,9.95,7203268
2019-09-12,10.07,10.17,9.9,9.98,2806409
2019-09-13,9.96,10.31,9.83,9.87,2496928
2019-09-16,9.74,10.41,9.71,10.27,2245112
2019-09-17,10.3,10.31,10.03,10.2,2456407
2019-09-18,10.17,10.28,9.25,9.34,5198289
2019-09-19,9.44,9.46,8.64,8.89,5538879
2019-09-20,8.88,9.03,8.67,8.89,2557074
2019-09-23,8.82,8.98,8.44,8.5,3781678
2019-09-24,8.55,8.55,8.22,8.44,3461623
2019-09-25,8.45,8.7,8.15,8.59,2406142
2019-09-26,8.62,8.71,8.35,8.44,2168751
2019-09-27,8.43,8.69,8.2,8.49,3598003
2019-09-30,8.56,8.86,8.52,8.64,3679663
2019-10-01,8.62,8.91,8.43,8.76,5020197
2019-10-02,8.6,8.77,8.15,8.27,3829567
2019-10-03,8.27,8.45,8.14,8.41,3174346
2019-10-04,8.44,8.45,7.88,8.17,3869273
2019-10-07,8.2,8.24,7.86,8.0,3382060
2019-10-08,7.9,8.03,7.77,7.83,1807540
2019-10-09,7.95,7.98,7.7,7.85,1820504
2019-10-10,7.85,8.01,7.82,7.95,3146876
2019-10-11,8.03,8.35,7.99,8.02,3078293
2019-10-14,8.0,8.08,7.67,7.87,1353265
2019-10-15,7.86,8.16,7.73,8.13,1147802
2019-10-16,8.18,8.46,8.15,8.28,2030246
2019-10-17,8.38,8.55,8.19,8.38,2341590
2019-10-18,8.38,8.45,7.8,8.04,3502392
2019-10-21,8.09,8.31,7.89,8.0,2006625
2019-10-22,8.26,8.26,7.59,7.74,4832854
2019-10-23,7.73,8.06,7.64,7.99,2795541
2019-10-24,8.06,8.2,7.79,7.87,2677588
2019-10-25,7.89,8.2,7.79,7.99,2383703
2019-10-28,8.08,8.6,7.97,8.52,4184283
2019-10-29,8.6,9.02,8.51,9.0,5384124
2019-10-30,9.0,9.57,8.8,8.94,9975813
2019-10-31,8.87,8.94,8.55,8.93,3147364
2019-11-01,8.91,9.06,8.37,8.54,3150963
2019-11-04,8.52,9.01,8.51,8.74,4176670
2019-11-05,8.81,9.32,8.81,8.84,3503672
2019-11-06,8.85,9.14,8.77,8.9,2364084
2019-11-07,8.98,9.28,8.95,9.17,2674424
2019-11-08,9.17,9.22,8.83,9.0,3378012
2019-11-11,8.91,8.95,8.17,8.25,5126045
2019-11-12,8.23,8.4,7.89,8.18,5867101
2019-11-13,7.77,8.09,7.67,8.04,4627809
2019-11-14,7.96,8.0,7.43,7.48,9011655
2019-11-15,10.01,10.25,9.27,9.67,24149783
2019-11-18,9.64,9.75,9.0,9.26,9522819
2019-11-19,9.24,9.45,9.04,9.3,3511952
2019-11-20,9.2,9.35,9.11,9.2,3186612
2019-11-21,9.17,9.4,9.02,9.39,2841390
2019-11-22,9.46,9.74,9.22,9.68,3383413
2019-11-25,9.7,9.74,9.62,9.73,4187402
2019-11-26,9.77,9.8,9.6,9.62,3805566
2019-11-27,9.69,10.1,9.64,10.1,4245330
2019-11-29,10.1,10.2,9.87,9.96,1213955
