date,open,high,low,close,volume
2017-01-03,63.25,63.4,61.1,61.9,239404
2017-01-04,62.5,63.9,62.5,63.4,279498
2017-01-05,62.05,62.05,59.3,60.2,293803
2017-01-06,60.5,60.7,57.05,57.2,450753
2017-01-09,57.75,62.15,57.75,61.45,668534
2017-01-10,61.45,63.25,61.45,63.05,459313
2017-01-11,63.2,63.2,61.4,62.25,268135
2017-01-12,62.05,62.05,60.6,61.5,182113
2017-01-13,61.75,63.25,61.75,62.75,150396
2017-01-17,62.9,65.7,62.7,63.15,233153
2017-01-18,62.8,63.1,61.7,63.05,157405
2017-01-19,62.85,63.45,60.45,61.0,121511
2017-01-20,61.2,61.75,60.6,61.4,116006
2017-01-23,60.8,60.85,59.55,60.2,157664
2017-01-24,60.45,61.9,60.45,61.6,148080
2017-01-25,61.6,62.7,61.6,62.35,94004
2017-01-26,62.15,63.15,60.5,60.75,190937
2017-01-27,60.8,61.25,59.05,59.3,268751
2017-01-30,58.9,60.6,57.8,60.2,182722
2017-01-31,59.3,60.3,57.8,60.2,271791
2017-02-01,60.25,60.7,59.55,59.6,186701
2017-02-02,59.7,61.3,59.2,60.0,237508
2017-02-03,59.95,61.15,59.35,59.95,233854
2017-02-06,59.85,61.05,59.2,59.5,166016
2017-02-07,59.55,59.55,57.9,58.0,223683
2017-02-08,57.8,59.4,57.35,59.15,298162
2017-02-09,59.25,61.45,59.25,60.8,191865
2017-02-10,61.4,62.85,61.1,62.75,184428
2017-02-13,63.0,63.4,61.4,61.95,175931
2017-02-14,61.35,63.2,61.35,63.0,152420
2017-02-15,62.65,63.05,61.9,62.6,153385
2017-02-16,62.25,62.35,59.6,59.95,186276
2017-02-17,59.8,60.35,59.3,60.35,172496
2017-02-21,60.9,61.8,60.1,60.6,151855
2017-02-22,60.35,61.1,60.25,61.1,127002
2017-02-23,61.15,61.55,58.5,58.65,162774
2017-02-24,58.6,62.05,58.4,60.05,218386
2017-02-27,59.85,61.2,59.5,60.35,154529
2017-02-28,59.85,59.85,57.9,58.3,205753
2017-03-01,59.3,59.4,56.85,57.75,323697
2017-03-02,57.55,60.5,57.55,60.3,211135
2017-03-03,58.7,59.6,57.15,57.8,341013
2017-03-06,57.4,57.85,56.45,57.45,250059
2017-03-07,57.5,57.65,56.45,56.45,221829
2017-03-08,56.3,57.88,56.3,57.3,257820
2017-03-09,57.0,57.15,55.9,56.4,408961
2017-03-10,61.0,63.5,60.3,61.3,823609
2017-03-13,61.1,61.1,58.15,58.6,388196
2017-03-14,58.7,59.05,57.55,58.05,253961
2017-03-15,58.25,58.85,57.5,58.7,242653
2017-03-16,58.5,59.55,58.3,59.2,165920
2017-03-17,59.75,59.75,58.4,59.15,311852
2017-03-20,59.45,59.45,58.0,58.1,223467
2017-03-21,58.35,58.35,55.05,55.8,265097
2017-03-22,55.6,55.6,54.35,55.25,284148
2017-03-23,55.4,57.05,55.4,55.75,275459
2017-03-24,55.5,55.95,55.2,55.85,205641
2017-03-27,54.95,57.05,54.95,56.5,256230
2017-03-28,56.25,56.7,55.75,56.25,253249
2017-03-29,56.15,57.7,55.8,56.9,256963
2017-03-30,56.55,56.9,55.3,56.1,441838
2017-03-31,56.05,56.1,54.9,55.45,293312
2017-04-03,55.4,55.7,54.35,54.6,363233
2017-04-04,54.35,54.35,52.2,52.65,322918
2017-04-05,53.1,53.3,50.35,50.75,403370
2017-04-06,51.2,53.05,51.2,51.85,250601
2017-04-07,51.4,51.75,50.75,51.3,298943
2017-04-10,51.4,52.5,51.05,52.1,192281
2017-04-11,52.15,53.05,51.75,53.0,275668
2017-04-12,52.5,53.1,51.95,51.95,226260
2017-04-13,51.9,52.05,50.4,50.85,273087
2017-04-17,51.1,51.55,50.25,50.75,191936
2017-04-18,50.8,50.8,49.85,50.55,223220
2017-04-19,50.7,51.8,50.7,51.25,201212
2017-04-20,54.3,55.9,53.25,54.05,548141
2017-04-21,54.05,54.35,53.1,53.15,286999
2017-04-24,54.2,54.2,52.15,52.7,308443
2017-04-25,53.0,53.1,51.88,51.95,220376
2017-04-26,52.65,54.45,52.4,54.2,1156572
2017-04-27,54.55,54.55,53.05,53.7,172569
2017-04-28,53.75,53.75,52.95,53.3,636928
2017-05-01,53.55,53.6,52.35,53.05,236264
2017-05-02,53.15,54.0,53.05,53.6,169969
2017-05-03,53.35,53.7,52.7,53.6,185946
2017-05-04,53.9,53.95,52.43,52.9,189337
2017-05-05,53.2,53.65,52.25,53.4,171838
2017-05-08,53.6,54.2,53.55,53.65,340323
2017-05-09,54.1,54.45,53.55,53.85,207089
2017-05-10,53.9,55.3,53.65,54.75,302559
2017-05-11,53.75,53.75,51.85,52.3,386568
2017-05-12,51.95,51.95,50.7,51.2,354048
2017-05-15,51.3,51.45,50.4,50.7,345104
2017-05-16,50.25,50.35,49.45,49.85,234974
2017-05-17,49.0,49.3,48.0,48.4,627356
2017-05-18,48.55,49.4,47.75,48.0,560007
2017-05-19,47.65,47.8,45.0,45.05,969890
2017-05-22,46.0,47.03,45.3,46.05,603589
2017-05-23,46.0,46.0,45.35,45.75,526126
2017-05-24,45.35,45.95,44.15,44.55,620548
2017-05-25,38.15,38.2,33.55,34.4,3557024
2017-05-26,34.05,37.38,33.55,36.75,1888860
2017-05-30,36.75,37.4,36.0,37.15,1039957
2017-05-31,37.4,37.6,36.35,37.2,719663
2017-06-01,37.15,37.85,36.6,37.85,476240
2017-06-02,37.1,38.05,36.3,36.6,430878
2017-06-05,36.5,36.55,35.59,36.5,635337
2017-06-06,36.65,36.7,35.05,35.6,455836
2017-06-07,35.4,35.55,34.8,35.4,396207
2017-06-08,35.5,35.6,34.65,34.95,409133
2017-06-09,34.95,36.05,34.4,35.75,479181
2017-06-12,35.75,36.8,35.35,35.4,394040
2017-06-13,35.35,35.7,34.65,35.05,300583
2017-06-14,35.05,35.45,34.4,35.35,255909
2017-06-15,35.15,35.65,34.65,34.9,284313
2017-06-16,34.65,34.65,34.1,34.6,549170
2017-06-19,34.55,35.25,34.0,34.65,495586
2017-06-20,34.55,34.55,33.2,33.55,426594
2017-06-21,33.25,33.45,31.85,32.0,321215
2017-06-22,32.0,32.8,31.8,32.35,234648
2017-06-23,31.95,33.1,31.8,32.9,498739
2017-06-26,33.15,33.85,32.85,33.2,537991
2017-06-27,33.25,34.15,33.15,33.55,287579
2017-06-28,33.65,34.2,33.25,33.5,290567
2017-06-29,33.6,34.5,33.55,34.4,341758
2017-06-30,34.65,34.65,33.5,33.9,416466
2017-07-03,34.1,34.8,33.65,34.4,383545
2017-07-05,34.35,34.55,33.1,33.55,235324
2017-07-06,33.4,33.4,32.05,32.3,243835
2017-07-07,32.55,33.1,32.15,32.9,180884
2017-07-10,32.8,32.85,31.1,31.25,358642
2017-07-11,31.2,31.5,30.65,31.25,208638
2017-07-12,31.45,31.85,30.7,31.05,197258
2017-07-13,31.05,32.45,31.05,32.15,233656
2017-07-14,32.2,32.3,31.6,32.0,255012
2017-07-17,32.05,33.4,32.0,32.7,284517
2017-07-18,32.55,32.55,31.25,31.9,225304
2017-07-19,32.0,32.85,32.0,32.4,203732
2017-07-20,32.55,33.2,32.25,33.05,207235
2017-07-21,33.2,33.3,31.6,32.05,275931
2017-07-24,31.9,31.9,28.88,29.7,706173
2017-07-25,29.85,31.35,29.5,31.0,341266
2017-07-26,31.1,31.55,30.3,31.3,180299
2017-07-27,31.35,32.75,31.1,32.6,251727
2017-07-28,32.35,32.75,31.55,32.15,219016
2017-07-31,32.25,32.6,31.45,32.1,274267
2017-08-01,32.25,32.6,31.5,32.5,214278
2017-08-02,32.25,32.5,31.55,31.6,144735
2017-08-03,31.55,32.35,31.1,31.3,138301
2017-08-04,31.45,32.1,31.3,31.55,255033
2017-08-07,31.6,32.15,31.25,31.4,167255
2017-08-08,31.7,33.75,31.7,32.5,333550
2017-08-09,32.2,32.2,30.55,31.25,491495
2017-08-10,30.8,30.85,27.95,28.45,419598
2017-08-11,28.55,28.93,27.75,28.7,342689
2017-08-14,29.0,29.05,27.95,28.15,196575
2017-08-15,28.0,28.4,26.3,26.45,346640
2017-08-16,26.7,27.95,26.7,26.75,593072
2017-08-17,26.65,27.15,26.03,26.15,312800
2017-08-18,25.35,25.9,23.5,23.9,735630
2017-08-21,23.85,23.85,21.86,22.7,765060
2017-08-22,23.35,23.95,22.9,23.75,735075
2017-08-23,23.65,24.35,23.6,24.15,468289
2017-08-24,24.7,26.4,24.7,25.35,457839
2017-08-25,25.4,28.0,25.4,27.75,704434
2017-08-28,26.0,26.0,24.7,25.3,618592
2017-08-29,24.85,25.4,24.75,25.3,396794
2017-08-30,25.25,25.95,24.75,25.5,732054
2017-08-31,23.95,25.15,20.9,21.15,2656143
2017-09-01,21.25,23.45,21.25,23.2,1232522
2017-09-05,23.25,24.1,22.9,23.6,816316
2017-09-06,23.75,25.15,23.7,24.35,831577
2017-09-07,24.55,24.75,23.45,23.85,538102
2017-09-08,24.65,26.05,24.05,24.95,823685
2017-09-11,24.45,24.9,23.9,24.65,565582
2017-09-12,24.65,25.9,24.65,25.3,488111
2017-09-13,25.15,26.4,25.15,25.75,447097
2017-09-14,25.7,25.7,24.75,25.05,319084
2017-09-15,25.1,26.45,24.7,26.25,890460
2017-09-18,26.25,26.55,25.4,25.95,548549
2017-09-19,26.1,26.15,25.05,25.5,539650
2017-09-20,25.45,25.45,24.4,25.15,576326
2017-09-21,25.3,25.3,24.65,24.8,426938
2017-09-22,24.7,25.8,24.55,25.7,360612
2017-09-25,25.7,27.15,25.7,26.35,605949
2017-09-26,26.35,27.2,26.35,26.7,476216
2017-09-27,26.85,27.02,25.85,26.8,426984
2017-09-28,26.8,27.25,26.15,26.4,390350
2017-09-29,26.4,26.8,26.1,26.6,395477
2017-10-02,26.6,26.95,26.0,26.5,351033
2017-10-03,26.1,26.65,26.0,26.4,270624
2017-10-04,26.4,26.5,25.5,25.7,312961
2017-10-05,25.8,26.75,25.55,26.75,329688
2017-10-06,26.6,26.85,26.15,26.45,369135
2017-10-09,26.45,26.55,25.25,25.3,477896
2017-10-10,25.4,26.4,25.4,26.0,312261
2017-10-11,25.9,26.05,25.08,25.35,424903
2017-10-12,25.1,25.35,23.35,24.1,543957
2017-10-13,24.2,24.6,23.35,23.5,402020
2017-10-16,23.3,23.6,22.65,23.1,390638
2017-10-17,23.05,23.35,22.55,22.95,292935
2017-10-18,23.15,23.95,22.9,23.45,252717
2017-10-19,23.3,24.25,23.1,23.9,426800
2017-10-20,24.25,26.05,24.05,25.8,1069612
2017-10-23,25.8,27.23,25.7,26.8,484631
2017-10-24,26.85,27.15,26.25,26.45,300783
2017-10-25,26.45,26.45,25.15,25.85,461570
2017-10-26,26.0,26.8,25.83,26.3,315113
2017-10-27,25.85,26.05,24.65,25.45,448072
2017-10-30,25.4,25.45,24.1,24.3,555851
2017-10-31,24.25,24.85,23.95,24.5,427430
2017-11-01,24.55,25.25,24.2,24.45,329617
2017-11-02,24.5,25.2,24.3,24.8,278986
2017-11-03,24.85,24.85,24.3,24.5,248576
2017-11-06,24.6,25.3,24.35,24.5,311510
2017-11-07,24.55,24.6,23.4,23.75,299478
2017-11-08,23.65,24.15,23.25,23.9,282015
2017-11-09,23.8,25.25,23.8,24.75,467352
2017-11-10,24.85,25.75,24.75,25.25,476861
2017-11-13,25.25,25.5,24.55,25.0,224256
2017-11-14,24.75,25.2,24.4,25.0,294540
2017-11-15,25.0,25.75,24.25,25.3,329314
2017-11-16,25.35,26.2,25.3,25.95,265672
2017-11-17,26.75,29.85,26.75,29.6,761373
2017-11-20,29.7,30.03,28.73,29.85,675809
2017-11-21,29.5,29.5,28.48,28.75,469016
2017-11-22,28.8,29.35,28.45,28.95,404968
2017-11-24,29.0,29.4,28.5,28.75,186792
2017-11-27,28.8,29.8,28.25,29.15,442539
2017-11-28,29.2,30.8,29.05,30.7,805088
2017-11-29,30.2,31.8,30.2,31.25,956827
2017-11-30,31.4,32.2,30.95,31.1,939912
2017-12-01,25.5,26.0,24.5,25.55,3013982
2017-12-04,25.45,27.63,25.45,27.6,1149230
2017-12-05,27.65,28.25,27.2,28.0,1186103
2017-12-06,28.25,29.28,28.1,28.7,646633
2017-12-07,28.95,29.45,28.45,28.75,487986
2017-12-08,28.85,30.0,28.25,29.9,606688
2017-12-11,30.0,30.5,29.5,30.35,635192
2017-12-12,30.45,30.8,30.0,30.25,553618
2017-12-13,30.25,31.05,29.81,30.6,695798
2017-12-14,30.7,30.85,30.1,30.25,904896
2017-12-15,30.4,31.3,30.25,31.05,993010
2017-12-18,31.4,31.85,30.95,31.7,535629
2017-12-19,31.8,31.95,30.9,31.05,417968
2017-12-20,31.55,32.3,30.81,32.3,416450
2017-12-21,32.45,32.7,32.2,32.4,196018
2017-12-22,32.25,32.8,31.8,32.65,311727
2017-12-26,32.75,33.8,32.4,33.25,331030
