date,open,high,low,close,volume
2019-03-20,0.0,0.0,0.0,17.0,0
2019-03-21,22.22,23.15,22.0,22.41,43433725
2019-03-22,22.86,23.24,22.01,22.12,12359177
2019-03-25,22.25,22.5,21.37,21.77,3832285
2019-03-26,22.04,22.4,21.9,22.08,2924027
2019-03-27,22.32,22.72,22.19,22.3,5228088
2019-03-28,22.5,22.7,22.4,22.69,1763050
2019-03-29,22.8,23.74,22.7,23.55,2413940
2019-04-01,23.99,24.19,22.6,22.71,2587137
2019-04-02,22.8,23.08,22.43,23.0,1225447
2019-04-03,23.13,23.18,21.7,21.78,2632777
2019-04-04,21.85,21.99,21.38,21.69,1236656
2019-04-05,21.78,21.95,21.51,21.69,1570664
2019-04-08,21.69,21.9,21.24,21.3,1607766
2019-04-09,21.4,22.02,21.26,21.88,3204088
2019-04-10,23.23,23.9,22.72,22.75,10398245
2019-04-11,23.01,23.21,22.75,23.03,2183245
2019-04-12,23.07,23.22,22.32,22.45,1689845
2019-04-15,22.81,24.17,22.66,23.97,5351696
2019-04-16,24.23,24.5,23.6,23.91,2509081
2019-04-17,23.82,23.96,23.44,23.45,941958
2019-04-18,23.45,24.34,23.33,23.79,2058588
2019-04-22,23.81,23.91,22.77,22.82,1735042
2019-04-23,22.9,22.97,22.15,22.19,2226791
2019-04-24,22.27,22.6,21.84,22.4,1342247
2019-04-25,22.4,22.51,21.88,22.33,1104728
2019-04-26,22.4,22.93,22.06,22.79,1159291
2019-04-29,23.04,23.26,22.79,23.19,835256
2019-04-30,23.37,23.43,22.41,22.41,1035950
2019-05-01,22.45,22.65,22.18,22.63,1335209
2019-05-02,22.48,22.97,22.33,22.92,954883
2019-05-03,22.99,23.06,22.38,22.61,1211123
2019-05-06,22.3,22.75,22.19,22.69,682770
2019-05-07,22.44,22.88,22.42,22.83,1209616
2019-05-08,22.61,22.89,22.57,22.6,678005
2019-05-09,22.51,22.63,22.31,22.48,598267
2019-05-10,22.3,22.54,22.23,22.38,727242
2019-05-13,22.0,22.12,21.8,21.98,1052987
2019-05-14,22.21,22.65,22.0,22.38,826258
2019-05-15,22.5,22.62,22.04,22.1,534475
2019-05-16,22.16,22.35,21.96,21.97,832998
2019-05-17,21.89,22.34,21.8,21.95,533890
2019-05-20,21.81,22.07,21.74,22.02,473699
2019-05-21,22.0,22.29,21.89,22.25,371482
2019-05-22,22.06,22.48,22.06,22.4,381805
2019-05-23,22.25,22.49,22.09,22.14,660054
2019-05-24,22.25,22.42,21.78,22.06,1182822
2019-05-28,22.0,22.2,21.75,21.99,668204
2019-05-29,21.79,21.82,21.0,21.28,1541656
2019-05-30,21.11,21.33,20.41,20.79,1893929
2019-05-31,20.54,20.56,18.92,19.42,3355862
2019-06-03,19.43,20.79,19.37,20.63,1185491
2019-06-04,20.84,22.08,20.81,21.48,2093198
2019-06-05,21.51,21.55,20.7,21.33,784479
2019-06-06,21.21,21.39,20.45,20.82,782168
2019-06-07,20.8,21.09,20.4,20.97,714448
2019-06-10,21.19,22.11,21.19,21.65,577563
2019-06-11,21.76,21.88,20.82,20.91,485904
2019-06-12,20.95,21.13,20.5,20.63,736479
2019-06-13,20.73,21.54,20.7,21.18,478536
2019-06-14,21.01,21.89,21.0,21.49,708001
2019-06-17,21.57,22.25,21.5,21.83,1047405
2019-06-18,21.87,22.14,21.64,21.76,628934
2019-06-19,21.98,22.47,21.75,22.31,730063
2019-06-20,22.45,22.47,21.35,21.78,1181681
2019-06-21,21.77,21.94,21.48,21.76,2399280
2019-06-24,21.65,22.03,20.9,21.06,788203
2019-06-25,21.13,21.45,20.75,20.75,927189
2019-06-26,21.15,21.47,20.45,20.71,2299480
2019-06-27,20.68,21.18,20.68,21.07,948597
2019-06-28,21.1,21.29,20.7,20.88,699081
2019-07-01,21.0,21.55,20.78,21.25,1233495
2019-07-02,21.28,21.64,21.02,21.36,963234
2019-07-03,21.42,22.0,21.2,21.79,683644
2019-07-05,21.7,22.5,21.57,22.27,1060716
2019-07-08,22.46,23.37,22.3,23.19,1860032
2019-07-09,23.09,23.74,22.54,23.66,4003689
2019-07-10,21.78,21.97,20.65,20.82,17099722
2019-07-11,20.84,20.84,20.2,20.25,4510189
2019-07-12,20.29,20.4,19.56,20.12,3648022
2019-07-15,20.0,20.34,19.97,20.12,1201588
2019-07-16,20.0,20.12,19.8,19.8,968688
2019-07-17,19.2,19.26,18.49,18.89,4894343
2019-07-18,18.79,18.89,18.16,18.4,2238216
2019-07-19,18.39,18.81,18.39,18.75,1052108
2019-07-22,18.83,18.9,18.26,18.43,1105544
2019-07-23,18.3,18.64,18.3,18.5,708966
2019-07-24,18.63,19.25,18.52,19.24,1127269
2019-07-25,19.3,19.52,19.06,19.32,996699
2019-07-26,19.4,19.54,19.3,19.37,800404
2019-07-29,19.35,19.7,18.97,19.29,879211
2019-07-30,19.22,19.29,18.66,18.82,1279658
2019-07-31,19.05,19.15,18.59,19.06,1222448
2019-08-01,18.89,19.21,18.23,18.31,1712359
2019-08-02,18.63,19.16,18.37,18.88,1454357
2019-08-05,18.48,18.71,18.12,18.64,1241259
2019-08-06,18.6,18.73,18.0,18.51,1038594
2019-08-07,18.22,18.3,17.74,17.93,1488423
2019-08-08,17.98,18.08,17.52,17.61,1213621
2019-08-09,17.5,17.62,16.72,17.33,1442668
2019-08-12,17.14,17.24,16.86,17.11,853693
2019-08-13,17.04,17.96,16.87,17.21,1414842
2019-08-14,16.77,16.77,16.0,16.25,1530074
2019-08-15,16.79,16.91,16.06,16.12,1004139
2019-08-16,16.4,16.6,16.29,16.3,942437
2019-08-19,16.64,16.78,16.07,16.31,1196772
2019-08-20,16.35,16.56,16.19,16.46,644964
2019-08-21,16.68,17.18,16.61,16.98,861548
2019-08-22,16.95,17.22,16.81,17.2,450543
2019-08-23,17.04,17.04,16.48,16.66,769045
2019-08-26,16.86,17.32,16.69,17.13,605054
2019-08-27,17.2,17.35,16.6,16.71,716190
2019-08-28,16.64,17.3,16.64,17.11,342292
2019-08-29,17.42,17.42,17.15,17.35,322002
2019-08-30,17.33,17.41,16.82,16.9,416346
2019-09-03,16.67,16.98,16.57,16.97,424961
2019-09-04,17.07,17.42,16.89,17.35,574934
2019-09-05,17.56,17.7,17.4,17.58,606458
2019-09-06,17.65,17.65,16.96,17.08,894871
2019-09-09,17.25,18.27,17.08,18.19,1913421
2019-09-10,18.1,18.55,17.85,18.53,1428044
2019-09-11,18.47,19.07,18.03,19.01,1432385
2019-09-12,18.85,19.09,18.51,18.57,898909
2019-09-13,18.62,18.89,17.93,18.0,664800
2019-09-16,18.0,18.23,17.77,17.91,666555
2019-09-17,18.43,18.54,17.95,18.26,1304108
2019-09-18,18.24,18.45,18.05,18.3,808579
2019-09-19,18.35,18.51,18.15,18.49,295909
2019-09-20,18.47,18.69,18.25,18.25,968178
2019-09-23,18.1,18.47,18.1,18.35,678220
2019-09-24,18.41,18.53,17.82,18.19,354064
2019-09-25,18.41,18.95,18.27,18.91,673188
2019-09-26,18.89,19.14,18.75,19.08,682513
2019-09-27,18.93,19.25,18.78,19.21,612446
2019-09-30,19.14,19.21,18.86,19.04,457980
2019-10-01,19.01,19.25,18.76,19.01,515048
2019-10-02,19.01,19.39,18.66,19.29,955389
2019-10-03,19.06,19.74,18.6,19.45,1150664
2019-10-04,19.41,19.46,18.93,19.29,623793
2019-10-07,19.35,19.8,19.3,19.77,1166100
2019-10-08,19.67,19.83,18.75,18.96,3950212
2019-10-09,19.02,19.11,17.26,17.54,6174549
2019-10-10,17.55,17.94,17.31,17.55,2024380
2019-10-11,17.57,17.98,17.39,17.41,1807052
2019-10-14,17.37,17.51,16.8,17.12,1557743
2019-10-15,17.18,17.65,17.07,17.38,1400322
2019-10-16,17.32,17.65,17.31,17.63,755416
2019-10-17,17.7,17.8,17.02,17.05,1065019
2019-10-18,16.85,17.22,16.85,17.11,1035621
2019-10-21,17.25,17.34,17.0,17.02,1090236
2019-10-22,17.23,17.69,17.0,17.58,1541447
2019-10-23,17.67,17.67,17.36,17.46,562037
2019-10-24,17.52,17.52,16.91,16.98,948509
2019-10-25,17.09,17.37,16.88,17.12,879897
2019-10-28,17.14,17.31,16.97,17.17,822479
2019-10-29,17.07,17.36,17.02,17.32,809247
2019-10-30,17.46,17.83,17.24,17.8,1211908
2019-10-31,17.72,17.85,17.34,17.82,860620
2019-11-01,17.84,17.97,17.72,17.82,1109115
2019-11-04,17.92,17.94,17.07,17.12,954526
2019-11-05,17.15,17.77,17.15,17.35,846617
2019-11-06,17.31,17.31,17.1,17.15,870524
2019-11-07,17.17,17.7,17.15,17.51,1061988
2019-11-08,17.45,17.48,16.96,17.13,1065653
2019-11-11,17.11,17.22,17.0,17.05,469660
2019-11-12,17.11,17.24,16.92,17.0,769633
2019-11-13,17.04,17.04,16.87,16.95,602926
2019-11-14,16.96,17.08,16.86,17.01,659789
2019-11-15,17.0,17.38,16.95,17.18,496528
2019-11-18,17.2,17.25,16.92,17.06,731477
2019-11-19,17.02,17.14,16.83,17.01,780080
2019-11-20,16.99,17.0,16.32,16.37,1613482
2019-11-21,16.48,16.78,16.43,16.57,1051369
2019-11-22,16.61,17.01,16.52,16.99,1057317
2019-11-25,17.06,17.15,16.91,17.05,941140
2019-11-26,17.06,17.15,16.78,16.85,1192476
2019-11-27,16.98,17.03,16.88,16.98,662936
2019-11-29,17.02,17.02,16.76,16.78,372720
2019-12-02,16.77,16.84,16.61,16.64,569925
2019-12-03,16.55,17.0,16.38,16.89,1338951
2019-12-04,16.84,17.1,16.84,16.99,647419
2019-12-05,17.03,17.36,17.01,17.19,862382
2019-12-06,17.33,17.57,17.2,17.43,546397
2019-12-09,17.31,17.45,17.03,17.41,1330354
2019-12-10,17.4,17.98,17.31,17.97,829500
2019-12-11,17.94,18.04,17.8,18.02,835021
2019-12-12,18.05,18.42,17.97,18.41,1416911
2019-12-13,18.84,19.25,18.28,18.96,2418126
2019-12-16,19.15,19.18,18.41,18.78,1095337
2019-12-17,18.81,19.4,18.68,19.28,1761521
2019-12-18,19.28,19.95,19.22,19.85,1325422
2019-12-19,19.62,19.75,19.35,19.53,850729
2019-12-20,19.84,20.01,19.57,19.91,2007390
2019-12-23,19.99,20.0,19.32,19.52,1002504
2019-12-24,19.42,19.74,19.36,19.63,223323
2019-12-26,19.7,19.81,19.45,19.66,360191
2019-12-27,19.71,19.73,19.19,19.25,601158
2019-12-30,19.23,19.38,18.98,19.03,648757
2019-12-31,18.95,19.42,18.9,19.29,560556
2020-01-02,19.33,19.38,18.97,19.12,559116
2020-01-03,19.0,19.19,18.88,19.19,356598
2020-01-06,18.9,19.23,18.87,19.07,590974
2020-01-07,19.1,19.43,19.05,19.25,723758
2020-01-08,19.21,19.46,18.98,19.12,457168
2020-01-09,19.18,19.19,18.61,18.71,1068626
2020-01-10,18.63,18.72,18.28,18.65,966333
2020-01-13,18.68,18.93,18.56,18.85,653958
2020-01-14,18.86,19.13,18.61,18.99,884758
2020-01-15,18.94,19.1,18.82,19.07,516776
2020-01-16,19.14,19.72,19.0,19.69,2280435
2020-01-17,19.69,19.98,19.21,19.98,1200954
2020-01-21,19.86,20.04,19.58,20.0,1363856
2020-01-22,19.88,20.01,19.45,19.89,827281
2020-01-23,19.74,20.17,19.5,19.95,1351817
2020-01-24,20.11,20.16,19.9,20.14,1155008
2020-01-27,19.93,20.3,19.7,20.25,1156145
2020-01-28,20.3,20.39,19.41,19.7,2121578
2020-01-29,19.76,20.0,19.5,19.8,940621
2020-01-30,19.79,19.98,19.43,19.75,2295083
2020-01-31,19.66,20.0,18.88,19.64,2802698
2020-02-03,18.61,19.64,18.14,19.16,2664925
2020-02-04,19.05,19.75,18.88,19.3,1924687
2020-02-05,19.25,20.18,19.25,19.9,1558976
2020-02-06,19.97,20.09,19.76,19.79,1210907
2020-02-07,19.75,19.86,19.1,19.35,1759957
2020-02-10,19.41,20.05,19.41,19.96,935191
2020-02-11,20.0,20.27,19.94,19.97,1020152
2020-02-12,20.13,20.6,20.13,20.4,1266451
2020-02-13,20.39,20.71,20.18,20.48,1074307
2020-02-14,20.55,20.62,20.11,20.22,821259
2020-02-18,20.1,20.32,19.72,19.83,1153810
2020-02-19,19.9,20.09,19.26,19.38,1259036
2020-02-20,19.33,20.0,19.33,20.0,877296
2020-02-21,20.0,20.0,19.64,19.72,750713
2020-02-24,19.33,19.6,19.08,19.12,1434870
2020-02-25,19.34,19.4,18.45,18.79,1264011
2020-02-26,18.8,18.96,17.76,17.78,1212422
2020-02-27,17.32,18.08,17.02,17.53,985384
2020-02-28,17.11,17.29,16.67,16.99,1513456
2020-03-02,17.03,17.93,16.88,17.87,1592525
2020-03-03,17.89,18.54,17.89,18.46,987778
2020-03-04,18.56,18.75,18.2,18.74,693237
2020-03-05,18.38,18.4,17.7,17.89,1043550
2020-03-06,17.48,17.67,17.06,17.22,998099
2020-03-09,16.33,16.85,16.15,16.46,1656847
2020-03-10,16.89,17.15,16.21,16.66,914259
2020-03-11,16.34,16.44,15.44,15.51,1255742
2020-03-12,14.73,14.73,12.95,13.17,1775170
2020-03-13,13.81,14.46,13.43,14.42,1151189
2020-03-16,12.56,14.84,12.55,14.15,2569262
2020-03-17,14.23,14.83,13.75,13.88,2341364
2020-03-18,12.99,13.48,12.15,12.39,1763282
2020-03-19,12.1,13.1,11.51,12.36,1483166
2020-03-20,12.29,12.41,11.4,11.46,1415031
2020-03-23,11.46,11.52,10.14,10.37,946253
2020-03-24,10.98,12.56,10.9,12.52,1318728
