date,open,high,low,close,volume
2017-01-03,26.01,26.01,25.21,25.7,65223
2017-01-04,25.86,25.88,25.53,25.7,61444
2017-01-05,25.7,27.46,25.34,25.59,32879
2017-01-06,25.69,25.69,25.29,25.4,20478
2017-01-09,25.26,25.38,24.9,25.11,28083
2017-01-10,25.1,25.7,25.08,25.54,26119
2017-01-11,25.59,25.59,25.11,25.31,45455
2017-01-12,25.02,25.02,24.43,24.46,23324
2017-01-13,24.49,25.31,24.44,25.08,59720
2017-01-17,25.0,25.0,24.4,24.44,43242
2017-01-18,24.64,24.64,23.82,24.04,35203
2017-01-19,23.98,24.21,23.37,23.49,22647
2017-01-20,23.46,23.73,23.2,23.61,34318
2017-01-23,23.51,23.65,23.15,23.29,43627
2017-01-24,23.48,23.65,23.1,23.31,35648
2017-01-25,23.69,23.9,23.38,23.78,35754
2017-01-26,23.96,24.51,23.73,24.09,89051
2017-01-27,23.99,24.3,23.62,24.08,99486
2017-01-30,24.06,24.06,23.51,23.53,23971
2017-01-31,23.44,24.06,23.44,23.76,38346
2017-02-01,23.9,24.0,23.45,23.54,29005
2017-02-02,23.43,23.62,23.3,23.54,45368
2017-02-03,23.61,23.7,23.47,23.59,16646
2017-02-06,23.46,23.61,23.42,23.54,34042
2017-02-07,23.52,23.61,23.39,23.54,17301
2017-02-08,23.44,23.61,23.29,23.5,32762
2017-02-09,23.41,23.65,23.32,23.56,28315
2017-02-10,23.7,23.97,23.64,23.77,23481
2017-02-13,23.9,23.99,23.78,23.87,14117
2017-02-14,23.78,23.82,23.41,23.68,25277
2017-02-15,23.57,24.21,23.55,24.03,47524
2017-02-16,23.93,24.13,23.72,23.79,33126
2017-02-17,23.75,23.92,23.67,23.89,28128
2017-02-21,24.11,24.22,23.57,24.2,40530
2017-02-22,24.0,24.34,23.81,23.98,17718
2017-02-23,24.0,25.64,23.86,25.58,72951
2017-02-24,25.78,26.81,25.55,26.65,45973
2017-02-27,26.65,26.65,25.9,26.12,41077
2017-02-28,26.21,26.21,25.46,25.48,62945
2017-03-01,25.94,26.99,25.67,26.93,59708
2017-03-02,26.85,28.76,26.68,28.69,212876
2017-03-03,28.58,28.58,27.64,27.8,76276
2017-03-06,27.68,27.68,27.14,27.14,31377
2017-03-07,27.1,27.58,26.94,27.51,24152
2017-03-08,27.45,27.98,27.4,27.77,44250
2017-03-09,27.75,28.04,27.7,27.78,45689
2017-03-10,28.03,28.1,27.4,27.55,86506
2017-03-13,27.48,28.0,27.43,27.75,31015
2017-03-14,28.05,28.3,27.6,27.95,35351
2017-03-15,28.1,28.74,27.97,28.56,49601
2017-03-16,28.58,29.04,28.43,28.57,43236
2017-03-17,28.57,29.24,28.49,29.0,101456
2017-03-20,28.98,29.05,28.68,28.99,102874
2017-03-21,29.09,29.37,28.99,29.03,56881
2017-03-22,28.96,29.09,28.18,28.49,25984
2017-03-23,28.73,29.5,28.57,29.05,37906
2017-03-24,29.25,29.44,28.77,28.85,22448
2017-03-27,28.37,29.5,28.37,29.26,29408
2017-03-28,29.28,29.33,29.1,29.2,43836
2017-03-29,29.18,29.94,29.0,29.66,165663
2017-03-30,29.76,30.09,29.55,29.64,41306
2017-03-31,29.66,29.76,29.37,29.54,40958
2017-04-03,29.63,29.8,29.1,29.19,80725
2017-04-04,29.18,29.61,29.07,29.28,41243
2017-04-05,29.28,29.68,28.8,28.9,30765
2017-04-06,28.95,29.52,28.9,29.48,29733
2017-04-07,29.29,29.29,28.76,29.03,40379
2017-04-10,28.93,29.22,28.89,29.12,30081
2017-04-11,29.24,29.96,29.16,29.72,27817
2017-04-12,29.78,29.78,29.05,29.27,22516
2017-04-13,29.37,29.37,28.71,29.0,27236
2017-04-17,29.17,29.55,29.1,29.5,22419
2017-04-18,29.55,29.55,28.99,29.36,29068
2017-04-19,29.48,29.6,29.11,29.45,24833
2017-04-20,29.6,29.6,29.37,29.47,28281
2017-04-21,29.6,29.6,29.19,29.42,23657
2017-04-24,29.7,29.7,29.13,29.42,32140
2017-04-25,29.45,29.6,29.1,29.25,38024
2017-04-26,29.23,30.05,28.47,29.82,58287
2017-04-27,29.89,29.89,29.6,29.78,35511
2017-04-28,29.64,29.64,29.3,29.47,38416
2017-05-01,29.5,30.0,29.5,29.9,33459
2017-05-02,30.01,30.01,29.47,29.78,102663
2017-05-03,29.73,30.0,29.67,29.87,42961
2017-05-04,30.0,30.0,29.66,29.73,29672
2017-05-05,29.84,30.0,29.2,29.85,55536
2017-05-08,29.74,30.01,29.74,29.92,24426
2017-05-09,29.92,30.01,29.75,29.94,25607
2017-05-10,29.94,30.18,29.45,30.04,44254
2017-05-11,30.0,30.51,29.71,30.37,33419
2017-05-12,30.33,30.49,29.72,30.38,27553
2017-05-15,30.41,30.6,29.9,30.58,30524
2017-05-16,30.57,30.6,30.23,30.51,37623
2017-05-17,30.24,30.24,29.64,29.7,63144
2017-05-18,29.51,30.08,29.51,30.06,30676
2017-05-19,29.93,30.16,29.55,29.68,40139
2017-05-22,29.73,30.1,29.73,30.02,16128
2017-05-23,30.2,30.57,29.68,30.48,29429
2017-05-24,30.59,30.6,30.22,30.52,35617
2017-05-25,30.56,30.56,30.18,30.23,23207
2017-05-26,30.25,30.51,29.9,30.47,21503
2017-05-30,30.46,30.6,30.2,30.2,17575
2017-05-31,30.44,30.44,29.84,30.15,30012
2017-06-01,30.21,30.6,30.21,30.56,38458
2017-06-02,30.6,31.06,30.53,31.01,50282
2017-06-05,30.96,31.09,30.59,30.8,27408
2017-06-06,30.72,30.96,30.67,30.76,19029
2017-06-07,30.81,31.09,30.62,30.89,15566
2017-06-08,30.9,31.92,30.77,31.18,46772
2017-06-09,31.45,32.13,31.3,32.01,67122
2017-06-12,32.15,32.5,31.49,31.73,27619
2017-06-13,31.94,32.55,31.63,32.03,20435
