date,open,high,low,close,volume
2017-01-03,122.98,124.73,122.98,124.54,84065
2017-01-04,124.81,126.44,124.54,125.61,144486
2017-01-05,125.73,126.53,123.69,124.83,106663
2017-01-06,124.85,125.77,124.16,124.54,79695
2017-01-09,124.34,124.86,123.49,124.44,206144
2017-01-10,123.98,125.21,123.76,124.08,83244
2017-01-11,123.64,124.62,123.64,124.62,47040
2017-01-12,123.52,124.14,123.02,123.61,43557
2017-01-13,124.01,124.63,123.17,123.59,75611
2017-01-17,123.78,123.78,122.45,123.24,88704
2017-01-18,123.22,123.53,120.1,120.59,214494
2017-01-19,121.23,121.53,119.08,119.97,173939
2017-01-20,120.71,121.25,119.73,121.0,80761
2017-01-23,120.53,120.98,118.99,119.45,73275
2017-01-24,120.11,122.77,119.39,122.29,127708
2017-01-25,123.09,123.09,121.6,121.86,55670
2017-01-26,122.14,122.95,122.14,122.65,39846
2017-01-27,122.38,123.43,121.88,123.21,129237
2017-01-30,124.46,125.98,123.75,125.85,308061
2017-01-31,125.89,125.89,123.91,125.27,125906
2017-02-01,125.51,125.68,123.66,124.63,142385
2017-02-02,125.32,125.47,123.77,124.83,125092
2017-02-03,126.22,126.27,124.16,125.06,173523
2017-02-06,124.69,127.32,124.63,126.31,320961
2017-02-07,126.6,127.82,124.25,124.54,187984
2017-02-08,124.51,124.72,122.98,123.83,135083
2017-02-09,124.37,125.13,122.39,122.75,191704
2017-02-10,122.63,123.69,121.13,122.65,485911
2017-02-13,123.36,124.79,123.14,123.72,671163
2017-02-14,123.74,124.8,123.38,123.89,490487
2017-02-15,123.81,124.93,123.76,124.29,283889
2017-02-16,123.89,127.95,123.89,127.87,1028321
2017-02-17,127.37,127.42,124.06,125.01,309455
2017-02-21,125.23,126.14,124.82,126.03,218011
2017-02-22,126.3,128.09,125.83,127.84,181973
2017-02-23,127.67,128.32,126.67,127.91,147265
2017-02-24,127.64,127.87,126.52,127.64,131371
2017-02-27,126.71,126.93,125.58,125.73,208518
2017-02-28,124.83,128.89,124.83,127.9,635727
2017-03-01,128.41,132.61,128.41,130.84,593002
2017-03-02,130.36,134.53,129.87,133.09,662864
2017-03-03,132.54,136.33,132.03,135.23,535764
2017-03-06,135.79,137.48,133.77,135.91,312123
2017-03-07,136.31,136.55,135.24,135.57,196246
2017-03-08,136.32,139.32,136.31,138.41,290119
2017-03-09,139.0,141.94,137.56,141.04,499097
2017-03-10,140.71,146.68,140.56,144.2,865664
2017-03-13,144.04,147.07,144.0,144.4,624593
2017-03-14,144.04,145.3,141.18,142.93,390095
2017-03-15,143.48,145.09,141.37,142.64,414385
2017-03-16,143.0,143.0,141.83,142.35,192994
2017-03-17,142.61,142.61,141.31,141.71,233734
2017-03-20,141.95,142.91,141.42,141.54,237414
2017-03-21,142.11,142.11,138.7,139.36,298711
2017-03-22,138.88,139.94,138.31,139.32,208928
2017-03-23,138.65,140.53,138.34,139.89,232765
2017-03-24,140.46,140.97,139.47,140.11,124832
2017-03-27,139.48,141.49,138.52,141.19,240046
2017-03-28,141.53,144.28,141.53,142.03,341337
2017-03-29,141.51,144.68,141.51,143.42,272213
2017-03-30,143.26,144.85,141.61,142.23,207419
2017-03-31,142.5,143.41,141.36,142.41,370461
2017-04-03,141.71,142.37,139.8,140.44,309174
2017-04-04,141.17,143.33,141.06,142.01,701595
2017-04-05,142.78,143.16,139.65,140.12,442561
2017-04-06,140.84,147.25,139.88,145.92,668481
2017-04-07,146.11,147.32,144.61,145.89,348789
2017-04-10,146.34,146.61,142.51,144.07,368615
2017-04-11,144.34,144.79,141.94,142.65,260342
2017-04-12,141.89,142.98,141.19,142.06,144985
2017-04-13,141.19,142.18,139.9,140.54,204384
2017-04-17,140.15,142.77,140.13,142.6,198438
2017-04-18,142.27,142.59,140.71,141.73,272525
2017-04-19,142.13,142.75,140.92,141.83,121101
2017-04-20,144.05,144.67,142.42,143.3,180706
2017-04-21,143.25,143.3,142.1,142.32,130991
2017-04-24,144.09,144.09,139.68,141.27,334094
2017-04-25,141.83,142.62,141.37,142.18,131911
2017-04-26,142.23,142.91,141.79,142.54,144170
2017-04-27,142.38,143.84,142.21,143.42,96860
2017-04-28,143.95,144.89,142.23,143.88,95094
2017-05-01,144.12,144.61,143.07,144.28,90288
2017-05-02,144.76,146.68,144.47,144.96,186012
2017-05-03,144.78,145.62,140.52,142.08,227614
2017-05-04,142.08,144.04,139.77,140.21,288715
2017-05-05,140.78,144.47,140.78,144.06,230968
2017-05-08,144.44,144.44,141.9,143.03,218294
2017-05-09,143.05,144.21,142.68,144.11,191007
2017-05-10,143.75,145.05,142.05,143.69,281057
2017-05-11,143.38,144.67,142.7,144.4,144866
2017-05-12,143.97,143.97,142.93,143.03,113120
2017-05-15,142.98,143.33,141.84,142.41,126582
2017-05-16,142.6,142.73,141.23,141.9,113341
2017-05-17,141.19,142.61,139.54,139.78,125557
2017-05-18,139.09,140.98,139.09,140.37,174768
2017-05-19,140.32,141.01,139.5,140.45,127216
2017-05-22,141.19,142.51,140.57,140.93,159124
2017-05-23,141.62,141.88,139.73,140.13,163915
2017-05-24,140.16,140.49,138.55,139.17,184008
2017-05-25,139.6,139.66,138.15,138.73,115575
2017-05-26,139.95,139.95,137.95,139.53,90600
2017-05-30,139.15,141.01,138.33,139.33,98463
2017-05-31,139.4,140.34,138.72,139.35,145829
2017-06-01,139.42,141.05,139.33,140.37,149764
2017-06-02,140.52,142.54,140.52,142.35,145438
2017-06-05,141.71,141.93,140.21,140.54,124013
2017-06-06,140.42,140.42,138.46,138.68,124312
2017-06-07,138.83,139.42,138.05,138.55,119572
2017-06-08,138.44,139.24,138.19,138.55,150909
2017-06-09,138.61,139.03,137.02,138.85,233575
2017-06-12,138.54,140.51,138.19,139.27,210420
2017-06-13,139.71,139.9,137.61,138.23,142981
2017-06-14,138.03,140.19,138.03,139.41,216308
2017-06-15,138.55,139.9,138.34,139.37,137096
2017-06-16,139.52,139.52,137.92,139.22,338383
2017-06-19,139.18,141.38,138.55,141.0,230977
2017-06-20,140.96,141.34,139.07,139.39,163708
2017-06-21,139.83,140.98,138.44,140.97,192634
2017-06-22,140.59,141.35,139.74,140.91,114611
2017-06-23,140.94,142.27,139.83,142.08,206255
2017-06-26,142.84,142.89,141.44,142.46,120608
2017-06-27,142.52,143.31,140.61,140.69,79997
2017-06-28,141.15,144.12,140.02,142.98,202776
2017-06-29,143.01,143.38,139.79,141.07,116244
2017-06-30,141.24,141.24,139.77,140.41,106398
2017-07-03,140.82,140.82,139.88,140.27,36129
2017-07-05,140.27,140.27,138.87,139.92,81344
2017-07-06,139.41,139.7,137.24,137.51,150774
2017-07-07,137.88,139.42,136.87,138.9,89080
2017-07-10,138.88,139.23,137.31,137.7,175141
2017-07-11,137.71,137.88,135.46,136.34,185785
2017-07-12,137.27,138.69,135.93,138.45,136514
2017-07-13,138.13,139.18,136.53,139.03,162374
2017-07-14,139.02,141.62,138.71,140.09,279498
2017-07-17,140.13,141.91,138.76,141.37,173653
2017-07-18,141.36,144.08,140.78,142.43,279606
2017-07-19,142.62,148.64,142.42,147.0,565407
2017-07-20,147.11,151.16,145.76,150.18,392971
2017-07-21,150.0,152.46,147.52,150.21,398241
2017-07-24,150.81,153.13,150.64,152.71,204338
2017-07-25,153.32,155.31,152.75,153.52,308312
2017-07-26,153.67,155.68,153.67,154.94,245098
2017-07-27,155.18,156.87,154.62,155.88,251629
2017-07-28,155.38,157.38,154.54,156.75,183011
2017-07-31,157.05,159.06,155.44,156.68,299296
2017-08-01,157.49,158.07,156.31,156.48,174831
2017-08-02,156.69,157.37,153.79,155.06,205967
2017-08-03,155.11,155.8,154.49,154.65,138196
2017-08-04,155.01,155.36,154.06,154.5,130747
2017-08-07,154.74,155.37,154.22,154.7,267309
2017-08-08,154.51,155.16,152.48,153.51,124763
2017-08-09,153.24,155.27,152.62,154.0,153746
2017-08-10,153.53,154.35,152.18,153.34,221065
2017-08-11,152.63,154.26,152.62,153.79,150590
2017-08-14,154.83,156.13,153.54,154.34,102765
2017-08-15,154.64,154.82,153.32,154.09,110810
2017-08-16,154.34,155.47,152.55,155.04,251461
2017-08-17,152.93,156.97,147.95,148.43,444152
2017-08-18,147.77,151.14,147.43,149.53,274772
2017-08-21,149.07,151.8,149.07,151.5,133768
2017-08-22,151.55,152.77,150.51,152.43,192449
2017-08-23,151.45,152.07,150.04,150.85,170788
2017-08-24,151.13,153.22,151.13,152.97,147166
2017-08-25,153.67,155.5,153.49,153.9,185997
2017-08-28,154.41,155.43,151.18,152.0,176427
2017-08-29,150.42,151.44,149.74,150.01,159160
2017-08-30,150.14,150.78,149.23,150.52,227491
2017-08-31,151.1,152.6,150.33,151.54,614084
2017-09-01,151.9,152.2,148.29,149.35,330111
2017-09-05,149.04,161.65,149.04,159.58,651122
2017-09-06,159.61,161.55,158.5,161.02,338475
2017-09-07,161.69,161.84,156.83,157.23,360392
2017-09-08,157.01,158.59,156.08,156.89,265577
2017-09-11,157.99,160.18,157.99,159.85,226014
2017-09-12,159.64,161.16,158.92,160.12,131625
2017-09-13,160.12,160.39,157.16,158.37,187971
2017-09-14,157.67,158.64,155.4,155.9,250291
2017-09-15,156.02,157.65,155.69,156.59,277734
2017-09-18,156.57,156.62,154.61,154.61,208600
2017-09-19,154.76,154.76,151.93,152.97,269672
2017-09-20,153.48,154.53,153.04,153.06,219577
2017-09-21,152.87,152.87,151.18,152.23,202168
2017-09-22,152.02,152.99,151.37,152.32,148849
2017-09-25,151.67,151.89,149.57,149.72,204984
2017-09-26,150.33,150.71,149.17,149.48,199842
2017-09-27,149.51,154.88,149.51,154.15,199096
2017-09-28,153.16,154.21,152.25,153.66,152641
2017-09-29,153.7,153.7,151.77,152.67,201894
2017-10-02,152.22,155.12,151.35,153.01,212766
2017-10-03,152.96,153.49,151.17,152.04,173879
2017-10-04,151.68,153.21,151.68,153.13,141634
2017-10-05,152.83,154.76,151.75,152.78,264971
2017-10-06,152.52,153.13,150.77,150.98,132935
2017-10-09,151.3,151.3,149.22,149.45,137215
2017-10-10,149.19,150.64,149.04,149.17,231550
2017-10-11,149.85,150.71,148.31,150.34,286219
2017-10-12,150.82,153.89,149.37,153.37,242763
2017-10-13,153.32,153.44,151.66,152.78,246938
2017-10-16,152.75,156.54,152.22,155.28,340452
2017-10-17,155.37,155.37,152.44,152.61,198341
2017-10-18,152.57,153.24,149.25,149.74,309455
2017-10-19,149.22,153.32,149.22,153.26,285383
2017-10-20,153.64,156.77,152.93,156.44,250009
2017-10-23,156.63,157.22,155.8,156.6,281322
2017-10-24,156.32,156.69,153.34,154.87,183029
2017-10-25,154.74,154.76,151.69,152.75,171446
2017-10-26,152.94,154.46,152.34,154.2,150883
2017-10-27,154.6,160.15,154.29,159.84,548202
2017-10-30,159.8,160.07,155.88,157.07,240242
2017-10-31,157.42,159.27,156.18,158.8,199348
2017-11-01,159.31,163.56,158.79,160.98,966486
2017-11-02,160.34,161.29,156.62,157.59,428975
2017-11-03,160.67,165.04,158.86,163.23,876999
2017-11-06,163.23,163.51,161.31,162.09,370796
2017-11-07,162.4,162.62,159.78,160.57,270074
2017-11-08,161.13,164.26,160.62,163.34,175729
2017-11-09,162.74,164.3,160.92,163.79,146926
2017-11-10,163.33,164.86,162.81,163.75,134633
2017-11-13,163.18,164.69,159.46,160.45,517845
2017-11-14,160.44,161.47,158.37,158.81,278823
2017-11-15,158.24,158.24,156.66,157.72,306712
2017-11-16,158.05,158.05,155.81,156.22,375222
2017-11-17,155.98,156.88,155.63,155.78,272180
2017-11-20,155.62,155.98,153.05,153.32,421356
2017-11-21,154.41,154.73,151.08,153.24,413271
2017-11-22,152.6,153.09,151.54,152.71,380301
2017-11-24,152.46,153.91,152.21,153.3,161726
2017-11-27,153.62,154.77,152.67,152.82,277215
2017-11-28,152.78,153.45,151.97,152.55,767661
2017-11-29,152.96,153.97,152.56,153.72,655554
2017-11-30,154.33,154.85,152.7,154.49,371350
2017-12-01,154.83,156.75,153.61,154.79,213342
2017-12-04,156.01,156.38,154.98,155.81,280436
2017-12-05,151.18,153.43,150.41,151.35,578526
2017-12-06,151.34,151.5,150.18,150.88,362535
2017-12-07,150.33,152.94,150.33,152.06,378475
2017-12-08,152.59,152.82,150.52,152.67,733636
2017-12-11,152.92,153.06,151.61,152.03,165264
2017-12-12,151.87,152.94,151.1,151.5,134111
2017-12-13,151.36,152.03,149.9,150.34,164649
2017-12-14,150.6,151.6,149.4,149.66,237770
2017-12-15,149.83,150.82,149.28,149.84,242208
2017-12-18,150.39,152.52,150.04,152.16,174809
2017-12-19,152.11,153.68,152.11,152.62,230154
2017-12-20,152.9,152.9,150.1,151.34,177651
2017-12-21,151.63,153.29,150.67,152.58,153736
2017-12-22,152.17,152.17,150.33,150.83,94264
2017-12-26,150.32,151.23,150.09,151.04,75080
2017-12-27,151.18,151.9,150.77,151.69,107202
2017-12-28,151.87,152.23,150.63,151.91,119350
2017-12-29,151.62,151.99,150.17,150.36,85067
2018-01-02,151.02,151.44,148.35,149.34,251395
2018-01-03,149.54,150.86,149.02,150.68,161774
2018-01-04,151.18,151.37,149.91,150.52,149767
2018-01-05,151.04,152.09,149.96,151.8,217061
2018-01-08,151.68,151.89,149.8,149.99,293890
2018-01-09,150.41,151.41,149.46,150.04,223655
2018-01-10,149.57,149.74,147.72,148.25,149655
2018-01-11,148.39,151.06,148.39,150.92,120408
2018-01-12,151.06,152.05,149.72,151.88,116950
2018-01-16,152.21,153.21,150.64,150.86,193740
2018-01-17,151.03,151.3,149.8,150.7,197471
2018-01-18,150.58,151.45,149.55,150.06,121998
2018-01-19,150.64,151.67,150.13,151.18,144698
2018-01-22,151.89,152.28,150.23,150.68,366792
