date,open,high,low,close,volume
2017-01-03,10.02,10.08,9.95,10.08,7868211
2017-01-04,10.09,10.17,10.08,10.11,7589867
2017-01-05,10.12,10.25,10.09,10.22,8130504
2017-01-06,10.2,10.27,10.18,10.27,5738800
2017-01-09,10.26,10.29,10.22,10.22,7020454
2017-01-10,10.25,10.26,10.04,10.17,8677816
2017-01-11,10.17,10.24,10.11,10.18,7077819
2017-01-12,10.18,10.23,10.15,10.18,4530244
2017-01-13,10.19,10.22,10.08,10.15,4729943
2017-01-17,10.15,10.29,10.14,10.24,6027289
2017-01-18,10.25,10.3,10.22,10.27,4667490
2017-01-19,10.24,10.27,10.08,10.12,7527946
2017-01-20,10.13,10.18,10.09,10.16,5785077
2017-01-23,10.16,10.3,10.16,10.25,6022281
2017-01-24,10.24,10.31,10.18,10.26,8412314
2017-01-25,10.26,10.29,10.2,10.25,4083370
2017-01-26,10.25,10.28,10.22,10.24,5980065
2017-01-27,10.25,10.27,10.21,10.24,3835668
2017-01-30,10.25,10.26,10.18,10.25,4968580
2017-01-31,10.31,10.33,10.11,10.22,7669967
2017-02-01,10.21,10.29,10.18,10.23,8231577
2017-02-02,10.24,10.32,10.23,10.29,5185777
2017-02-03,10.33,10.35,10.29,10.31,4884849
2017-02-06,10.31,10.4,10.31,10.4,6187415
2017-02-07,10.41,10.43,10.39,10.43,4874373
2017-02-08,10.41,10.5,10.4,10.5,5104058
2017-02-09,10.5,10.53,10.46,10.46,5364562
2017-02-10,10.5,10.56,10.46,10.52,3654301
2017-02-13,10.55,10.61,10.53,10.58,3692058
2017-02-14,10.57,10.58,10.41,10.46,6463839
2017-02-15,10.46,10.5,10.39,10.5,7551426
2017-02-16,10.56,10.8,10.54,10.8,9083110
2017-02-17,10.75,10.85,10.66,10.82,7601669
2017-02-21,10.85,10.88,10.74,10.83,5328086
2017-02-22,10.82,10.91,10.8,10.9,6391822
2017-02-23,10.89,10.98,10.85,10.98,9201128
2017-02-24,10.98,11.07,10.96,11.05,7062340
2017-02-27,11.08,11.1,11.01,11.03,5414696
2017-02-28,11.02,11.11,11.01,11.1,10986416
2017-03-01,11.01,11.06,10.89,10.91,8738061
2017-03-02,10.89,10.96,10.89,10.93,4731800
2017-03-03,10.93,10.97,10.87,10.96,4530511
2017-03-06,10.96,11.0,10.92,11.0,6406968
2017-03-07,10.97,11.0,10.95,10.98,5389603
2017-03-08,10.98,10.98,10.78,10.79,7902846
2017-03-09,10.8,10.92,10.63,10.73,8709500
2017-03-10,10.79,10.99,10.79,10.97,8419749
2017-03-13,10.96,11.04,10.79,10.81,6056443
2017-03-14,10.83,10.84,10.77,10.8,5011913
2017-03-15,10.84,11.03,10.84,10.95,11002192
2017-03-16,11.02,11.02,10.91,10.95,8856281
2017-03-17,10.98,11.07,10.95,11.0,14460951
2017-03-20,11.02,11.15,11.01,11.08,7745893
2017-03-21,11.11,11.15,11.03,11.09,9892480
2017-03-22,11.1,11.19,11.1,11.15,7706332
2017-03-23,11.16,11.23,11.16,11.2,7874959
2017-03-24,11.21,11.26,11.14,11.14,6682170
2017-03-27,11.14,11.23,11.11,11.23,8042634
2017-03-28,11.25,11.37,11.24,11.31,12218149
2017-03-29,11.04,11.15,11.02,11.12,10132976
2017-03-30,11.12,11.15,11.07,11.11,4545684
2017-03-31,11.11,11.18,11.08,11.11,6257769
2017-04-03,11.11,11.18,11.09,11.12,7669647
2017-04-04,11.1,11.24,11.1,11.22,6362401
2017-04-05,11.25,11.32,11.2,11.31,11393940
2017-04-06,11.29,11.34,11.25,11.31,8313577
2017-04-07,11.33,11.33,11.25,11.31,6871158
2017-04-10,11.3,11.4,11.28,11.39,6183752
2017-04-11,11.38,11.49,11.36,11.49,8027901
2017-04-12,11.47,11.56,11.47,11.53,7193437
2017-04-13,11.54,11.67,11.54,11.63,8898576
2017-04-17,11.63,11.75,11.63,11.73,8559300
2017-04-18,11.74,11.79,11.7,11.76,6468024
2017-04-19,11.77,11.79,11.67,11.72,5398619
2017-04-20,11.74,11.78,11.59,11.7,7142761
2017-04-21,11.72,11.8,11.68,11.76,6343687
2017-04-24,11.78,11.8,11.64,11.76,8696484
2017-04-25,11.76,11.8,11.71,11.75,7103472
2017-04-26,11.76,11.8,11.72,11.75,8275825
2017-04-27,11.78,12.07,11.75,11.99,12848156
2017-04-28,11.99,11.99,11.73,11.81,13210441
2017-05-01,11.84,11.94,11.8,11.87,8528151
2017-05-02,11.83,11.85,11.6,11.69,11918547
2017-05-03,11.68,11.72,11.5,11.53,15289424
2017-05-04,11.57,11.58,11.29,11.47,13280451
2017-05-05,11.45,11.62,11.44,11.54,9227898
2017-05-08,11.58,11.61,11.43,11.44,7498648
2017-05-09,11.42,11.48,11.19,11.24,12758784
2017-05-10,11.23,11.34,11.22,11.3,6878242
2017-05-11,11.28,11.33,11.25,11.3,5727625
2017-05-12,11.35,11.39,11.29,11.3,4459879
2017-05-15,11.3,11.39,11.28,11.39,5890677
2017-05-16,11.36,11.45,11.35,11.35,5314301
2017-05-17,11.34,11.51,11.34,11.49,7938918
2017-05-18,11.47,11.51,11.4,11.44,6723891
2017-05-19,11.45,11.54,11.42,11.5,5593568
2017-05-22,11.53,11.65,11.5,11.62,4691597
2017-05-23,11.65,11.72,11.62,11.68,6092482
2017-05-24,11.71,11.8,11.68,11.77,6074620
2017-05-25,11.76,11.86,11.73,11.79,4885331
2017-05-26,11.8,11.83,11.7,11.82,4370501
2017-05-30,11.81,11.82,11.73,11.8,3659249
2017-05-31,11.81,11.98,11.79,11.98,13045269
2017-06-01,11.95,12.1,11.91,12.03,8784966
