date,open,high,low,close,volume
2017-01-03,53.27,53.49,52.29,52.8,1738919
2017-01-04,53.06,53.86,52.82,53.74,1429563
2017-01-05,53.47,53.81,53.15,53.76,1817916
2017-01-06,53.76,54.24,53.53,54.11,1573091
2017-01-09,54.21,54.25,53.6,53.7,1912225
2017-01-10,53.49,53.72,52.45,52.47,2344192
2017-01-11,52.4,52.75,52.18,52.25,3205784
2017-01-12,52.26,52.78,51.92,52.69,3313966
2017-01-13,52.79,53.06,52.28,52.3,1816888
2017-01-17,52.34,52.83,52.29,52.53,2469281
2017-01-18,52.54,53.26,52.54,52.85,3233400
2017-01-19,52.64,53.01,52.5,52.76,2241480
2017-01-20,52.83,53.02,52.44,52.57,2725686
2017-01-23,52.5,52.85,52.34,52.83,3834732
2017-01-24,53.24,53.73,51.4,51.83,4960065
2017-01-25,51.89,52.05,51.36,51.79,2716385
2017-01-26,52.06,52.24,50.9,50.94,3180162
2017-01-27,50.88,51.14,49.19,49.25,4714447
2017-01-30,49.33,49.38,48.63,48.74,3636138
2017-01-31,48.79,49.31,48.62,48.85,4725237
2017-02-01,48.84,49.05,48.33,48.44,3907756
2017-02-02,48.46,49.32,48.45,49.06,3003639
2017-02-03,49.54,50.31,49.29,50.21,4524821
2017-02-06,50.05,50.32,49.28,49.39,2915476
2017-02-07,49.48,50.06,48.69,48.73,2627145
2017-02-08,48.84,49.46,48.69,49.37,2593005
2017-02-09,49.45,49.61,49.19,49.42,1825107
2017-02-10,49.36,50.12,49.36,50.11,1935256
2017-02-13,50.26,50.42,49.93,49.97,2183821
2017-02-14,49.79,49.98,49.13,49.92,2778059
2017-02-15,50.15,50.23,48.95,49.41,2537608
2017-02-16,49.56,50.44,49.45,50.12,2586173
2017-02-17,50.14,50.3,49.43,50.19,3262914
2017-02-21,50.19,50.93,50.17,50.75,2767044
2017-02-22,50.62,50.92,50.24,50.34,1922932
2017-02-23,50.65,50.71,49.95,50.56,2530533
2017-02-24,50.44,51.16,50.33,51.08,2586028
2017-02-27,51.17,51.64,50.9,51.61,2032674
2017-02-28,51.54,51.66,50.68,51.05,3511638
2017-03-01,51.1,51.28,50.67,50.99,2490836
2017-03-02,50.9,51.09,50.56,51.05,2197630
2017-03-03,51.01,51.16,50.51,51.14,2283048
2017-03-06,50.88,50.98,50.25,50.59,2275947
2017-03-07,50.6,50.71,50.16,50.55,1689572
2017-03-08,50.33,50.41,49.87,49.93,2964300
2017-03-09,50.03,50.28,49.19,49.3,1964944
2017-03-10,50.08,50.08,48.96,49.4,2367259
2017-03-13,49.47,49.58,49.01,49.29,2917115
2017-03-14,49.19,49.48,48.8,49.36,2463775
