date,open,high,low,close,volume
2017-07-26,23.32,24.19,23.25,23.35,2038475
2017-07-27,23.49,23.49,23.0,23.01,504363
2017-07-28,23.02,23.64,23.0,23.47,101729
2017-07-31,23.63,23.63,23.03,23.33,22080
2017-08-01,23.4,23.4,23.02,23.2,85890
2017-08-02,23.18,23.2,23.0,23.0,91408
2017-08-03,23.0,23.1,23.0,23.05,92608
2017-08-04,23.03,23.08,23.0,23.0,77095
2017-08-07,23.03,23.1,23.0,23.0,13292
2017-08-08,23.0,23.1,22.85,22.91,705500
2017-08-09,23.05,23.05,21.94,22.45,62179
2017-08-10,22.39,22.39,22.0,22.06,50469
2017-08-11,22.0,22.43,21.75,22.23,87426
2017-08-14,22.15,22.47,22.15,22.3,14941
2017-08-15,22.3,22.36,21.9,22.03,71889
2017-08-16,21.87,21.92,21.85,21.91,32546
2017-08-17,21.92,22.1,21.86,21.9,14127
2017-08-18,22.04,22.43,22.04,22.25,64247
2017-08-21,22.25,22.81,22.25,22.56,105950
2017-08-22,22.79,22.8,22.4,22.63,40135
2017-08-23,22.51,23.1,22.39,22.66,64006
2017-08-24,22.81,22.92,22.28,22.74,26780
2017-08-25,22.71,22.92,22.53,22.92,48241
2017-08-28,22.99,22.99,22.32,22.47,28548
2017-08-29,22.41,22.84,22.31,22.67,18756
2017-08-30,22.62,22.8,22.44,22.79,27151
2017-08-31,22.84,22.84,22.55,22.6,36059
2017-09-01,22.52,22.73,22.45,22.73,15715
2017-09-05,22.65,23.08,22.65,23.08,133921
2017-09-06,23.05,23.25,22.83,23.05,80009
2017-09-07,23.1,23.1,22.26,22.26,72393
2017-09-08,22.25,22.85,22.25,22.51,24373
2017-09-11,22.68,22.68,22.45,22.5,34989
2017-09-12,22.55,22.58,22.25,22.28,48588
2017-09-13,22.35,22.48,22.14,22.21,72561
2017-09-14,21.81,22.38,21.56,22.0,71471
2017-09-15,21.91,22.14,21.45,21.52,410039
2017-09-18,21.62,21.72,21.26,21.5,91716
2017-09-19,21.51,22.03,21.5,21.7,18791
2017-09-20,21.71,22.11,21.57,22.02,25486
2017-09-21,22.12,22.26,21.9,22.06,13166
2017-09-22,21.9,22.3,21.9,22.17,17746
2017-09-25,22.17,22.45,21.97,22.28,44978
2017-09-26,22.0,22.65,21.9,22.5,33465
2017-09-27,22.68,23.17,22.59,22.99,62075
2017-09-28,22.73,23.0,22.64,22.99,22168
2017-09-29,22.49,23.0,21.84,22.89,18211
2017-10-02,22.99,23.18,22.99,23.02,35895
2017-10-03,23.02,23.05,22.88,22.98,18173
2017-10-04,22.98,22.98,22.65,22.9,21974
2017-10-05,22.69,22.99,22.5,22.97,14379
2017-10-06,22.76,23.0,22.76,23.0,4614
2017-10-09,23.0,23.0,22.88,22.94,10692
2017-10-10,22.85,23.12,22.85,23.04,48887
2017-10-11,23.03,23.15,22.86,23.14,20616
2017-10-12,22.97,23.08,22.86,23.03,38069
2017-10-13,23.12,23.25,23.02,23.22,15529
2017-10-16,23.17,23.3,22.99,23.25,15036
2017-10-17,23.3,23.3,23.01,23.25,10042
2017-10-18,23.01,23.25,23.01,23.24,20212
2017-10-19,23.24,23.38,23.07,23.37,13599
2017-10-20,23.34,23.38,23.08,23.35,17193
2017-10-23,23.38,23.51,23.37,23.45,9658
2017-10-24,23.4,23.75,23.35,23.65,42160
2017-10-25,23.66,23.99,23.66,23.89,21228
2017-10-26,23.88,24.49,23.88,24.35,43022
2017-10-27,24.35,24.48,23.72,24.29,43567
2017-10-30,24.04,24.88,24.04,24.58,48921
2017-10-31,24.45,25.32,24.45,25.07,31525
2017-11-01,24.76,24.99,24.59,24.82,11903
2017-11-02,24.95,24.95,24.6,24.69,20017
2017-11-03,24.68,24.68,24.0,24.13,25815
2017-11-06,23.86,24.39,23.86,24.34,9607
2017-11-07,24.33,24.33,23.65,23.69,7730
2017-11-08,23.58,23.65,23.2,23.3,13340
2017-11-09,23.21,23.44,23.02,23.39,15105
2017-11-10,23.48,23.94,23.42,23.58,11968
2017-11-13,23.49,24.15,23.38,24.09,12239
2017-11-14,24.1,24.5,24.09,24.4,9919
2017-11-15,24.44,24.49,24.1,24.11,13232
2017-11-16,24.23,24.38,24.2,24.29,7918
2017-11-17,24.25,24.35,24.11,24.25,6036
2017-11-20,24.11,24.3,24.07,24.26,36461
2017-11-21,24.28,24.33,24.06,24.19,10988
2017-11-22,24.19,24.44,23.99,24.08,235885
2017-11-24,24.2,24.2,24.0,24.16,2768
2017-11-27,24.19,24.86,24.18,24.67,29493
2017-11-28,24.78,25.14,24.75,25.0,17520
2017-11-29,25.0,25.25,25.0,25.19,56103
2017-11-30,25.25,25.39,25.01,25.19,103428
2017-12-01,25.12,25.27,25.0,25.26,50329
2017-12-04,25.4,26.0,25.4,25.97,45546
2017-12-05,26.06,26.2,25.98,26.08,97773
2017-12-06,26.1,26.2,26.08,26.15,43694
2017-12-07,26.15,26.2,25.92,26.15,25245
2017-12-08,26.29,26.3,26.1,26.19,10954
2017-12-11,26.17,26.3,26.11,26.27,13094
2017-12-12,26.3,26.5,26.3,26.44,13858
2017-12-13,26.57,26.68,26.22,26.63,59178
2017-12-14,26.69,26.69,26.12,26.46,15090
2017-12-15,26.6,27.03,26.43,26.9,133873
2017-12-18,26.91,27.27,26.9,27.09,17919
2017-12-19,27.14,27.35,26.99,27.18,59270
2017-12-20,27.31,27.31,26.81,27.17,8648
2017-12-21,27.35,27.44,27.15,27.39,20073
2017-12-22,27.42,27.5,27.27,27.36,14940
2017-12-26,27.27,27.5,27.2,27.4,28817
2017-12-27,27.4,27.47,27.29,27.34,19490
2017-12-28,27.4,27.5,27.26,27.49,4862
2017-12-29,27.47,27.55,27.35,27.37,31229
2018-01-02,27.5,27.5,26.65,26.95,54361
2018-01-03,26.98,27.4,26.64,27.12,24002
2018-01-04,27.16,27.35,26.81,27.19,27904
2018-01-05,27.25,27.25,26.74,27.14,21696
2018-01-08,27.1,27.1,26.71,26.92,4561
2018-01-09,26.96,27.05,26.6,26.62,4358
2018-01-10,26.86,26.92,26.65,26.73,11095
2018-01-11,26.81,26.88,26.6,26.85,13461
2018-01-12,26.9,26.91,26.62,26.88,22502
2018-01-16,26.98,27.05,26.67,26.91,32524
2018-01-17,26.99,26.99,26.6,26.9,11993
2018-01-18,26.82,27.17,26.63,26.89,42001
2018-01-19,26.87,27.0,26.71,26.88,19511
2018-01-22,26.79,26.97,26.73,26.97,11957
2018-01-23,27.0,27.5,26.96,27.4,45181
2018-01-24,27.2,27.2,26.6,26.8,60533
2018-01-25,26.98,27.19,26.82,26.87,140209
2018-01-26,26.9,27.12,26.72,26.95,22620
2018-01-29,26.95,27.09,26.7,26.86,32598
2018-01-30,26.74,26.99,26.48,26.95,34307
2018-01-31,26.95,26.95,26.68,26.88,12851
2018-02-01,26.77,26.77,26.62,26.75,13929
2018-02-02,26.65,26.93,26.65,26.8,39877
2018-02-05,26.69,26.78,26.25,26.26,16812
2018-02-06,25.91,26.0,25.22,25.86,67720
2018-02-07,26.0,26.27,26.0,26.0,24307
2018-02-08,25.72,25.98,25.49,25.9,10080
2018-02-09,26.11,26.11,24.98,25.59,16118
2018-02-12,25.73,26.01,25.4,26.0,10914
2018-02-13,25.81,26.0,25.75,25.99,7540
2018-02-14,25.81,26.55,25.63,26.52,17160
2018-02-15,26.56,26.71,26.15,26.42,16202
2018-02-16,26.34,26.65,26.03,26.25,196697
2018-02-20,26.18,26.4,26.14,26.35,11795
2018-02-21,26.12,26.48,25.88,25.92,48683
2018-02-22,25.95,26.63,25.95,26.3,39830
2018-02-23,26.44,26.44,25.65,25.9,34204
2018-02-26,25.97,26.12,25.53,26.05,52995
2018-02-27,26.03,26.13,25.65,25.83,36016
2018-02-28,25.83,26.08,25.49,25.56,48511
2018-03-01,25.53,25.89,25.25,25.54,43309
2018-03-02,25.43,26.0,25.31,25.95,40543
2018-03-05,25.79,26.5,25.58,26.45,71186
2018-03-06,26.45,26.64,25.88,26.4,40490
2018-03-07,26.26,26.55,26.2,26.4,51226
2018-03-08,26.5,26.5,26.14,26.42,39673
2018-03-09,26.45,26.49,25.99,26.42,67782
2018-03-12,26.39,26.5,24.93,25.88,93820
2018-03-13,25.94,26.42,25.45,26.1,53994
2018-03-14,26.16,26.47,25.69,25.96,320494
2018-03-15,26.11,26.92,25.95,26.32,112156
2018-03-16,26.5,27.0,26.49,26.97,507802
2018-03-19,26.65,26.99,26.5,26.58,67065
2018-03-20,26.6,26.8,26.47,26.55,64996
2018-03-21,26.53,27.5,26.5,27.41,108914
2018-03-22,27.13,27.45,26.99,27.27,108863
2018-03-23,27.27,27.36,26.44,26.48,52512
2018-03-26,26.81,26.88,26.25,26.69,41007
2018-03-27,26.73,27.3,26.15,26.18,22006
2018-03-28,26.25,27.35,26.0,26.99,35782
2018-03-29,27.14,27.14,26.27,26.37,25457
2018-04-02,26.35,27.29,26.29,27.07,38252
2018-04-03,27.21,27.73,27.0,27.6,30613
2018-04-04,27.53,27.96,27.37,27.59,66526
2018-04-05,27.76,27.91,27.66,27.81,49689
2018-04-06,27.72,28.0,27.54,27.92,22291
2018-04-09,28.0,28.0,27.7,27.8,20104
2018-04-10,28.0,28.72,27.74,28.2,166263
2018-04-11,28.13,28.35,27.75,27.85,96400
2018-04-12,27.99,28.48,27.83,27.85,37770
2018-04-13,27.99,28.47,27.75,27.8,30028
2018-04-16,27.94,28.33,27.75,27.76,86094
2018-04-17,27.85,28.2,27.28,27.45,90527
2018-04-18,27.4,28.0,26.57,27.0,70670
2018-04-19,26.97,28.16,26.97,27.42,41683
2018-04-20,27.42,28.08,27.25,27.48,39775
2018-04-23,27.8,28.0,27.34,27.54,120802
2018-04-24,27.97,27.97,27.26,27.64,61996
2018-04-25,27.69,28.2,27.48,27.97,119710
2018-04-26,27.9,28.13,27.8,27.93,67549
2018-04-27,27.94,28.14,27.7,27.73,94344
2018-04-30,27.9,28.55,27.32,27.32,65879
2018-05-01,27.3,27.37,26.74,27.23,33155
2018-05-02,27.17,27.5,27.02,27.32,40054
2018-05-03,27.34,27.67,27.03,27.41,48981
2018-05-04,27.33,27.87,27.24,27.39,30714
2018-05-07,27.5,27.63,27.12,27.32,41526
2018-05-08,27.32,27.52,27.2,27.38,32009
2018-05-09,27.24,27.6,27.23,27.28,46954
2018-05-10,27.37,28.15,27.08,28.02,72497
2018-05-11,28.07,28.26,27.9,28.13,55477
2018-05-14,28.15,28.18,27.9,27.99,64675
2018-05-15,28.0,28.2,27.92,28.11,23590
2018-05-16,28.15,28.4,28.0,28.38,109373
2018-05-17,28.36,28.36,28.13,28.23,40867
2018-05-18,28.37,28.37,27.85,28.27,46339
2018-05-21,28.32,28.81,28.3,28.68,85062
2018-05-22,28.72,29.37,28.7,28.85,50973
2018-05-23,28.84,28.94,28.75,28.83,44314
2018-05-24,28.85,29.5,28.8,29.41,70525
2018-05-25,29.24,29.35,29.14,29.33,36067
2018-05-29,29.17,29.64,28.97,29.6,54953
2018-05-30,29.65,30.48,29.57,30.37,67785
2018-05-31,30.35,30.45,30.05,30.39,86238
2018-06-01,30.5,30.9,30.39,30.79,59877
2018-06-04,30.91,31.5,30.8,31.05,61560
2018-06-05,31.1,31.32,30.87,30.94,43562
2018-06-06,31.03,31.27,31.02,31.12,33765
