date,open,high,low,close,volume
2017-01-03,17.13,17.51,16.77,16.99,109877
2017-01-04,16.99,17.19,16.8,16.98,98276
2017-01-05,17.0,17.02,16.52,16.72,101170
2017-01-06,16.64,16.78,16.34,16.64,66209
2017-01-09,16.31,16.73,16.13,16.57,144826
2017-01-10,16.58,17.31,16.34,17.1,126195
2017-01-11,17.11,17.11,16.7,16.97,32115
2017-01-12,16.93,16.98,16.55,16.71,73730
2017-01-13,16.55,16.93,16.55,16.7,79514
2017-01-17,16.7,16.84,16.34,16.52,79953
2017-01-18,16.54,16.7,16.45,16.58,44155
2017-01-19,16.68,16.76,16.24,16.26,78561
2017-01-20,16.3,17.01,16.3,16.93,85810
2017-01-23,16.92,17.11,16.9,17.0,47853
2017-01-24,17.09,17.32,16.93,17.22,113553
2017-01-25,17.27,17.81,16.97,17.74,121584
2017-01-26,17.67,17.75,16.98,17.38,193703
2017-01-27,17.48,17.72,17.3,17.65,29965
2017-01-30,17.65,17.65,17.19,17.37,33122
2017-01-31,17.42,17.7,17.24,17.55,95846
2017-02-01,17.51,17.79,17.51,17.55,26426
2017-02-02,17.56,17.75,17.29,17.69,73796
2017-02-03,17.63,17.77,17.45,17.69,45853
2017-02-06,17.69,17.78,17.52,17.62,45224
2017-02-07,17.7,17.78,17.55,17.77,31777
2017-02-08,17.75,17.75,17.3,17.53,33039
2017-02-09,17.49,17.99,17.43,17.93,76828
2017-02-10,17.51,18.0,17.5,17.71,73812
2017-02-13,17.75,17.93,17.5,17.53,81811
2017-02-14,17.58,17.7,17.38,17.56,48553
2017-02-15,17.48,17.59,17.25,17.32,57020
2017-02-16,17.3,17.35,17.12,17.22,47716
2017-02-17,17.18,17.34,17.12,17.3,35280
2017-02-21,17.49,17.71,17.23,17.5,55853
2017-02-22,17.38,17.52,17.2,17.4,27255
2017-02-23,17.47,17.47,17.02,17.08,34940
2017-02-24,17.02,17.45,17.0,17.41,31127
2017-02-27,17.35,17.51,17.17,17.22,40181
2017-02-28,17.17,17.28,16.88,17.03,27360
2017-03-01,17.13,17.27,17.03,17.18,30635
2017-03-02,17.14,17.19,16.93,17.01,18130
2017-03-03,16.98,17.06,16.51,16.68,46922
2017-03-06,16.49,16.7,16.3,16.34,37105
2017-03-07,16.24,16.68,16.02,16.61,50891
2017-03-08,16.58,16.8,16.39,16.71,55181
2017-03-09,16.61,16.81,16.26,16.34,21877
2017-03-10,16.5,16.63,16.24,16.37,28394
2017-03-13,16.45,16.61,16.37,16.46,32418
2017-03-14,16.3,16.68,16.27,16.66,27788
2017-03-15,16.69,16.69,16.27,16.36,24284
2017-03-16,16.35,16.74,16.35,16.67,13933
2017-03-17,16.68,17.1,16.55,17.0,59082
2017-03-20,17.04,17.04,16.53,16.73,32950
2017-03-21,17.03,17.03,16.42,16.42,28435
2017-03-22,16.29,16.64,16.18,16.43,28989
2017-03-23,16.38,16.83,16.33,16.81,19667
2017-03-24,16.92,17.0,16.71,16.81,33665
2017-03-27,16.54,16.8,16.2,16.69,33720
2017-03-28,16.73,16.79,16.49,16.52,33373
2017-03-29,16.5,16.68,16.39,16.48,27518
2017-03-30,16.5,16.65,16.15,16.58,40432
2017-03-31,16.6,17.5,16.54,17.32,102758
2017-04-03,17.4,17.4,16.97,16.97,43642
2017-04-04,17.01,17.13,16.79,17.09,29381
2017-04-05,17.07,17.47,16.66,16.87,58020
2017-04-06,16.87,17.37,16.85,17.06,114177
2017-04-07,17.07,17.23,16.95,17.05,28556
2017-04-10,17.12,17.24,16.78,17.09,52956
2017-04-11,17.15,17.37,17.1,17.19,60264
2017-04-12,17.14,17.25,16.84,17.22,23294
2017-04-13,17.07,17.24,16.95,17.02,12324
2017-04-17,17.09,17.13,17.02,17.07,18251
2017-04-18,17.08,17.16,16.96,16.97,37460
2017-04-19,17.05,17.05,16.37,16.5,53959
2017-04-20,16.62,17.2,16.62,16.93,96202
2017-04-21,16.95,17.07,16.84,16.96,29893
2017-04-24,17.11,17.11,16.5,16.73,24070
2017-04-25,16.94,16.95,16.77,16.87,62046
2017-04-26,16.84,17.45,16.84,17.16,34761
2017-04-27,17.17,17.28,16.9,17.01,20475
2017-04-28,17.0,17.04,16.62,16.64,36823
2017-05-01,16.72,17.44,16.65,17.06,17609
2017-05-02,17.05,17.15,16.78,16.79,18800
2017-05-03,16.75,16.91,16.38,16.54,46843
2017-05-04,16.61,16.99,16.32,16.41,45651
2017-05-05,16.46,16.86,16.43,16.72,28020
2017-05-08,16.99,16.99,16.52,16.75,35833
2017-05-09,16.86,18.45,16.81,18.36,217409
2017-05-10,18.65,18.98,17.86,18.76,76878
2017-05-11,18.8,19.44,18.72,18.88,87181
2017-05-12,18.98,19.24,18.54,18.96,54691
2017-05-15,19.24,19.9,19.09,19.53,74780
2017-05-16,19.65,19.8,19.2,19.49,38027
2017-05-17,19.21,19.53,19.02,19.28,69713
2017-05-18,19.32,20.18,19.32,20.0,62274
2017-05-19,20.0,20.71,19.71,20.53,63606
2017-05-22,20.73,20.77,20.26,20.71,69471
2017-05-23,20.71,21.08,20.53,20.86,36754
2017-05-24,20.86,21.0,20.7,20.99,36994
2017-05-25,21.01,21.02,20.63,20.87,29590
2017-05-26,20.87,21.0,20.63,20.83,20200
2017-05-30,20.94,20.95,20.63,20.91,64270
2017-05-31,20.97,20.97,20.63,20.81,26842
2017-06-01,20.83,20.93,20.67,20.86,27564
2017-06-02,21.0,21.28,20.9,21.11,40350
2017-06-05,21.28,21.62,21.0,21.52,64931
2017-06-06,21.53,22.06,21.51,21.82,41366
2017-06-07,21.93,22.42,21.59,22.05,107397
2017-06-08,22.1,23.25,22.1,23.12,102575
2017-06-09,23.35,23.6,22.84,23.06,110570
2017-06-12,22.76,22.8,20.8,21.39,149462
2017-06-13,21.43,22.84,21.43,22.49,86518
2017-06-14,22.7,22.73,22.22,22.27,48348
2017-06-15,22.11,22.2,21.81,21.97,33745
2017-06-16,21.85,21.96,21.36,21.61,72107
2017-06-19,21.86,22.07,21.31,22.07,105013
2017-06-20,21.98,22.48,21.7,22.26,106961
2017-06-21,22.47,22.86,21.85,22.73,135509
2017-06-22,22.7,23.04,22.12,22.73,104335
2017-06-23,22.75,23.02,22.23,22.92,1056109
2017-06-26,23.18,25.47,23.18,24.85,442582
2017-06-27,24.8,25.0,23.7,23.78,125155
2017-06-28,23.92,24.7,23.55,24.41,121743
2017-06-29,24.29,24.42,23.88,24.38,95394
2017-06-30,24.3,24.3,23.36,23.84,140241
2017-07-03,23.61,23.68,22.16,22.85,132369
2017-07-05,22.91,23.42,22.62,23.18,98202
2017-07-06,23.05,23.07,22.65,22.86,77691
2017-07-07,22.88,23.81,22.56,23.58,114061
2017-07-10,23.6,23.9,23.0,23.7,96623
2017-07-11,23.95,24.62,23.41,24.13,138888
2017-07-12,24.2,24.45,23.71,23.89,59668
2017-07-13,23.74,23.79,23.05,23.22,72914
2017-07-14,23.16,23.64,23.1,23.51,57712
2017-07-17,23.16,23.42,22.38,23.14,136594
2017-07-18,23.07,23.7,22.81,23.15,102825
2017-07-19,23.33,23.78,23.09,23.36,50422
2017-07-20,23.37,23.6,23.0,23.12,31281
2017-07-21,23.29,23.32,23.0,23.09,67720
2017-07-24,23.05,23.35,23.0,23.23,38171
2017-07-25,23.35,23.65,23.1,23.42,55507
2017-07-26,23.38,23.79,23.12,23.59,51007
2017-07-27,23.67,23.78,22.68,23.04,47310
2017-07-28,22.99,23.29,22.85,22.92,35804
2017-07-31,22.91,23.15,22.63,22.69,62347
2017-08-01,22.72,23.23,22.41,23.03,65593
2017-08-02,23.02,23.13,22.49,22.68,29028
2017-08-03,22.67,22.86,22.24,22.35,37334
2017-08-04,22.44,23.0,22.33,22.84,33221
2017-08-07,23.0,23.24,22.76,22.92,55531
2017-08-08,22.89,23.66,22.81,23.57,56183
2017-08-09,23.35,23.97,23.12,23.76,67127
2017-08-10,23.99,26.85,23.99,26.14,265872
2017-08-11,26.18,26.27,25.05,25.23,105692
2017-08-14,25.33,26.52,25.0,26.33,114063
2017-08-15,26.63,26.74,24.96,25.0,75981
2017-08-16,25.19,26.07,24.5,24.55,99846
2017-08-17,24.27,24.43,23.5,23.96,123461
2017-08-18,23.82,24.51,23.66,24.08,55550
2017-08-21,24.03,24.33,23.76,24.14,78586
2017-08-22,24.15,24.28,23.73,24.06,52787
2017-08-23,23.89,24.03,23.65,23.76,34660
2017-08-24,23.71,24.1,23.51,24.07,30615
2017-08-25,24.06,24.61,23.94,24.28,33829
2017-08-28,23.99,24.27,23.51,23.87,118235
2017-08-29,23.49,23.89,21.91,22.22,226840
2017-08-30,22.19,23.34,22.15,22.94,102866
2017-08-31,23.02,23.34,22.9,23.3,79235
2017-09-01,23.38,24.24,23.25,24.14,56786
2017-09-05,24.0,24.45,23.57,23.8,62654
2017-09-06,23.73,24.3,23.43,23.83,68989
2017-09-07,23.8,24.28,23.54,24.01,56858
2017-09-08,24.03,24.31,23.31,23.6,51137
2017-09-11,23.71,24.1,23.65,23.82,37277
2017-09-12,23.81,24.22,23.72,24.14,57538
2017-09-13,24.25,24.87,23.68,24.65,50723
2017-09-14,24.63,24.82,24.2,24.29,42186
2017-09-15,24.34,24.34,23.96,24.12,89117
2017-09-18,24.11,24.5,24.07,24.23,51075
2017-09-19,24.34,24.85,24.17,24.51,45086
2017-09-20,24.71,25.0,24.56,24.66,34512
2017-09-21,24.87,25.43,24.44,24.93,100109
2017-09-22,24.61,25.3,24.61,24.85,29572
2017-09-25,24.55,25.08,24.23,24.5,54845
2017-09-26,24.42,25.11,24.2,24.61,64699
2017-09-27,24.65,25.38,24.65,25.37,40061
2017-09-28,25.41,25.9,24.83,25.57,39186
2017-09-29,25.57,25.57,24.67,24.75,36354
2017-10-02,24.77,25.42,24.77,25.24,30893
2017-10-03,25.23,25.47,24.96,25.3,27878
2017-10-04,25.21,25.43,24.79,24.92,49519
2017-10-05,25.0,25.17,24.91,24.98,53021
2017-10-06,24.95,25.09,24.77,24.85,27448
2017-10-09,24.86,24.95,24.31,24.34,36041
2017-10-10,24.51,27.17,24.51,26.38,136130
2017-10-11,26.33,26.84,25.91,26.51,72256
2017-10-12,26.37,27.17,26.37,26.86,67450
2017-10-13,26.99,27.75,26.18,27.64,72402
2017-10-16,27.67,28.0,27.09,27.45,78623
2017-10-17,27.35,27.93,27.21,27.75,30375
2017-10-18,27.93,28.05,27.65,27.82,47364
2017-10-19,27.6,27.9,27.2,27.46,114849
2017-10-20,27.83,28.22,27.64,28.09,61603
2017-10-23,28.07,28.09,27.8,27.83,36563
2017-10-24,27.94,28.5,27.77,28.29,60479
2017-10-25,28.3,28.47,27.24,27.39,52245
2017-10-26,27.57,28.01,27.52,27.65,30760
2017-10-27,27.66,27.7,27.05,27.16,33481
2017-10-30,27.2,27.91,26.4,26.75,60755
2017-10-31,26.77,27.74,26.64,27.55,46794
2017-11-01,27.62,27.98,27.06,27.25,30486
2017-11-02,27.26,28.17,27.25,27.91,32925
2017-11-03,28.01,28.34,27.51,27.68,45122
2017-11-06,27.79,28.1,27.58,27.96,39353
2017-11-07,28.06,28.27,27.06,27.55,36526
2017-11-08,27.5,28.2,27.35,28.01,35557
2017-11-09,28.1,28.47,27.95,28.4,74318
2017-11-10,28.45,28.65,28.08,28.22,41363
2017-11-13,27.94,29.2,27.51,29.01,111110
