date,open,high,low,close,volume
2020-05-04,337.45,342.82,333.67,341.08,600074
2020-05-05,344.86,352.23,343.24,345.87,570696
2020-05-06,347.08,353.77,347.08,351.16,697661
2020-05-07,355.28,360.9,353.79,356.19,691714
2020-05-08,359.61,362.32,357.28,358.36,573589
2020-04-30,337.34,342.32,332.76,341.03,804872
2020-05-01,335.83,340.45,333.22,339.38,741252
2020-04-29,342.03,344.98,331.86,340.72,779827
2020-04-28,345.0,354.94,323.33,336.79,1144828
2020-04-27,309.52,317.43,308.17,314.55,929769
2017-01-03,184.82,185.71,183.74,184.93,421459
2017-01-04,185.31,186.43,184.45,185.29,436885
2017-01-05,184.68,186.99,184.3,185.27,342690
2017-01-06,187.15,189.19,186.42,187.87,647801
2017-01-09,188.04,188.04,185.97,186.31,285264
2017-01-10,185.63,186.43,184.55,186.0,500668
2017-01-11,185.71,189.79,185.06,188.97,670536
2017-01-12,188.76,188.76,185.63,187.66,446325
2017-01-13,189.51,190.01,188.12,188.5,622466
2017-01-17,188.05,188.39,185.43,186.02,381979
2017-01-18,186.72,189.09,185.33,186.91,709590
2017-01-19,187.65,188.22,185.1,185.42,341516
2017-01-20,186.12,186.87,185.11,186.22,464140
2017-01-23,185.85,186.71,185.12,186.36,668994
2017-01-24,186.7,188.48,186.01,187.88,491182
2017-01-25,188.55,190.9,188.2,190.58,602854
2017-01-26,191.01,191.94,189.5,190.44,457091
2017-01-27,191.12,191.12,189.52,190.75,289948
2017-01-30,190.11,190.48,188.36,190.4,436155
2017-01-31,190.16,191.94,189.58,191.85,739679
2017-02-01,192.14,192.75,190.45,191.36,493027
2017-02-02,190.36,191.9,189.74,191.76,352478
2017-02-03,192.21,192.92,191.44,192.86,566244
2017-02-06,192.29,192.99,191.32,192.7,376459
2017-02-07,193.27,193.34,191.67,192.35,427997
2017-02-08,192.49,193.11,191.22,193.01,483760
2017-02-09,195.08,205.69,194.03,202.2,1325002
2017-02-10,203.5,205.78,203.01,204.56,849322
2017-02-13,205.91,207.38,204.63,205.74,573482
2017-02-14,205.49,206.69,204.96,205.37,461508
2017-02-15,204.21,207.6,203.84,206.74,413444
2017-02-16,206.95,207.13,204.47,206.81,497831
2017-02-17,206.49,207.22,205.28,207.14,1076865
2017-02-21,207.62,207.87,205.97,207.38,497016
2017-02-22,206.65,208.97,206.65,207.87,402418
2017-02-23,209.83,210.17,207.33,209.45,557129
2017-02-24,209.22,210.0,208.46,209.91,624931
2017-02-27,209.83,210.56,208.73,210.04,845007
2017-02-28,210.04,211.99,208.34,209.2,645330
2017-03-01,211.68,213.33,210.67,212.96,506327
2017-03-02,212.83,213.39,211.59,212.78,342412
2017-03-03,211.43,213.05,211.27,212.85,290916
