date,open,high,low,close,volume
2020-04-30,23.78,24.39,22.56,23.62,139115
2020-05-01,22.75,22.75,21.24,22.44,164657
2020-04-29,22.98,24.9,22.69,24.48,219312
2017-01-03,27.25,27.66,26.91,27.24,108075
2017-01-04,27.54,28.29,27.03,28.05,97227
2017-01-05,27.58,27.64,26.19,26.45,119419
2017-01-06,26.29,26.31,25.31,25.35,163127
2017-01-09,25.2,25.85,25.2,25.49,182588
2017-01-10,24.36,24.36,23.44,23.99,216254
2017-01-11,24.05,24.63,23.49,24.48,151217
2017-01-12,24.36,25.04,24.02,24.91,120921
2017-01-13,25.15,25.46,25.02,25.32,105023
2017-01-17,25.0,26.04,25.0,25.28,155488
2017-01-18,25.22,25.64,24.77,25.62,89658
2017-01-19,25.67,25.67,24.9,24.92,93772
2017-01-20,24.98,25.43,24.93,25.37,94785
2017-01-23,25.33,25.35,24.92,25.07,88223
2017-01-24,25.18,25.73,25.18,25.54,80628
2017-01-25,25.79,26.14,25.75,25.96,53186
2017-01-26,25.9,25.94,25.36,25.44,100375
2017-01-27,25.43,25.63,25.23,25.29,88109
2017-01-30,25.1,25.31,24.56,25.01,60219
2017-01-31,24.79,25.69,24.62,25.57,103832
2017-02-01,25.76,25.79,25.33,25.59,71959
2017-02-02,25.54,26.06,25.45,25.55,51099
2017-02-03,25.62,26.2,25.5,25.65,49429
2017-02-06,25.65,26.22,25.5,25.65,58432
2017-02-07,25.73,25.74,25.38,25.47,94622
2017-02-08,25.4,26.2,25.4,26.1,56492
2017-02-09,26.13,27.04,26.13,26.75,42464
2017-02-10,26.99,27.49,26.44,27.46,72958
2017-02-13,27.65,27.96,26.37,26.55,71886
2017-02-14,26.39,26.83,26.39,26.65,72302
2017-02-15,26.52,26.91,26.05,26.37,96094
2017-02-16,26.4,26.5,25.38,25.64,113470
2017-02-17,25.56,25.98,25.2,25.32,336616
2017-02-21,25.59,26.59,25.59,26.54,123532
2017-02-22,26.45,26.69,26.11,26.29,51423
2017-02-23,26.36,26.36,25.21,25.3,76098
2017-02-24,25.07,26.63,25.07,25.84,169319
2017-02-27,25.75,26.06,25.47,25.72,93549
2017-02-28,25.52,25.56,25.12,25.34,113580
2017-03-01,25.78,25.8,24.75,25.47,126829
2017-03-02,25.54,26.21,25.36,25.94,287676
2017-03-03,25.92,26.12,25.16,25.37,102340
2017-03-06,25.3,25.69,25.12,25.54,96056
2017-03-07,25.6,25.66,25.36,25.43,121006
2017-03-08,25.45,25.92,25.45,25.7,71852
2017-03-09,25.54,25.66,24.96,25.24,145573
2017-03-10,25.36,25.95,24.75,25.78,108081
