date,open,high,low,close,volume
2017-01-03,76.46,76.67,75.76,76.13,292922
2017-01-04,76.38,76.82,76.04,76.64,339854
2017-01-05,76.44,77.5,75.8,77.33,369605
2017-01-06,76.94,78.89,76.8,78.46,424802
2017-01-09,78.93,78.93,77.72,78.02,271825
2017-01-10,78.01,78.06,77.22,77.26,215797
2017-01-11,77.24,77.67,76.61,76.82,445666
2017-01-12,77.21,77.82,76.6,77.79,198498
2017-01-13,77.31,78.18,77.31,77.89,139201
2017-01-17,78.3,78.64,77.41,77.82,318973
2017-01-18,77.59,78.85,77.51,78.06,197691
2017-01-19,77.51,77.94,77.16,77.53,139218
2017-01-20,77.44,78.22,77.12,77.91,253768
2017-01-23,78.27,79.31,77.87,79.02,319015
2017-01-24,78.92,79.42,78.83,79.27,216709
2017-01-25,79.29,79.38,78.7,78.99,248055
2017-01-26,78.87,79.28,78.44,78.74,109374
2017-01-27,78.91,78.99,77.55,78.38,183134
2017-01-30,78.4,78.75,77.87,78.18,162685
2017-01-31,78.25,79.41,78.25,78.76,243536
2017-02-01,78.32,79.16,77.81,78.01,209286
2017-02-02,78.47,78.89,78.16,78.28,217985
2017-02-03,79.0,79.35,78.12,78.49,198683
2017-02-06,78.83,78.99,78.18,78.57,173690
2017-02-07,78.48,79.26,78.48,79.02,222216
2017-02-08,79.46,80.4,78.96,79.91,176274
2017-02-09,79.86,80.25,78.78,79.6,251581
2017-02-10,79.2,80.35,79.19,80.27,177734
2017-02-13,80.31,80.68,79.49,80.65,169553
2017-02-14,80.32,80.88,79.34,80.15,156629
2017-02-15,79.88,80.66,79.07,80.53,333937
2017-02-16,80.41,81.19,80.3,80.99,200748
2017-02-17,80.81,81.17,80.31,80.93,164774
2017-02-21,80.61,81.81,80.39,81.59,244818
2017-02-22,81.71,82.2,80.28,81.02,328594
2017-02-23,81.6,82.68,80.25,82.32,516355
2017-02-24,82.66,83.76,81.98,83.52,285602
2017-02-27,82.59,83.37,82.2,83.23,335313
2017-02-28,82.56,83.32,82.11,82.83,327298
2017-03-01,82.34,82.81,81.68,82.61,327182
2017-03-02,82.52,82.52,81.42,82.14,235567
2017-03-03,82.27,82.27,80.6,81.88,321190
2017-03-06,81.79,81.97,80.85,81.82,300483
2017-03-07,81.71,82.15,81.18,82.12,227481
2017-03-08,81.55,81.55,80.75,80.91,311035
2017-03-09,80.41,81.04,79.23,79.62,307005
2017-03-10,80.2,81.03,78.98,79.15,249174
2017-03-13,79.21,80.35,78.88,79.54,209105
2017-03-14,79.52,79.81,79.01,79.3,238529
2017-03-15,79.37,80.93,79.37,80.66,245811
2017-03-16,80.34,81.07,80.14,80.25,202149
2017-03-17,80.11,80.97,80.08,80.55,555842
2017-03-20,80.55,80.72,79.76,80.01,211780
2017-03-21,80.29,80.35,79.49,79.79,254509
2017-03-22,80.15,80.39,79.0,79.78,309079
2017-03-23,79.69,81.77,79.26,81.12,380484
2017-03-24,81.49,81.64,80.53,80.56,235984
2017-03-27,80.77,80.93,79.43,79.83,175661
2017-03-28,79.7,80.13,78.89,80.1,314206
2017-03-29,79.33,79.9,78.78,79.67,231789
2017-03-30,79.73,79.73,78.9,79.55,191465
2017-03-31,79.42,80.43,79.32,80.33,309244
2017-04-03,80.63,80.98,79.66,80.03,230436
2017-04-04,80.19,80.52,79.41,80.1,450849
2017-04-05,80.27,81.33,79.94,81.0,334515
2017-04-06,81.06,81.76,80.8,81.64,235382
2017-04-07,81.8,82.36,81.68,82.22,313250
2017-04-10,82.24,82.84,81.93,82.74,222017
2017-04-11,82.76,82.99,82.41,82.56,334441
2017-04-12,82.63,83.12,82.0,82.38,306094
2017-04-13,82.5,82.5,81.57,82.02,155079
2017-04-17,82.38,83.58,82.3,83.57,332798
2017-04-18,83.56,84.85,83.32,84.8,392271
2017-04-19,83.99,84.82,83.99,84.45,318163
2017-04-20,84.45,84.68,83.53,84.35,200203
2017-04-21,84.12,84.99,84.01,84.64,340128
2017-04-24,84.85,84.99,83.25,84.18,474526
2017-04-25,83.73,84.73,82.35,84.68,140946
2017-04-26,84.3,84.52,83.2,83.2,399852
2017-04-27,83.19,85.33,82.13,84.63,360752
2017-04-28,84.5,84.69,83.14,83.61,292996
2017-05-01,84.0,84.47,83.33,83.7,262824
2017-05-02,83.84,83.96,82.93,83.37,245356
2017-05-03,83.8,83.8,82.49,82.72,305239
2017-05-04,82.43,83.0,81.7,82.88,292523
2017-05-05,82.86,83.49,82.86,83.45,227663
2017-05-08,83.27,83.41,82.44,83.25,214794
2017-05-09,83.42,84.09,82.94,83.84,341755
2017-05-10,84.02,85.0,83.72,84.57,560533
2017-05-11,84.13,84.59,83.62,83.84,306950
2017-05-12,83.85,84.44,83.77,84.22,183296
2017-05-15,84.08,84.78,83.22,83.28,347888
2017-05-16,83.4,84.09,83.12,83.95,275869
2017-05-17,84.12,84.81,83.97,84.3,304314
2017-05-18,84.43,85.33,83.67,85.24,455236
2017-05-19,85.76,86.67,84.45,84.9,287073
2017-05-22,85.69,86.69,85.51,86.5,371083
2017-05-23,86.71,87.39,86.46,87.09,336427
2017-05-24,87.12,87.99,87.12,87.74,250866
2017-05-25,86.69,86.83,85.54,85.96,3225740
2017-05-26,86.05,86.85,85.97,86.49,1480095
2017-05-30,86.8,87.03,85.94,86.17,662072
2017-05-31,86.51,86.73,85.41,86.14,1828529
2017-06-01,86.46,86.69,85.28,86.43,927428
2017-06-02,86.99,89.77,86.87,89.54,1025202
2017-06-05,89.38,89.72,88.4,89.07,653314
2017-06-06,88.93,89.33,87.65,87.7,532305
2017-06-07,87.83,88.92,87.61,88.78,449667
2017-06-08,88.83,88.93,87.92,88.73,365247
2017-06-09,88.79,88.81,87.7,88.02,354559
2017-06-12,88.03,88.66,87.52,88.62,1056505
2017-06-13,88.75,89.17,88.48,89.17,361637
2017-06-14,89.83,90.34,89.13,89.41,466600
2017-06-15,89.38,90.82,89.11,90.38,482385
2017-06-16,90.62,90.85,89.73,90.82,832453
2017-06-19,90.6,91.15,90.06,91.05,393433
2017-06-20,90.94,91.37,90.14,90.71,317346
2017-06-21,90.79,90.94,90.06,90.73,398161
2017-06-22,90.45,91.07,90.11,90.52,447513
2017-06-23,90.52,90.96,89.8,89.88,683600
2017-06-26,90.02,90.38,89.41,89.53,333749
2017-06-27,88.88,89.78,88.54,88.63,514731
2017-06-28,88.36,88.43,87.63,87.68,520186
