date,open,high,low,close,volume
2017-01-03,7.67,7.92,7.18,7.67,15480
2017-01-04,7.62,7.67,7.38,7.43,2475
2017-01-05,7.57,7.61,7.57,7.61,1081
2017-01-06,7.62,7.62,7.56,7.6,1416
2017-01-09,7.52,7.52,7.2,7.28,2034
2017-01-10,7.14,7.52,7.14,7.38,10689
2017-01-11,7.28,7.52,7.13,7.43,5622
2017-01-12,7.33,7.33,7.33,7.33,1168
2017-01-13,7.23,7.48,7.23,7.48,9910
2017-01-17,7.48,7.48,7.43,7.48,6262
2017-01-18,7.52,7.92,7.52,7.82,21964
2017-01-19,7.82,7.82,7.28,7.62,3617
2017-01-20,7.62,7.77,7.62,7.72,5576
2017-01-23,7.62,7.72,7.52,7.72,2808
2017-01-24,7.77,7.87,7.71,7.82,2393
2017-01-25,7.73,7.87,7.67,7.87,22593
2017-01-26,7.92,7.92,7.67,7.82,101949
2017-01-27,7.62,7.77,7.52,7.62,18196
2017-01-30,7.67,7.77,7.62,7.72,8464
2017-01-31,7.67,7.87,7.66,7.77,6903
2017-02-01,7.82,7.92,7.77,7.92,12943
2017-02-02,7.92,8.07,7.82,8.07,13373
2017-02-03,8.12,8.12,7.97,8.07,11571
2017-02-06,7.97,8.12,7.92,8.12,14777
2017-02-07,8.11,8.12,8.02,8.07,7294
2017-02-08,8.12,8.12,7.87,7.97,1724
2017-02-09,7.92,7.95,7.87,7.92,10848
2017-02-10,7.89,7.97,7.77,7.97,14662
2017-02-13,7.97,8.17,7.92,8.12,28059
2017-02-14,8.02,8.02,7.97,8.02,1293
2017-02-15,8.02,8.02,8.01,8.02,2933
2017-02-16,7.92,8.02,7.77,7.77,10336
2017-02-17,7.82,7.92,7.79,7.87,2604
2017-02-21,7.92,7.92,7.67,7.87,22260
2017-02-22,7.82,7.82,7.57,7.57,11143
2017-02-23,7.67,7.72,7.67,7.67,3591
2017-02-24,7.64,7.67,7.62,7.67,1090
2017-02-27,7.62,7.67,7.62,7.67,2436
2017-02-28,7.72,7.72,7.57,7.57,3653
2017-03-01,7.67,7.67,7.57,7.57,1900
2017-03-02,7.77,7.77,7.57,7.62,5695
2017-03-03,7.82,7.82,7.67,7.72,2603
2017-03-06,7.77,7.77,7.77,7.77,477
2017-03-07,7.78,7.78,7.62,7.67,4387
2017-03-08,7.62,7.77,7.62,7.67,7876
2017-03-09,7.62,7.63,7.62,7.63,3337
2017-03-10,7.77,7.77,7.62,7.62,2068
2017-03-13,7.62,7.77,7.62,7.77,7488
2017-03-14,7.62,7.62,7.48,7.62,8854
2017-03-15,7.55,7.57,7.23,7.28,9730
2017-03-16,7.38,7.43,7.28,7.43,4925
2017-03-17,7.43,7.43,7.23,7.23,11296
2017-03-20,7.33,7.43,7.32,7.38,2866
2017-03-21,7.43,7.43,7.18,7.23,9362
2017-03-22,7.43,7.43,7.13,7.13,6869
2017-03-23,7.14,7.23,7.14,7.23,1028
2017-03-24,7.38,7.38,7.38,7.38,172
2017-03-27,0.0,0.0,0.0,7.38,0
2017-03-28,7.38,7.48,7.38,7.38,490
2017-03-29,0.0,0.0,0.0,7.38,2
2017-03-30,7.48,7.48,7.43,7.43,4642
2017-03-31,7.27,7.28,6.93,7.23,18644
2017-04-03,7.33,7.33,7.08,7.18,8580
2017-04-04,7.38,7.38,7.23,7.23,1686
2017-04-05,7.3,7.3,7.3,7.3,3039
2017-04-06,7.3,7.3,6.81,7.1,22023
2017-04-07,6.95,7.1,6.95,7.1,13157
2017-04-10,0.0,0.0,0.0,7.1,0
2017-04-11,7.15,7.2,7.05,7.05,1933
2017-04-12,7.15,7.2,7.1,7.1,2712
2017-04-13,7.1,7.6,7.1,7.25,31549
2017-04-17,7.39,7.55,7.15,7.55,15914
2017-04-18,7.55,7.6,7.45,7.5,44406
2017-04-19,7.58,7.68,7.5,7.68,51200
2017-04-20,7.7,7.85,7.7,7.75,14231
2017-04-21,7.72,8.1,7.72,8.05,18074
2017-04-24,8.1,8.1,7.8,8.1,17629
2017-04-25,8.1,8.1,8.0,8.1,3054
2017-04-26,8.2,8.2,8.0,8.05,4165
2017-04-27,8.1,8.35,7.9,8.35,27507
2017-04-28,8.3,8.35,8.19,8.35,5734
2017-05-01,8.35,8.65,8.35,8.45,25358
2017-05-02,8.45,8.45,8.3,8.45,3824
2017-05-03,8.35,8.35,8.18,8.3,6889
2017-05-04,8.2,8.35,8.11,8.35,2432
2017-05-05,8.1,8.5,8.1,8.5,10804
2017-05-08,8.55,8.55,8.3,8.3,10989
2017-05-09,8.2,8.4,8.2,8.4,13909
2017-05-10,8.46,8.65,8.46,8.65,6283
2017-05-11,8.65,9.3,8.35,9.3,26179
2017-05-12,9.45,9.5,9.05,9.2,44396
2017-05-15,9.25,9.25,8.6,9.05,11932
2017-05-16,9.1,9.13,8.5,9.1,9785
2017-05-17,9.2,9.4,8.86,9.4,48172
2017-05-18,9.3,9.3,8.9,9.1,19496
2017-05-19,9.3,9.3,9.2,9.3,6617
2017-05-22,9.3,9.35,9.0,9.3,14787
2017-05-23,9.3,9.3,9.05,9.25,15939
2017-05-24,9.25,9.25,8.75,9.05,10401
2017-05-25,9.25,9.25,8.7,9.1,15846
2017-05-26,9.2,9.45,9.15,9.45,14101
2017-05-30,9.25,9.4,9.05,9.2,14824
2017-05-31,9.1,9.4,8.9,9.4,15466
2017-06-01,9.35,9.5,9.3,9.4,16159
