date,open,high,low,close,volume
2017-01-03,63.84,64.91,62.87,63.15,145332
2017-01-04,63.34,64.2,63.33,64.07,127372
2017-01-05,63.73,63.87,61.95,62.95,98307
2017-01-06,63.46,63.48,62.34,62.52,108835
2017-01-09,62.09,62.21,61.24,61.24,81095
2017-01-10,61.27,62.03,60.81,61.39,133457
2017-01-11,61.4,61.52,60.79,61.43,191460
2017-01-12,61.06,61.06,59.41,60.65,129837
2017-01-13,60.96,62.84,60.32,60.87,89786
2017-01-17,60.36,60.68,58.35,58.5,99306
2017-01-18,58.83,59.25,57.96,58.15,140282
2017-01-19,58.05,58.58,57.39,58.23,153175
2017-01-20,58.15,58.81,57.72,57.99,151775
2017-01-23,57.46,58.12,55.95,56.29,365805
2017-01-24,56.68,56.99,56.32,56.67,261864
2017-01-25,57.35,57.86,56.72,57.55,177653
2017-01-26,57.61,57.85,57.1,57.81,91481
2017-01-27,57.64,57.7,57.15,57.64,63789
2017-01-30,56.95,57.02,55.99,56.67,132396
2017-01-31,56.46,57.02,56.35,56.75,104691
2017-02-01,56.77,57.49,56.04,56.44,131566
2017-02-02,55.8,56.07,54.79,54.93,112207
2017-02-03,55.2,56.34,55.11,56.28,168187
2017-02-06,56.04,56.61,55.84,56.01,79996
2017-02-07,55.98,56.13,54.92,55.19,79395
2017-02-08,54.96,54.96,53.68,54.71,94733
2017-02-09,54.81,55.97,54.72,55.94,116064
2017-02-10,56.29,56.41,55.72,56.38,60508
2017-02-13,56.76,57.49,56.43,56.81,91991
2017-02-14,56.56,58.07,56.43,57.83,103392
2017-02-15,57.95,58.33,57.6,58.08,75210
2017-02-16,58.07,58.12,57.47,58.08,64592
2017-02-17,57.89,58.1,57.4,57.92,100865
2017-02-21,58.07,58.49,57.61,58.02,63066
2017-02-22,57.78,58.29,57.42,58.27,108578
2017-02-23,58.24,58.68,57.57,58.4,63459
2017-02-24,57.7,58.8,57.39,58.49,110439
2017-02-27,58.66,59.42,58.55,58.99,163489
2017-02-28,58.56,58.94,57.67,57.85,105142
2017-03-01,59.04,59.57,57.9,59.22,135243
2017-03-02,59.21,59.83,57.47,57.56,104776
2017-03-03,57.59,58.24,57.13,57.81,88086
2017-03-06,57.33,58.08,56.96,57.71,65992
2017-03-07,57.63,57.99,56.75,56.86,72159
2017-03-08,57.3,57.84,55.89,55.99,109775
2017-03-09,56.02,56.77,55.8,55.95,131323
2017-03-10,56.26,56.47,55.56,56.4,97289
2017-03-13,56.21,57.7,55.62,56.34,122150
2017-03-14,56.01,56.39,55.49,56.25,78447
2017-03-15,56.48,56.71,55.77,55.84,109685
2017-03-16,56.2,56.99,55.88,56.73,94612
2017-03-17,56.95,57.66,56.29,57.54,862952
2017-03-20,57.17,57.19,55.92,56.32,103070
2017-03-21,56.76,56.76,54.72,54.91,305191
2017-03-22,54.51,54.87,53.63,54.12,168492
2017-03-23,54.02,55.58,54.02,55.11,142672
2017-03-24,55.33,55.56,54.83,55.04,176875
2017-03-27,54.03,54.52,53.15,54.36,127574
2017-03-28,54.15,55.47,53.7,55.45,116209
2017-03-29,55.35,55.44,54.94,55.2,75829
2017-03-30,55.31,56.74,55.27,56.69,171482
2017-03-31,57.3,57.3,55.73,55.83,188630
2017-04-03,55.9,56.43,53.01,54.89,121821
2017-04-04,54.49,55.27,54.4,54.92,94351
2017-04-05,55.46,55.98,53.76,53.85,144549
2017-04-06,53.79,54.63,53.4,54.24,70675
2017-04-07,53.85,54.34,53.62,54.08,145450
2017-04-10,54.24,54.65,53.52,54.06,69544
2017-04-11,53.66,54.94,53.35,54.92,82778
2017-04-12,54.72,54.92,53.73,53.82,97265
2017-04-13,53.55,53.81,52.77,52.98,98566
2017-04-17,53.06,54.41,53.0,54.33,113117
2017-04-18,53.93,54.62,53.59,54.53,91255
2017-04-19,54.75,55.92,54.75,55.11,95431
2017-04-20,55.48,56.9,55.27,56.83,146497
2017-04-21,57.51,58.4,56.9,57.38,232807
2017-04-24,58.39,59.0,57.55,57.78,133814
2017-04-25,58.34,58.5,56.95,56.99,134849
2017-04-26,56.84,58.36,56.49,57.38,167607
2017-04-27,57.5,57.5,56.71,57.06,88223
2017-04-28,57.13,57.22,54.98,55.02,121060
2017-05-01,55.29,55.64,54.64,55.16,177800
2017-05-02,55.26,55.48,54.11,54.46,158944
2017-05-03,54.14,54.69,53.73,54.34,247899
2017-05-04,54.44,55.2,53.9,54.44,91333
2017-05-05,54.69,55.15,53.76,54.26,60346
2017-05-08,54.21,54.71,53.99,54.51,64089
2017-05-09,54.47,54.96,53.95,54.36,71840
2017-05-10,54.07,54.61,54.06,54.44,40155
2017-05-11,54.19,54.87,52.94,53.31,100047
2017-05-12,52.98,53.3,52.21,52.72,96535
2017-05-15,52.99,53.57,52.91,53.07,92743
2017-05-16,52.67,53.24,52.63,53.17,95524
2017-05-17,52.1,52.46,51.24,51.7,235938
2017-05-18,51.54,52.7,51.5,52.42,144887
2017-05-19,52.3,53.17,52.04,52.37,150028
2017-05-22,52.76,52.97,52.05,52.73,69119
2017-05-23,52.91,54.0,52.45,53.78,75765
2017-05-24,53.84,54.5,52.95,53.19,68120
2017-05-25,53.37,53.64,52.82,53.17,40198
2017-05-26,53.06,53.5,52.57,53.09,73434
2017-05-30,52.89,52.89,51.44,51.87,60244
2017-05-31,51.95,51.95,50.96,51.31,80090
2017-06-01,51.51,52.9,50.75,52.73,120861
2017-06-02,52.24,53.34,51.96,52.2,109919
2017-06-05,52.37,52.99,51.8,51.94,61055
2017-06-06,51.51,51.9,50.33,51.43,101461
2017-06-07,51.48,52.42,51.48,52.24,73103
2017-06-08,52.23,55.18,51.63,54.24,119982
2017-06-09,54.51,56.94,54.2,56.38,131862
2017-06-12,56.34,57.24,55.33,56.05,104147
2017-06-13,56.39,56.68,55.66,56.15,65051
2017-06-14,55.75,56.31,54.88,56.24,107306
2017-06-15,55.76,56.96,55.5,56.45,62649
2017-06-16,56.19,56.78,55.92,56.54,306459
2017-06-19,56.72,57.34,56.08,56.61,94178
2017-06-20,56.26,56.44,55.41,55.59,72896
2017-06-21,55.76,56.47,54.43,54.61,90634
2017-06-22,54.47,55.02,53.71,54.36,50831
2017-06-23,54.62,55.16,54.2,55.0,255516
2017-06-26,55.27,56.07,54.58,55.14,98242
2017-06-27,55.39,56.1,54.93,55.44,70269
2017-06-28,55.69,56.65,55.69,56.39,145928
2017-06-29,56.54,57.59,56.06,56.96,151543
2017-06-30,56.61,56.66,55.2,56.04,129586
2017-07-03,56.12,57.59,55.56,57.05,77276
2017-07-05,57.07,57.68,55.96,57.34,144238
2017-07-06,57.29,57.3,55.95,56.28,89228
2017-07-07,56.6,56.88,55.62,56.63,65903
2017-07-10,56.25,56.25,55.13,55.37,83377
2017-07-11,55.38,55.47,54.28,55.03,126216
2017-07-12,54.93,55.61,54.3,54.68,87026
2017-07-13,54.68,54.95,53.87,54.93,82526
2017-07-14,54.49,54.58,53.82,54.07,80351
2017-07-17,54.05,54.35,53.43,53.96,65330
2017-07-18,53.78,55.0,53.24,53.76,52022
2017-07-19,53.83,54.46,53.74,54.35,74514
2017-07-20,54.25,55.04,54.11,54.6,87957
2017-07-21,58.56,58.56,52.03,54.56,151625
2017-07-24,54.55,55.27,54.31,55.08,80292
2017-07-25,55.71,56.54,55.25,56.39,104351
2017-07-26,56.46,56.46,54.57,54.57,79609
2017-07-27,54.6,55.22,53.08,54.54,153504
2017-07-28,54.42,54.66,53.93,54.32,120638
2017-07-31,54.4,54.99,54.02,54.72,81911
2017-08-01,55.05,55.49,54.26,55.11,95985
2017-08-02,55.12,55.92,54.47,54.94,79104
2017-08-03,54.53,54.88,53.73,53.82,60191
2017-08-04,54.31,54.87,54.27,54.27,50590
2017-08-07,54.26,54.26,53.25,53.71,99950
2017-08-08,53.63,54.43,53.23,53.28,77323
2017-08-09,52.53,53.0,52.12,52.38,79425
2017-08-10,52.05,52.5,51.62,51.66,121464
2017-08-11,51.81,52.11,51.12,51.4,110553
2017-08-14,51.81,52.88,51.66,52.85,64668
2017-08-15,53.14,53.49,52.18,52.23,51327
2017-08-16,52.47,52.64,51.62,51.98,51443
2017-08-17,51.9,52.31,49.96,50.11,105423
2017-08-18,49.74,50.61,49.51,50.31,91769
2017-08-21,50.29,50.5,49.66,50.22,55081
2017-08-22,50.38,50.79,50.36,50.58,33396
2017-08-23,50.12,50.99,50.12,50.8,68003
2017-08-24,51.0,51.07,50.66,51.04,48945
2017-08-25,51.31,51.71,50.99,51.55,47166
2017-08-28,51.74,51.99,51.35,51.78,101548
2017-08-29,51.13,51.89,50.91,51.8,102862
2017-08-30,51.85,52.2,51.42,51.78,49220
2017-08-31,51.81,52.02,51.36,51.55,64445
2017-09-01,51.66,52.1,50.94,51.93,62960
2017-09-05,51.69,51.91,50.15,50.63,84340
2017-09-06,50.68,51.05,50.3,50.73,63459
2017-09-07,50.68,50.81,49.38,49.84,67641
2017-09-08,49.78,51.6,49.78,50.55,92469
2017-09-11,50.88,52.41,50.88,52.28,121010
2017-09-12,52.49,53.93,52.49,53.73,91867
2017-09-13,53.49,54.08,52.82,54.03,66411
2017-09-14,54.17,54.19,53.37,53.56,88241
2017-09-15,53.66,54.44,53.02,53.55,259769
2017-09-18,53.72,54.14,53.15,54.13,85310
2017-09-19,54.12,54.64,53.99,54.64,77635
2017-09-20,54.65,55.95,53.65,55.33,97345
2017-09-21,55.34,55.74,55.26,55.42,49837
2017-09-22,55.13,55.92,54.32,55.92,62464
2017-09-25,55.65,57.16,55.45,56.19,74240
2017-09-26,56.57,56.73,55.78,56.63,64629
2017-09-27,57.35,59.04,56.38,58.42,153864
2017-09-28,58.68,59.27,58.05,58.93,87431
2017-09-29,58.92,60.11,57.2,59.54,118733
2017-10-02,59.55,60.64,58.99,60.6,123018
2017-10-03,60.85,60.85,59.25,60.56,89247
2017-10-04,60.46,60.46,58.72,58.97,86286
2017-10-05,59.24,60.29,59.05,59.82,61140
2017-10-06,59.92,60.04,58.45,59.22,90278
2017-10-09,59.46,59.61,58.9,58.99,95785
2017-10-10,59.35,59.35,58.88,59.19,110494
2017-10-11,58.99,59.29,57.92,58.88,58305
2017-10-12,58.87,59.17,58.24,58.45,55409
2017-10-13,58.45,58.45,57.63,57.87,100126
2017-10-16,57.88,58.32,57.79,58.07,119539
2017-10-17,58.28,58.36,57.47,57.55,81439
2017-10-18,57.79,58.31,57.65,57.9,112890
2017-10-19,57.72,57.94,57.31,57.84,79640
2017-10-20,58.98,59.24,58.44,58.81,88494
2017-10-23,58.66,58.66,55.91,57.64,54331
2017-10-24,57.96,58.58,57.51,57.97,90369
2017-10-25,58.18,58.25,57.14,58.21,68368
2017-10-26,58.29,59.16,57.74,59.15,154226
2017-10-27,59.21,59.93,58.47,59.23,118079
2017-10-30,58.86,58.88,57.25,57.61,53407
2017-10-31,57.68,58.53,57.13,58.23,93512
2017-11-01,58.66,59.48,57.42,58.0,66281
2017-11-02,57.94,58.59,57.45,58.17,55092
2017-11-03,57.79,57.97,57.11,57.2,51610
2017-11-06,57.17,57.3,56.19,56.82,45524
2017-11-07,56.61,57.11,54.64,54.82,123985
2017-11-08,54.5,55.32,53.77,54.42,72939
2017-11-09,53.96,54.65,53.26,53.96,45454
2017-11-10,54.18,55.0,54.03,54.07,45398
2017-11-13,53.63,54.95,53.51,54.92,36816
2017-11-14,54.58,55.3,53.92,55.26,52373
2017-11-15,54.78,56.07,54.78,55.16,52919
2017-11-16,55.59,56.34,55.44,55.84,65057
2017-11-17,55.47,56.81,55.38,56.78,79105
2017-11-20,57.0,58.01,56.39,57.96,95921
2017-11-21,58.25,58.5,57.67,58.45,78074
2017-11-22,58.5,58.55,57.82,58.12,70481
2017-11-24,58.33,58.33,56.25,57.77,54358
2017-11-27,57.71,58.47,57.26,58.29,66529
2017-11-28,58.4,60.77,58.11,60.64,116702
2017-11-29,60.85,63.48,60.24,62.97,124553
2017-11-30,63.59,63.65,61.6,61.83,102475
2017-12-01,61.82,62.86,59.5,61.94,129506
2017-12-04,62.83,64.26,62.29,63.03,59922
2017-12-05,63.39,63.39,61.37,61.43,111917
