date,open,high,low,close,volume
2019-04-22,19.11,19.28,17.75,17.81,2902512
2019-04-23,17.92,18.17,17.58,18.01,2652762
2019-04-24,18.12,18.42,17.87,18.23,1577147
2019-04-25,18.16,18.3,17.62,17.95,2049941
2019-04-26,17.74,18.2,17.65,17.95,2299384
2019-04-29,17.98,18.54,17.86,18.47,3021321
2019-04-30,19.12,20.58,18.96,20.42,7110528
2019-05-01,20.59,20.7,19.74,19.89,3467843
2019-05-02,19.96,20.35,19.71,20.31,4949299
2019-05-03,23.0,24.4,22.19,22.96,14951852
2019-05-06,22.29,23.3,21.89,23.14,4395812
2019-05-07,22.74,23.05,22.22,22.54,3453420
2019-05-08,22.35,22.63,21.62,22.41,2472486
2019-05-09,22.12,23.0,21.85,22.97,1980967
2019-05-10,22.78,22.94,22.17,22.54,2241417
2019-05-13,22.21,22.21,21.33,22.01,2349981
2019-05-14,22.09,22.5,21.42,21.6,2185800
2019-05-15,21.58,21.72,21.09,21.52,1960521
2019-05-16,21.54,21.75,20.7,20.82,1900107
2019-05-17,20.59,20.91,20.16,20.24,1667093
2019-05-20,20.12,20.2,19.7,19.98,1391488
2019-05-21,20.02,20.65,20.01,20.58,1410532
2019-05-22,20.45,20.62,19.44,19.46,1376365
2019-05-23,19.17,19.52,18.75,18.99,1418054
2019-05-24,18.9,19.47,18.9,19.27,1238810
2019-05-28,19.42,19.47,18.02,18.04,1962495
2019-05-29,17.84,18.0,17.01,17.63,2882211
2019-05-30,17.71,18.08,17.38,17.53,1531300
2019-05-31,16.92,17.42,16.71,17.29,1682224
2019-06-03,17.1,17.6,17.01,17.27,2099797
2019-06-04,17.54,18.94,17.42,18.9,1791345
2019-06-05,18.98,19.17,18.38,19.04,1448895
2019-06-06,19.0,19.32,18.09,18.46,1850050
2019-06-07,18.61,19.01,18.15,18.95,1730793
2019-06-10,19.06,19.68,19.05,19.4,1536828
2019-06-11,19.63,20.21,19.37,20.07,1374966
2019-06-12,20.12,20.84,19.88,20.34,1371160
2019-06-13,20.46,21.48,20.28,21.1,1622794
2019-06-14,21.18,21.18,20.32,20.59,1403407
2019-06-17,20.71,20.97,20.3,20.72,1124151
2019-06-18,21.1,21.48,20.81,20.92,1339195
2019-06-19,21.06,21.24,20.53,20.84,808636
2019-06-20,21.03,21.14,19.85,19.95,1522904
2019-06-21,19.8,19.8,18.53,18.85,2950501
2019-06-24,18.75,18.84,17.85,18.43,3060736
2019-06-25,18.44,18.8,17.97,18.76,2174055
2019-06-26,18.9,19.63,18.5,19.37,1340921
2019-06-27,19.47,19.55,18.95,19.1,1107743
2019-06-28,19.1,19.28,18.71,19.1,3720031
2019-07-01,19.35,19.92,18.83,19.28,1557859
2019-07-02,19.21,19.93,19.02,19.91,1646265
2019-07-03,20.0,20.91,20.0,20.9,1876471
2019-07-05,20.78,20.78,19.7,19.74,1718139
2019-07-08,19.77,21.7,19.66,20.95,4492035
2019-07-09,20.89,21.34,20.58,21.23,1932044
2019-07-10,21.23,21.87,20.76,21.84,2094270
2019-07-11,23.01,23.98,22.7,23.67,5546730
2019-07-12,23.5,24.67,23.32,24.5,3206747
2019-07-15,24.5,24.99,24.26,24.65,2882933
2019-07-16,24.68,25.44,24.39,25.07,2531397
2019-07-17,25.03,25.2,23.78,23.96,2249270
2019-07-18,23.93,25.2,23.78,25.2,2283298
2019-07-19,26.86,26.96,24.6,24.78,3088791
2019-07-22,24.83,25.09,23.82,24.36,2158226
2019-07-23,24.01,24.26,22.67,22.92,3054403
2019-07-24,23.01,23.36,22.8,23.11,1999475
2019-07-25,23.15,23.34,21.86,22.16,2431743
2019-07-26,22.16,22.25,21.54,22.08,1923381
2019-07-29,22.02,22.39,21.56,21.96,1203512
2019-07-30,21.63,21.83,21.21,21.67,1517781
2019-07-31,21.62,21.98,21.06,21.65,1645554
2019-08-01,21.62,22.11,21.13,21.61,2395045
2019-08-02,21.61,22.6,21.34,22.41,2145328
2019-08-05,21.92,22.0,20.8,21.41,2923542
2019-08-06,21.5,22.0,20.75,21.01,3515636
2019-08-07,25.1,30.07,24.31,29.97,21468858
2019-08-08,30.12,30.64,29.11,29.86,5154418
2019-08-09,29.56,31.59,29.56,31.15,3386002
2019-08-12,30.9,31.0,28.41,28.65,3083905
2019-08-13,28.88,30.8,28.7,30.33,2722706
2019-08-14,29.76,30.67,29.7,30.48,2114140
2019-08-15,30.48,30.55,28.76,29.11,1736064
2019-08-16,29.39,29.57,27.69,27.75,2064915
2019-08-19,28.34,29.43,28.01,29.09,1313797
2019-08-20,29.16,29.21,27.82,28.25,1318635
2019-08-21,28.58,29.15,28.08,28.94,985212
2019-08-22,28.83,29.56,28.5,29.17,1286337
2019-08-23,29.2,29.24,27.58,27.7,1861470
2019-08-26,28.07,28.99,27.58,28.88,1388412
2019-08-27,30.09,30.68,29.23,29.44,2547117
2019-08-28,29.46,30.15,29.0,30.05,1762757
2019-08-29,30.48,30.85,29.54,30.35,1770714
2019-08-30,30.31,30.42,29.61,29.99,1093839
2019-09-03,29.87,31.05,29.62,30.62,1462290
2019-09-04,30.94,32.08,30.4,31.93,2173025
2019-09-05,32.61,33.25,31.6,32.01,2602104
2019-09-06,32.52,32.95,31.88,31.91,1621535
2019-09-09,32.0,34.48,31.91,33.5,2825273
2019-09-10,33.36,33.54,32.42,33.5,1607233
2019-09-11,33.8,34.49,33.02,34.37,1489387
2019-09-12,34.43,35.11,33.79,34.67,1508188
2019-09-13,35.08,35.31,33.14,34.56,1853451
2019-09-16,34.31,35.5,33.83,35.39,1300677
2019-09-17,35.23,35.5,34.76,35.27,1016186
2019-09-18,35.23,35.36,34.06,34.94,1276197
2019-09-19,34.77,36.34,34.71,35.96,1748284
2019-09-20,36.15,37.52,35.58,37.12,3577623
2019-09-23,36.95,37.31,36.0,36.96,1770730
2019-09-24,36.88,37.3,35.79,36.08,1399139
2019-09-25,36.33,37.2,35.64,36.49,1364269
2019-09-26,36.33,36.54,34.8,35.4,1277337
2019-09-27,35.65,37.42,35.35,37.35,1620330
2019-09-30,37.22,37.95,37.0,37.82,1414495
2019-10-01,37.68,38.11,36.94,37.35,1589482
2019-10-02,36.92,36.95,32.02,33.59,4051346
2019-10-03,33.54,35.6,33.12,35.47,1899406
2019-10-04,35.5,36.72,34.46,36.53,2077926
2019-10-07,36.65,37.86,36.3,37.57,1618361
2019-10-08,37.19,37.52,36.14,36.36,1186399
2019-10-09,36.72,36.78,35.18,35.4,1042543
2019-10-10,35.37,35.64,34.26,35.21,1297629
2019-10-11,35.88,36.23,34.98,35.7,3132332
2019-10-14,35.81,35.98,34.92,35.81,970176
2019-10-15,35.63,36.25,34.17,36.14,1400659
2019-10-16,36.22,36.8,35.73,36.59,844262
2019-10-17,36.79,37.42,36.09,36.37,1100051
2019-10-18,36.2,36.43,35.14,35.23,829398
2019-10-21,35.69,36.48,34.92,36.26,848269
2019-10-22,36.08,36.24,35.55,35.88,692680
2019-10-23,35.45,36.67,34.71,36.52,1258192
2019-10-24,37.0,37.0,35.84,36.76,889978
2019-10-25,36.59,37.23,36.25,36.46,709794
2019-10-28,36.94,37.48,36.46,36.75,867149
2019-10-29,36.5,36.68,35.33,36.17,925301
2019-10-30,36.12,36.14,35.32,35.75,914027
2019-10-31,35.49,35.75,34.41,34.87,1374646
2019-11-01,34.98,35.46,34.28,34.43,1114243
2019-11-04,34.97,36.31,34.69,36.14,1705780
2019-11-05,36.18,37.77,35.7,37.51,4566643
2019-11-06,30.5,32.48,29.35,31.95,10347980
2019-11-07,32.09,34.58,31.74,33.43,3138467
2019-11-08,33.03,34.4,32.6,34.22,1744489
2019-11-11,33.75,34.0,32.82,33.73,1590381
2019-11-12,33.7,34.76,33.02,34.51,1475644
2019-11-13,34.26,35.15,33.82,35.08,995553
2019-11-14,35.04,36.01,34.75,35.72,1126558
2019-11-15,35.81,36.76,35.63,36.36,933510
2019-11-18,36.73,38.0,36.23,37.99,1323064
2019-11-19,38.47,40.52,37.81,40.41,2101394
2019-11-20,40.0,43.13,39.66,41.0,2839083
2019-11-21,40.97,41.63,40.24,40.84,1418982
2019-11-22,41.51,42.66,40.97,42.37,1586804
2019-11-25,42.84,43.24,42.13,42.69,1425305
2019-11-26,42.95,43.78,42.45,43.39,1100203
2019-11-27,43.5,44.49,43.4,44.29,1268852
2019-11-29,44.22,44.5,43.25,43.29,770391
2019-12-02,43.33,43.35,40.9,41.84,1739789
2019-12-03,41.03,43.39,40.86,43.0,1414189
2019-12-04,43.11,43.97,42.6,43.7,912039
2019-12-05,43.64,43.94,43.06,43.18,908598
2019-12-06,43.63,43.63,39.43,39.92,2327968
2019-12-09,40.0,40.66,39.13,39.76,1704337
2019-12-10,39.75,40.0,38.57,39.39,1376956
2019-12-11,39.53,39.7,38.01,39.1,1879904
2019-12-12,38.95,39.38,37.29,37.98,1403611
2019-12-13,37.81,39.13,37.52,37.96,1526522
2019-12-16,38.64,39.63,37.35,39.15,2128404
2019-12-17,39.04,39.88,38.32,39.6,1271201
2019-12-18,39.68,40.74,39.48,40.46,1400948
2019-12-19,40.44,41.57,39.88,41.22,1274102
2019-12-20,41.26,42.73,41.26,41.74,2005197
2019-12-23,41.72,42.62,41.31,42.17,954257
2019-12-24,42.11,42.16,40.03,40.85,1143225
2019-12-26,41.02,41.18,36.79,37.32,3200648
2019-12-27,37.3,38.01,36.18,37.62,2254880
2019-12-30,37.82,38.27,35.81,36.41,2137318
2019-12-31,36.41,39.02,36.11,38.21,2767040
2020-01-02,38.64,38.64,34.7,35.37,3953796
2020-01-03,34.97,36.69,34.8,36.34,2384061
2020-01-06,36.66,39.31,36.35,39.14,3838358
2020-01-07,39.44,41.27,39.4,41.04,4332279
2020-01-08,40.93,47.19,40.74,45.14,8452016
2020-01-09,45.5,46.95,44.25,45.0,4129660
2020-01-10,45.6,45.88,44.62,44.86,2025842
2020-01-13,45.08,46.22,44.35,45.4,1934231
2020-01-14,45.53,46.18,41.48,42.19,3266225
2020-01-15,42.14,42.48,40.81,41.4,1678194
2020-01-16,41.63,42.68,40.81,42.57,1538283
2020-01-17,42.72,42.99,41.56,41.93,1649231
2020-01-21,41.32,41.66,37.5,37.57,3836357
2020-01-22,38.08,38.41,36.87,36.88,2074160
2020-01-23,36.68,36.81,35.37,35.94,1858497
2020-01-24,36.5,36.72,34.5,34.88,2245836
2020-01-27,33.68,34.48,32.93,33.61,1611187
2020-01-28,33.99,34.08,32.58,33.28,1920717
2020-01-29,33.11,33.7,32.37,32.53,1601967
2020-01-30,32.03,34.01,31.88,33.87,1989768
2020-01-31,33.5,34.02,32.86,32.98,1658404
2020-02-03,33.28,34.65,32.65,34.55,1503044
2020-02-04,37.28,37.64,35.84,36.45,2602113
2020-02-05,36.93,37.48,35.5,35.93,1450299
2020-02-06,35.88,36.21,34.73,35.5,1612188
2020-02-07,35.15,36.45,35.02,35.99,896292
2020-02-10,35.83,37.4,35.5,37.34,1460477
2020-02-11,37.51,38.0,36.75,37.6,1236746
2020-02-12,37.76,38.0,35.76,36.86,2560533
2020-02-13,36.42,36.89,35.81,36.55,1730214
2020-02-14,36.72,36.96,35.54,36.27,1377040
2020-02-18,36.25,37.42,35.75,37.32,1175512
2020-02-19,37.49,38.5,37.35,37.65,1698436
2020-02-20,37.55,38.06,37.12,37.79,977435
2020-02-21,39.36,39.75,37.5,37.64,2100954
2020-02-24,36.17,37.99,35.88,36.91,1679283
2020-02-25,37.45,37.64,34.29,34.83,2649936
2020-02-26,36.51,37.64,30.75,31.26,6182900
2020-02-27,29.46,32.99,29.02,31.46,3077678
2020-02-28,30.51,31.19,29.46,30.0,2646197
2020-03-02,30.11,30.48,28.44,30.01,2311245
2020-03-03,31.64,31.64,28.83,29.56,2358496
2020-03-04,29.97,30.69,29.73,29.95,1603606
2020-03-05,29.19,29.27,27.32,28.16,1665881
2020-03-06,27.0,28.83,26.69,28.04,1536508
2020-03-09,25.39,26.34,24.78,24.97,1860971
2020-03-10,26.0,26.57,22.61,24.56,1608109
2020-03-11,23.45,24.37,21.73,22.14,1589479
2020-03-12,19.6,20.23,18.0,18.21,2188618
2020-03-13,19.28,19.98,17.58,19.29,1809392
2020-03-16,17.33,17.43,13.65,13.81,2636794
2020-03-17,14.26,14.66,12.08,12.28,2909603
2020-03-18,9.99,11.98,9.75,11.23,2554828
