date,open,high,low,close,volume
2017-01-03,23.15,23.55,22.85,23.4,484719
2017-01-04,23.6,24.08,23.55,23.8,504943
2017-01-05,23.5,23.5,22.05,22.5,774164
2017-01-06,22.6,22.75,21.85,22.0,703438
2017-01-09,22.35,22.8,22.05,22.75,693305
2017-01-10,22.85,24.05,22.6,23.35,948628
2017-01-11,22.35,22.55,21.65,21.95,541591
2017-01-12,21.9,22.03,21.25,21.3,525806
2017-01-13,21.4,21.75,21.3,21.5,374198
2017-01-17,21.5,22.5,21.4,21.75,585986
2017-01-18,21.8,21.95,21.0,21.65,564966
2017-01-19,21.7,21.75,20.65,21.05,358149
2017-01-20,21.1,21.4,20.95,21.15,267874
2017-01-23,21.05,21.4,20.75,20.95,287501
2017-01-24,21.05,21.47,20.98,21.35,287286
2017-01-25,21.6,21.65,21.2,21.45,218550
2017-01-26,21.45,21.46,20.85,20.95,445485
2017-01-27,21.0,21.0,20.35,20.55,339804
2017-01-30,20.4,20.9,20.1,20.6,368668
2017-01-31,20.35,21.4,20.1,21.15,519022
2017-02-01,21.25,21.4,20.7,21.1,484532
2017-02-02,21.05,21.75,20.7,21.05,894864
2017-02-03,21.0,21.45,20.3,20.35,483048
2017-02-06,20.35,20.4,19.9,20.3,531964
2017-02-07,20.25,20.5,20.05,20.2,571710
2017-02-08,20.2,20.88,20.05,20.8,473269
2017-02-09,20.9,21.5,20.85,21.2,612495
2017-02-10,21.4,21.65,21.15,21.55,409600
2017-02-13,21.75,21.85,20.75,20.85,628684
2017-02-14,20.75,21.35,20.75,21.3,411874
2017-02-15,21.2,21.65,21.05,21.55,416309
2017-02-16,21.45,21.69,20.85,21.05,527037
2017-02-17,21.0,21.05,20.45,20.85,750404
2017-02-21,21.05,21.45,20.85,21.3,548911
2017-02-22,21.4,21.55,20.95,21.2,341242
2017-02-23,20.95,21.13,19.58,19.65,1065594
2017-02-24,19.6,20.74,19.45,20.2,588509
2017-02-27,20.15,20.65,20.1,20.4,561179
2017-02-28,20.35,20.35,19.55,19.85,348080
2017-03-01,20.15,20.25,18.3,19.05,1063267
2017-03-02,18.8,19.85,18.65,19.55,1147704
2017-03-03,19.5,19.55,18.0,18.2,671547
2017-03-06,18.25,18.4,17.75,17.9,503167
2017-03-07,17.95,18.25,17.75,18.15,615312
2017-03-08,18.15,18.33,17.75,18.15,389636
2017-03-09,18.15,18.15,17.05,17.3,1143734
2017-03-10,17.3,18.8,16.5,17.8,1215263
2017-03-13,17.8,18.65,17.7,18.45,1061572
2017-03-14,18.45,18.95,18.25,18.9,592014
2017-03-15,18.95,19.2,18.22,18.75,590180
2017-03-16,18.7,19.15,18.55,18.95,671203
2017-03-17,18.95,19.05,18.45,18.85,771396
2017-03-20,18.8,18.85,17.7,17.95,464057
2017-03-21,17.95,18.07,16.95,17.3,791614
2017-03-22,17.3,17.3,16.55,16.9,793767
2017-03-23,17.0,18.3,16.9,18.05,1039247
2017-03-24,18.0,18.0,17.25,17.5,432756
2017-03-27,17.25,18.0,17.25,17.8,461767
2017-03-28,17.7,18.0,17.3,17.95,261024
2017-03-29,18.0,18.85,18.0,18.6,532274
2017-03-30,18.5,18.7,18.25,18.65,362543
2017-03-31,18.65,18.85,18.4,18.6,502348
2017-04-03,18.6,18.6,17.4,17.55,898189
2017-04-04,17.45,17.7,16.8,17.05,874156
2017-04-05,16.95,17.3,16.0,16.25,1236935
2017-04-06,16.4,17.4,16.4,16.75,694402
2017-04-07,17.4,18.1,17.0,17.5,1359085
2017-04-10,17.5,18.2,17.4,17.9,775005
2017-04-11,17.65,19.08,17.55,18.75,1044014
2017-04-12,18.7,18.85,18.33,18.5,440350
2017-04-13,18.5,18.5,17.8,17.9,305814
2017-04-17,17.9,18.33,17.65,18.3,458002
2017-04-18,18.2,18.35,17.7,17.95,502426
2017-04-19,18.05,18.35,17.9,18.1,387959
2017-04-20,18.2,19.05,18.2,18.95,461600
2017-04-21,18.95,18.95,18.5,18.8,408339
2017-04-24,19.1,19.3,18.8,19.05,362346
2017-04-25,19.15,19.25,18.58,18.65,357854
2017-04-26,18.75,19.45,18.55,19.1,442580
2017-04-27,19.15,19.23,18.7,18.9,269526
2017-04-28,18.9,19.06,18.55,18.7,329433
2017-05-01,18.7,18.8,18.4,18.8,332152
2017-05-02,18.85,19.55,18.75,19.55,393650
2017-05-03,19.4,19.5,18.95,19.35,359919
2017-05-04,19.5,20.0,19.5,19.7,787209
2017-05-05,19.7,20.0,19.45,19.9,377879
2017-05-08,19.9,20.3,19.9,20.0,333941
2017-05-09,20.0,20.15,19.8,19.85,367930
2017-05-10,19.7,20.4,19.7,20.25,331631
2017-05-11,20.0,20.15,18.82,19.15,473640
2017-05-12,19.0,19.1,18.1,18.25,545183
2017-05-15,18.35,18.4,17.75,17.85,492540
2017-05-16,17.75,17.85,17.35,17.4,448399
2017-05-17,17.1,17.3,16.4,16.8,1033772
2017-05-18,17.1,18.6,16.8,17.4,1034095
2017-05-19,16.6,17.05,16.1,16.85,1004460
2017-05-22,16.8,17.8,16.8,17.3,734285
2017-05-23,17.4,17.4,16.65,16.7,372824
2017-05-24,16.7,16.85,16.25,16.65,473539
2017-05-25,16.9,17.0,16.75,16.85,376663
2017-05-26,16.85,16.95,16.55,16.8,261632
2017-05-30,16.85,17.15,16.85,17.05,296153
2017-05-31,17.05,17.1,16.5,17.0,298531
2017-06-01,16.95,17.65,16.75,17.65,450249
2017-06-02,17.65,17.77,17.05,17.1,359883
2017-06-05,17.1,17.15,16.75,16.8,419662
2017-06-06,16.65,16.85,16.25,16.5,366510
2017-06-07,16.5,16.7,16.15,16.6,344316
2017-06-08,16.6,17.15,16.55,16.85,395355
2017-06-09,16.85,18.02,16.7,17.9,519746
2017-06-12,17.8,18.9,17.8,18.3,440798
2017-06-13,18.25,18.4,17.3,17.5,564516
2017-06-14,17.45,17.7,17.1,17.6,302501
2017-06-15,17.45,17.77,17.1,17.5,221591
2017-06-16,17.15,17.4,16.85,17.35,735257
2017-06-19,17.4,17.6,16.8,17.6,477828
2017-06-20,17.55,17.55,16.85,17.0,311773
2017-06-21,17.0,17.35,16.8,16.85,283621
2017-06-22,16.8,16.9,16.25,16.35,464191
2017-06-23,16.25,16.85,16.05,16.8,677019
2017-06-26,16.9,17.0,16.55,16.85,270679
2017-06-27,16.85,17.4,16.65,17.15,353212
2017-06-28,17.25,17.65,17.12,17.35,368017
2017-06-29,17.35,18.0,17.25,17.95,369797
2017-06-30,18.05,18.05,17.63,17.8,363053
2017-07-03,17.9,18.7,17.9,18.65,358740
2017-07-05,18.5,18.65,17.63,17.8,400025
2017-07-06,17.75,18.0,17.15,17.35,400554
2017-07-07,17.4,17.55,17.15,17.4,246711
2017-07-10,17.1,17.35,16.4,16.5,539334
2017-07-11,16.5,16.85,16.45,16.65,528068
2017-07-12,16.4,16.65,16.1,16.35,575200
2017-07-13,16.35,17.4,16.3,17.25,598646
2017-07-14,17.2,17.4,16.52,16.6,363652
2017-07-17,16.7,17.1,16.35,16.7,465835
2017-07-18,16.7,16.8,16.43,16.5,319902
2017-07-19,16.55,16.85,16.5,16.8,291383
2017-07-20,16.75,17.13,16.7,16.9,252645
