date,open,high,low,close,volume
2017-01-03,26.52,26.9,26.13,26.47,64262
2017-01-04,26.62,26.65,26.19,26.3,28083
2017-01-05,26.35,26.62,26.1,26.18,69969
2017-01-06,26.33,26.54,26.25,26.29,57322
2017-01-09,26.26,26.26,25.78,26.01,35169
2017-01-10,25.97,26.26,25.91,25.94,57163
2017-01-11,26.09,26.32,25.89,26.25,63130
2017-01-12,26.03,26.48,26.02,26.45,44300
2017-01-13,26.66,26.98,26.59,26.79,28395
2017-01-17,26.64,26.66,26.07,26.41,58454
2017-01-18,26.59,26.69,26.33,26.61,34182
2017-01-19,26.51,26.51,26.35,26.41,23128
2017-01-20,26.53,27.28,26.53,27.09,71177
2017-01-23,27.32,28.47,27.32,28.15,66845
2017-01-24,28.49,28.99,28.26,28.45,54280
2017-01-25,28.68,28.79,28.21,28.29,50648
2017-01-26,28.37,28.48,28.01,28.06,38346
2017-01-27,28.12,28.68,27.97,27.98,50720
2017-01-30,27.71,27.71,26.97,27.0,64208
2017-01-31,26.84,26.92,26.54,26.76,67513
2017-02-01,26.96,27.0,26.5,26.63,37893
2017-02-02,26.45,26.62,26.15,26.32,25337
2017-02-03,26.49,26.99,26.4,26.83,27840
2017-02-06,26.59,26.99,26.59,26.9,52287
2017-02-07,27.0,27.05,26.83,26.99,43851
2017-02-08,26.95,27.15,26.62,27.01,66779
2017-02-09,27.01,27.33,26.93,27.25,47695
2017-02-10,27.35,27.35,27.15,27.25,37412
2017-02-13,27.41,28.1,27.35,28.01,72085
2017-02-14,27.86,28.01,27.7,27.97,56836
2017-02-15,27.97,28.1,27.62,28.02,40241
2017-02-16,28.0,28.29,27.81,28.21,28076
2017-02-17,28.22,28.61,28.15,28.48,46989
2017-02-21,28.5,28.83,28.4,28.65,23224
2017-02-22,28.62,28.8,28.4,28.45,99774
2017-02-23,28.59,28.96,28.4,28.69,29507
2017-02-24,28.48,28.92,28.37,28.72,43020
2017-02-27,28.84,28.89,28.61,28.67,20585
2017-02-28,28.75,28.86,27.62,28.64,52516
2017-03-01,29.0,29.5,28.44,28.72,61914
2017-03-02,28.7,28.7,27.39,28.04,99163
2017-03-03,27.99,29.5,27.78,28.06,110631
2017-03-06,28.05,28.23,27.65,27.91,70250
2017-03-07,27.6,28.36,27.6,28.21,37770
2017-03-08,28.31,28.7,27.68,27.7,77698
2017-03-09,27.7,28.08,27.52,27.56,42652
2017-03-10,27.66,27.88,27.18,27.5,44992
2017-03-13,27.36,27.78,27.2,27.41,30865
2017-03-14,27.32,27.36,26.75,27.22,22985
2017-03-15,27.15,27.71,27.15,27.47,98527
2017-03-16,27.57,27.9,27.2,27.46,68996
2017-03-17,27.31,27.63,25.94,27.38,86876
2017-03-20,27.42,27.42,26.67,26.79,24677
2017-03-21,27.02,27.02,25.34,25.45,37816
2017-03-22,25.75,26.0,25.45,25.58,112530
2017-03-23,25.43,26.33,25.43,26.05,23428
2017-03-24,26.04,26.43,25.87,26.3,29520
2017-03-27,25.82,26.4,25.06,26.3,24879
2017-03-28,26.12,26.47,25.83,26.4,42924
2017-03-29,26.3,26.77,26.05,26.2,54663
2017-03-30,26.36,27.57,26.35,27.31,47323
2017-03-31,27.33,27.66,27.0,27.43,69083
2017-04-03,27.37,27.4,26.84,27.3,83128
2017-04-04,27.24,27.5,26.96,27.05,42671
2017-04-05,27.2,27.64,26.37,26.48,57371
2017-04-06,26.2,26.72,26.2,26.68,18088
2017-04-07,26.46,26.81,26.19,26.6,18800
2017-04-10,26.86,26.99,26.1,26.29,26703
2017-04-11,26.29,26.77,26.23,26.68,23803
2017-04-12,26.55,26.77,26.17,26.42,24941
2017-04-13,26.24,26.45,25.79,26.07,22780
2017-04-17,26.2,26.29,25.73,26.12,26590
2017-04-18,26.13,26.51,25.84,26.24,40569
2017-04-19,26.33,26.57,25.94,26.32,46988
2017-04-20,26.36,27.19,26.36,27.13,19991
2017-04-21,26.95,27.33,26.32,27.22,24311
2017-04-24,27.65,27.86,26.26,26.69,41797
2017-04-25,26.9,27.17,26.51,26.58,34747
2017-04-26,26.58,27.24,26.52,26.75,81070
2017-04-27,26.99,26.99,26.19,26.32,58589
2017-04-28,26.24,26.46,24.73,25.07,82169
2017-05-01,24.99,25.65,24.99,25.36,81905
2017-05-02,25.36,25.66,25.13,25.28,49688
2017-05-03,25.11,25.58,25.11,25.49,55504
2017-05-04,25.52,25.65,25.15,25.36,34584
2017-05-05,25.42,25.56,25.24,25.49,24989
2017-05-08,25.39,26.02,25.29,25.93,38150
2017-05-09,25.92,26.36,25.24,25.88,40635
2017-05-10,25.87,25.96,25.39,25.65,35782
2017-05-11,25.47,25.58,24.93,25.0,17298
2017-05-12,24.86,24.91,24.33,24.76,22777
2017-05-15,24.95,25.41,24.6,25.27,26018
2017-05-16,25.45,25.5,24.41,25.4,18507
2017-05-17,24.89,24.89,23.93,24.49,27148
2017-05-18,24.56,24.97,24.45,24.59,17432
2017-05-19,24.53,24.84,24.0,24.09,23231
2017-05-22,24.15,24.26,23.76,24.18,18384
2017-05-23,25.39,25.81,24.47,25.7,36566
2017-05-24,25.57,25.89,24.81,25.28,18107
2017-05-25,25.23,25.97,25.05,25.26,16241
2017-05-26,25.11,25.34,24.5,25.17,13898
2017-05-30,24.92,25.19,23.42,24.32,24291
2017-05-31,24.45,24.45,23.95,24.03,21462
2017-06-01,24.16,24.44,23.73,24.32,26811
2017-06-02,24.18,25.56,24.12,24.68,21243
2017-06-05,24.06,24.69,24.04,24.06,16580
2017-06-06,23.87,24.2,23.26,24.01,20888
2017-06-07,23.94,24.68,23.94,24.53,11689
2017-06-08,24.49,25.84,24.48,25.28,19188
2017-06-09,25.54,26.5,25.21,26.25,25773
2017-06-12,26.35,26.93,25.38,25.97,28062
2017-06-13,27.12,27.12,25.82,26.26,13654
2017-06-14,25.58,26.55,25.53,26.24,22779
2017-06-15,26.21,26.46,25.88,26.06,12762
