date,open,high,low,close,volume
2017-01-03,50.48,50.58,49.5,49.57,168459
2017-01-04,49.57,49.83,49.33,49.65,306984
2017-01-05,49.43,50.35,49.43,49.62,176214
2017-01-06,49.7,49.7,48.87,48.92,692820
2017-01-09,48.75,48.77,47.77,48.23,349932
2017-01-10,48.17,48.98,47.97,48.5,178068
2017-01-11,48.67,48.67,47.85,48.0,213123
2017-01-12,48.1,48.31,47.6,47.78,156885
2017-01-13,47.98,48.5,47.97,48.12,114900
2017-01-17,47.97,48.18,47.37,47.55,123726
2017-01-18,47.67,47.9,47.43,47.63,99456
2017-01-19,47.62,48.1,47.3,47.42,97281
2017-01-20,47.52,47.65,47.0,47.57,92295
2017-01-23,47.48,47.9,47.48,47.85,64440
2017-01-24,47.92,48.45,47.53,48.08,240234
2017-01-25,48.18,48.67,48.18,48.42,128592
2017-01-26,48.3,49.8,48.03,48.07,82422
2017-01-27,48.02,48.17,47.37,47.9,83034
2017-01-30,47.6,47.61,47.03,47.22,193959
2017-01-31,47.12,47.88,47.07,47.78,258528
2017-02-01,47.83,48.28,47.4,47.67,146025
2017-02-02,47.68,48.13,47.4,48.1,164688
2017-02-03,48.25,48.83,48.1,48.38,120987
2017-02-06,48.22,48.52,48.03,48.05,84318
2017-02-07,48.02,48.48,47.98,48.15,82980
2017-02-08,48.02,48.77,47.63,48.67,196035
2017-02-09,48.55,49.18,48.55,48.93,117942
2017-02-10,49.12,50.03,48.68,50.0,181200
2017-02-13,50.2,50.5,50.08,50.48,139215
2017-02-14,50.28,50.47,49.92,50.25,141873
2017-02-15,49.92,51.62,49.92,51.55,205278
2017-02-16,51.57,51.68,51.07,51.67,151464
2017-02-17,51.62,51.75,50.95,51.7,191478
2017-02-21,51.67,51.97,51.52,51.92,226938
2017-02-22,52.2,52.2,51.53,51.73,78318
2017-02-23,51.78,51.98,51.35,51.47,110979
2017-02-24,51.13,51.13,50.12,50.45,260304
2017-02-27,50.33,51.0,50.33,50.93,163767
2017-02-28,50.73,50.9,47.27,50.1,282582
2017-03-01,51.77,51.77,49.35,50.77,447006
2017-03-02,50.67,50.75,47.37,50.53,277575
2017-03-03,50.33,50.9,50.15,50.42,161721
2017-03-06,49.98,50.52,48.52,50.37,220161
2017-03-07,50.3,50.68,50.3,50.4,135843
2017-03-08,50.48,50.65,49.48,50.42,117717
2017-03-09,50.4,50.63,49.85,50.48,135864
2017-03-10,50.43,50.95,50.43,50.87,411516
2017-03-13,50.72,50.98,50.02,50.83,135111
2017-03-14,50.45,51.33,50.38,51.18,155193
2017-03-15,51.43,51.97,51.13,51.62,181776
2017-03-16,51.73,51.88,50.93,51.68,134877
2017-03-17,51.55,52.25,51.5,52.22,370206
2017-03-20,52.17,52.18,51.14,51.5,160104
2017-03-21,51.72,51.72,50.9,50.95,194739
2017-03-22,50.77,51.15,50.57,50.93,141036
2017-03-23,51.03,51.95,50.67,51.65,136461
2017-03-24,51.73,52.32,51.42,51.52,85683
2017-03-27,51.03,51.98,50.5,51.8,148725
2017-03-28,51.68,52.68,51.58,52.65,196848
2017-03-29,52.6,53.28,52.6,52.75,164952
2017-03-30,52.82,53.33,52.38,52.9,241956
2017-03-31,52.93,53.08,52.48,52.95,224019
2017-04-03,53.17,53.33,52.31,52.43,126294
2017-04-04,52.35,52.5,51.95,52.3,133824
2017-04-05,52.48,52.6,51.6,51.73,120573
2017-04-06,51.73,52.23,51.53,52.2,102168
2017-04-07,52.1,52.42,51.78,52.13,89304
2017-04-10,52.05,52.35,51.83,52.3,112305
2017-04-11,52.18,52.97,52.05,52.92,154614
2017-04-12,52.77,53.17,52.03,52.1,105966
2017-04-13,52.08,52.5,51.55,51.67,118503
2017-04-17,51.65,52.33,51.58,52.33,78171
2017-04-18,53.07,55.18,52.83,55.15,548559
2017-04-19,55.2,55.87,55.15,55.8,200826
2017-04-20,55.97,56.47,55.53,56.43,273807
2017-04-21,56.43,56.7,56.14,56.58,168951
2017-04-24,57.35,57.35,56.48,56.57,166632
2017-04-25,56.9,56.97,56.45,56.45,241722
2017-04-26,56.67,57.75,56.6,57.33,436764
2017-04-27,56.18,57.83,55.33,57.25,598086
2017-04-28,56.4,56.52,55.57,55.6,351414
2017-05-01,55.77,56.02,55.3,55.33,237966
2017-05-02,55.42,55.97,55.35,55.95,196176
2017-05-03,55.77,56.5,55.73,56.38,207360
