date,open,high,low,close,volume
2017-01-03,38.74,39.54,38.54,39.52,930148
2017-01-04,39.39,39.89,39.17,39.76,808439
2017-01-05,39.64,40.85,39.59,40.82,945618
2017-01-06,41.0,41.0,40.35,40.36,594640
2017-01-09,40.2,40.37,39.82,39.94,720449
2017-01-10,39.75,39.84,38.77,38.99,1459892
2017-01-11,39.12,39.78,38.81,39.75,832970
2017-01-12,39.46,39.56,38.98,39.26,445562
2017-01-13,39.43,39.74,39.22,39.72,399761
2017-01-17,39.81,40.16,39.69,40.0,436476
2017-01-18,39.99,40.2,39.7,39.87,480163
2017-01-19,39.97,40.17,39.6,39.77,396662
2017-01-20,39.97,40.27,39.86,40.26,440208
2017-01-23,39.97,40.81,39.97,40.69,621366
2017-01-24,40.86,41.39,40.72,41.11,533795
2017-01-25,41.28,41.69,41.14,41.62,517338
2017-01-26,41.5,42.51,41.42,42.24,683433
2017-01-27,42.34,42.39,41.95,42.16,465587
2017-01-30,42.23,42.31,41.79,42.31,603266
2017-01-31,42.02,42.51,41.94,42.5,667629
2017-02-01,42.63,42.71,41.87,42.3,832357
2017-02-02,42.42,42.51,41.96,42.26,694661
2017-02-03,42.46,42.88,42.33,42.39,447052
2017-02-06,42.34,42.45,42.05,42.3,704542
2017-02-07,42.21,42.93,42.21,42.44,908471
2017-02-08,42.31,42.31,41.24,41.63,1770037
2017-02-09,41.78,42.01,41.43,41.74,970750
2017-02-10,41.97,42.18,41.48,42.03,1150108
2017-02-13,42.45,42.83,42.22,42.83,1237564
2017-02-14,42.57,42.72,42.29,42.37,1066712
2017-02-15,42.27,42.81,42.21,42.68,828525
2017-02-16,42.47,42.85,42.23,42.27,655304
2017-02-17,42.15,42.58,42.09,42.45,393934
2017-02-21,42.5,42.91,42.42,42.88,600740
2017-02-22,42.9,43.55,42.78,43.39,972665
2017-02-23,44.25,44.25,42.69,43.12,1997437
2017-02-24,42.71,43.0,41.91,42.28,1443495
2017-02-27,41.82,42.19,41.72,42.01,1035515
2017-02-28,42.12,42.27,41.74,41.87,1529026
2017-03-01,42.39,42.69,41.62,42.02,1259657
2017-03-02,41.73,41.93,41.61,41.83,768156
2017-03-03,41.62,42.15,41.6,42.07,966504
2017-03-06,41.8,41.96,41.7,41.93,878622
2017-03-07,41.93,42.13,41.77,42.0,754858
2017-03-08,42.07,42.19,41.85,41.91,499577
2017-03-09,42.12,43.03,41.9,42.93,1060569
2017-03-10,43.16,43.93,42.88,43.89,1451336
2017-03-13,43.79,44.08,43.69,44.05,912267
2017-03-14,43.94,44.11,43.63,43.68,1204612
2017-03-15,43.88,44.33,43.68,43.85,1126567
2017-03-16,43.87,44.27,43.8,44.01,676269
2017-03-17,44.23,44.55,43.97,44.44,1581375
2017-03-20,44.3,44.74,44.3,44.58,700077
2017-03-21,44.71,44.84,44.07,44.13,1206121
2017-03-22,43.59,44.06,43.0,43.26,1597564
2017-03-23,43.38,43.46,43.11,43.2,1168534
2017-03-24,43.36,43.59,43.19,43.26,784434
2017-03-27,42.98,43.05,42.68,42.75,1293214
2017-03-28,43.02,43.05,42.64,42.76,1363782
2017-03-29,42.75,43.44,42.68,43.39,1064453
2017-03-30,43.51,44.09,43.35,44.07,1099262
2017-03-31,44.33,44.49,44.01,44.34,636879
2017-04-03,44.13,44.25,43.57,43.69,1062729
2017-04-04,43.82,44.31,43.82,44.03,791940
2017-04-05,44.31,44.37,42.81,42.84,1744218
2017-04-06,42.8,42.8,41.68,42.69,1430569
2017-04-07,42.75,42.86,42.22,42.22,771257
2017-04-10,42.27,42.5,41.98,42.33,934413
2017-04-11,42.23,42.8,42.22,42.79,818153
2017-04-12,42.94,43.0,42.32,42.33,786864
2017-04-13,42.43,42.43,41.99,42.05,731863
2017-04-17,42.29,42.87,42.28,42.87,597905
2017-04-18,42.68,42.97,42.35,42.96,593929
2017-04-19,43.08,43.21,42.88,42.92,548520
2017-04-20,43.04,43.56,42.79,43.51,480070
2017-04-21,43.46,43.81,43.24,43.62,554120
2017-04-24,44.17,44.17,43.47,43.68,773415
2017-04-25,44.1,44.69,44.1,44.46,504585
2017-04-26,44.45,44.74,44.17,44.18,510486
2017-04-27,44.28,44.29,43.36,43.42,780526
2017-04-28,43.5,43.6,42.86,43.2,896281
2017-05-01,43.46,43.66,42.73,43.26,950404
2017-05-02,43.27,43.37,42.64,43.05,958649
2017-05-03,43.93,44.21,42.44,44.0,1557782
2017-05-04,44.19,44.38,42.6,42.82,1989427
2017-05-05,42.71,43.36,42.66,43.16,595763
2017-05-08,43.25,43.46,42.82,43.13,852814
2017-05-09,43.11,43.42,42.8,43.21,588939
2017-05-10,43.1,43.24,42.92,43.1,552204
2017-05-11,43.16,43.46,42.91,43.41,851035
2017-05-12,43.34,43.7,43.25,43.53,1139746
2017-05-15,43.79,43.79,41.74,41.74,1497572
2017-05-16,42.0,42.42,41.6,41.72,1275416
2017-05-17,41.34,41.62,40.92,41.01,1479600
2017-05-18,39.65,40.45,39.01,40.08,1562316
2017-05-19,40.08,40.73,39.89,40.41,1377784
2017-05-22,40.64,40.93,40.64,40.87,609015
2017-05-23,40.93,40.97,40.48,40.77,693448
2017-05-24,40.79,40.88,39.57,39.78,825967
2017-05-25,39.93,39.97,39.27,39.36,1302696
2017-05-26,39.44,40.61,39.41,40.49,869663
2017-05-30,40.39,40.39,39.42,39.51,811364
2017-05-31,39.61,39.65,39.16,39.57,1258159
2017-06-01,39.65,40.78,39.56,40.54,1144200
2017-06-02,40.54,41.1,40.54,40.83,1411448
2017-06-05,40.57,40.61,39.86,40.22,804700
2017-06-06,39.78,39.98,39.39,39.76,922164
2017-06-07,39.86,40.28,39.6,39.84,594823
2017-06-08,39.64,40.1,39.3,39.81,499637
2017-06-09,39.8,39.87,39.41,39.46,481166
2017-06-12,38.91,39.75,38.53,38.65,1372469
2017-06-13,38.78,39.78,38.64,39.75,831968
2017-06-14,39.83,40.47,39.75,40.47,1051304
2017-06-15,40.25,40.77,39.95,40.74,771457
2017-06-16,40.79,41.48,40.47,41.44,1356950
2017-06-19,41.54,42.09,41.17,41.29,511891
2017-06-20,41.18,41.18,40.01,40.1,610686
2017-06-21,40.14,40.14,39.52,39.82,557190
2017-06-22,38.55,39.07,37.89,37.96,2572534
2017-06-23,38.0,38.47,37.61,38.47,3581822
2017-06-26,38.34,38.7,38.03,38.65,1064882
2017-06-27,38.62,38.73,38.21,38.34,778397
2017-06-28,38.51,39.02,38.35,38.8,541039
2017-06-29,38.7,38.93,38.04,38.35,1277436
2017-06-30,38.44,39.13,38.23,38.85,1007434
2017-07-03,38.96,39.19,38.48,38.52,339325
2017-07-05,38.48,38.48,37.46,37.6,801976
2017-07-06,37.24,37.92,37.13,37.37,791116
2017-07-07,37.47,37.91,37.15,37.58,527000
2017-07-10,37.8,37.92,37.22,37.25,1058773
2017-07-11,37.26,37.93,36.95,37.84,784203
2017-07-12,37.97,38.16,37.57,37.59,494828
2017-07-13,37.58,38.23,37.52,37.99,465844
2017-07-14,38.01,38.12,37.85,37.98,591058
2017-07-17,37.82,37.82,36.98,37.19,626065
2017-07-18,37.14,37.83,37.06,37.55,755865
2017-07-19,37.64,38.27,37.4,38.17,647073
2017-07-20,38.19,38.88,38.08,38.54,984886
2017-07-21,38.52,38.79,38.34,38.42,831134
2017-07-24,38.52,39.02,38.38,38.46,1127119
2017-07-25,38.64,39.23,38.48,38.81,981697
2017-07-26,39.34,39.63,39.16,39.49,878679
2017-07-27,39.52,39.61,38.72,39.01,1648559
2017-07-28,38.95,39.36,38.88,39.21,626349
2017-07-31,39.08,39.47,38.81,38.9,785758
2017-08-01,38.96,39.92,38.89,39.76,1031169
2017-08-02,37.91,38.1,36.98,37.82,2850582
2017-08-03,37.98,38.69,37.74,38.57,1751871
2017-08-04,38.37,39.77,38.37,39.14,1430978
2017-08-07,38.96,39.13,37.79,37.99,1716100
2017-08-08,37.88,38.68,37.81,38.15,1306929
2017-08-09,37.82,37.9,37.45,37.89,1449349
2017-08-10,37.73,37.84,36.79,36.82,1442869
2017-08-11,36.82,37.18,36.6,36.95,883998
2017-08-14,37.14,37.32,36.27,36.29,799028
2017-08-15,36.29,36.53,35.94,36.04,901975
2017-08-16,36.11,36.24,35.87,35.91,537201
2017-08-17,35.76,36.11,35.58,35.61,709375
2017-08-18,35.46,35.49,34.32,34.52,2275672
2017-08-21,34.51,34.51,33.49,34.12,1797667
2017-08-22,34.05,34.41,33.76,34.38,1677175
2017-08-23,34.22,34.4,32.93,32.93,1548317
2017-08-24,33.03,33.4,32.85,32.99,2057877
2017-08-25,33.06,33.72,32.96,33.35,2467160
2017-08-28,33.33,33.34,32.74,33.16,2397200
2017-08-29,32.86,33.1,32.2,32.45,2134054
2017-08-30,32.69,33.24,32.54,32.94,2225376
2017-08-31,32.95,33.38,32.69,33.29,1328775
2017-09-01,33.44,34.26,33.44,34.02,2080971
2017-09-05,33.97,34.34,33.95,34.12,1625448
2017-09-06,34.12,34.45,33.68,34.03,1509711
2017-09-07,34.12,34.12,32.2,32.29,2046392
2017-09-08,32.19,32.7,32.03,32.47,2576506
2017-09-11,32.9,34.49,32.29,33.7,3004506
2017-09-12,33.77,34.23,33.64,33.85,1710291
2017-09-13,33.92,34.8,33.9,34.76,1089756
2017-09-14,34.75,35.39,34.45,35.31,1505293
2017-09-15,35.28,35.72,35.17,35.5,1518705
2017-09-18,35.56,36.52,35.49,36.41,2158415
2017-09-19,36.39,36.51,35.16,35.23,1575297
2017-09-20,35.41,35.51,35.05,35.24,616477
2017-09-21,35.21,35.93,35.0,35.81,562453
2017-09-22,35.8,36.6,35.68,36.49,727032
2017-09-25,36.32,36.7,35.82,36.16,1460926
2017-09-26,36.16,36.49,35.98,36.25,798752
2017-09-27,36.28,36.75,36.0,36.41,802598
2017-09-28,35.95,36.48,35.48,36.34,1562354
2017-09-29,36.23,36.5,35.97,36.21,1438953
2017-10-02,36.27,36.9,35.93,36.7,835770
2017-10-03,36.73,37.5,36.68,37.45,1233160
2017-10-04,37.23,37.62,37.19,37.43,554310
2017-10-05,37.85,39.21,37.3,37.9,1165269
2017-10-06,37.84,37.89,37.27,37.68,877900
2017-10-09,37.42,37.42,36.13,36.26,1588559
2017-10-10,36.47,36.72,35.87,36.0,1249673
2017-10-11,35.99,36.15,35.49,35.91,688446
2017-10-12,35.85,36.13,35.2,36.1,629731
2017-10-13,36.19,36.42,35.97,36.04,445722
2017-10-16,35.9,36.37,35.8,36.03,927300
2017-10-17,35.81,36.15,35.39,35.44,820432
2017-10-18,35.68,35.71,35.14,35.2,1619508
2017-10-19,35.16,36.21,35.12,35.8,1701525
2017-10-20,35.93,36.09,35.67,35.9,758436
2017-10-23,35.79,36.1,35.57,35.87,1197631
2017-10-24,35.9,36.45,35.74,36.37,666304
2017-10-25,36.82,37.16,35.85,36.1,917740
2017-10-26,36.36,36.95,36.36,36.78,786416
2017-10-27,36.53,36.84,36.03,36.84,653923
2017-10-30,36.82,36.87,36.09,36.18,1141669
2017-10-31,36.32,36.52,35.79,36.34,1203579
2017-11-01,36.48,36.6,35.19,35.4,1458963
2017-11-02,35.37,35.41,34.56,35.19,1725567
2017-11-03,35.27,35.35,33.72,34.37,1955833
2017-11-06,34.18,34.97,34.08,34.42,1428781
2017-11-07,34.19,34.19,33.13,33.92,1984859
2017-11-08,33.89,34.63,33.52,33.62,1104228
2017-11-09,33.24,34.23,33.1,33.9,974806
2017-11-10,33.72,34.28,33.65,33.7,1063099
2017-11-13,33.42,34.15,32.84,33.96,2020367
2017-11-14,33.92,34.34,33.52,34.29,879856
2017-11-15,34.05,34.24,33.37,33.74,755707
2017-11-16,33.57,33.93,32.97,33.05,1209265
2017-11-17,33.21,34.03,33.18,33.69,1546894
2017-11-20,33.4,33.45,32.6,32.88,1431365
2017-11-21,32.92,33.7,32.92,33.57,1056220
2017-11-22,33.67,33.84,33.44,33.71,783398
2017-11-24,33.71,34.38,33.48,34.24,570706
2017-11-27,34.45,35.0,34.24,34.9,1035649
2017-11-28,34.79,36.85,34.63,36.19,2324083
2017-11-29,36.41,37.09,36.41,37.0,2132535
2017-11-30,36.89,37.03,35.67,36.11,2582784
2017-12-01,36.14,36.36,35.46,35.85,898874
2017-12-04,36.08,36.64,35.97,36.41,1567030
2017-12-05,36.61,36.95,35.57,35.67,1554432
2017-12-06,35.77,35.84,34.98,35.01,724538
2017-12-07,34.89,35.57,34.74,35.49,779420
2017-12-08,35.64,36.07,35.36,36.04,1023059
2017-12-11,35.98,36.4,35.87,36.35,1385059
