date,open,high,low,close,volume
2017-01-03,198.91,199.1,197.48,198.42,6669759
2017-01-04,198.76,199.36,198.6,199.15,4823184
2017-01-05,198.95,199.26,197.9,198.75,4124542
2017-01-06,198.73,199.83,198.17,199.51,4322585
2017-01-09,199.09,199.27,198.75,198.76,2303543
2017-01-10,198.72,199.41,198.21,198.4,3029218
2017-01-11,198.63,199.57,198.15,199.33,5209773
2017-01-12,198.88,198.91,197.53,198.75,3865239
2017-01-13,198.91,199.35,198.32,198.7,3468891
2017-01-17,198.27,198.65,197.59,198.09,3329829
2017-01-18,198.08,198.23,197.3,197.95,4634930
2017-01-19,198.03,198.16,196.69,197.28,3050941
2017-01-20,197.53,198.2,197.31,197.96,6998974
2017-01-23,197.86,198.11,197.04,197.78,3249687
2017-01-24,197.79,199.22,197.62,198.84,5205819
2017-01-25,200.01,200.55,199.75,200.42,4880846
2017-01-26,200.6,200.97,200.42,200.72,3999710
2017-01-27,200.69,200.87,200.45,200.63,3576507
2017-01-30,199.83,199.9,198.42,199.38,4718049
2017-01-31,198.72,198.89,197.56,198.36,4628094
2017-02-01,199.13,199.4,198.2,198.63,3676914
2017-02-02,198.16,198.97,198.02,198.61,2640562
2017-02-03,199.58,200.57,199.44,200.38,4857335
2017-02-06,200.03,200.7,199.78,200.28,2770903
2017-02-07,200.89,201.3,200.43,200.58,2606330
2017-02-08,200.5,200.69,200.15,200.51,2291450
2017-02-09,200.82,202.11,200.77,201.72,3487574
2017-02-10,202.3,203.0,202.07,202.74,2880299
2017-02-13,203.32,204.47,203.32,204.2,2637381
2017-02-14,204.06,205.18,203.94,205.17,3586627
2017-02-15,205.39,206.49,205.29,206.38,3646005
2017-02-16,206.55,206.72,205.85,206.48,4589617
2017-02-17,205.03,205.92,205.02,205.88,5747721
2017-02-21,206.56,207.3,206.42,207.07,3076688
2017-02-22,206.73,207.53,206.64,207.45,2254362
2017-02-23,208.06,208.15,207.21,207.82,3179933
2017-02-24,207.08,207.95,207.07,207.93,3703905
2017-02-27,207.73,208.37,207.61,208.29,3433737
2017-02-28,208.11,208.31,207.68,207.98,2821874
2017-03-01,209.92,211.59,209.88,211.02,7846089
2017-03-02,211.19,211.19,209.84,209.89,3336864
2017-03-03,210.06,210.32,209.41,209.91,2589010
2017-03-06,209.26,209.77,209.02,209.48,2524696
2017-03-07,209.21,209.66,208.97,209.17,2740993
2017-03-08,209.58,209.61,208.43,208.61,3173098
2017-03-09,208.74,209.09,207.87,208.67,4430109
2017-03-10,209.69,209.7,208.36,209.15,3003984
2017-03-13,209.13,209.34,208.59,208.94,2261813
2017-03-14,208.57,208.88,207.98,208.54,4433001
2017-03-15,208.83,209.91,208.71,209.58,5736969
2017-03-16,210.17,210.17,209.05,209.44,3018383
2017-03-17,209.53,209.53,208.83,208.86,2873236
2017-03-20,208.85,209.27,208.56,208.81,3308571
