date,open,high,low,close,volume
2017-01-03,34.05,34.61,34.02,34.46,20781143
2017-01-04,34.73,34.94,34.6,34.81,13846728
2017-01-05,34.97,35.48,34.9,35.22,13077505
2017-01-06,35.03,35.09,34.63,34.86,12121425
2017-01-09,35.18,35.36,34.81,34.85,24442587
2017-01-10,35.37,35.52,35.03,35.25,15983270
2017-01-11,34.75,36.15,34.56,36.03,21222583
2017-01-12,36.35,36.59,36.2,36.42,19758394
2017-01-13,35.88,36.09,35.58,35.94,14507692
2017-01-17,35.73,36.4,35.54,36.19,21582781
2017-01-18,35.99,36.19,35.64,35.66,15508663
2017-01-19,36.13,36.14,35.76,36.13,23827913
2017-01-20,36.37,36.72,36.1,36.68,26899867
2017-01-23,36.92,37.71,36.76,37.67,28922261
2017-01-24,37.3,37.6,37.18,37.39,17856254
2017-01-25,37.69,37.98,37.59,37.96,12952351
2017-01-26,37.5,37.66,37.29,37.58,18921414
2017-01-27,37.63,37.81,37.53,37.77,9060050
2017-01-30,37.33,37.41,36.94,37.06,11740843
2017-01-31,37.24,37.37,36.81,36.87,10519487
2017-02-01,37.26,37.32,36.92,37.16,9357342
2017-02-02,37.29,37.53,37.09,37.31,8173063
2017-02-03,37.55,37.92,37.42,37.6,12517955
2017-02-06,37.35,37.47,36.97,37.03,9535060
2017-02-07,37.23,37.34,36.95,37.03,7513005
2017-02-08,36.93,37.66,36.87,37.58,11056689
2017-02-09,37.53,37.76,37.25,37.44,11799403
2017-02-10,37.84,38.35,37.8,38.27,16044658
2017-02-13,38.36,38.69,38.23,38.5,11784905
2017-02-14,38.55,39.01,38.05,38.98,14993230
2017-02-15,39.2,40.1,39.06,40.04,29230971
2017-02-16,40.29,40.31,39.34,39.38,19482852
2017-02-17,39.09,39.39,38.88,39.24,10992630
2017-02-21,39.96,40.06,39.67,40.05,17182053
2017-02-22,39.97,40.17,39.84,40.15,9611853
2017-02-23,40.75,40.8,39.52,39.55,17418884
2017-02-24,38.84,38.91,38.34,38.36,21906347
2017-02-27,38.44,38.81,38.31,38.53,8724740
2017-02-28,38.48,38.56,37.63,37.73,15334056
2017-03-01,38.3,39.0,38.27,38.98,19287959
2017-03-02,38.37,38.48,37.41,37.42,22080703
2017-03-03,37.96,38.62,37.67,38.58,16820932
2017-03-06,38.62,38.69,38.02,38.08,8038695
2017-03-07,38.46,38.46,37.88,37.94,11179907
2017-03-08,37.36,37.42,36.52,36.81,16863565
2017-03-09,36.82,36.92,36.19,36.32,19763782
2017-03-10,37.27,37.34,36.8,37.12,19258886
2017-03-13,37.23,37.5,37.03,37.35,13202161
2017-03-14,37.12,37.29,36.6,36.65,12656324
2017-03-15,36.88,38.24,36.56,38.15,24865708
2017-03-16,38.29,38.34,37.73,37.85,14485577
2017-03-17,38.07,38.18,37.08,37.23,20570766
2017-03-20,37.04,38.1,36.93,38.02,16387035
2017-03-21,37.95,38.14,36.64,36.71,23932690
2017-03-22,36.63,37.31,36.35,36.98,15864518
2017-03-23,36.47,36.95,36.38,36.57,11087156
