date,open,high,low,close,volume
2017-01-03,92.99,93.59,91.7,92.58,1965916
2017-01-04,92.91,93.51,92.41,92.92,1201621
2017-01-05,92.48,93.03,91.15,92.07,1226070
2017-01-06,92.76,93.4,92.45,92.75,828210
2017-01-09,91.58,92.61,91.36,92.02,1057241
2017-01-10,92.0,92.68,91.7,92.3,1105947
2017-01-11,92.05,92.49,91.55,92.49,1850568
2017-01-12,92.1,92.37,90.55,91.85,1231225
2017-01-13,91.11,94.15,91.11,92.95,1356730
2017-01-17,91.72,92.51,91.02,91.72,1879832
2017-01-18,92.24,92.43,90.98,92.13,1458673
2017-01-19,92.5,92.97,91.66,92.11,1195639
2017-01-20,92.1,92.62,91.92,92.56,1207273
2017-01-23,92.04,92.97,92.04,92.66,1140398
2017-01-24,92.83,93.56,92.66,93.31,751717
2017-01-25,94.18,95.38,94.0,95.19,1062496
2017-01-26,95.25,95.76,94.71,95.65,919295
2017-01-27,95.42,95.42,94.54,94.82,996197
2017-01-30,94.08,94.42,93.45,94.04,962358
2017-01-31,94.13,94.57,93.79,94.33,1055309
2017-02-01,95.26,95.95,93.73,93.89,587076
2017-02-02,93.51,93.87,92.76,93.5,581071
2017-02-03,94.79,95.3,94.07,94.98,645883
2017-02-06,94.42,94.93,94.22,94.64,665632
2017-02-07,95.13,95.33,94.01,94.12,455229
2017-02-08,93.49,93.51,92.64,93.25,492481
2017-02-09,93.56,95.02,93.31,94.98,536859
2017-02-10,95.38,95.75,94.24,94.84,558688
2017-02-13,95.62,97.29,95.44,96.38,1321157
2017-02-14,96.12,97.01,95.74,96.42,942144
2017-02-15,97.0,97.11,96.1,96.78,930786
2017-02-16,96.53,96.83,95.53,95.76,1119047
2017-02-17,95.0,95.6,94.47,95.6,805987
2017-02-21,96.12,96.56,95.44,95.72,977198
2017-02-22,95.38,96.14,94.92,95.72,784040
2017-02-23,95.93,96.29,95.27,95.78,968256
2017-02-24,94.85,95.29,94.43,95.29,669679
2017-02-27,95.59,95.75,94.96,95.38,1352804
2017-02-28,94.87,95.47,93.75,93.83,1665901
2017-03-01,96.06,97.18,95.84,96.9,1808014
2017-03-02,97.0,97.0,95.55,95.8,852315
2017-03-03,96.11,96.94,95.79,96.86,1259236
2017-03-06,96.29,97.43,95.25,96.96,1081814
2017-03-07,95.86,95.88,94.89,95.14,3156014
2017-03-08,96.05,96.83,95.79,95.9,1642943
2017-03-09,96.25,96.64,95.78,96.28,995663
2017-03-10,96.92,96.94,95.26,96.2,1194396
2017-03-13,96.22,96.39,95.59,96.16,1070911
2017-03-14,95.46,96.18,94.83,96.17,584742
2017-03-15,96.55,96.56,94.27,94.51,1153541
2017-03-16,95.18,95.59,94.51,95.39,1098950
2017-03-17,95.66,95.96,94.33,95.09,3262101
2017-03-20,94.88,95.11,93.72,93.79,826009
2017-03-21,94.49,94.49,89.81,91.22,1832040
2017-03-22,90.53,91.81,89.48,91.11,1173161
2017-03-23,91.0,92.1,90.61,90.73,1216880
2017-03-24,91.29,91.65,90.35,90.92,774979
2017-03-27,88.77,90.42,88.04,90.34,1646870
2017-03-28,90.18,93.19,89.85,92.73,1108920
2017-03-29,92.44,92.73,91.63,92.03,907988
2017-03-30,92.05,94.7,92.05,94.59,956674
2017-03-31,94.45,94.74,93.66,93.81,643313
2017-04-03,94.02,94.17,92.91,93.44,989067
2017-04-04,92.82,93.93,92.67,93.03,1341863
2017-04-05,93.98,93.98,91.6,91.84,1565109
2017-04-06,91.77,93.06,91.06,92.83,857740
2017-04-07,91.83,92.66,91.71,91.97,1316596
2017-04-10,91.81,92.57,91.14,92.12,1256450
2017-04-11,91.56,92.11,91.02,92.09,1234317
2017-04-12,92.0,92.34,91.41,91.97,1268800
2017-04-13,91.0,91.48,88.21,90.18,3161251
2017-04-17,89.94,90.54,89.23,90.41,2118952
2017-04-18,89.5,90.27,89.19,89.59,1533640
2017-04-19,90.32,90.83,89.11,89.39,886074
2017-04-20,89.83,90.64,89.28,90.5,1055021
2017-04-21,90.33,90.86,89.63,90.59,1045496
2017-04-24,92.6,93.69,92.3,92.57,1052428
2017-04-25,93.04,93.48,92.91,93.17,1042221
2017-04-26,93.15,94.17,93.05,93.62,859454
2017-04-27,93.65,93.92,92.71,93.56,860646
2017-04-28,93.72,93.82,92.22,92.46,974496
2017-05-01,93.23,94.23,92.73,93.7,677120
2017-05-02,93.64,93.97,92.58,93.09,1107411
2017-05-03,92.93,93.51,92.37,93.48,722968
