date,open,high,low,close,volume
2017-01-03,12.24,12.4,12.17,12.29,27630
2017-01-04,12.37,12.5,12.19,12.22,33203
2017-01-05,12.2,12.2,11.77,11.78,14691
2017-01-06,11.8,11.85,11.36,11.76,42187
2017-01-09,11.74,11.74,11.22,11.45,27642
2017-01-10,11.39,11.64,11.35,11.56,44308
2017-01-11,11.64,12.26,11.53,11.62,45862
2017-01-12,11.71,11.71,10.98,11.54,86205
2017-01-13,11.46,11.98,11.46,11.75,24264
2017-01-17,11.64,11.79,11.37,11.38,27534
2017-01-18,11.3,11.64,10.9,11.09,63959
2017-01-19,11.12,11.13,10.97,10.97,28883
2017-01-20,10.96,11.16,10.82,10.9,45653
2017-01-23,10.81,10.9,10.6,10.64,27898
2017-01-24,10.75,11.2,10.75,10.98,60082
2017-01-25,11.1,11.6,11.06,11.56,45312
2017-01-26,11.5,11.54,11.11,11.15,34881
2017-01-27,10.98,11.15,10.92,11.03,28806
2017-01-30,10.91,11.02,10.72,10.93,34156
2017-01-31,10.98,11.07,10.82,11.02,40075
2017-02-01,11.11,11.13,10.96,11.02,17316
2017-02-02,10.99,11.29,10.99,11.26,47042
2017-02-03,11.3,11.3,11.02,11.26,22043
2017-02-06,11.19,11.3,11.11,11.28,34451
2017-02-07,11.26,11.45,11.2,11.3,31140
2017-02-08,11.22,11.57,11.06,11.3,158386
2017-02-09,11.42,11.49,11.31,11.47,23498
2017-02-10,11.74,12.67,11.59,12.64,54996
2017-02-13,12.74,12.79,12.31,12.76,47764
2017-02-14,12.66,12.74,12.02,12.14,88938
2017-02-15,12.33,12.36,12.12,12.2,63355
2017-02-16,12.29,12.3,11.51,11.64,142428
2017-02-17,11.67,12.03,11.45,11.52,64276
2017-02-21,11.47,11.53,11.12,11.3,73718
2017-02-22,11.3,11.59,11.2,11.49,47524
2017-02-23,11.66,12.07,11.42,11.93,46424
2017-02-24,11.9,12.37,11.75,12.2,38518
2017-02-27,12.29,12.51,12.06,12.33,34304
2017-02-28,12.33,12.39,11.7,11.85,44395
2017-03-01,11.9,12.41,11.9,12.1,48389
2017-03-02,12.01,12.16,11.88,12.03,11801
2017-03-03,11.88,11.91,11.65,11.75,18993
2017-03-06,11.98,12.04,11.76,11.84,19561
2017-03-07,11.75,11.94,11.73,11.74,15844
2017-03-08,11.83,11.92,11.5,11.65,29037
2017-03-09,11.62,11.8,11.62,11.66,24833
2017-03-10,11.74,11.94,11.7,11.8,28990
2017-03-13,11.9,13.14,11.85,13.08,133981
2017-03-14,13.09,13.61,12.38,13.25,127415
2017-03-15,13.23,13.58,12.76,13.44,75762
2017-03-16,13.54,14.31,13.24,13.92,113711
2017-03-17,13.9,14.19,13.8,13.99,47399
2017-03-20,13.79,14.1,13.46,13.5,48801
2017-03-21,13.54,13.56,13.21,13.23,37293
2017-03-22,13.26,13.28,12.77,13.0,33959
2017-03-23,12.98,13.58,12.98,13.12,46512
2017-03-24,13.05,13.29,12.99,13.05,74450
2017-03-27,12.86,13.29,12.86,13.18,44218
2017-03-28,13.07,13.69,13.07,13.33,60545
2017-03-29,13.25,13.45,13.18,13.38,40738
2017-03-30,13.29,13.58,13.1,13.37,76756
2017-03-31,13.43,13.55,13.16,13.23,57860
2017-04-03,13.3,13.37,13.21,13.29,35975
2017-04-04,13.29,13.29,13.16,13.27,44616
2017-04-05,13.33,13.4,12.99,13.0,27251
2017-04-06,13.0,13.27,12.9,13.09,47466
2017-04-07,13.16,13.39,13.13,13.26,23764
2017-04-10,13.33,13.5,13.23,13.35,42800
2017-04-11,13.33,13.85,13.03,13.79,33163
2017-04-12,13.71,13.77,13.41,13.42,32780
2017-04-13,13.35,13.49,13.03,13.29,28885
2017-04-17,13.26,13.57,13.21,13.5,30970
2017-04-18,13.49,13.77,13.37,13.69,32116
2017-04-19,13.74,13.95,13.6,13.7,31116
2017-04-20,13.8,13.97,13.73,13.89,27201
2017-04-21,13.88,14.01,13.79,13.87,19550
2017-04-24,14.0,14.06,13.92,14.05,17613
2017-04-25,14.1,14.61,14.06,14.29,38792
2017-04-26,14.26,15.08,14.26,14.97,40008
2017-04-27,14.98,15.07,14.55,14.63,15023
2017-04-28,14.75,14.75,14.0,14.04,49443
2017-05-01,14.25,14.62,14.25,14.55,42375
2017-05-02,14.51,14.74,14.51,14.64,39174
2017-05-03,14.63,14.63,14.28,14.56,27169
2017-05-04,14.67,14.82,14.41,14.75,18792
2017-05-05,14.55,15.2,14.55,15.07,32811
2017-05-08,15.13,15.16,14.71,15.07,17546
2017-05-09,15.03,15.2,14.88,15.18,41590
2017-05-10,15.2,16.67,15.2,16.24,68256
2017-05-11,16.24,16.24,15.77,16.19,52752
2017-05-12,16.29,18.03,16.14,17.92,124488
2017-05-15,17.0,17.35,16.88,17.13,62866
2017-05-16,17.09,17.54,16.81,16.92,49643
2017-05-17,16.64,16.91,16.19,16.44,52130
2017-05-18,16.26,16.55,15.87,16.38,29559
2017-05-19,16.32,16.57,16.0,16.11,35666
2017-05-22,15.95,16.52,15.89,16.5,26451
2017-05-23,16.6,16.63,16.2,16.37,18717
2017-05-24,16.3,16.38,15.95,16.14,15031
2017-05-25,16.15,16.35,16.0,16.05,20991
2017-05-26,15.95,16.57,15.95,16.3,16592
2017-05-30,16.4,16.6,16.2,16.53,25790
2017-05-31,16.62,16.88,16.35,16.61,31990
2017-06-01,16.64,17.17,16.51,17.16,28968
2017-06-02,17.38,17.69,17.29,17.43,54028
