date,open,high,low,close,volume
2020-06-15,18.0,19.75,17.65,19.45,32622878
2020-06-16,20.66,20.85,19.09,19.35,40032408
2020-06-17,19.03,19.33,18.82,18.97,18944720
2020-06-18,18.46,18.99,18.3,18.58,24687713
2020-06-19,19.03,19.09,17.83,18.21,28606586
2020-06-08,22.81,23.84,22.18,23.76,38734567
2020-06-09,22.84,22.94,21.29,22.06,31655962
2020-06-10,22.46,22.48,20.01,20.51,40248180
2020-06-11,17.84,19.44,17.6,17.84,41227738
2020-06-12,19.62,19.68,18.26,19.17,31587217
2017-01-03,29.01,29.51,28.76,29.48,9439195
2017-01-04,29.52,29.65,29.18,29.46,6330917
2017-01-05,29.65,29.97,29.35,29.37,8587124
2017-01-06,29.37,29.71,29.35,29.52,6989539
2017-01-09,29.71,29.9,29.16,29.16,5893400
2017-01-10,29.29,29.92,28.72,29.62,11879526
2017-01-11,29.5,29.57,28.69,29.03,9595209
2017-01-12,28.86,29.16,28.35,28.63,6311993
2017-01-13,28.73,29.06,28.55,28.62,8786605
2017-01-17,28.45,28.8,28.45,28.66,6966129
2017-01-18,28.56,28.69,28.33,28.61,3839876
2017-01-19,28.71,28.86,28.56,28.69,4820921
2017-01-20,28.85,29.25,28.74,28.74,5371803
2017-01-23,28.73,28.88,28.4,28.5,6588065
2017-01-24,28.59,29.05,28.46,29.01,4468015
2017-01-25,29.31,29.66,29.21,29.6,7275696
2017-01-26,29.48,29.87,29.24,29.48,4955539
2017-01-27,29.8,29.89,29.46,29.79,5813446
2017-01-30,29.62,29.62,29.08,29.11,5634600
2017-01-31,29.01,29.2,28.73,28.8,5479744
2017-02-01,28.76,28.89,28.38,28.56,6986942
2017-02-02,28.52,28.82,28.45,28.8,6200467
2017-02-03,28.93,29.01,28.78,28.86,3781195
2017-02-06,28.93,29.14,28.76,29.05,6694787
2017-02-07,29.08,29.1,28.5,28.56,5338630
2017-02-08,28.52,28.73,28.44,28.64,3298707
2017-02-09,28.66,28.71,28.31,28.62,4931354
2017-02-10,28.68,28.79,28.48,28.53,4791305
2017-02-13,28.73,29.3,28.59,29.16,10158933
2017-02-14,29.44,29.6,28.61,28.65,9169618
2017-02-15,28.66,29.71,28.66,29.6,14333028
2017-02-16,28.04,28.06,26.64,26.86,49246857
2017-02-17,26.5,26.78,26.04,26.6,20858708
2017-02-21,26.62,27.06,26.56,26.95,12650295
2017-02-22,26.97,27.06,26.32,26.46,9682320
2017-02-23,26.58,26.69,26.07,26.18,10040992
2017-02-24,26.1,26.4,26.03,26.39,11647282
2017-02-27,26.45,26.55,26.32,26.47,8026766
2017-02-28,26.39,26.53,26.15,26.29,8232019
2017-03-01,27.07,27.2,26.78,26.83,9781250
2017-03-02,26.74,26.79,26.27,26.31,7705111
2017-03-03,26.22,26.52,26.08,26.46,6844683
2017-03-06,26.42,26.61,26.14,26.55,6478756
2017-03-07,26.37,26.41,25.33,25.74,23495002
2017-03-08,25.8,25.9,25.64,25.68,12078975
2017-03-09,25.53,25.8,25.29,25.43,7790571
2017-03-10,25.56,25.59,25.15,25.5,6840763
2017-03-13,25.61,26.02,25.56,25.95,6783580
2017-03-14,25.95,26.4,25.83,26.35,7634198
2017-03-15,26.5,26.87,26.34,26.82,10563811
2017-03-16,26.75,26.99,26.52,26.79,10592719
2017-03-17,26.95,27.6,26.85,27.58,15365616
2017-03-20,27.43,27.45,26.34,26.62,19573325
2017-03-21,26.7,26.76,25.89,26.13,17554753
2017-03-22,26.04,26.43,25.92,26.03,7313909
2017-03-23,26.02,26.4,25.91,25.92,6979294
2017-03-24,26.07,26.13,25.47,25.71,11061581
2017-03-27,25.25,26.61,25.21,26.58,12583993
2017-03-28,26.65,27.27,26.59,27.17,12824460
2017-03-29,27.13,27.54,27.0,27.29,6146911
2017-03-30,27.36,27.5,27.2,27.33,4714815
2017-03-31,27.17,27.5,27.06,27.4,7166641
2017-04-03,27.74,28.09,27.51,27.75,10087540
2017-04-04,27.68,27.9,27.63,27.82,5159725
2017-04-05,27.99,28.12,27.58,27.6,7249261
2017-04-06,27.56,28.53,27.52,28.43,11886800
2017-04-07,28.27,28.5,28.0,28.11,6968689
2017-04-10,28.08,28.09,27.65,27.77,7840602
2017-04-11,27.68,27.83,27.39,27.71,6584990
2017-04-12,27.69,27.84,27.49,27.57,3059522
2017-04-13,27.53,27.74,27.16,27.19,4846447
2017-04-17,27.35,27.37,27.01,27.12,7895968
2017-04-18,27.12,27.81,27.08,27.75,9329473
2017-04-19,27.89,28.32,27.68,28.02,9310993
2017-04-20,28.18,28.53,28.1,28.46,7262801
2017-04-21,28.56,28.61,28.2,28.41,6541301
2017-04-24,28.63,29.13,28.57,29.0,14538393
2017-04-25,29.22,29.58,29.16,29.35,12104642
2017-04-26,29.67,30.05,29.32,29.79,19013691
2017-04-27,30.17,31.15,29.59,31.01,17187436
2017-04-28,31.28,31.32,30.7,30.71,8353797
2017-05-01,30.79,31.15,30.68,30.97,5675976
2017-05-02,31.0,31.15,30.89,30.96,5818562
2017-05-03,30.95,31.15,30.8,31.11,5488836
2017-05-04,31.02,31.1,30.67,30.72,5636274
2017-05-05,30.45,31.03,30.41,30.85,4779802
2017-05-08,30.51,30.61,30.19,30.42,8541027
2017-05-09,30.61,31.08,30.41,30.96,6157364
2017-05-10,30.92,31.29,30.69,31.23,6476713
2017-05-11,31.09,31.2,30.69,30.98,5609062
2017-05-12,30.84,31.2,30.84,31.15,5619986
2017-05-15,31.17,31.7,31.11,31.68,8031106
2017-05-16,31.77,32.28,31.61,32.2,8987343
2017-05-17,31.72,31.95,31.09,31.15,9034581
2017-05-18,30.6,31.29,30.5,30.96,7042502
2017-05-19,31.18,31.71,31.12,31.25,5673770
2017-05-22,31.5,31.93,31.42,31.57,10627315
2017-05-23,31.68,31.76,31.27,31.3,7750099
2017-05-24,31.18,31.42,31.06,31.19,5508214
2017-05-25,31.23,31.68,31.23,31.6,5476697
2017-05-26,31.57,31.96,31.53,31.82,3612149
2017-05-30,31.8,32.08,31.75,31.87,4934629
2017-05-31,32.0,32.04,31.36,31.72,5797153
2017-06-01,32.05,32.55,32.0,32.26,6969654
2017-06-02,32.42,32.75,32.13,32.52,6195868
2017-06-05,32.49,32.5,32.08,32.19,7141348
2017-06-06,32.19,32.6,32.02,32.49,6021121
2017-06-07,32.44,32.88,32.14,32.76,7207970
2017-06-08,32.72,32.93,32.47,32.77,3762805
2017-06-09,32.75,32.91,31.63,31.98,5333634
2017-06-12,31.8,31.81,30.82,31.59,11444688
2017-06-13,31.85,32.37,31.84,32.09,4664417
2017-06-14,32.35,32.52,32.02,32.35,5144099
2017-06-15,32.05,32.59,31.84,32.58,6187395
2017-06-16,32.59,32.77,32.42,32.61,5030244
2017-06-19,32.84,33.23,32.69,33.15,7399498
2017-06-20,33.22,33.36,32.83,33.18,4904367
2017-06-21,33.28,33.35,32.84,32.96,3174036
2017-06-22,32.91,33.4,32.9,33.25,3167670
2017-06-23,33.35,34.17,33.24,34.16,7787314
2017-06-26,34.19,34.34,33.64,33.85,7751678
2017-06-27,33.91,34.31,33.73,33.73,8727024
2017-06-28,33.89,34.0,33.35,33.7,7730680
2017-06-29,33.7,33.78,32.62,32.89,7167205
2017-06-30,31.94,32.09,31.16,31.29,17920595
2017-07-03,31.02,31.32,30.43,30.56,7346840
2017-07-05,30.66,31.0,30.31,30.98,7558754
2017-07-06,30.85,30.91,30.26,30.3,5158368
2017-07-07,30.32,30.93,30.2,30.84,5802529
2017-07-10,30.83,31.4,30.69,31.18,5193134
2017-07-11,31.34,31.62,31.25,31.43,6192402
2017-07-12,31.66,31.81,31.47,31.74,3825455
2017-07-13,31.85,31.94,31.47,31.93,4893806
2017-07-14,31.31,31.96,31.09,31.91,7421680
2017-07-17,31.88,32.02,31.67,31.85,4302930
2017-07-18,31.86,32.74,31.8,32.55,6066785
2017-07-19,32.55,32.8,32.31,32.79,8178290
2017-07-20,33.5,33.99,33.14,33.73,27562428
2017-07-21,33.77,34.21,33.77,34.03,18635023
2017-07-24,34.11,34.46,33.98,33.99,15300069
2017-07-25,34.08,34.53,32.64,34.27,90098241
2017-07-26,34.11,34.27,33.62,33.87,20998778
2017-07-27,33.8,34.17,32.31,33.39,25694226
2017-07-28,33.32,33.88,33.04,33.14,8643411
2017-07-31,33.11,33.52,32.93,32.93,8291329
2017-08-01,32.85,33.11,32.4,32.41,12131193
2017-08-02,32.42,32.48,31.68,31.98,9431411
2017-08-03,31.99,32.17,31.5,31.56,10252436
2017-08-04,31.59,32.12,31.59,31.79,6720620
2017-08-07,31.93,32.15,31.72,31.86,5745506
2017-08-08,31.86,32.02,31.43,31.55,6571376
2017-08-09,31.36,31.67,31.22,31.49,6862557
2017-08-10,31.22,31.4,30.5,30.51,6909799
2017-08-11,30.5,30.84,30.38,30.59,5399674
2017-08-14,30.94,31.2,30.8,30.99,5935960
2017-08-15,31.12,31.66,30.72,31.59,7768169
2017-08-16,31.72,31.72,30.93,31.3,5837150
2017-08-17,31.18,31.48,30.5,30.51,6566407
2017-08-18,30.46,30.96,30.04,30.71,6375867
2017-08-21,30.8,31.18,30.43,31.11,6480889
2017-08-22,31.4,31.96,31.25,31.6,5748860
2017-08-23,31.26,31.56,31.05,31.32,6176605
2017-08-24,31.39,31.71,31.21,31.55,3451523
2017-08-25,31.6,31.92,31.42,31.83,4741353
2017-08-28,31.82,31.95,31.25,31.69,5722455
