date,open,high,low,close,volume
2020-04-28,52.64,53.41,51.69,51.88,1828690
2020-04-27,51.65,52.23,51.23,52.01,2105067
2017-01-03,44.01,44.01,43.16,43.39,2976349
2017-01-04,43.53,43.97,43.51,43.69,2155594
2017-01-05,43.64,43.84,43.3,43.76,2208906
2017-01-06,43.61,44.24,43.48,44.2,2324131
2017-01-09,44.21,44.31,43.46,43.52,2050005
2017-01-10,43.36,43.6,43.2,43.46,2307746
2017-01-11,43.53,44.22,43.53,44.04,2993079
2017-01-12,44.0,44.14,43.79,44.07,1974080
2017-01-13,43.95,44.1,43.76,44.03,1579169
2017-01-17,44.22,44.7,44.12,44.41,1599001
2017-01-18,44.25,44.45,44.1,44.18,1126735
2017-01-19,43.96,44.16,43.54,43.68,1538351
2017-01-20,43.81,44.0,43.51,43.74,1497923
2017-01-23,43.77,43.92,43.2,43.27,1488388
2017-01-24,43.27,43.71,43.24,43.45,1810310
2017-01-25,43.33,43.5,43.26,43.39,1570578
2017-01-26,43.39,43.68,43.14,43.33,1443730
2017-01-27,43.41,43.49,42.89,43.06,1679113
2017-01-30,43.14,43.3,42.86,43.21,1869259
2017-01-31,43.32,44.33,43.28,44.25,3496587
2017-02-01,43.97,44.03,43.24,43.37,3222737
2017-02-02,43.36,43.59,43.04,43.52,3581664
2017-02-03,43.62,43.88,43.52,43.71,1886615
2017-02-06,43.82,43.85,43.42,43.45,1886094
2017-02-07,43.46,43.53,43.33,43.44,2279445
2017-02-08,43.5,43.83,43.39,43.54,2524024
2017-02-09,43.54,43.64,43.06,43.19,2588627
2017-02-10,43.06,43.44,42.98,43.39,2113263
2017-02-13,43.43,43.78,43.38,43.76,1860285
2017-02-14,43.63,43.71,43.13,43.43,1908903
2017-02-15,43.05,43.38,42.77,43.21,3604522
2017-02-16,43.24,43.66,43.24,43.66,1952241
2017-02-17,43.69,43.84,43.32,43.49,5840019
2017-02-21,43.49,44.43,43.26,44.33,2680512
2017-02-22,44.39,44.43,44.04,44.27,2291384
2017-02-23,44.48,44.61,44.17,44.25,3280200
2017-02-24,44.47,45.63,44.11,45.61,3084644
2017-02-27,45.41,45.66,44.94,45.61,3649462
2017-02-28,45.5,46.14,45.44,45.98,3513416
2017-03-01,45.46,45.73,45.09,45.32,2608192
2017-03-02,45.09,46.08,44.95,45.79,2905964
2017-03-03,45.84,45.88,45.02,45.53,2723041
2017-03-06,45.5,45.64,45.06,45.11,2697230
2017-03-07,45.13,45.32,44.7,44.98,3525883
2017-03-08,44.27,44.39,43.88,43.96,3446262
2017-03-09,43.98,44.37,43.88,43.89,1914357
2017-03-10,44.03,44.51,43.98,44.43,2621753
2017-03-13,44.41,44.57,44.29,44.48,1861201
2017-03-14,44.34,44.68,44.27,44.49,1975947
2017-03-15,44.62,45.49,44.56,45.13,2543094
2017-03-16,44.94,45.01,44.3,44.41,2558485
2017-03-17,44.58,45.04,44.54,44.73,3940496
2017-03-20,44.82,44.89,43.99,44.13,3475448
2017-03-21,44.18,44.87,43.87,44.66,3878253
2017-03-22,44.8,45.34,44.79,45.1,3907769
2017-03-23,45.08,45.4,44.93,45.07,2855669
2017-03-24,44.98,45.39,44.93,45.15,1881215
2017-03-27,45.44,45.57,44.59,44.74,1733273
2017-03-28,44.62,44.72,44.21,44.51,4747714
2017-03-29,44.35,44.35,43.96,44.15,3371083
2017-03-30,44.03,44.12,43.77,43.91,2157214
2017-03-31,43.96,44.55,43.93,44.35,3122501
2017-04-03,44.31,44.33,43.93,44.26,2478270
2017-04-04,44.21,44.42,43.95,44.27,2638392
2017-04-05,44.24,44.53,44.08,44.42,3387763
2017-04-06,44.28,44.9,44.16,44.89,3863042
2017-04-07,44.97,45.19,44.67,44.72,4103908
2017-04-10,44.68,44.84,44.24,44.66,2906375
2017-04-11,44.65,45.45,44.4,45.29,4408181
2017-04-12,45.19,45.65,44.98,45.61,3746860
2017-04-13,45.69,45.94,45.34,45.65,3868765
2017-04-17,45.69,45.81,45.42,45.68,2009287
2017-04-18,45.49,45.71,45.14,45.34,4108887
2017-04-19,45.27,45.38,44.31,44.6,4572902
2017-04-20,44.52,44.55,44.1,44.37,2666234
2017-04-21,44.3,44.69,44.3,44.51,3472671
2017-04-24,44.57,45.09,44.35,45.0,2409200
2017-04-25,44.84,45.0,44.61,44.72,1834698
2017-04-26,44.63,44.95,44.43,44.49,2873459
2017-04-27,44.53,44.89,44.34,44.41,3133251
2017-04-28,44.39,44.55,43.92,44.05,2443406
2017-05-01,44.1,44.14,43.62,43.71,2151732
2017-05-02,43.75,43.99,43.64,43.87,2532105
2017-05-03,43.82,43.9,43.53,43.66,2203206
2017-05-04,43.59,43.82,43.26,43.48,2104935
2017-05-05,43.63,43.9,43.63,43.81,2171674
2017-05-08,43.9,43.9,43.47,43.62,2153644
2017-05-09,43.57,43.61,42.93,42.95,2238648
2017-05-10,43.0,43.07,42.47,42.7,4261486
2017-05-11,42.61,42.8,42.49,42.77,4674538
2017-05-12,42.96,43.13,42.64,42.77,2650206
2017-05-15,42.84,43.14,42.76,43.04,4080149
2017-05-16,43.11,43.28,42.93,43.1,3603008
2017-05-17,43.23,43.9,43.07,43.64,4311524
2017-05-18,43.75,44.16,43.42,43.79,3506113
2017-05-19,43.78,44.07,43.43,44.02,2831674
2017-05-22,43.8,44.34,43.42,44.24,3312428
2017-05-23,44.2,44.42,43.91,44.07,3558178
2017-05-24,44.23,44.58,44.17,44.42,2061710
2017-05-25,44.43,44.7,44.33,44.54,2339878
2017-05-26,44.53,44.57,44.08,44.43,2575168
2017-05-30,44.37,44.67,44.31,44.56,2592483
2017-05-31,44.57,45.27,44.5,44.91,4928831
2017-06-01,44.93,45.59,44.72,45.54,2687534
2017-06-02,45.75,45.8,45.01,45.17,2463321
2017-06-05,45.05,45.24,44.92,44.99,1414331
