date,open,high,low,close,volume
2017-01-03,20.36,20.87,19.86,20.19,755690
2017-01-04,20.28,20.39,20.17,20.21,471310
2017-01-05,20.41,20.41,19.99,20.11,504484
2017-01-06,20.06,20.13,19.99,20.09,361280
2017-01-09,20.13,20.13,19.89,19.96,729345
2017-01-10,20.01,20.2,19.92,20.16,917278
2017-01-11,20.24,20.65,20.2,20.48,922503
2017-01-12,20.36,20.63,20.1,20.63,672365
2017-01-13,20.74,20.77,20.45,20.68,740194
2017-01-17,20.6,20.9,20.56,20.69,574901
2017-01-18,20.72,20.87,20.42,20.51,305455
2017-01-19,20.52,20.57,19.92,20.0,515064
2017-01-20,20.13,20.25,19.97,20.03,392344
2017-01-23,20.06,20.27,19.79,20.0,456726
2017-01-24,20.04,20.6,19.99,20.51,928458
2017-01-25,20.57,21.24,20.57,21.2,1137435
2017-01-26,21.26,21.47,20.92,21.06,525268
2017-01-27,21.07,21.07,20.75,20.85,389260
2017-01-30,20.84,20.96,20.56,20.84,393066
2017-01-31,20.84,21.08,20.66,21.04,620698
2017-02-01,21.29,21.4,20.98,21.3,636942
2017-02-02,21.29,21.48,21.06,21.41,1469981
2017-02-03,21.51,21.6,21.36,21.39,555168
2017-02-06,21.42,21.89,21.36,21.74,494164
2017-02-07,21.72,21.75,21.32,21.39,521808
2017-02-08,21.43,21.58,21.2,21.5,486627
2017-02-09,21.51,21.83,21.42,21.51,378372
2017-02-10,21.54,21.64,21.37,21.49,553467
2017-02-13,21.72,21.84,21.3,21.45,1519471
2017-02-14,21.55,21.64,21.12,21.16,977714
2017-02-15,21.05,21.32,20.72,21.25,1958674
2017-02-16,21.43,21.44,20.91,21.02,529597
2017-02-17,20.96,21.45,20.82,21.45,1002610
2017-02-21,21.6,21.84,21.33,21.65,1004425
2017-02-22,21.54,21.89,21.08,21.17,607094
2017-02-23,21.29,21.36,20.87,20.94,747556
2017-02-24,20.87,21.51,20.84,21.43,560641
2017-02-27,21.47,21.78,21.33,21.57,864922
2017-02-28,21.45,21.6,21.17,21.51,1440990
2017-03-01,21.76,22.13,21.45,21.85,1940813
2017-03-02,21.05,22.0,21.05,21.17,2070375
2017-03-03,21.28,21.82,21.13,21.68,1079301
2017-03-06,21.64,21.72,21.1,21.17,599023
2017-03-07,21.07,21.13,20.63,20.74,969830
2017-03-08,20.72,21.06,20.65,21.01,481455
2017-03-09,20.23,20.63,20.11,20.25,6909223
2017-03-10,20.37,20.9,20.36,20.51,1297539
2017-03-13,20.55,20.63,20.0,20.1,796449
2017-03-14,20.43,20.43,20.0,20.02,1096546
2017-03-15,20.03,20.41,20.0,20.36,661483
2017-03-16,20.38,20.54,20.14,20.29,500562
2017-03-17,20.41,20.41,20.01,20.19,1430741
2017-03-20,20.16,20.28,20.02,20.25,793484
2017-03-21,20.36,20.44,20.0,20.05,901351
2017-03-22,20.0,20.08,19.37,19.79,1899729
2017-03-23,20.26,20.4,19.62,19.63,769306
2017-03-24,19.1,19.62,18.91,19.19,2486021
2017-03-27,18.97,19.22,18.81,19.15,1301110
2017-03-28,19.09,19.27,18.95,19.14,998969
2017-03-29,19.12,19.12,18.82,18.93,1610144
2017-03-30,18.94,19.61,18.91,19.47,1314632
2017-03-31,19.48,19.58,19.24,19.27,1224330
2017-04-03,19.29,19.34,18.93,19.25,1225579
2017-04-04,19.25,19.43,19.13,19.16,784666
2017-04-05,19.25,19.34,19.09,19.18,756470
2017-04-06,19.29,19.38,19.12,19.31,933542
2017-04-07,19.26,19.31,18.99,19.24,1324590
2017-04-10,19.27,19.31,18.93,19.04,1064718
2017-04-11,18.47,19.22,18.32,19.21,2654760
2017-04-12,19.22,19.22,18.54,18.67,1162375
2017-04-13,18.6,18.92,18.56,18.92,966034
2017-04-17,18.91,18.93,18.58,18.72,750481
2017-04-18,18.65,18.77,18.63,18.71,899991
2017-04-19,18.75,18.87,18.58,18.63,831229
2017-04-20,18.69,18.8,18.54,18.65,620437
2017-04-21,18.62,18.72,18.41,18.64,910014
2017-04-24,18.8,18.92,18.68,18.81,810624
2017-04-25,18.94,19.19,18.83,19.11,872946
2017-04-26,19.12,19.87,19.12,19.78,1967217
2017-04-27,19.93,20.71,19.83,20.62,2343012
2017-04-28,20.67,20.87,20.36,20.8,1091207
2017-05-01,20.8,20.8,20.39,20.47,925990
2017-05-02,20.59,20.63,20.17,20.27,1192179
2017-05-03,20.71,21.14,19.79,20.21,2702336
2017-05-04,20.39,21.04,20.35,21.01,1611245
2017-05-05,20.75,21.21,20.11,20.6,8137348
2017-05-08,20.59,21.0,20.59,20.92,3143093
2017-05-09,20.93,21.03,20.79,20.95,1754457
2017-05-10,20.92,21.03,20.66,20.75,1254916
2017-05-11,20.72,20.98,20.36,20.85,1331576
2017-05-12,20.89,21.11,20.67,20.91,935493
2017-05-15,20.92,21.06,20.57,20.59,871332
2017-05-16,20.61,20.61,20.24,20.39,1460633
2017-05-17,20.18,20.24,20.0,20.14,1368687
2017-05-18,20.1,20.34,20.01,20.2,560254
2017-05-19,20.3,20.78,20.23,20.68,1197779
2017-05-22,20.67,21.01,20.6,20.94,1454290
2017-05-23,20.91,21.19,20.84,21.02,1122542
2017-05-24,21.09,21.21,20.87,21.14,1105738
2017-05-25,21.27,21.64,21.13,21.48,1285656
2017-05-26,21.39,21.68,21.33,21.63,1054179
2017-05-30,21.63,21.8,21.42,21.51,548592
2017-05-31,21.5,21.85,21.32,21.85,1249968
2017-06-01,21.88,22.07,21.69,21.72,1203826
2017-06-02,21.75,21.9,21.35,21.49,1062466
2017-06-05,21.48,21.57,21.3,21.31,877609
2017-06-06,21.15,21.37,21.03,21.22,791192
2017-06-07,21.26,21.71,21.24,21.67,896949
2017-06-08,21.59,21.75,21.36,21.72,1113563
2017-06-09,21.75,21.76,21.39,21.68,1068900
2017-06-12,21.62,21.78,21.28,21.46,1321594
2017-06-13,21.57,22.11,21.57,21.99,1663752
2017-06-14,22.12,22.68,22.02,22.3,1895907
2017-06-15,22.09,22.51,22.05,22.45,1259577
2017-06-16,22.55,22.99,22.5,22.81,1747288
2017-06-19,22.96,23.2,22.76,22.95,1900983
2017-06-20,22.94,23.28,22.8,23.02,1643166
2017-06-21,23.14,23.75,23.11,23.57,2717277
2017-06-22,23.66,24.12,23.52,23.95,2343056
2017-06-23,23.92,24.3,23.68,24.25,8512099
2017-06-26,24.34,24.58,24.01,24.01,2094696
2017-06-27,24.01,24.05,23.8,23.95,961561
2017-06-28,24.03,24.36,23.77,23.79,2914781
2017-06-29,23.78,23.92,23.09,23.41,1585081
2017-06-30,23.43,23.63,23.33,23.34,1112608
2017-07-03,23.38,23.57,23.14,23.33,650671
2017-07-05,23.25,23.36,22.97,23.21,1025741
2017-07-06,23.14,23.16,22.1,22.24,2413656
2017-07-07,22.23,22.92,21.99,22.68,1696627
2017-07-10,22.65,22.65,22.26,22.51,1011518
2017-07-11,22.5,22.78,22.5,22.73,848738
2017-07-12,22.83,23.22,22.8,22.95,859792
2017-07-13,22.91,23.23,22.9,23.2,735059
2017-07-14,23.1,23.34,23.03,23.24,622689
2017-07-17,23.24,23.45,23.2,23.24,1277837
2017-07-18,23.17,23.26,22.99,23.24,690386
2017-07-19,23.28,23.4,22.72,22.78,997508
2017-07-20,23.11,23.29,22.93,23.12,763649
2017-07-21,23.28,23.28,22.57,22.8,1996565
2017-07-24,22.8,22.99,22.67,22.76,1032437
2017-07-25,22.81,22.87,22.54,22.76,1023949
2017-07-26,22.88,23.19,22.51,23.0,1185679
2017-07-27,23.02,23.26,22.71,22.81,928481
2017-07-28,22.8,22.96,22.57,22.79,903949
2017-07-31,22.79,22.9,22.5,22.66,823517
2017-08-01,22.67,22.94,22.5,22.91,1354040
2017-08-02,22.84,23.28,22.74,23.21,1230244
2017-08-03,23.16,23.62,23.02,23.47,998357
2017-08-04,23.5,23.72,23.3,23.32,761367
2017-08-07,23.32,23.76,23.04,23.36,1023545
2017-08-08,23.28,23.47,23.03,23.21,1497864
2017-08-09,23.34,23.34,22.79,23.04,1669564
2017-08-10,24.2,25.19,23.62,25.13,8664394
2017-08-11,24.97,25.02,24.22,24.55,2401456
2017-08-14,24.73,24.99,24.22,24.28,1591770
2017-08-15,24.53,24.53,23.67,23.87,1456962
2017-08-16,23.93,24.68,23.9,24.47,837913
2017-08-17,24.38,24.49,24.08,24.13,805359
2017-08-18,24.02,24.04,23.49,23.53,1047035
2017-08-21,23.67,23.93,23.55,23.91,1281367
2017-08-22,24.0,24.59,23.91,24.51,1464097
2017-08-23,24.37,24.49,24.02,24.24,728039
2017-08-24,24.27,24.58,24.14,24.19,1059620
2017-08-25,24.31,24.92,24.26,24.82,1526751
2017-08-28,24.78,24.87,24.59,24.71,937599
