date,open,high,low,close,volume
2017-01-03,46.97,47.14,46.72,46.89,379850
2017-01-04,46.82,46.82,46.55,46.62,338756
2017-01-05,46.65,46.65,46.34,46.36,278038
2017-01-06,46.3,46.43,45.84,45.95,397611
2017-01-09,45.94,45.95,45.73,45.83,298535
2017-01-10,45.82,45.89,45.59,45.73,524077
2017-01-11,45.72,45.93,45.59,45.62,475156
2017-01-12,45.76,46.08,45.64,45.66,381072
2017-01-13,45.62,45.64,45.43,45.5,331689
2017-01-17,45.63,45.77,45.55,45.66,359926
2017-01-18,45.58,45.67,45.51,45.54,484063
2017-01-19,45.48,45.66,45.34,45.58,305401
2017-01-20,45.39,45.59,45.25,45.47,500527
2017-01-23,45.5,45.72,45.38,45.45,264071
2017-01-24,45.36,45.42,45.05,45.12,382185
2017-01-25,44.84,44.88,44.66,44.69,316711
2017-01-26,44.61,44.7,44.55,44.65,295071
2017-01-27,44.55,44.69,44.5,44.56,324864
2017-01-30,44.71,45.13,44.69,44.88,482393
2017-01-31,45.05,45.23,44.96,44.96,375784
2017-02-01,44.67,44.87,44.58,44.68,271053
2017-02-02,44.76,44.86,44.58,44.7,218059
2017-02-03,44.65,44.7,44.54,44.57,218573
2017-02-06,44.66,44.69,44.52,44.53,127104
2017-02-07,44.44,44.47,44.28,44.38,321173
2017-02-08,44.43,44.5,44.23,44.28,177658
2017-02-09,44.23,44.26,44.04,44.11,379941
2017-02-10,44.04,44.11,43.93,43.98,315387
2017-02-13,43.85,43.86,43.67,43.73,272060
2017-02-14,43.73,43.85,43.58,43.58,283517
2017-02-15,43.61,43.61,43.31,43.33,269369
2017-02-16,43.32,43.45,43.22,43.34,355344
2017-02-17,43.41,43.41,43.15,43.15,266792
2017-02-21,43.08,43.1,42.92,42.93,290263
2017-02-22,42.99,43.06,42.9,42.92,208258
2017-02-23,42.86,43.26,42.86,43.1,441976
2017-02-24,43.29,43.3,43.0,43.0,512611
2017-02-27,43.09,43.16,42.95,42.95,252724
2017-02-28,42.96,43.21,42.95,43.08,237936
2017-03-01,42.81,42.89,42.53,42.6,569981
2017-03-02,42.61,42.88,42.61,42.82,293366
2017-03-03,42.86,42.96,42.73,42.75,198486
2017-03-06,42.89,43.01,42.78,42.83,225591
2017-03-07,42.92,42.99,42.74,42.92,262737
2017-03-08,42.89,42.93,42.7,42.86,173598
2017-03-09,42.86,43.03,42.75,42.81,297838
2017-03-10,42.61,42.8,42.57,42.63,218624
2017-03-13,42.65,42.66,42.55,42.55,126313
2017-03-14,42.66,42.83,42.64,42.67,255534
2017-03-15,42.59,42.71,42.3,42.39,360098
2017-03-16,42.34,42.52,42.33,42.42,266594
2017-03-17,42.36,42.47,42.33,42.46,130614
2017-03-20,42.47,42.51,42.31,42.41,331061
2017-03-21,42.24,43.08,42.22,43.06,689874
2017-03-22,43.06,43.09,42.74,42.75,426452
2017-03-23,42.82,42.93,42.7,42.86,372488
2017-03-24,42.73,42.94,42.57,42.8,539293
2017-03-27,43.08,43.17,42.64,42.7,253152
2017-03-28,42.71,42.79,42.33,42.45,363937
2017-03-29,42.43,42.46,42.24,42.27,285038
2017-03-30,42.26,42.31,42.15,42.2,208020
2017-03-31,42.23,42.29,42.1,42.23,190935
2017-04-03,42.18,42.48,42.09,42.26,322941
2017-04-04,42.37,42.37,42.17,42.18,200654
2017-04-05,42.12,42.42,41.87,42.34,414414
2017-04-06,42.29,42.43,42.22,42.34,300672
2017-04-07,42.34,42.5,42.22,42.34,194899
2017-04-10,42.29,42.44,42.17,42.32,177982
2017-04-11,42.38,42.82,42.32,42.52,481401
2017-04-12,42.53,42.74,42.5,42.69,225305
2017-04-13,42.75,42.85,42.51,42.85,288623
2017-04-17,42.76,42.76,42.51,42.51,224301
2017-04-18,42.66,42.67,42.46,42.55,276867
2017-04-19,42.36,42.57,42.26,42.49,663335
2017-04-20,42.31,42.39,42.06,42.15,445297
2017-04-21,42.13,42.26,42.11,42.16,219172
2017-04-24,41.7,41.76,41.62,41.67,383139
2017-04-25,41.51,41.54,41.29,41.37,261964
2017-04-26,41.35,41.44,41.25,41.41,374980
2017-04-27,41.31,41.33,41.17,41.17,217707
2017-04-28,41.0,41.17,40.99,41.11,321678
2017-05-01,40.98,40.98,40.68,40.77,226116
2017-05-02,40.68,40.78,40.65,40.67,193888
2017-05-03,40.74,40.9,40.74,40.81,346491
2017-05-04,40.82,40.92,40.73,40.77,269519
2017-05-05,40.69,40.83,40.63,40.63,169039
2017-05-08,40.62,40.69,40.55,40.56,231318
2017-05-09,40.48,40.51,40.32,40.4,230432
2017-05-10,40.37,40.52,40.37,40.39,174678
2017-05-11,40.51,40.67,40.41,40.43,589055
2017-05-12,40.41,40.43,40.32,40.33,170686
2017-05-15,40.31,40.33,40.18,40.21,273595
2017-05-16,40.11,40.21,40.03,40.04,165068
2017-05-17,40.36,41.06,40.28,41.06,457594
2017-05-18,41.06,41.11,40.56,40.71,455916
2017-05-19,40.55,40.57,40.35,40.52,278017
2017-05-22,40.44,40.44,40.16,40.19,156601
2017-05-23,40.07,40.24,40.06,40.13,258104
2017-05-24,40.01,40.14,39.93,39.94,401039
2017-05-25,39.8,39.89,39.51,39.61,357641
2017-05-26,39.59,39.66,39.54,39.55,336190
2017-05-30,39.59,39.59,39.47,39.54,197452
2017-05-31,39.4,39.73,39.38,39.56,296513
2017-06-01,39.46,39.6,39.37,39.38,521774
2017-06-02,39.23,39.3,38.92,38.93,454786
2017-06-05,38.93,38.97,38.87,38.93,182099
2017-06-06,38.99,39.14,38.85,39.11,282052
2017-06-07,39.01,39.16,38.91,38.95,302955
2017-06-08,38.85,39.11,38.84,38.91,266769
2017-06-09,38.86,40.37,38.81,39.88,752718
2017-06-12,40.22,40.59,40.04,40.11,2022672
2017-06-13,39.86,40.07,39.71,39.78,442697
2017-06-14,39.6,40.26,39.6,39.96,760624
2017-06-15,40.36,40.59,40.09,40.14,910799
2017-06-16,40.14,40.45,40.14,40.27,367718
2017-06-19,39.92,39.97,39.6,39.63,429633
2017-06-20,39.65,39.95,39.62,39.95,581709
2017-06-21,39.86,39.87,39.53,39.53,493063
2017-06-22,39.5,39.66,39.42,39.56,248504
2017-06-23,39.61,39.71,39.36,39.42,328382
2017-06-26,39.18,39.67,39.12,39.6,568162
2017-06-27,39.76,40.31,39.71,40.3,781073
2017-06-28,40.18,40.4,39.7,39.75,609641
2017-06-29,39.92,40.81,39.91,40.42,1045476
2017-06-30,40.32,40.53,40.22,40.47,624895
2017-07-03,40.22,40.86,40.21,40.84,469631
2017-07-05,40.74,40.84,40.34,40.46,560703
2017-07-06,40.75,40.94,40.58,40.8,705423
2017-07-07,40.68,40.68,40.26,40.4,541046
2017-07-10,40.35,40.45,40.02,40.12,296004
2017-07-11,40.18,40.32,39.95,40.0,278495
2017-07-12,39.67,39.73,39.48,39.54,592177
2017-07-13,39.48,39.55,39.35,39.45,323511
2017-07-14,39.27,39.38,39.08,39.14,316449
2017-07-17,39.08,39.18,38.98,39.1,268278
2017-07-18,39.14,39.26,38.84,38.84,315980
2017-07-19,38.74,38.75,38.57,38.64,495968
2017-07-20,38.53,38.72,38.51,38.59,252326
2017-07-21,38.74,38.79,38.58,38.58,283724
2017-07-24,38.62,38.65,38.39,38.42,397110
2017-07-25,38.54,38.62,38.43,38.51,437489
2017-07-26,38.42,38.48,38.37,38.41,356774
2017-07-27,38.14,39.07,38.11,38.65,928411
2017-07-28,38.88,38.93,38.61,38.69,458759
2017-07-31,38.59,38.91,38.53,38.86,461888
2017-08-01,38.7,38.86,38.7,38.77,340223
2017-08-02,38.5,39.01,38.5,38.64,636673
2017-08-03,38.6,38.86,38.6,38.8,662957
2017-08-04,38.73,38.88,38.65,38.75,509444
2017-08-07,38.68,38.68,38.49,38.52,208875
2017-08-08,38.57,38.66,38.25,38.57,664908
2017-08-09,38.88,38.96,38.6,38.62,642714
2017-08-10,38.83,39.47,38.81,39.44,1965775
2017-08-11,39.41,39.47,39.06,39.15,1702583
2017-08-14,38.83,38.83,38.58,38.64,479809
2017-08-15,38.55,38.71,38.54,38.61,270311
2017-08-16,38.52,38.67,38.37,38.55,383845
2017-08-17,38.7,39.35,38.64,39.35,1495566
2017-08-18,39.33,39.53,39.1,39.37,1189183
2017-08-21,39.37,39.66,39.28,39.4,430621
2017-08-22,39.2,39.21,38.78,38.84,881046
2017-08-23,39.02,39.05,38.87,38.95,361692
2017-08-24,38.86,39.29,38.83,39.09,515857
2017-08-25,38.93,39.21,38.83,39.17,551454
2017-08-28,39.05,39.16,38.95,39.04,941970
2017-08-29,39.37,39.41,38.82,38.88,741536
2017-08-30,38.85,38.88,38.37,38.43,944400
2017-08-31,38.32,38.34,38.02,38.05,715485
2017-09-01,37.98,38.17,37.93,38.08,508232
2017-09-05,38.21,38.7,38.12,38.43,726819
2017-09-06,38.33,38.58,38.22,38.31,428263
2017-09-07,38.24,38.35,38.12,38.21,482180
2017-09-08,38.26,38.58,38.26,38.53,405442
2017-09-11,38.25,38.25,38.05,38.14,704937
2017-09-12,38.0,38.19,37.97,38.01,477827
2017-09-13,38.08,38.14,37.96,37.96,408747
2017-09-14,38.12,38.21,38.01,38.18,383947
2017-09-15,38.2,38.26,37.94,38.08,561397
2017-09-18,38.02,38.23,37.91,38.1,657705
2017-09-19,38.04,38.17,38.0,38.04,213381
2017-09-20,38.06,38.44,38.02,38.16,467528
2017-09-21,38.18,38.53,38.18,38.41,854099
2017-09-22,38.53,38.57,38.4,38.45,542904
2017-09-25,38.61,39.03,38.58,38.84,1329884
2017-09-26,38.66,38.89,38.58,38.76,465876
2017-09-27,38.56,38.63,38.26,38.38,669094
2017-09-28,38.49,38.58,38.38,38.42,223747
2017-09-29,38.35,38.44,38.12,38.15,679279
2017-10-02,38.1,38.27,37.95,38.12,467767
2017-10-03,38.07,38.15,37.99,38.02,409557
2017-10-04,38.11,38.14,37.93,37.99,600706
2017-10-05,37.87,37.89,37.62,37.64,492829
2017-10-06,37.76,37.76,37.58,37.6,325482
2017-10-09,37.53,37.67,37.5,37.63,281615
2017-10-10,37.5,37.75,37.46,37.6,245302
2017-10-11,37.62,37.65,37.47,37.47,164964
2017-10-12,37.54,37.59,37.41,37.55,234097
2017-10-13,37.41,37.45,37.37,37.42,324087
2017-10-16,37.31,37.39,37.27,37.29,218593
2017-10-17,37.3,37.35,37.23,37.26,307393
2017-10-18,37.21,37.33,37.21,37.3,305334
2017-10-19,37.51,37.67,37.42,37.42,382459
2017-10-20,37.27,37.37,37.25,37.34,264066
2017-10-23,37.25,37.62,37.25,37.58,423891
2017-10-24,37.51,37.64,37.44,37.51,206357
2017-10-25,37.59,37.93,37.46,37.66,774091
2017-10-26,37.67,37.78,37.6,37.76,552600
2017-10-27,37.16,37.2,36.61,36.68,1005865
2017-10-30,36.72,36.74,36.46,36.59,615483
2017-10-31,36.48,36.58,36.41,36.48,342071
2017-11-01,36.32,36.61,36.31,36.49,367667
2017-11-02,36.53,36.79,36.51,36.54,528165
2017-11-03,36.41,36.53,36.19,36.2,852471
2017-11-06,36.22,36.23,36.06,36.09,269794
2017-11-07,36.1,36.18,36.01,36.05,189786
2017-11-08,36.08,36.12,35.9,35.9,281539
2017-11-09,36.22,36.46,36.09,36.11,672638
2017-11-10,36.19,36.25,36.08,36.11,367159
2017-11-13,36.23,36.24,36.02,36.06,345961
2017-11-14,36.19,36.36,36.15,36.18,513920
2017-11-15,36.36,36.56,36.27,36.36,428868
2017-11-16,36.18,36.18,35.82,35.89,779644
2017-11-17,35.9,36.07,35.88,36.04,411920
2017-11-20,36.02,36.11,35.98,36.06,264033
2017-11-21,35.91,35.91,35.66,35.67,401393
2017-11-22,35.65,35.72,35.61,35.63,515242
2017-11-24,35.58,35.62,35.51,35.52,173988
2017-11-27,35.53,35.6,35.44,35.53,241577
2017-11-28,35.45,35.65,35.42,35.45,498869
2017-11-29,35.48,36.22,35.48,36.05,1092191
2017-11-30,35.93,36.0,35.7,35.75,1311431
2017-12-01,36.0,36.4,35.75,35.9,2055703
2017-12-04,35.69,36.37,35.66,36.33,1090877
2017-12-05,36.35,36.48,35.9,36.31,1272025
2017-12-06,36.45,36.49,36.1,36.16,724469
2017-12-07,36.16,36.19,35.93,36.03,508058
2017-12-08,35.75,35.92,35.67,35.87,793350
2017-12-11,35.85,35.85,35.58,35.6,522344
2017-12-12,35.62,35.71,35.54,35.64,511593
2017-12-13,35.51,35.63,35.46,35.58,762817
2017-12-14,35.51,35.64,35.42,35.61,672197
2017-12-15,35.46,35.53,35.16,35.21,1151857
2017-12-18,34.98,35.04,34.89,34.92,980319
2017-12-19,34.97,35.21,34.94,35.11,691152
2017-12-20,35.0,35.29,34.99,35.16,815469
2017-12-21,35.12,35.19,35.01,35.15,578485
2017-12-22,35.22,35.29,35.19,35.2,426750
2017-12-26,35.37,35.5,35.35,35.38,406502
2017-12-27,35.38,35.41,35.29,35.37,672506
2017-12-28,35.25,35.39,35.25,35.34,385691
2017-12-29,35.31,35.59,35.31,35.58,895783
2018-01-02,35.41,35.48,34.94,34.95,582379
2018-01-03,34.91,34.92,34.58,34.62,532902
2018-01-04,34.49,34.6,34.45,34.56,693856
2018-01-05,34.39,34.45,34.19,34.22,679186
2018-01-08,34.2,34.22,34.06,34.08,345441
2018-01-09,34.01,34.17,33.98,34.08,776871
2018-01-10,34.23,34.38,34.15,34.15,530657
2018-01-11,34.09,34.15,33.92,33.92,372277
2018-01-12,33.96,34.0,33.65,33.7,678881
2018-01-16,33.46,33.87,33.29,33.78,932318
2018-01-17,33.63,33.77,33.37,33.43,1191848
2018-01-18,33.46,33.55,33.34,33.4,504203
2018-01-19,33.33,33.47,33.26,33.31,541239
2018-01-22,33.33,33.36,32.96,32.96,364804
2018-01-23,32.86,32.87,32.66,32.7,793789
2018-01-24,32.61,33.07,32.55,32.89,1532811
2018-01-25,32.68,33.01,32.67,32.91,913416
2018-01-26,32.74,32.79,32.42,32.42,547346
2018-01-29,32.5,32.64,32.43,32.58,1193010
2018-01-30,32.89,33.02,32.7,32.85,1644867
2018-01-31,32.64,32.92,32.6,32.72,1005785
2018-02-01,32.97,33.09,32.66,33.0,968644
2018-02-02,33.13,33.68,33.06,33.65,3293564
2018-02-05,33.97,34.99,33.42,34.96,6586480
2018-02-06,35.47,35.64,34.0,34.04,8754697
2018-02-07,34.15,34.5,33.8,34.5,2643453
2018-02-08,34.41,35.95,34.37,35.93,5986375
2018-02-09,35.45,36.74,35.07,35.32,6679577
2018-02-12,34.97,35.25,34.48,34.71,3081205
2018-02-13,34.89,34.95,34.47,34.53,1500278
2018-02-14,34.72,34.74,33.84,33.89,2093151
2018-02-15,33.59,33.94,33.27,33.27,1737920
2018-02-16,33.37,33.47,33.06,33.39,1477627
2018-02-20,33.53,33.56,33.07,33.37,1095754
2018-02-21,33.21,33.47,32.87,33.47,1697303
