date,open,high,low,close,volume
2020-04-28,345.0,354.94,323.33,336.79,1144828
2020-04-27,309.52,317.43,308.17,314.55,929769
2017-01-03,184.82,185.71,183.74,184.93,421459
2017-01-04,185.31,186.43,184.45,185.29,436885
2017-01-05,184.68,186.99,184.3,185.27,342690
2017-01-06,187.15,189.19,186.42,187.87,647801
2017-01-09,188.04,188.04,185.97,186.31,285264
2017-01-10,185.63,186.43,184.55,186.0,500668
2017-01-11,185.71,189.79,185.06,188.97,670536
2017-01-12,188.76,188.76,185.63,187.66,446325
2017-01-13,189.51,190.01,188.12,188.5,622466
2017-01-17,188.05,188.39,185.43,186.02,381979
2017-01-18,186.72,189.09,185.33,186.91,709590
2017-01-19,187.65,188.22,185.1,185.42,341516
2017-01-20,186.12,186.87,185.11,186.22,464140
2017-01-23,185.85,186.71,185.12,186.36,668994
2017-01-24,186.7,188.48,186.01,187.88,491182
2017-01-25,188.55,190.9,188.2,190.58,602854
2017-01-26,191.01,191.94,189.5,190.44,457091
2017-01-27,191.12,191.12,189.52,190.75,289948
2017-01-30,190.11,190.48,188.36,190.4,436155
2017-01-31,190.16,191.94,189.58,191.85,739679
2017-02-01,192.14,192.75,190.45,191.36,493027
2017-02-02,190.36,191.9,189.74,191.76,352478
2017-02-03,192.21,192.92,191.44,192.86,566244
2017-02-06,192.29,192.99,191.32,192.7,376459
2017-02-07,193.27,193.34,191.67,192.35,427997
2017-02-08,192.49,193.11,191.22,193.01,483760
2017-02-09,195.08,205.69,194.03,202.2,1325002
2017-02-10,203.5,205.78,203.01,204.56,849322
2017-02-13,205.91,207.38,204.63,205.74,573482
2017-02-14,205.49,206.69,204.96,205.37,461508
2017-02-15,204.21,207.6,203.84,206.74,413444
2017-02-16,206.95,207.13,204.47,206.81,497831
2017-02-17,206.49,207.22,205.28,207.14,1076865
2017-02-21,207.62,207.87,205.97,207.38,497016
2017-02-22,206.65,208.97,206.65,207.87,402418
2017-02-23,209.83,210.17,207.33,209.45,557129
2017-02-24,209.22,210.0,208.46,209.91,624931
2017-02-27,209.83,210.56,208.73,210.04,845007
2017-02-28,210.04,211.99,208.34,209.2,645330
2017-03-01,211.68,213.33,210.67,212.96,506327
2017-03-02,212.83,213.39,211.59,212.78,342412
2017-03-03,211.43,213.05,211.27,212.85,290916
2017-03-06,211.93,213.24,211.23,212.33,282215
2017-03-07,211.86,212.96,211.32,211.75,598311
2017-03-08,211.2,211.87,210.05,210.28,637251
2017-03-09,210.52,211.69,210.12,210.62,443707
2017-03-10,210.83,212.55,209.77,211.37,369222
2017-03-13,211.01,211.74,210.09,211.16,699256
2017-03-14,210.49,211.54,209.89,211.3,453332
2017-03-15,211.5,214.41,211.14,213.93,526605
2017-03-16,213.68,214.44,210.72,210.95,627551
2017-03-17,211.16,211.67,209.99,210.94,742019
2017-03-20,211.06,211.33,210.02,210.23,278995
2017-03-21,211.21,211.21,207.98,208.0,491829
2017-03-22,208.67,209.53,207.44,208.69,341264
2017-03-23,208.83,209.03,207.01,207.46,673357
2017-03-24,206.51,207.74,205.58,206.5,607695
2017-03-27,204.44,205.39,203.5,204.99,706696
2017-03-28,204.43,208.7,204.3,207.36,492540
2017-03-29,206.89,208.19,206.65,207.53,315732
2017-03-30,207.29,209.01,207.2,208.93,396899
2017-03-31,208.25,209.08,206.45,206.49,729659
2017-04-03,207.13,207.13,204.62,206.05,608904
2017-04-04,206.32,207.1,205.46,206.83,372438
2017-04-05,207.18,209.45,206.44,207.08,652979
2017-04-06,207.23,208.75,205.72,208.11,428120
2017-04-07,208.02,208.84,206.97,208.21,416902
2017-04-10,208.21,210.65,207.64,208.9,352449
2017-04-11,207.85,209.38,204.99,206.95,514995
2017-04-12,205.8,206.74,204.88,205.47,397295
2017-04-13,204.81,206.38,204.77,205.01,300401
2017-04-17,205.9,207.44,205.2,207.44,368696
2017-04-18,206.65,207.75,206.65,207.14,357529
2017-04-19,208.33,208.58,206.16,206.6,416276
2017-04-20,207.4,209.8,206.99,208.84,262134
2017-04-21,209.31,210.37,208.55,209.75,495916
2017-04-24,212.0,214.25,212.0,213.73,744820
2017-04-25,214.49,217.14,214.0,216.36,613498
2017-04-26,216.06,216.99,214.98,215.39,579603
2017-04-27,215.72,217.88,215.0,217.63,709837
2017-04-28,218.0,225.57,217.58,218.7,1041717
2017-05-01,218.73,219.57,216.25,216.78,494081
2017-05-02,217.51,218.39,216.25,217.23,556822
2017-05-03,216.4,217.11,215.16,216.75,458481
2017-05-04,217.07,218.45,216.5,218.22,499499
2017-05-05,218.71,220.93,217.89,220.9,530299
2017-05-08,220.52,222.07,220.38,220.89,434811
2017-05-09,221.07,222.39,221.02,221.9,353441
2017-05-10,221.72,222.89,220.81,222.62,405708
2017-05-11,221.92,222.94,220.51,222.79,375101
2017-05-12,221.86,222.7,220.71,221.48,474506
2017-05-15,221.63,222.85,221.45,222.4,552114
2017-05-16,222.85,224.32,221.8,224.19,350052
2017-05-17,222.77,222.91,219.71,219.71,514114
2017-05-18,219.85,220.41,216.8,219.35,544721
2017-05-19,219.82,222.59,219.41,221.57,421875
2017-05-22,222.49,223.66,221.57,223.46,404186
2017-05-23,223.87,225.4,222.87,224.81,334946
2017-05-24,224.8,225.8,224.12,225.18,263712
2017-05-25,226.0,227.45,225.49,226.75,262203
2017-05-26,225.97,228.04,225.77,227.08,319590
2017-05-30,226.22,228.21,226.02,227.7,289895
2017-05-31,228.59,230.12,227.2,227.2,858003
2017-06-01,228.16,230.47,227.01,229.67,434507
2017-06-02,230.34,232.87,230.05,231.2,384734
2017-06-05,230.83,231.68,230.28,230.36,397399
2017-06-06,230.0,230.0,228.28,228.36,415229
2017-06-07,228.83,230.2,227.88,228.88,329662
2017-06-08,228.97,229.61,226.82,228.45,509064
2017-06-09,228.65,230.15,227.22,228.84,432299
2017-06-12,229.19,229.62,225.74,227.14,474472
2017-06-13,227.34,228.61,226.64,228.43,351942
2017-06-14,229.28,229.41,227.77,228.84,304791
2017-06-15,227.36,230.94,226.9,230.73,402507
2017-06-16,231.38,233.1,230.06,232.2,697593
2017-06-19,232.6,235.5,232.33,235.25,434231
2017-06-20,234.41,235.14,232.47,232.95,280513
2017-06-21,232.89,233.24,231.0,232.67,391721
2017-06-22,232.58,233.79,232.25,232.41,274637
2017-06-23,232.77,233.25,231.15,231.51,1180513
2017-06-26,232.55,233.66,231.46,232.59,370201
2017-06-27,232.17,232.85,229.95,230.12,229049
2017-06-28,231.45,233.19,230.76,232.3,296449
2017-06-29,232.14,232.53,228.4,229.91,434045
2017-06-30,230.61,232.62,230.4,231.53,315850
2017-07-03,233.08,233.81,230.93,232.34,179862
2017-07-05,232.65,236.51,231.67,235.27,396138
2017-07-06,234.63,235.7,232.48,233.15,511777
2017-07-07,233.45,236.17,233.45,234.45,312660
2017-07-10,233.69,237.19,233.65,234.74,443574
2017-07-11,234.71,235.89,233.3,235.27,358619
2017-07-12,236.81,238.49,236.5,237.66,394595
2017-07-13,237.54,237.54,235.5,236.4,402305
2017-07-14,236.84,238.17,234.66,235.81,461377
2017-07-17,235.62,236.76,234.83,236.54,217974
2017-07-18,235.89,236.15,233.45,233.95,378059
2017-07-19,234.2,236.14,232.79,236.06,402624
2017-07-20,236.22,236.47,234.45,234.85,262873
2017-07-21,233.28,234.87,231.55,234.77,285922
2017-07-24,234.87,236.07,233.99,235.02,256748
2017-07-25,235.89,236.48,232.93,233.42,288882
2017-07-26,233.9,234.83,233.22,233.76,255750
2017-07-27,234.33,234.43,230.76,231.96,305334
2017-07-28,231.89,232.62,228.83,232.34,474391
2017-07-31,226.81,233.9,226.81,232.46,735787
2017-08-01,233.68,236.91,232.32,236.47,522743
2017-08-02,236.25,237.12,234.82,235.76,490799
2017-08-03,235.9,236.71,233.6,236.39,311150
2017-08-04,236.84,237.83,236.04,236.66,260820
2017-08-07,236.36,236.91,234.73,236.46,226923
2017-08-08,235.89,237.2,235.52,235.98,263024
2017-08-09,236.03,236.03,234.0,234.51,205805
2017-08-10,233.68,234.01,229.12,229.16,602564
2017-08-11,230.25,230.62,228.75,229.54,388218
2017-08-14,231.19,234.34,229.69,233.96,449945
2017-08-15,234.03,235.4,231.67,233.33,354835
2017-08-16,233.59,234.27,232.4,233.1,376080
2017-08-17,232.72,232.78,229.3,229.3,289953
2017-08-18,228.85,229.45,227.51,228.2,404242
2017-08-21,228.25,229.07,227.31,227.79,322976
2017-08-22,228.46,232.96,228.46,232.5,326112
2017-08-23,230.68,231.72,229.99,231.04,315901
2017-08-24,231.56,232.26,228.66,229.03,282352
2017-08-25,229.59,231.29,229.59,230.76,247206
2017-08-28,231.41,231.93,229.82,230.0,346221
2017-08-29,229.0,229.77,227.93,229.47,282490
2017-08-30,229.62,231.72,229.21,231.63,349131
2017-08-31,232.26,232.37,230.12,230.66,426416
2017-09-01,231.2,231.7,229.43,230.09,293942
2017-09-05,228.72,229.91,227.46,229.01,320495
2017-09-06,229.99,230.41,228.68,229.59,298873
2017-09-07,229.63,230.74,228.07,229.96,267336
2017-09-08,229.58,234.55,229.14,234.38,348339
