date,open,high,low,close,volume
2017-01-03,23.36,23.87,23.28,23.85,501748
2017-01-04,23.96,24.46,23.86,24.41,745999
2017-01-05,24.47,24.67,23.76,23.88,490524
2017-01-06,23.93,24.03,23.58,23.93,447008
2017-01-09,24.03,24.04,23.32,23.34,376860
2017-01-10,23.39,23.59,22.92,23.5,414991
2017-01-11,23.43,23.77,23.22,23.56,592350
2017-01-12,23.55,23.55,22.95,23.01,290722
2017-01-13,23.05,23.4,22.93,23.03,315936
2017-01-17,22.98,23.19,22.98,23.17,191349
2017-01-18,23.22,23.47,22.79,22.81,419576
2017-01-19,22.91,23.1,22.57,22.62,303929
2017-01-20,22.6,23.01,22.6,22.87,189422
2017-01-23,22.77,22.97,22.69,22.93,214677
2017-01-24,23.1,23.79,23.1,23.6,342783
2017-01-25,23.61,23.84,23.53,23.73,523869
2017-01-26,23.61,23.96,23.52,23.69,623945
2017-01-27,23.96,24.07,23.68,23.69,525257
2017-01-30,23.59,23.75,23.46,23.6,181213
2017-01-31,23.54,23.55,23.14,23.48,269539
2017-02-01,23.6,23.92,23.41,23.53,385143
2017-02-02,23.5,23.68,23.34,23.61,247734
2017-02-03,23.71,24.0,23.47,23.73,423438
2017-02-06,23.59,23.8,23.49,23.73,163487
2017-02-07,23.74,23.91,23.29,23.47,424928
2017-02-08,23.41,23.41,23.0,23.23,259595
2017-02-09,23.17,23.85,23.17,23.58,543490
2017-02-10,23.68,23.76,23.59,23.66,187943
2017-02-13,24.06,24.11,23.77,23.83,217811
2017-02-14,23.78,23.86,23.65,23.77,155886
2017-02-15,23.68,24.09,23.59,24.03,221868
2017-02-16,24.14,24.14,23.28,23.5,302765
2017-02-17,23.53,23.56,23.24,23.37,271547
2017-02-21,23.49,23.65,23.23,23.38,238266
2017-02-22,23.32,23.44,22.97,22.98,421257
2017-02-23,22.93,23.11,22.27,22.68,616973
2017-02-24,22.49,22.7,22.28,22.34,211312
2017-02-27,22.33,22.42,21.93,22.1,692073
2017-02-28,22.03,22.27,21.79,21.97,1062918
2017-03-01,22.1,22.17,21.85,22.12,446585
2017-03-02,22.05,22.3,22.01,22.09,268028
2017-03-03,22.07,22.37,22.01,22.34,306186
2017-03-06,22.11,22.54,22.11,22.35,728188
2017-03-07,22.21,22.36,21.92,22.01,542932
2017-03-08,21.25,22.0,20.87,21.27,2127932
2017-03-09,21.27,21.56,20.99,21.17,926904
2017-03-10,21.39,21.81,21.29,21.73,421994
2017-03-13,21.63,21.9,21.48,21.7,251461
2017-03-14,21.55,21.67,21.28,21.67,220008
2017-03-15,21.69,22.01,21.68,21.95,303475
2017-03-16,21.96,22.01,21.8,21.85,311693
2017-03-17,21.8,22.24,21.77,22.19,875142
2017-03-20,22.22,22.26,21.97,22.19,334386
2017-03-21,22.27,22.3,21.6,21.63,703456
2017-03-22,21.64,21.83,21.25,21.44,438209
2017-03-23,21.42,21.66,21.36,21.41,510768
2017-03-24,21.47,21.62,21.38,21.43,503094
2017-03-27,21.24,22.14,21.07,22.0,565647
2017-03-28,21.92,22.39,21.92,22.28,666189
2017-03-29,22.29,22.91,22.29,22.57,698991
2017-03-30,22.57,22.67,22.29,22.48,1150957
2017-03-31,22.46,22.57,22.07,22.18,1248583
2017-04-03,22.19,22.68,21.77,21.99,527580
2017-04-04,21.89,22.08,21.71,22.0,404596
2017-04-05,22.03,22.34,21.94,22.0,318023
2017-04-06,22.04,22.39,21.85,22.33,278725
2017-04-07,22.31,22.41,22.23,22.27,195739
2017-04-10,22.34,22.57,22.29,22.38,199618
2017-04-11,22.36,22.81,22.21,22.56,210155
2017-04-12,22.53,22.66,22.31,22.47,171448
2017-04-13,22.44,22.61,22.23,22.35,231176
2017-04-17,22.39,22.71,22.36,22.43,257943
2017-04-18,22.38,22.64,22.11,22.34,480541
2017-04-19,22.43,22.57,22.11,22.49,751275
2017-04-20,22.53,23.07,22.53,22.99,589871
2017-04-21,22.98,23.11,22.82,22.96,217625
2017-04-24,23.27,23.27,22.87,22.9,278878
2017-04-25,23.05,23.31,22.93,22.97,354995
2017-04-26,23.02,23.46,22.94,23.08,1111303
2017-04-27,23.12,23.95,22.91,23.64,1409228
2017-04-28,23.68,23.87,23.35,23.38,650252
2017-05-01,23.33,23.38,23.04,23.09,515239
2017-05-02,23.17,23.53,22.9,23.0,529631
2017-05-03,22.97,23.25,22.85,23.14,1615777
2017-05-04,23.2,23.23,22.76,22.84,623319
2017-05-05,22.5,23.19,22.01,22.83,1928204
2017-05-08,22.73,22.73,22.34,22.51,808913
2017-05-09,22.53,22.97,22.53,22.92,731163
2017-05-10,22.89,23.5,22.88,23.33,906100
2017-05-11,23.2,23.54,22.97,23.38,918548
2017-05-12,23.2,24.12,23.17,24.03,2402632
2017-05-15,24.26,24.32,23.97,24.01,556590
2017-05-16,23.97,24.45,23.74,24.32,548915
2017-05-17,24.08,24.09,23.59,23.6,732206
2017-05-18,23.62,23.77,23.47,23.59,500517
2017-05-19,23.61,24.0,23.61,23.73,415334
2017-05-22,23.79,24.02,23.67,23.73,517854
2017-05-23,23.8,23.91,23.67,23.69,779009
2017-05-24,23.78,23.78,23.46,23.64,448988
2017-05-25,23.58,23.73,23.1,23.54,1131410
2017-05-26,23.51,23.79,23.45,23.75,521780
2017-05-30,23.71,23.78,23.49,23.55,341954
2017-05-31,23.6,23.69,23.4,23.64,725797
2017-06-01,23.69,24.01,23.64,23.8,669365
2017-06-02,23.73,23.97,23.42,23.57,772967
2017-06-05,23.58,23.76,23.47,23.7,758766
2017-06-06,23.6,24.12,23.54,23.9,1110010
2017-06-07,23.93,24.28,23.75,24.2,1107583
2017-06-08,24.21,24.25,24.0,24.15,588084
2017-06-09,24.21,24.24,23.67,23.76,740937
2017-06-12,23.75,24.01,23.53,23.79,534336
2017-06-13,23.83,24.53,23.83,24.4,866559
2017-06-14,24.4,24.54,23.94,24.05,498903
2017-06-15,23.89,24.14,23.54,23.77,421427
2017-06-16,23.67,23.96,23.6,23.92,1016404
2017-06-19,24.0,24.5,23.93,24.3,627788
2017-06-20,24.21,24.25,23.68,23.75,395710
2017-06-21,23.84,23.86,23.26,23.3,780434
2017-06-22,23.38,23.52,23.04,23.33,954822
2017-06-23,23.33,24.07,23.16,24.0,5667111
2017-06-26,24.0,24.27,23.73,23.87,604197
2017-06-27,23.86,23.94,23.48,23.56,565234
2017-06-28,23.62,23.91,23.56,23.77,763912
2017-06-29,23.84,23.84,23.29,23.51,541789
2017-06-30,23.5,23.73,23.31,23.55,459836
2017-07-03,23.61,23.72,23.19,23.41,266798
2017-07-05,23.25,23.56,22.82,23.12,1208905
2017-07-06,23.05,23.2,22.95,23.09,537699
2017-07-07,23.13,23.63,23.07,23.47,522782
2017-07-10,23.41,24.03,23.29,23.78,799560
2017-07-11,23.78,24.1,23.67,24.01,474594
2017-07-12,24.17,24.38,23.98,24.19,576884
2017-07-13,24.22,24.25,23.65,23.98,572098
2017-07-14,24.0,24.22,23.79,23.97,248462
2017-07-17,23.95,24.04,23.56,23.58,297167
2017-07-18,23.51,23.82,23.45,23.78,824491
2017-07-19,23.89,23.96,23.75,23.86,1726055
2017-07-20,23.98,24.38,23.98,24.06,1174912
2017-07-21,24.19,24.37,23.93,23.94,561811
2017-07-24,23.96,24.62,23.96,24.51,529040
2017-07-25,24.6,24.94,24.56,24.72,952478
2017-07-26,24.69,24.83,24.38,24.73,442424
2017-07-27,24.78,24.83,24.26,24.38,535089
2017-07-28,24.28,24.76,23.86,24.01,1088967
2017-07-31,24.09,24.33,23.61,23.9,700052
2017-08-01,24.03,24.17,23.76,23.89,317446
2017-08-02,23.9,24.04,23.46,23.64,301395
2017-08-03,23.71,24.0,23.5,23.53,215607
2017-08-04,23.6,24.07,23.6,24.06,371527
2017-08-07,23.97,24.2,23.72,23.89,617816
2017-08-08,23.97,23.97,23.59,23.69,571382
2017-08-09,23.0,23.71,22.51,22.83,2314938
2017-08-10,22.77,22.85,22.04,22.26,1991091
2017-08-11,22.17,22.28,21.41,22.0,1018540
2017-08-14,22.11,22.33,21.99,22.01,836657
2017-08-15,21.96,22.06,21.74,22.03,1467659
2017-08-16,22.15,22.25,21.86,21.9,960648
2017-08-17,21.75,22.01,21.59,21.67,786850
2017-08-18,21.48,21.85,21.47,21.65,744994
2017-08-21,21.71,21.89,21.54,21.79,561256
2017-08-22,21.83,22.19,21.83,22.06,591516
2017-08-23,21.83,22.01,21.83,21.88,473340
2017-08-24,22.03,22.13,21.96,22.1,556514
2017-08-25,22.14,22.3,22.03,22.2,659887
2017-08-28,22.26,22.36,21.99,22.16,483274
2017-08-29,21.98,22.21,21.98,22.13,559323
2017-08-30,22.19,22.23,21.96,22.18,816071
2017-08-31,22.31,22.7,22.23,22.6,830919
2017-09-01,22.73,22.79,22.46,22.72,1000677
2017-09-05,22.75,23.05,22.44,22.62,782341
2017-09-06,22.66,22.93,22.61,22.69,681785
2017-09-07,22.69,22.78,22.4,22.63,639159
2017-09-08,22.61,22.83,22.6,22.68,469383
2017-09-11,22.84,22.88,22.62,22.7,599442
2017-09-12,22.75,22.83,22.57,22.59,689361
2017-09-13,22.57,22.75,22.56,22.65,615123
2017-09-14,22.53,22.79,22.47,22.57,618874
2017-09-15,22.69,23.05,22.51,22.61,2360597
2017-09-18,22.6,23.0,22.6,22.77,845302
2017-09-19,22.79,23.36,22.74,23.22,578720
2017-09-20,23.32,23.38,23.12,23.28,321436
2017-09-21,23.3,23.76,23.25,23.75,688314
2017-09-22,23.67,23.82,23.37,23.51,430621
2017-09-25,23.3,23.3,22.5,23.12,1147905
2017-09-26,23.13,23.38,23.1,23.11,463200
2017-09-27,23.27,23.33,23.06,23.07,947652
2017-09-28,23.07,23.38,22.98,23.2,545240
2017-09-29,23.19,23.26,22.99,23.16,378611
2017-10-02,23.01,23.17,22.67,23.1,619256
2017-10-03,22.98,23.46,22.91,23.46,1159192
2017-10-04,23.52,23.73,23.32,23.59,461031
2017-10-05,23.58,24.0,23.45,23.95,745754
2017-10-06,23.74,24.17,23.53,23.64,1362636
2017-10-09,23.64,23.94,23.32,23.92,764308
2017-10-10,23.92,23.98,23.55,23.71,800263
2017-10-11,23.73,23.95,23.7,23.89,789286
2017-10-12,23.89,23.89,23.38,23.88,1131140
2017-10-13,23.95,24.32,22.84,23.88,757120
2017-10-16,23.89,24.16,23.71,24.0,575571
2017-10-17,24.0,24.01,23.66,23.78,485360
2017-10-18,23.83,24.08,23.79,23.89,609151
2017-10-19,23.83,23.88,23.61,23.73,395425
2017-10-20,23.91,24.0,23.68,23.74,575672
2017-10-23,23.91,24.03,23.73,23.79,549502
2017-10-24,23.77,23.91,23.7,23.74,613753
2017-10-25,23.77,24.0,23.54,23.7,418153
2017-10-26,23.75,23.85,23.43,23.45,349405
2017-10-27,23.56,24.25,23.4,24.14,1415343
2017-10-30,23.97,24.02,23.69,23.88,341866
2017-10-31,23.96,24.68,23.86,24.63,2493462
2017-11-01,24.84,25.15,24.62,24.74,574086
2017-11-02,24.68,24.86,24.26,24.51,280493
2017-11-03,24.56,25.04,24.44,24.73,710836
2017-11-06,24.8,25.23,24.73,24.9,641247
2017-11-07,24.93,25.22,24.62,24.75,1043221
2017-11-08,25.24,27.31,24.91,26.48,1912218
2017-11-09,26.14,26.81,25.87,26.5,994150
2017-11-10,26.36,26.71,26.32,26.48,971285
2017-11-13,26.35,26.84,26.3,26.6,682341
2017-11-14,26.33,27.08,26.32,26.86,561629
2017-11-15,26.66,27.38,26.43,27.05,910849
2017-11-16,27.08,27.75,27.08,27.67,828110
2017-11-17,27.63,28.13,27.63,28.12,405192
2017-11-20,28.14,28.44,28.14,28.31,259340
2017-11-21,28.31,28.55,28.11,28.32,485730
2017-11-22,28.46,28.71,28.34,28.67,439875
2017-11-24,28.73,28.9,28.62,28.85,240077
2017-11-27,28.92,29.56,28.81,29.3,497351
2017-11-28,30.12,30.86,29.91,30.59,1556377
2017-11-29,30.59,30.69,30.13,30.52,590845
2017-11-30,30.63,30.91,30.44,30.85,394233
2017-12-01,30.96,31.21,30.66,31.11,820673
2017-12-04,31.35,31.91,31.32,31.73,610661
2017-12-05,31.6,31.88,31.48,31.57,602682
2017-12-06,31.53,31.76,31.19,31.36,438849
2017-12-07,31.26,31.52,31.18,31.37,427601
2017-12-08,31.61,32.33,31.4,31.88,565435
2017-12-11,31.9,32.67,31.87,32.45,426762
2017-12-12,32.46,32.81,32.38,32.7,493657
2017-12-13,32.83,33.31,32.74,32.98,944772
2017-12-14,33.12,33.16,31.9,31.98,701687
2017-12-15,31.97,32.78,31.89,32.6,965675
2017-12-18,32.93,33.6,32.92,33.53,577018
2017-12-19,33.54,33.65,33.31,33.57,431764
2017-12-20,33.6,33.8,33.29,33.43,864228
2017-12-21,33.5,34.53,33.19,34.39,1194536
2017-12-22,34.48,34.48,33.94,34.3,981074
