date,open,high,low,close,volume
2020-06-15,16.5,18.28,16.35,17.94,2386717
2020-06-16,19.18,19.35,17.47,17.84,2266808
2020-06-17,17.7,17.75,16.8,17.28,1617170
2020-06-18,17.06,17.88,16.85,17.14,1225900
2020-06-19,17.39,17.44,15.4,16.03,4288821
2017-01-03,19.12,19.53,19.0,19.5,917347
2017-01-04,19.54,19.6,19.09,19.12,2227036
2017-01-05,19.06,19.21,18.87,18.99,1170919
2017-01-06,19.04,19.08,18.64,18.73,1102711
2017-01-09,18.76,18.86,18.5,18.52,1024375
2017-01-10,18.58,18.99,18.44,18.84,739923
2017-01-11,18.86,18.98,18.66,18.93,802321
2017-01-12,18.8,18.95,18.39,18.63,1159503
2017-01-13,18.68,18.78,18.53,18.71,618758
2017-01-17,18.62,18.85,18.52,18.71,658275
2017-01-18,18.75,18.99,18.67,18.84,710326
2017-01-19,18.84,18.97,18.6,18.67,792376
2017-01-20,18.68,18.95,18.68,18.9,854021
2017-01-23,18.79,18.83,18.64,18.74,374663
2017-01-24,18.82,18.95,18.69,18.78,569229
2017-01-25,18.89,18.96,18.67,18.71,644338
2017-01-26,18.76,18.88,18.5,18.81,759914
2017-01-27,18.87,18.87,18.42,18.48,895558
2017-01-30,18.42,18.47,18.07,18.36,832230
2017-01-31,18.34,18.34,17.99,18.11,1463059
2017-02-01,18.19,18.39,18.14,18.27,729344
2017-02-02,18.19,18.42,18.09,18.31,893443
2017-02-03,18.36,18.53,18.22,18.31,1441462
2017-02-06,18.23,18.64,18.22,18.41,820055
2017-02-07,18.44,18.77,18.33,18.76,1404683
2017-02-08,18.74,18.97,18.46,18.93,949410
2017-02-09,18.93,19.17,18.8,19.07,749589
2017-02-10,19.1,19.19,18.76,18.94,550341
2017-02-13,19.05,19.14,18.98,19.07,501615
2017-02-14,19.02,19.14,18.97,19.0,492842
2017-02-15,18.96,19.32,18.94,19.26,597138
2017-02-16,19.24,19.34,19.06,19.24,624881
2017-02-17,19.24,19.3,19.08,19.21,752875
2017-02-21,19.6,19.89,19.23,19.31,2472948
2017-02-22,19.34,19.39,18.86,19.24,1306978
2017-02-23,19.33,19.43,18.81,18.85,953602
2017-02-24,18.75,18.86,18.51,18.62,1039124
2017-02-27,18.57,18.79,18.49,18.78,1881902
2017-02-28,18.65,20.13,18.47,19.27,4061879
2017-03-01,19.4,19.45,18.78,18.9,2033026
2017-03-02,18.83,18.88,18.57,18.59,1264301
2017-03-03,18.48,18.85,18.18,18.24,1640456
