date,open,high,low,close,volume
2017-01-03,118.41,119.99,118.18,119.64,13217317
2017-01-04,119.76,120.24,119.45,120.1,6699562
2017-01-05,120.45,122.03,120.17,121.98,13265820
2017-01-06,121.13,121.54,120.75,120.86,8369334
2017-01-09,121.88,122.0,121.46,121.83,8839108
2017-01-10,121.55,121.91,121.28,121.75,8417941
2017-01-11,121.94,122.69,121.41,122.16,9402523
2017-01-12,122.8,123.14,121.83,121.89,9977612
2017-01-13,121.33,121.75,120.62,121.31,9820003
2017-01-17,122.81,122.94,121.99,122.58,7853301
2017-01-18,121.77,121.96,120.91,121.01,9064689
2017-01-19,120.49,120.58,119.55,120.18,11795591
2017-01-20,119.84,120.31,119.29,119.94,16953217
2017-01-23,120.34,121.87,120.02,121.14,13118414
2017-01-24,120.77,121.13,119.8,120.31,8394978
2017-01-25,119.28,119.6,118.56,118.8,11115069
2017-01-26,118.91,119.25,118.33,119.2,7827932
2017-01-27,119.4,119.83,119.25,119.63,7197762
2017-01-30,119.44,119.88,119.2,119.27,6569509
2017-01-31,119.33,120.4,119.25,120.1,13298521
2017-02-01,119.1,119.53,118.58,119.1,10975521
2017-02-02,119.93,120.14,119.0,119.05,6978567
2017-02-03,119.44,119.87,118.47,119.0,10275574
2017-02-06,119.76,120.13,119.12,119.72,8433772
2017-02-07,119.78,121.01,119.47,120.6,8418420
2017-02-08,121.42,122.27,121.41,122.24,15734201
2017-02-09,121.41,121.59,120.66,120.83,16890586
2017-02-10,120.11,120.95,120.11,120.76,7978462
2017-02-13,120.25,120.41,119.88,120.38,11536780
2017-02-14,120.24,120.3,118.83,119.51,13210451
2017-02-15,118.76,119.22,118.65,118.96,8481015
2017-02-16,119.22,120.21,119.12,119.61,10005829
2017-02-17,120.61,120.7,120.13,120.32,7886448
2017-02-21,119.68,120.61,119.6,120.11,8703755
2017-02-22,120.8,120.82,119.59,120.31,8101522
2017-02-23,120.57,120.74,120.33,120.67,5330784
2017-02-24,121.35,122.14,121.26,122.01,11335989
2017-02-27,121.81,121.9,121.22,121.29,11039831
2017-02-28,121.5,122.08,121.32,121.74,8410508
2017-03-01,119.44,119.55,118.95,119.47,10717113
2017-03-02,119.01,119.21,118.61,119.04,8201247
2017-03-03,119.23,119.35,118.55,119.35,9515219
2017-03-06,119.12,119.12,118.52,118.78,4489229
2017-03-07,118.48,118.68,118.25,118.42,7080088
2017-03-08,117.31,117.95,117.23,117.78,11336336
2017-03-09,117.34,117.48,116.77,116.84,10575439
2017-03-10,117.14,117.32,116.68,117.25,9218505
2017-03-13,116.83,117.09,116.49,116.51,6993071
2017-03-14,116.77,117.35,116.71,117.07,9869230
2017-03-15,117.56,118.83,117.43,118.5,14600488
2017-03-16,117.99,118.15,117.63,117.9,8018165
2017-03-17,118.11,118.75,118.03,118.64,7266766
2017-03-20,118.55,119.23,118.5,119.15,5497756
2017-03-21,119.05,120.3,119.02,120.14,12540662
2017-03-22,120.72,121.17,120.43,120.62,11661374
2017-03-23,120.83,121.02,120.06,120.45,6746461
2017-03-24,120.53,121.1,120.4,120.88,5819630
2017-03-27,121.83,121.97,121.19,121.43,6878473
2017-03-28,121.79,121.82,120.49,120.62,6811244
2017-03-29,120.94,121.38,120.88,121.34,6291020
2017-03-30,121.07,121.09,120.32,120.36,7042448
2017-03-31,120.28,120.81,120.21,120.71,5144760
2017-04-03,120.45,121.87,120.4,121.67,12996495
2017-04-04,121.37,121.59,120.95,121.01,6976660
2017-04-05,120.56,121.52,120.36,121.38,8555235
2017-04-06,121.24,121.41,120.52,121.2,6496995
2017-04-07,121.84,122.25,120.69,120.71,10270017
2017-04-10,121.14,121.62,121.0,121.27,5314493
2017-04-11,121.8,122.65,121.72,122.42,11297362
2017-04-12,122.51,123.19,122.29,123.09,11532463
2017-04-13,123.45,123.74,122.91,123.47,8396661
2017-04-17,123.46,123.55,122.86,123.09,8015015
2017-04-18,123.86,124.98,123.55,124.7,11529704
2017-04-19,124.1,124.17,123.7,124.02,7343991
2017-04-20,123.73,123.92,123.14,123.54,7932918
2017-04-21,123.82,124.24,123.49,123.54,9798520
2017-04-24,122.55,123.16,122.46,122.93,8066371
2017-04-25,122.21,122.46,121.38,121.45,8122253
2017-04-26,121.52,122.14,121.43,122.12,5766213
2017-04-27,121.75,122.35,121.58,122.08,4978328
2017-04-28,121.6,122.44,121.55,122.35,8166295
2017-05-01,121.69,122.14,120.71,121.08,8795929
2017-05-02,120.97,121.78,120.94,121.7,6727813
2017-05-03,122.22,122.39,121.55,121.78,8932912
2017-05-04,121.01,121.22,120.67,121.18,9707211
2017-05-05,121.38,121.47,120.89,121.29,5605412
2017-05-08,121.11,121.14,120.53,120.63,8057780
2017-05-09,120.38,120.63,120.14,120.62,5536746
2017-05-10,120.91,121.06,120.16,120.48,6517131
2017-05-11,120.0,120.57,119.91,120.48,7479834
2017-05-12,121.01,121.49,120.98,121.39,7464184
2017-05-15,121.06,121.21,120.75,121.06,5173188
2017-05-16,121.11,121.89,121.11,121.51,6722728
2017-05-17,122.63,123.54,122.39,123.28,11236435
2017-05-18,123.75,123.94,123.19,123.42,8350484
2017-05-19,123.36,123.78,123.01,123.71,11277436
2017-05-22,123.41,123.56,123.26,123.37,4063071
2017-05-23,123.51,123.62,122.48,122.54,7901311
2017-05-24,122.8,123.26,122.54,123.23,7468346
2017-05-25,123.02,123.28,122.76,123.27,6464812
2017-05-26,123.55,123.74,123.25,123.48,2963919
2017-05-30,124.03,124.14,123.74,124.09,4819358
2017-05-31,124.05,124.64,124.03,124.4,8000164
2017-06-01,123.7,124.19,123.66,124.15,9037271
2017-06-02,125.22,125.77,125.05,125.62,13245037
2017-06-05,124.9,125.16,124.78,124.84,6775466
2017-06-06,125.69,125.87,125.4,125.52,12841474
2017-06-07,125.24,125.52,124.79,124.92,12852353
2017-06-08,124.88,124.88,124.3,124.59,8758621
2017-06-09,124.08,124.64,123.98,124.4,5130548
2017-06-12,124.21,124.99,124.14,124.36,4335780
2017-06-13,124.01,124.52,123.99,124.38,4742571
2017-06-14,125.92,126.71,125.73,126.3,20212287
2017-06-15,126.09,126.33,125.83,126.1,5863708
2017-06-16,126.08,126.44,126.01,126.35,6672543
2017-06-19,126.32,126.47,126.03,126.17,5641338
2017-06-20,126.79,127.4,126.79,127.3,8405680
2017-06-21,127.11,127.64,126.9,127.56,5914825
2017-06-22,127.71,127.87,127.31,127.84,6608055
2017-06-23,127.47,127.9,127.4,127.78,4329910
2017-06-26,128.27,128.57,128.16,128.26,5541628
2017-06-27,127.43,127.49,126.62,126.89,8354227
2017-06-28,126.67,126.71,125.98,126.47,7357931
2017-06-29,125.01,125.72,124.9,125.41,9116011
2017-06-30,125.19,125.39,124.85,125.12,10189811
2017-07-03,125.0,125.04,124.02,124.46,11021117
2017-07-05,124.2,124.65,124.11,124.49,11394539
2017-07-06,123.52,123.64,122.93,123.46,10853050
2017-07-07,122.84,123.03,122.58,122.72,9401813
2017-07-10,122.87,123.1,122.68,122.9,3859189
2017-07-11,122.86,123.33,122.71,123.11,4425579
2017-07-12,123.89,124.04,123.49,123.96,7839923
