date,open,high,low,close,volume
2019-03-29,29.0,29.95,29.0,29.95,61185
2019-04-01,31.0,31.13,30.54,30.98,222568
2019-04-02,31.0,31.5,30.61,31.0,40901
2019-04-03,31.0,31.0,29.9,31.0,28411
2019-04-04,31.14,31.23,30.97,31.0,369391
2019-04-05,31.17,31.5,30.86,31.47,179906
2019-04-08,31.09,31.8,31.07,31.7,535508
2019-04-09,32.0,32.0,31.02,31.7,310105
2019-04-10,31.98,33.4,31.51,32.22,324264
2019-04-11,32.67,33.2,32.67,33.0,474166
2019-04-12,33.17,33.98,33.17,33.4,1719903
2019-04-15,33.49,33.74,32.21,33.19,58681
2019-04-16,33.01,33.49,32.77,32.96,171989
2019-04-17,33.17,33.46,32.42,32.67,241653
2019-04-18,32.71,33.35,32.1,32.9,117878
2019-04-22,33.0,33.0,32.11,32.7,100988
2019-04-23,32.67,32.83,32.24,32.7,70907
2019-04-24,33.0,33.0,32.11,32.59,256979
2019-04-25,32.63,32.75,32.1,32.44,53392
2019-04-26,32.41,32.54,32.18,32.38,47248
2019-04-29,32.35,32.73,32.12,32.42,37438
2019-04-30,32.57,32.57,31.93,32.3,66528
2019-05-01,32.13,32.33,31.52,31.63,42154
2019-05-02,31.63,31.97,31.0,31.63,59586
2019-05-03,31.75,31.75,31.01,31.41,145250
2019-05-06,31.01,31.59,30.93,30.93,56501
2019-05-07,30.85,31.0,30.02,30.39,152349
2019-05-08,30.27,30.99,29.74,30.42,88755
2019-05-09,30.14,30.92,29.79,30.55,193807
2019-05-10,30.42,30.6,29.69,30.25,103987
2019-05-13,29.7,30.12,28.95,29.94,86803
2019-05-14,29.72,30.26,29.55,30.07,599573
2019-05-15,29.76,30.92,27.9,30.1,106492
2019-05-16,30.1,31.5,30.1,31.0,91829
2019-05-17,30.74,32.0,30.49,31.19,86324
2019-05-20,30.97,32.0,30.88,31.89,197756
2019-05-21,32.02,32.13,31.43,31.81,97517
2019-05-22,31.73,32.21,31.25,31.96,138864
2019-05-23,31.69,31.9,30.82,31.74,94756
2019-05-24,31.71,31.85,31.04,31.09,75862
2019-05-28,31.1,31.67,30.62,31.33,457178
2019-05-29,31.11,31.29,30.87,31.0,136881
2019-05-30,30.98,31.1,30.73,31.0,76784
2019-05-31,30.71,30.84,30.0,30.14,37700
2019-06-03,30.07,30.13,29.75,30.02,52464
2019-06-04,29.91,30.11,29.85,30.11,160461
2019-06-05,30.02,30.11,29.47,30.01,56537
2019-06-06,29.99,30.32,29.39,29.77,80806
2019-06-07,29.83,30.41,29.79,30.08,161579
2019-06-10,30.25,31.52,30.25,31.03,288671
2019-06-11,31.22,31.4,30.99,31.18,163222
2019-06-12,31.18,31.18,30.72,31.12,125906
2019-06-13,31.11,31.25,30.87,31.06,101479
2019-06-14,32.3,32.3,30.69,31.16,177236
2019-06-17,31.0,31.38,30.19,30.45,188381
2019-06-18,30.6,30.86,30.21,30.38,126663
2019-06-19,29.68,29.85,28.56,28.92,538184
2019-06-20,30.75,31.19,29.79,29.82,1596816
2019-06-21,29.83,30.71,29.73,30.29,437555
2019-06-24,30.57,30.57,29.17,29.17,346164
2019-06-25,30.8,30.93,30.3,30.38,1111623
2019-06-26,30.35,30.6,30.21,30.21,676911
2019-06-27,30.2,30.47,30.17,30.32,513030
2019-06-28,30.15,30.34,29.54,29.75,3082705
2019-07-01,29.85,29.93,29.11,29.13,319958
2019-07-02,29.12,29.39,29.05,29.19,509673
2019-07-03,29.25,29.25,29.05,29.17,72050
2019-07-05,29.21,29.26,28.18,29.13,202332
2019-07-08,28.97,29.25,28.79,29.1,173631
2019-07-09,29.04,29.06,28.57,28.9,206784
2019-07-10,29.0,29.0,28.64,28.7,164998
2019-07-11,28.74,28.75,27.21,27.37,886886
2019-07-12,27.53,29.16,27.5,28.97,246561
2019-07-15,29.0,29.17,28.76,28.95,119898
2019-07-16,28.93,28.94,27.96,28.5,433565
2019-07-17,28.5,28.65,27.86,28.28,452486
2019-07-18,28.35,28.75,28.35,28.5,461334
2019-07-19,28.49,28.72,27.87,27.94,376827
2019-07-22,28.05,28.4,27.54,28.13,1057918
2019-07-23,28.21,28.45,28.05,28.2,1062026
2019-07-24,28.08,28.3,27.75,28.13,593662
2019-07-25,28.05,28.1,27.43,27.52,998335
2019-07-26,27.55,28.53,27.55,27.63,265388
2019-07-29,27.0,27.2,26.0,26.32,598272
2019-07-30,26.28,26.3,25.23,26.07,638170
2019-07-31,26.02,26.67,25.79,26.39,432541
2019-08-01,26.39,27.41,25.92,26.2,396588
2019-08-02,26.0,26.01,25.19,25.32,284041
2019-08-05,24.98,25.03,24.33,24.6,344004
2019-08-06,24.7,24.97,23.51,23.51,571577
2019-08-07,23.25,23.91,23.23,23.46,252616
2019-08-08,23.46,24.0,23.42,23.68,324950
2019-08-09,23.56,24.0,23.4,23.41,326551
2019-08-12,22.42,23.24,20.55,20.65,838000
2019-08-13,20.49,21.6,20.35,21.07,2020072
2019-08-14,20.85,21.69,20.6,21.28,1875115
2019-08-15,21.37,22.33,21.28,21.44,1442770
2019-08-16,21.48,21.5,20.98,21.46,312703
2019-08-19,21.64,22.0,21.45,21.81,160434
2019-08-20,21.71,22.48,21.71,22.25,283851
2019-08-21,22.4,22.64,22.14,22.2,251595
2019-08-22,22.21,22.26,21.83,22.25,147719
2019-08-23,22.11,22.11,21.28,21.33,340385
2019-08-26,21.44,21.63,21.26,21.35,122090
2019-08-27,21.82,21.97,21.35,21.57,390318
2019-08-28,21.47,21.95,21.47,21.86,198055
2019-08-29,22.01,22.59,21.84,22.5,219976
2019-08-30,22.51,22.84,22.27,22.65,142284
2019-09-03,22.55,22.62,22.12,22.19,230072
2019-09-04,22.31,22.5,21.72,21.8,239934
2019-09-05,22.01,22.93,21.86,22.78,1264527
2019-09-06,22.89,23.04,22.55,22.91,199517
2019-09-09,22.94,23.1,22.65,22.75,226337
2019-09-10,22.8,23.4,22.44,23.4,437640
2019-09-11,23.4,24.32,23.4,24.11,370625
2019-09-12,24.18,24.25,23.86,24.08,265363
2019-09-13,24.17,24.41,23.88,24.14,198336
2019-09-16,24.08,24.25,23.72,23.94,104147
