date,open,high,low,close,volume
2020-04-27,53.15,55.05,53.15,54.79,1046747
2020-04-28,56.29,56.98,55.3,55.56,759826
2017-01-03,60.04,60.3,59.3,59.8,1616569
2017-01-04,60.0,60.53,59.99,60.47,1065317
2017-01-05,60.33,60.35,59.31,59.81,1238008
2017-01-06,60.08,60.26,59.76,60.05,909702
2017-01-09,59.87,59.9,59.45,59.54,837695
2017-01-10,59.61,60.16,59.38,59.81,816500
2017-01-11,59.82,60.1,59.45,60.09,688232
2017-01-12,59.98,59.98,59.06,59.59,1255631
2017-01-13,60.04,60.59,59.69,59.95,1072808
2017-01-17,59.54,59.55,58.49,58.59,1011343
2017-01-18,58.8,59.07,58.26,59.06,632883
2017-01-19,59.18,59.25,58.55,58.74,520358
2017-01-20,58.88,59.2,58.74,59.0,682560
2017-01-23,58.89,59.13,58.47,58.74,2927186
2017-01-24,58.9,59.65,58.74,59.44,825015
2017-01-25,60.02,60.41,59.84,60.33,1114323
2017-01-26,60.52,60.65,60.23,60.52,1112846
2017-01-27,60.51,60.54,60.11,60.22,983486
2017-01-30,59.95,59.95,59.19,59.73,950065
2017-01-31,59.56,59.88,59.09,59.44,1203571
2017-02-01,59.98,60.24,59.34,59.5,1457240
2017-02-02,59.21,59.58,58.95,59.25,1058280
2017-02-03,60.22,60.51,59.8,60.43,1060659
2017-02-06,60.26,60.63,60.08,60.22,960953
2017-02-07,60.54,60.65,59.99,60.08,948925
2017-02-08,59.96,59.98,59.37,59.65,1211802
2017-02-09,59.89,60.5,59.73,60.45,1059332
2017-02-10,60.78,60.81,60.42,60.62,853352
2017-02-13,60.94,61.55,60.89,61.25,1256287
2017-02-14,61.25,62.02,61.13,61.97,1298645
2017-02-15,62.2,62.51,61.82,62.4,1273585
2017-02-16,62.4,62.45,61.93,62.34,1423513
2017-02-17,61.95,62.29,61.75,62.29,1116470
2017-02-21,62.61,62.71,62.37,62.56,1446502
2017-02-22,62.41,62.81,62.25,62.65,1135038
2017-02-23,62.75,62.81,62.29,62.72,1135862
2017-02-24,62.12,62.34,61.95,62.26,1102904
2017-02-27,62.27,62.6,62.26,62.52,1493994
2017-02-28,62.3,62.38,61.98,62.32,1312790
2017-03-01,63.54,64.16,63.45,63.99,1493741
2017-03-02,64.17,64.2,62.98,63.02,1704533
2017-03-03,63.0,63.4,63.0,63.24,1183342
2017-03-06,62.94,63.26,62.54,62.86,1203665
2017-03-07,62.83,62.9,62.48,62.62,1657234
2017-03-08,63.27,63.43,62.55,62.58,1686782
2017-03-09,62.77,63.09,62.5,62.73,1405419
2017-03-10,63.11,63.19,62.28,62.73,1243728
2017-03-13,62.8,62.93,62.52,62.77,1022148
2017-03-14,62.61,62.71,62.2,62.7,1103511
2017-03-15,62.8,63.05,62.39,62.63,2022369
2017-03-16,62.89,63.21,62.74,62.9,1166542
2017-03-17,63.03,63.03,62.21,62.36,1139718
2017-03-20,62.17,62.27,61.76,61.8,879826
2017-03-21,62.03,62.05,59.79,59.9,2583234
2017-03-22,59.51,60.03,59.05,59.77,2063459
2017-03-23,59.65,60.57,59.58,59.93,1498655
2017-03-24,59.97,60.2,59.35,59.75,2005448
2017-03-27,58.57,59.55,58.3,59.48,1576009
2017-03-28,59.31,60.54,59.25,60.3,1549058
2017-03-29,60.32,60.38,59.91,60.04,1451630
2017-03-30,60.1,61.02,60.04,60.89,1167260
2017-03-31,60.74,60.88,60.47,60.47,1577098
2017-04-03,60.49,60.59,59.57,60.2,2038368
2017-04-04,59.99,60.29,59.88,60.14,1498824
2017-04-05,60.65,60.88,59.63,59.67,1686014
2017-04-06,59.64,60.25,59.29,60.03,1079334
2017-04-07,59.7,60.16,59.48,59.84,1412172
2017-04-10,59.84,60.18,59.42,59.69,1242605
2017-04-11,59.38,59.65,58.94,59.65,1153085
2017-04-12,59.51,59.56,58.93,59.09,1117547
2017-04-13,58.82,59.4,58.31,58.32,1433581
2017-04-17,58.42,59.3,58.24,59.26,826403
2017-04-18,58.92,59.18,58.43,58.83,1022312
2017-04-19,59.22,59.42,58.65,58.76,702090
2017-04-20,59.09,59.77,58.95,59.64,668551
2017-04-21,59.56,59.78,59.13,59.22,1287401
2017-04-24,60.28,60.77,60.26,60.43,924957
2017-04-25,61.0,61.23,60.78,60.91,1212503
2017-04-26,60.9,61.52,60.83,61.01,1171074
2017-04-27,61.1,61.1,60.42,60.72,847162
2017-04-28,60.62,60.76,60.06,60.06,588877
2017-05-01,60.34,60.7,60.08,60.4,969524
2017-05-02,60.49,60.5,59.99,60.27,1154288
2017-05-03,60.17,60.68,60.02,60.66,545330
2017-05-04,61.01,61.24,60.56,60.82,840502
2017-05-05,60.96,60.96,60.48,60.71,445986
2017-05-08,60.75,60.84,60.52,60.66,328716
2017-05-09,60.82,60.95,60.19,60.38,411607
2017-05-10,60.22,60.56,60.22,60.54,559142
2017-05-11,60.36,60.38,59.7,60.16,397973
2017-05-12,59.85,59.89,59.54,59.86,482542
