date,open,high,low,close,volume
2017-01-03,36.18,36.39,36.03,36.17,18705170
2017-01-04,36.39,36.58,36.36,36.5,19171179
2017-01-05,36.75,36.93,36.73,36.88,11923382
2017-01-06,36.76,36.79,36.59,36.73,13515274
2017-01-09,36.69,36.77,36.65,36.67,14763376
2017-01-10,36.87,37.04,36.82,36.87,12678364
2017-01-11,36.88,37.21,36.72,37.19,13874603
2017-01-12,37.26,37.31,37.12,37.28,11681915
2017-01-13,37.19,37.29,37.15,37.24,11592575
2017-01-17,37.2,37.26,37.11,37.2,8271669
2017-01-18,37.24,37.27,37.0,37.06,14802092
2017-01-19,36.99,37.05,36.8,36.96,13001318
2017-01-20,37.0,37.06,36.85,37.02,10665078
2017-01-23,37.3,37.58,37.28,37.53,11086631
2017-01-24,37.71,37.93,37.69,37.8,8260091
2017-01-25,37.99,38.15,37.93,38.13,13756522
2017-01-26,38.1,38.12,37.95,37.97,10131928
2017-01-27,38.04,38.09,37.91,38.01,9442881
2017-01-30,37.82,37.86,37.71,37.82,12465816
2017-01-31,37.82,37.93,37.71,37.84,15383950
2017-02-01,38.09,38.1,37.84,37.92,11604741
2017-02-02,38.03,38.1,37.98,38.05,10856109
2017-02-03,38.24,38.36,38.14,38.29,8619346
2017-02-06,38.32,38.32,38.16,38.2,10007476
2017-02-07,38.19,38.22,38.02,38.06,10258043
2017-02-08,38.15,38.4,38.14,38.36,7498771
2017-02-09,38.54,38.62,38.5,38.56,10809285
2017-02-10,38.64,38.92,38.62,38.91,9271635
2017-02-13,38.96,39.13,38.96,39.06,8548695
2017-02-14,39.04,39.13,38.78,39.12,11946252
2017-02-15,39.13,39.43,39.1,39.41,10624712
2017-02-16,39.46,39.49,39.27,39.3,9897237
2017-02-17,39.0,39.17,38.98,39.17,8944643
2017-02-21,39.38,39.52,39.33,39.49,6873383
2017-02-22,39.48,39.6,39.44,39.59,7027835
2017-02-23,39.75,39.78,39.57,39.61,15360207
2017-02-24,39.19,39.27,39.13,39.19,12380087
2017-02-27,39.07,39.17,38.98,39.03,8300763
2017-02-28,38.99,39.0,38.69,38.69,12186333
2017-03-01,39.03,39.33,39.0,39.31,14624731
2017-03-02,38.86,38.89,38.59,38.61,13656104
2017-03-03,38.81,38.99,38.73,38.94,10081081
2017-03-06,39.03,39.05,38.88,39.0,8232767
2017-03-07,39.11,39.14,38.98,39.05,14789719
2017-03-08,38.91,38.94,38.61,38.66,15602239
2017-03-09,38.43,38.47,38.12,38.33,12131881
2017-03-10,38.57,38.65,38.46,38.65,14955555
2017-03-13,39.03,39.18,38.97,39.14,9506818
2017-03-14,39.05,39.05,38.88,38.92,12217694
2017-03-15,39.07,39.92,38.98,39.83,22872746
2017-03-16,40.12,40.22,40.04,40.1,28561489
2017-03-17,40.12,40.16,39.97,40.06,17399445
2017-03-20,40.21,40.52,40.17,40.47,13336341
2017-03-21,40.57,40.63,39.93,39.96,17365941
2017-03-22,39.89,40.17,39.8,40.08,14085437
