date,open,high,low,close,volume
2017-01-03,65.36,67.0,65.36,66.58,2808614
2017-01-04,67.0,68.44,67.0,67.34,3226293
2017-01-05,64.65,64.91,61.0,62.04,8131469
2017-01-06,61.53,61.8,61.01,61.23,4121956
2017-01-09,61.13,61.93,60.66,61.3,2538216
2017-01-10,61.06,62.33,60.82,61.35,2088784
2017-01-11,61.29,61.57,60.55,61.27,2424345
2017-01-12,60.97,61.19,60.1,60.71,2292699
2017-01-13,60.5,61.02,60.05,60.69,2125771
2017-01-17,60.85,62.24,60.85,61.14,2377602
2017-01-18,61.17,61.95,60.15,61.87,2847183
2017-01-19,61.82,62.0,60.3,60.92,2381199
2017-01-20,61.03,61.58,60.77,61.34,2108939
2017-01-23,61.28,61.56,60.65,61.16,1900516
2017-01-24,61.5,61.89,61.23,61.54,2028971
2017-01-25,61.77,62.24,61.6,61.85,1747380
2017-01-26,61.87,62.06,60.94,61.26,2719690
2017-01-27,61.43,61.65,58.75,59.01,3743746
2017-01-30,58.96,59.23,58.4,58.71,4928801
2017-01-31,58.2,60.25,58.18,60.21,4452325
2017-02-01,60.34,60.4,58.59,58.8,3334140
2017-02-02,58.52,60.46,57.48,59.28,4165636
2017-02-03,59.39,60.01,58.78,59.58,1907414
2017-02-06,59.52,59.81,58.81,59.15,1853484
2017-02-07,59.37,59.61,58.2,58.28,2350151
2017-02-08,58.43,58.84,58.1,58.66,2770158
2017-02-09,58.74,59.9,58.49,58.92,3622686
2017-02-10,58.95,59.88,58.47,58.92,3349625
2017-02-13,59.37,59.67,57.77,57.82,3178623
2017-02-14,57.8,58.7,57.6,58.14,3842085
2017-02-15,57.69,58.38,57.54,58.22,3177337
2017-02-16,58.26,58.52,57.15,57.48,2973978
2017-02-17,56.87,57.52,56.01,57.51,3866760
2017-02-21,57.88,58.75,57.43,57.7,4272019
2017-02-22,57.7,58.32,57.19,58.13,6070770
2017-02-23,50.5,51.0,47.93,48.94,27796859
2017-02-24,48.72,51.58,48.55,50.99,10707282
2017-02-27,50.72,52.78,50.52,52.39,6203825
2017-02-28,52.39,52.7,51.61,52.62,4918432
2017-03-01,52.93,53.19,52.11,52.82,4042158
2017-03-02,53.25,53.71,52.8,53.41,5492732
2017-03-03,53.24,53.47,51.63,52.34,3248246
2017-03-06,52.11,52.28,51.18,51.44,3916947
2017-03-07,51.22,51.73,50.0,50.17,3580479
2017-03-08,50.07,51.13,49.92,50.91,3734130
2017-03-09,50.76,50.99,49.85,50.06,2677013
2017-03-10,50.46,50.57,49.93,50.3,3400013
2017-03-13,50.3,51.13,49.52,49.85,4013956
2017-03-14,49.59,50.42,49.5,50.14,2318687
2017-03-15,50.06,50.87,49.69,50.68,3207265
2017-03-16,50.71,50.98,49.76,49.97,3888451
2017-03-17,50.91,51.27,50.46,51.18,10289833
2017-03-20,51.25,51.29,50.06,50.46,3540065
2017-03-21,50.67,50.69,48.51,49.18,4240454
2017-03-22,48.54,48.69,47.34,47.86,4995457
2017-03-23,47.93,48.25,47.72,48.07,2915244
2017-03-24,48.16,48.2,47.24,47.47,2473494
2017-03-27,47.18,48.09,46.93,47.69,3873590
2017-03-28,47.42,47.83,46.76,47.77,4258505
2017-03-29,47.71,48.9,47.63,48.32,3051561
2017-03-30,48.1,48.31,47.33,47.51,4419932
2017-03-31,47.68,48.21,47.03,47.1,3597775
2017-04-03,47.1,47.21,45.76,45.8,4916097
2017-04-04,45.13,45.15,43.57,43.77,8428675
2017-04-05,44.0,44.1,43.04,43.1,6728424
2017-04-06,45.75,48.0,45.67,47.85,14859914
2017-04-07,47.7,48.26,46.8,47.23,7398294
2017-04-10,47.22,48.26,47.16,47.5,3579093
2017-04-11,47.55,47.97,47.01,47.95,3653238
2017-04-12,47.42,47.95,47.17,47.81,2759528
2017-04-13,47.67,47.85,47.29,47.46,2954363
2017-04-17,47.55,47.88,47.35,47.82,2429046
2017-04-18,47.65,48.07,47.2,47.77,2059262
2017-04-19,47.93,48.88,47.87,48.5,2768097
2017-04-20,49.0,50.32,49.0,49.66,3361993
2017-04-21,49.59,49.98,49.17,49.84,3069129
2017-04-24,50.37,50.78,49.78,50.69,4974627
2017-04-25,50.75,51.04,50.27,50.6,2751548
2017-04-26,51.65,52.3,51.28,52.01,4122930
2017-04-27,52.0,52.61,51.86,52.19,3733488
2017-04-28,52.09,52.88,51.87,52.81,5006171
2017-05-01,52.91,53.0,51.66,51.91,3430011
2017-05-02,51.98,52.78,51.6,52.73,3277224
2017-05-03,52.66,53.2,52.3,53.11,5755771
2017-05-04,51.11,51.34,49.08,49.44,8047158
2017-05-05,49.78,51.1,49.4,51.08,4108049
2017-05-08,51.21,52.23,51.0,52.06,4710955
2017-05-09,52.03,53.05,51.84,52.9,3458569
2017-05-10,52.85,53.67,52.74,53.41,2667094
2017-05-11,52.95,53.13,50.44,50.85,3856282
2017-05-12,50.66,50.77,49.28,49.55,5426391
2017-05-15,49.81,50.58,49.39,49.52,3296116
2017-05-16,48.99,49.15,48.16,48.29,4428142
2017-05-17,48.41,48.63,47.52,48.4,6238245
2017-05-18,51.78,53.13,49.23,49.69,8649182
2017-05-19,49.97,50.13,47.74,48.99,4741887
2017-05-22,49.19,50.58,49.02,50.35,3227058
2017-05-23,50.36,50.57,49.91,50.15,2726702
2017-05-24,50.27,50.29,49.51,49.58,2117880
2017-05-25,50.11,50.84,49.61,50.27,2664185
2017-05-26,50.36,50.74,49.62,50.51,2157667
2017-05-30,50.5,51.29,50.2,51.24,3652298
2017-05-31,50.62,51.66,50.07,51.6,5086573
2017-06-01,51.83,53.25,51.69,52.83,4367384
2017-06-02,52.73,52.93,51.83,52.45,2970949
2017-06-05,52.31,52.34,51.56,51.87,2696839
2017-06-06,51.52,51.7,49.87,50.31,3818205
2017-06-07,50.34,51.24,50.17,51.17,2314748
2017-06-08,51.51,51.76,50.31,50.46,2185105
2017-06-09,50.74,52.64,50.39,52.3,2566604
2017-06-12,52.38,55.23,52.38,53.81,4708899
2017-06-13,53.85,54.07,52.92,53.61,1455315
2017-06-14,53.61,53.61,52.05,52.84,2446275
2017-06-15,52.59,52.94,51.23,52.07,2830239
2017-06-16,51.88,52.22,50.25,51.56,3833777
2017-06-19,51.82,51.89,50.21,51.87,2368131
2017-06-20,51.87,52.44,50.64,52.42,3577434
2017-06-21,52.34,52.71,51.15,51.48,2241146
2017-06-22,51.48,53.57,51.22,52.85,2488422
2017-06-23,52.73,53.53,52.41,53.46,2968152
2017-06-26,53.47,54.19,53.44,53.71,1551101
2017-06-27,53.74,55.01,53.74,54.41,2630244
2017-06-28,54.5,55.35,54.17,54.26,2174984
2017-06-29,54.64,55.18,53.56,54.19,2335793
2017-06-30,54.47,54.69,53.69,53.89,3447635
2017-07-03,54.35,55.7,54.3,55.57,1242917
2017-07-05,55.58,55.98,53.59,54.11,3720309
2017-07-06,49.59,49.94,46.2,46.49,14315862
2017-07-07,46.71,47.32,44.92,45.11,10146258
2017-07-10,45.02,45.14,43.84,44.15,7287985
2017-07-11,44.15,44.33,43.35,43.79,4737620
2017-07-12,44.23,44.3,43.45,44.17,3753427
2017-07-13,44.49,45.56,44.42,45.38,4297367
2017-07-14,45.5,45.9,45.35,45.55,2472658
2017-07-17,45.65,46.31,45.42,45.48,2121203
2017-07-18,45.38,45.48,44.37,44.65,2698830
2017-07-19,44.01,44.76,43.78,44.58,2599595
